voltage,largest element,smallest element,element difference,element ratio difference,condition number
-150,101661864.61744004,437091.23965534702,101224773.37778468,232.58728474540447,4.7690114725971046e+17
-140,85156683.532772973,399649.3087426264,84757034.224030346,213.0785207678509,9.9194538493916429e+17
-130,71538763.655249089,366207.20243857335,71172556.452810511,195.35050970836326,4.0159907791422605e+17
-120,60305951.139913417,336430.22090301692,59969520.919010401,179.25247909669173,1.9235033904234373e+18
-110,51046950.879502527,310020.34609636012,50736930.533406168,164.65677663502828,2.6270102076569232e+17
-100,43425215.288054481,286713.25911487249,43138502.028939612,151.45869229108803,5.3633475622266624e+17
-90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694608e+17
-80,32044579.69627073,248503.10713354198,31796076.589137185,128.95041863219211,5.2500763697355238e+17
-70,27879643.609289251,233217.62208979434,27646425.987199452,119.54346914040191,4.3787081351465485e+17
-60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151002e+17
-50,21860503.007356014,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18
-40,19796179.221317705,200869.46597315086,19595309.755344555,98.552456070967708,8.0069654124085012e+18
-30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770719,4.834816017062736e+17
-20,17198429.140170936,189534.27152126568,17008894.868649669,90.740471378239761,1.3729972726386604e+18
-10,16575788.975376585,186735.5560986682,16389053.419277918,88.766110331008377,2.3150748591009915e+18
0,16370576.241642578,185805.75288549406,16184770.488757085,88.105863179226859,8.3894074505350016e+17
10,16575788.975376587,186735.5560986682,16389053.419277919,88.766110331008377,3.3538795007001626e+17
20,17198429.140170932,189534.27152126568,17008894.868649665,90.740471378239761,4.6503094723800806e+17
30,18259771.29046119,194229.90963791663,18065541.380823273,94.011119731770719,4.834816017062736e+17
40,19796179.221317705,200869.46597315086,19595309.755344555,98.552456070967708,8.0069654124085012e+18
50,21860503.007356014,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18
60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151002e+17
70,27879643.609289244,233217.62208979434,27646425.987199452,119.54346914040191,5.7466840045191994e+17
80,32044579.69627073,248503.10713354198,31796076.589137189,128.95041863219211,6.8175088831121523e+17
90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694608e+17
100,43425215.288054481,286713.25911487249,43138502.028939612,151.45869229108803,5.3633475622266624e+17
-150,400694732389.08551,1.6479743563141505,400694732387.43762,243143790953.93021,3.8041643671076512e+19
-140,261073322109.31165,1.6257459981247748,261073322107.68591,160586784411.86264,1.4630098086166413e+18
-130,170102797140.64764,1.6085817861260403,170102797139.03906,105747061546.87198,1.9136305343123387e+18
-120,110830815809.25104,1.5967392140069727,110830815807.65433,69410718317.065811,9.1175344162304832e+17
-110,72212061799.698364,1.5905136166528189,72212061798.107849,45401724979.674286,7.2146744458059494e+17
-100,47049947054.674408,1.5902417866238363,47049947053.084167,29586662512.852093,1.4735252739665695e+18
-90,30655526467.166119,1.5963059891289273,30655526465.56982,19204041503.279858,3.2649153858051494e+17
-80,19973712560.110573,1.6091384171935192,19973712558.501438,12412675222.151808,1.9142091877426e+19
-70,13013959922.594831,1.6292261331647999,13013959920.965609,7987816827.6830845,79843868439904512.0
-60,8479327248.1201439,1.6571165476115164,8479327246.463028,5116916646.7752771,33727321320081388.0
-50,5524792570.6016245,1.6934234921100968,5524792568.9082003,3262499071.4622931,1.0894204151035794e+17
-40,3599783677.6091814,1.7388339484190354,3599783675.870347,2070228546.4820485,66256733006343144.0
