voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-9.552776931845486e-05,-298.15158963313,-150,607069839286.74316,21.786922121715019,607069839264.9563,27863955995.95396,2.2532406602817083e+18,1.0429403118905611e-08,3.341578858236105e-15,-6.65529123142427e-07,-11611983.948281804,1.4755534409256323e-08,2.0882130749261903e-08,-150,-9.55277693184593e-05,-9.552776931845486e-05,-9.552776932179643e-05,-298.1515896331439,-298.15158963313,-298.1515896435594
-140,-8.274293618981059e-05,-258.24886451251746,-140,433826195658.49481,23.208297999333606,433826195635.2865,18692719115.850353,2.0620075683048612e+19,2.5553163141012192e-08,8.187230732779882e-15,1.4148703903584152e-06,-10836440.809431804,3.567312329021929e-08,5.1073620194321901e-08,-140,-8.274293619001406e-05,-8.274293618981059e-05,-8.274293618182683e-05,-258.2488645131525,-258.24886451251746,-258.24886448759935
-130,-7.164955935215316e-05,-223.62534129885506,-130,310022288433.21234,24.722404248603095,310022288408.48993,12540135065.978857,1.5920600599494828e+19,1.8899015685747145e-08,6.05524202827723e-15,9.6011499658951281e-07,-10115450.53776091,2.6712215634497171e-08,3.7793198073588505e-08,-130,-7.164955935214975e-05,-7.164955935215316e-05,-7.164955934609791e-05,-223.62534129884443,-223.62534129885506,-223.62534127995605
-120,-6.202434329562919e-05,-193.5840926829875,-120,221549159379.66833,26.335290586534956,221549159353.33304,8412633938.9224291,3.2394990159356038e+17,3.281456883996725e-09,1.0513779517135058e-15,-4.0148615536734395e-08,-9445330.5140515063,4.1113281671130144e-09,6.5708055214063182e-09,-120,-6.202434329491245e-05,-6.202434329562919e-05,-6.202434329596383e-05,-193.58409268075047,-193.5840926829875,-193.58409268403193
-110,-5.3673480355392764e-05,-167.520225828317,-110,158324220957.60815,28.053401412867224,158324220929.55475,5643672887.5590019,6.8824342975254093e+17,1.1226859442103887e-08,3.59708465270947e-15,-4.3968921118652421e-07,-8822653.4448737055,1.584644771663635e-08,2.2482736180585994e-08,-110,-5.367348035541376e-05,-5.3673480355392764e-05,-5.367348035898985e-05,-167.52022582838254,-167.520225828317,-167.52022583954385
-100,-4.642875758271279e-05,-144.90873153156303,-100,113142223155.73027,29.883601559112655,113142223125.84666,3786097299.2804766,3.3899956584347021e+19,2.4522250896552578e-09,7.856942093459329e-16,8.7900029376956183e-08,-8244229.1786172073,2.9656289505557044e-09,4.8171559532093899e-09,-100,-4.6428757582388685e-05,-4.642875758271279e-05,-4.64287575819271e-05,-144.90873153055145,-144.90873153156303,-144.9087315291108
-90,-4.0144177257500596e-05,-125.29393650905305,-90,80854127844.789886,31.833203717471321,80854127812.95668,2539930588.2748442,5.9693676603968602e+17,2.4156179279088974e-09,7.739644970923554e-16,-7.9516467052120408e-08,-7707087.3678498184,3.2792220701940294e-09,4.8182208262255444e-09,-90,-4.01441772574459e-05,-4.0144177257500596e-05,-4.014417725821986e-05,-125.29393650888233,-125.29393650905305,-125.29393651129794
-80,-3.469302298016026e-05,-108.2803463800258,-80,57780313417.58548,33.909997659201821,57780313383.675484,1703931507.1113315,4.2321162571707104e+17,7.220734232760151e-09,2.3135180294946156e-15,1.9626991036966669e-07,-7208460.7168389065,9.3281749600363457e-09,1.4465271989992992e-08,-80,-3.4693022979665095e-05,-3.469302298016026e-05,-3.4693022977846745e-05,-108.28034637848032,-108.2803463800258,-108.28034637280507
-70,-2.996531207539237e-05,-93.5246943676416,-70,41291237266.344643,36.122281359195057,41291237230.222359,1143096053.5341108,8.5544158654795725e+17,1.2631062418222427e-08,4.046991284841275e-15,2.9148941310737139e-07,-6745768.4717917917,1.7505246382370613e-08,2.5291921825973396e-08,-70,-2.9965312075566474e-05,-2.996531207539237e-05,-2.9965312071519483e-05,-93.52469436818501,-93.5246943676416,-93.52469435555395
-60,-2.5865582520408677e-05,-80.72903408367253,-60,29507767499.967903,38.478894151111049,29507767461.48901,766855912.85673392,4.6098061900185774e+18,2.1054518128948985e-09,6.745872035886918e-16,5.0126171805999918e-08,-6316599.6877143504,2.9452452756135572e-09,4.2805697398132225e-09,-60,-2.5865582519743417e-05,-2.5865582520408677e-05,-2.586558251973409e-05,-80.72903408159618,-80.72903408367253,-80.72903408156708
-50,-2.2310968818416454e-05,-69.63473413987657,-50,21087033065.13303,40.98925204555249,21087033024.14378,514452740.96971631,1.6382538312538192e+17,4.6566128730773926e-09,1.4919773858208807e-15,3.8943264372491313e-08,-5918695.6200264897,5.8466115491101518e-09,9.4900818418952593e-09,-50,-2.2310968819279966e-05,-2.2310968818416454e-05,-2.231096881778799e-05,-69.63473414257169,-69.63473413987657,-69.63473413791507
-40,-1.922952610117012e-05,-60.01724750677317,-40,15069387294.772526,43.663385352391082,15069387251.10914,345126406.78575557,2.3402737755956157e+17,1.5133991837501526e-09,4.848924809851968e-16,-1.6958422238315136e-08,-5549930.3131713104,1.777007203024022e-09,2.9143544730270143e-09,-40,-1.9229526101000165e-05,-1.922952610117012e-05,-1.9229526101485058e-05,-60.01724750624271,-60.01724750677317,-60.01724750775611
-30,-1.6558764989534182e-05,-51.68153866895812,-30,10769044523.830236,46.511978757569494,10769044477.318258,231532710.74449077,2.744492697811831e+17,6.8371903694242064e-09,2.1906338776387507e-15,-1.0239088533028517e-07,-5208288.0535591077,9.1386172458617208e-09,1.3578654561863246e-08,-30,-1.6558764989747946e-05,-1.6558764989534182e-05,-1.6558764991724816e-05,-51.6815386696253,-51.68153866895812,-51.68153867579531
-20,-1.4244360745702199e-05,-44.45805476186704,-20,7695926488.0000811,48.062867191306346,7695926439.9372139,160122084.63069233,77466631285254752.0,2.444721758365631e-09,7.832886357757307e-16,2.9878361695097316e-08,-4891835.7697569011,3.5180776033914012e-09,5.1854414789831438e-09,-20,-1.4244360745739797e-05,-1.4244360745702199e-05,-1.4244360744956508e-05,-44.458054761984386,-44.45805476186704,-44.458054759539664
-10,-1.2238997760393545e-05,-38.19911910235189,-10,5499811954.514081,41.717048705400025,5499811912.7970324,131836074.82286164,2.1074923156231267e+17,3.550667315721512e-09,1.1376347048642002e-15,-2.2079279458728687e-08,-4598687.640954976,4.237622885455911e-09,6.887191886240096e-09,-10,-1.2238997759863127e-05,-1.2238997760393545e-05,-1.2238997761000762e-05,-38.19911910069641,-38.19911910235189,-38.199119104247075
0,-1.0501302032610802e-05,-32.77559935271786,0,3930424757.8900223,36.209078949903081,3930424721.6809435,108548045.73537883,1.2428338416855584e+17,6.816819109189964e-09,2.184110029878998e-15,-7.6008773595425251e-08,-4326958.0705861086,9.4762361270621608e-09,1.3739497900511211e-08,0,-1.050130203270614e-05,-1.0501302032610802e-05,-1.0501302034794912e-05,-32.77559935301542,-32.77559935271786,-32.77559935953468
10,-8.994795552627956e-06,-28.073644046903734,10,2808911788.1362915,31.428335394938916,2808911756.7079563,89375137.207827643,45394352452569152.0,8.091650016694985e-09,2.5925645636380723e-15,-7.8269223472666592e-08,-4074697.8259646739,1.093581798069637e-08,1.6158552773593016e-08,10,-8.994795552852005e-06,-8.994795552627956e-06,-8.99479555522052e-06,-28.07364404760301,-28.073644046903734,-28.073644054995384
20,-7.686769264842889e-06,-23.99116499638854,20,2007460502.1599445,27.278801183077707,2007460474.8811433,73590495.736493886,1.122314909653503e+17,1.5175608325534995e-08,4.862265578771223e-15,1.3420122373418491e-07,-3839806.8066526582,2.1240006847121365e-08,3.0304955211946094e-08,20,-7.686769264810905e-06,-7.686769264842889e-06,-7.686769259980623e-06,-23.991164996288717,-23.99116499638854,-23.991164981212933
30,-6.546901169431771e-06,-20.433524249162833,30,1434733126.5295734,23.677136718660375,1434733102.8524368,60595719.13519571,1.7391985461121514e+17,2.1595042198896408e-08,6.919051310084849e-15,-1.4151534101662847e-07,-3619916.4881440252,2.8069495703687987e-08,4.2958056112318843e-08,30,-6.54690116822496e-06,-6.546901169431771e-06,-6.546901175144011e-06,-20.433524245396256,-20.433524249162833,-20.4335242669913
40,-5.545318683323623e-06,-17.307486527227287,40,1025457602.2833245,20.551005868318931,1025457581.7323186,49898170.865891866,69634048321651856.0,1.8272992008405708e-09,5.854666320433306e-16,-6.3065580771802967e-09,-3412238.0093453554,2.3744198622164114e-09,3.7295780908053189e-09,40,-5.545318683592043e-06,-5.545318683323623e-06,-5.545318683909089e-06,-17.307486528065056,-17.307486527227287,-17.307486529054586
50,-4.649581414253083e-06,-14.511802166832346,50,732989033.65111816,17.837623155963048,732989015.81349504,41092304.016193032,3.1913911592858592e+17,7.1169026227835275e-09,2.2802550456559392e-15,3.4483466931309312e-08,-3213383.7941718772,8.7129434804036084e-09,1.4115550728277526e-08,50,-4.6495814134648065e-06,-4.649581414253083e-06,-4.649581411972828e-06,-14.511802164372057,-14.511802166832346,-14.511802159715444
