voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0001244880917978109004692432327821389789855285732347407669572489221357472208389798,-777.0792247054363717901132820088431719857428680229818724151594483485256507878907,-150,93108.434575684156508759860329917350497240767876277984527730465749632612379355405,489.46349696580606186900863752954987867401877365344567848928340432980217987102411,92618.971078718350446890851692387800618566749102624538849241182345302810199484381,190.2254921007699072942123254578330521672508427782741844223183644925698032160337,195636.05179006916275924731870205529339269459121620564559664663553713294838038126,7.5566474857076390472130578799503496247265003188817462118957405363975178277671237e-78,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-84,64494.755582644717112556826963702187148413204456779725627471923112167281866596896,-3.2353958838033821221513703129093616247480593469048994732419283347236867952737346e-78,3.9035233393248965032195668592078475721269680339881990966360779936198978116740661e-78,7.453705597335187220118511323217367092009635936008525131835011170712206188522629e-78,-150,-0.0001244880917978109004692432327821389789855285732347407669572489221357472208389798,-0.0001244880917978109004692432327821389789855285732347407669572489221357472208389798,-0.0001244880917978109004692432327821389789855285732347407669572489221357472208389798,-777.0792247054363717901132820088431719857428680229818724151594483485256507878907,-777.0792247054363717901132820088431719857428680229818724151594483485256507878907,-777.07922470543637179011328200884317198574286802298187241515944834852565078789069
-140,-0.000118145097098640875882099870772561815714942522438605299318260184639360951169922,-737.48500061573584177941751952219137139250164710942573503827648726473545617429442,-140,86535.444542485933491011271585839844825969361001535517753848479782737463810777283,506.59399659265824849105506577132247795653743240999512447859277693649531571546896,86028.850545893275242520216520068522348012823569125522629369887005800968495061814,170.81814061066991695296932659596703564017095176224928879349894081852089130340706,173070.88908497186698202254317167968965193872200307103550769695956547492762155457,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-85,56562.158379927333304278211683681013908660090212943032175880717386451497942381076,2.4465887031214858229800365763902756501739288594616049298943478401229048480742355e-78,4.8231970405339149185821949495770603261374060511197851540964391872187642068997951e-78,9.063535958130548001548889945463890322337365932232986205300189341135203401884419e-78,-140,-0.000118145097098640875882099870772561815714942522438605299318260184639360951169922,-0.000118145097098640875882099870772561815714942522438605299318260184639360951169922,-0.000118145097098640875882099870772561815714942522438605299318260184639360951169922,-737.48500061573584177941751952219137139250164710942573503827648726473545617429442,-737.48500061573584177941751952219137139250164710942573503827648726473545617429442,-737.48500061573584177941751952219137139250164710942573503827648726473545617429442
-130,-0.00011076821697991882843386719661174947608988223985651868900408352446040590391544853,-691.43705979974303390766626239717684456483411977456780665951480462168635891629134,-130,80472.837843414788858625101269019216174021264885336267789520586906233436467627027,524.32403841067425057059780207550320252299642251777069690095013296571710855026535,79948.513805004114608054503466943712971498268462818497092619636773267719359076762,153.47920741407020971959038816817508943909273378975655797993147307742743536413642,160945.67568682957771725020253803843234804252977067253557904117381246687293525405,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,1.4155783371037079524882118477047144663673043848395212774762621249534861718831464e-84,49407.892969585826982164921416975658603638921267237084274103504259534594113736422,-1.6121950178481988666549053709626458427277650063164687241994440454900419713326768e-78,7.6075542258106023207306360864843667573283218144664859850419880652840657590036132e-78,1.2819032285552599190803006015432624802499964365214927565911806846826388445762849e-77,-130,-0.00011076821697991882843386719661174947608988223985651868900408352446040590391544852,-0.00011076821697991882843386719661174947608988223985651868900408352446040590391544853,-0.00011076821697991882843386719661174947608988223985651868900408352446040590391544852,-691.43705979974303390766626239717684456483411977456780665951480462168635891629134,-691.43705979974303390766626239717684456483411977456780665951480462168635891629134,-691.43705979974303390766626239717684456483411977456780665951480462168635891629133
-120,-0.00010211783977488863096288838706517593672743716994026491713613181187029647896598214,-637.43969896934229790165967575154088671820644709058747393671234359357335428194254,-120,74881.254037341381505392536979481586834169497511693318121352258125664200989446232,542.6746055112299943037477304550896314331711081229253579835019333756911268585729,74338.579431830151511088789249026497202736326403570392763368756192288509862587659,137.98555023004813252185540145673179941233519010546516427967228180538978836413021,149762.50807468276301078507395896317366833899502338663624270451625132840197889246,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-85,43040.596458162160265779747961942049958931611113596403147629183803842645767369398,-8.1504193877240576125955070406482096652369528001107864457645342822243688595549171e-78,5.9533516897370799300083620081257566980902478818406507632492338555790071322069888e-78,9.3469202548164608127465143706122239542234585398382907196742521064242611367471659e-78,-120,-0.00010211783977488863096288838706517593672743716994026491713613181187029647896598214,-0.00010211783977488863096288838706517593672743716994026491713613181187029647896598214,-0.00010211783977488863096288838706517593672743716994026491713613181187029647896598214,-637.43969896934229790165967575154088671820644709058747393671234359357335428194254,-637.43969896934229790165967575154088671820644709058747393671234359357335428194254,-637.43969896934229790165967575154088671820644709058747393671234359357335428194255
-110,-0.000091928104152880369996289740640405187526321244664788997771070191054038670687149743,-573.83335925643180176195874749463233340388437111541429919971463901630877232036035,-110,69724.375744816925990846097592424094866723873002191632022500117798139865251244733,561.6674153629148835265499126744832240738957374188688421577884998155789224509515,69162.708329454011107319547679749611642649977264772763180342329298324286328793782,124.13818896680223046366722676893238717768829411824570051308980651672415159826343,139448.75148963385198169219518484818973344774600438326404500023559627973050248947,1.5113294971415278094426115759900699249453000637763492423791481072795035655534247e-77,2.445089854997313736116002282399052260088980301086445842913543670374203387798162e-84,37451.979554099899091513010596436581611475905099856326915913633979578309210982032,-1.5371682697127969631537464831293252819615378406041351554321219255122365726310222e-77,1.1810801227118130544479406381814713142582836407829836172553204335647006049688393e-77,1.713004313887979578615278306508365102830304549381264209531723869764960933331483e-77,-110,-0.000091928104152880369996289740640405187526321244664788997771070191054038670687149742,-0.000091928104152880369996289740640405187526321244664788997771070191054038670687149743,-0.000091928104152880369996289740640405187526321244664788997771070191054038670687149745,-573.83335925643180176195874749463233340388437111541429919971463901630877232036034,-573.83335925643180176195874749463233340388437111541429919971463901630877232036035,-573.83335925643180176195874749463233340388437111541429919971463901630877232036035
-100,-0.000079917288047922601983647904137416010630067247405417105123477892869569036947979725,-498.85947595457307130216291038691778621136947145240937378504461147985933567993418,-100,64968.693645393597223590169013371405518991962794978908880073110098183527787347923,581.32494551364972758728155897917972735792280943625368806534036676350087683112677,64387.368699879947496002887454392225791634039985542655192007769731420026910516796,111.75968646586852507276597840327134942766234283692887712012517290035159141638139,129937.38729078719444718033802674281103798392558995781776014622019636705557469585,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,7.7213363842020433772084282602075334529125693718519342407796115906553791193626169e-85,32615.408151532546176611533122650533698799242005728479812150277607979187005022217,-5.2448380832355386130042743552333039262442890003296204315558820739301924971500507e-78,9.7446052979863610008129587246393063430868267254334454932211473343816497650146383e-78,1.8029800083673492999244031344451646752920872463816001263345179210236543712484534e-77,-100,-0.000079917288047922601983647904137416010630067247405417105123477892869569036947979726,-0.000079917288047922601983647904137416010630067247405417105123477892869569036947979725,-0.000079917288047922601983647904137416010630067247405417105123477892869569036947979726,-498.85947595457307130216291038691778621136947145240937378504461147985933567993418,-498.85947595457307130216291038691778621136947145240937378504461147985933567993418,-498.85947595457307130216291038691778621136947145240937378504461147985933567993418
-90,-0.000065806001197590458923292901878056158624680865871201302518574166974759162827743154,-410.77403993502161204168448788222046087343630996862370814084924808020887267615497,-90,60583.289632451448051356687962809079360451347964021610934013275939734661791461363,601.67046019234115541427614491453124905266281108763292216096322351505393727482432,59981.619172259106895942411817894548111398685152933978011852312716219607854186539,100.69181327779374168502021456423578314597324622080795032222618914074523565681254,121166.57926490289610271337592561815872090269592804322186802655187946932358292273,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,1.4155783371037079524882118477047144663673043848395212774762621249534861718831464e-84,28487.643493606321336289859765662692672372973300782571900814868377907136534504538,3.2059445110790012712546119738781435956413251353087410756537951744148810866890485e-78,5.2242731997974688373333246721334021638287884478344506861255075754995391156416882e-78,9.69719899290901450719104625312331565568483445413641030029445658528423686944625e-78,-90,-0.000065806001197590458923292901878056158624680865871201302518574166974759162827743155,-0.000065806001197590458923292901878056158624680865871201302518574166974759162827743154,-0.000065806001197590458923292901878056158624680865871201302518574166974759162827743153,-410.77403993502161204168448788222046087343630996862370814084924808020887267615498,-410.77403993502161204168448788222046087343630996862370814084924808020887267615497,-410.77403993502161204168448788222046087343630996862370814084924808020887267615497
-80,-0.000049343825065996528423536741596642644246945339083937060940685785076672730746181735,-308.0138893008522529172029214476214269476468568113489736014515786585982825879628,-80,56539.636722913770257875453963211771137783869964518443371680668447863916752908945,622.72803784155437548657186212143312276140314909262762467426539803381330110052644,55916.908685072215882388882101090338015022466815425815747006403049830103451808418,90.793465665825050946293829223047187535433277209664072851546050543961072477725931,113079.27344582754051575090792642354227556773992903688674336133689572783350581789,1.2414492297948264148992880802775574383479250523877154490971573738367350717045989e-77,1.9946785659188612057788439672202794753357470877284163455347329942526396058353427e-84,25012.764802906554983242642187570614583331432509487358455598578153256219889196917,-1.1939087738718730055781982272536264508721901486938743058697350946439754839217849e-77,1.2847498364976195234285930506282435636827887041698200854334173860559091451567392e-77,2.3015752592095332986784436967720009249265316430192336341470313872764746988171528e-77,-80,-0.000049343825065996528423536741596642644246945339083937060940685785076672730746181733,-0.000049343825065996528423536741596642644246945339083937060940685785076672730746181735,-0.000049343825065996528423536741596642644246945339083937060940685785076672730746181734,-308.01388930085225291720292144762142694764685681134897360145157865859828258796279,-308.0138893008522529172029214476214269476468568113489736014515786585982825879628,-308.0138893008522529172029214476214269476468568113489736014515786585982825879628
-70,-0.000030342538176434255154664420704745984755580016599983296259318955342842024628443292,-189.40410846713019156150490262492208763940370017640518728239462819860056909425834,-70,52811.414427593084549431485220592738783936795487871589510167975647359701605430223,644.52259961378880929642353142092858088023223682394692458929258724661417070775906,52166.891827979295740135061689171810203056563251047642585578683060113087434722464,81.938809374936999389872873456379496342282403015373848690049009531938333629440382,105622.82885518616909886297044118547756787359097574317902033595129471940321086045,1.1874731763254861359906233811350549410284500501099886904407592271481813729348337e-77,1.89816186111633566356373861396768530717433997058026716752498784936944736684331e-84,22127.03592697700672188712986045577679127576853825039266916706225225994394160775,8.4991426672796057837441385421879600691700458038633171497690739246906145143556599e-78,1.0707987676655884002392626405912297769003184622080419939818005088830919579945335e-77,1.8780309449419927701247341137426057166371605061447874056967783340130749173656786e-77,-70,-0.000030342538176434255154664420704745984755580016599983296259318955342842024628443294,-0.000030342538176434255154664420704745984755580016599983296259318955342842024628443292,-0.000030342538176434255154664420704745984755580016599983296259318955342842024628443293,-189.40410846713019156150490262492208763940370017640518728239462819860056909425835,-189.40410846713019156150490262492208763940370017640518728239462819860056909425834,-189.40410846713019156150490262492208763940370017640518728239462819860056909425835
-60,-0.0000087106199666103875647413353083149626713132701862888919644431820844756945320857636,-54.373408031275830243254706751328480789818268119229713961049933020226083985793879,-60,49374.338387898466338178580399575659011967707279427958099812829643298209954680023,667.07993886508160742280008290962346449938719296512361236816244514939694988086008,48707.258449033384730755780316666035547468320086462834487444667198148813004799163,74.015624681953650304367930853017849340873187114690966468884268474285138907066194,98748.676775796932676357160799151318023935414558855916199625659286596419909360046,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,6.917030510847663858749216983102582051567510062284024424031735383295443794429011e-85,19763.645653528220251942254451110326571778001913605646942235141858606129965255964,-5.2183896709414430402495329197223413292143737088969613298991078679685668798942134e-79,3.5684892474443668670226498749393818951298365284398290181130082232255584647481962e-78,5.7011599475531615036418841317145874024290190615760478833690269177695728158765671e-78,-60,-0.0000087106199666103875647413353083149626713132701862888919644431820844756945320857641,-0.0000087106199666103875647413353083149626713132701862888919644431820844756945320857636,-0.0000087106199666103875647413353083149626713132701862888919644431820844756945320857643,-54.373408031275830243254706751328480789818268119229713961049933020226083985793883,-54.373408031275830243254706751328480789818268119229713961049933020226083985793879,-54.373408031275830243254706751328480789818268119229713961049933020226083985793884
