voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0001244880917978111,-777.0792247054376,-150,97818.025895034574,489.46349696580609,97328.562398068767,199.84743806516821,66733425987706456.0,3.410605131648481e-12,5.421010862427522e-19,5.4569682106375694e-12,-15646.071496702378,5.0756430565054424e-12,8.6970430857036263e-12,-150,-0.0001244880917978109,-0.0001244880917978111,-0.00012448809179781056,-777.0792247054363,-777.0792247054376,-777.0792247054342
-140,-0.00011814509709864094,-737.4850006157362,-140,86535.444542485944,506.59399659265824,86028.850545893292,170.81814061066993,52768019590394128.0,7.958078640513122e-13,1.2197274440461925e-19,3.637978807091713e-12,-14195.607401590965,1.6441043833632067e-12,2.6858515411731787e-12,-140,-0.00011814509709864088,-0.00011814509709864094,-0.000118145097098641,-737.4850006157359,-737.4850006157362,-737.4850006157367
-130,-0.0001107682169799192,-691.4370597997454,-130,80472.837843414804,524.32403841067435,79948.513805004128,153.4792074140702,43194111203630896.0,2.2737367544323206e-12,3.6591823321385775e-19,-1.8189894035458565e-12,-13012.049122561295,3.7096863957603173e-12,6.3806737671256997e-12,-130,-0.00011076821697991884,-0.0001107682169799192,-0.0001107682169799192,-691.4370597997431,-691.4370597997454,-691.4370597997454
-120,-0.00010211783977488879,-637.4396989693432,-120,74881.254037341394,542.67460551123008,74338.579431830163,137.98555023004812,72897134706596080.0,9.094947017729282e-13,1.4907779871675686e-19,1.8189894035458565e-12,-12047.038533462703,1.3518250614721951e-12,2.0037305148434825e-12,-120,-0.00010211783977488864,-0.00010211783977488879,-0.0001021178397748887,-637.4396989693423,-637.4396989693432,-637.4396989693428
-110,-9.192810415288066e-05,-573.8333592564336,-110,69724.37574481692,561.66741536291499,69162.708329454006,124.13818896680219,63069505594613040.0,1.8189894035458565e-12,2.981555974335137e-19,7.2759576141834259e-12,-11261.094739107857,3.7122985063833283e-12,6.4943606048473157e-12,-110,-9.192810415288036e-05,-9.192810415288066e-05,-9.192810415288066e-05,-573.8333592564318,-573.8333592564336,-573.8333592564336
-100,-7.991728804792239e-05,-498.85947595457174,-100,64968.693645393592,581.32494551364971,64387.368699879946,111.75968646586853,27822343459525668.0,2.2737367544323206e-12,3.6591823321385775e-19,1.8189894035458565e-12,-10622.013344082205,3.9333017166441535e-12,6.2527760746888816e-12,-100,-7.991728804792259e-05,-7.991728804792239e-05,-7.991728804792275e-05,-498.85947595457304,-498.85947595457174,-498.859475954574
-90,-6.580600119759057e-05,-410.7740399350223,-90,60583.289632451444,601.67046019234124,59981.619172259103,100.69181327779373,99660765523330960.0,1.3642420526593924e-12,2.168404344971009e-19,1.8189894035458565e-12,-10103.552277800614,2.2970649923964572e-12,3.694822225952521e-12,-90,-6.580600119759047e-05,-6.580600119759057e-05,-6.580600119759035e-05,-410.77403993502173,-410.7740399350223,-410.77403993502094
-80,-4.934382506599657e-05,-308.0138893008525,-80,56539.636722913769,622.72803784155451,55916.908685072216,90.793465665825025,90256369668032016.0,9.094947017729282e-13,1.4907779871675686e-19,-3.637978807091713e-12,-9684.3464350062623,9.5962735805040496e-13,1.6484591469634324e-12,-80,-4.934382506599649e-05,-4.934382506599657e-05,-4.934382506599664e-05,-308.01388930085204,-308.0138893008525,-308.01388930085295
-70,-3.03425381764342e-05,-189.40410846712984,-70,52811.414427593088,644.52259961378888,52166.8918279793,81.938809374936994,inf,1.3642420526593924e-12,2.202285662861181e-19,-1.8189894035458565e-12,-9347.0014181316783,2.0185417388989553e-12,3.3537617127876729e-12,-70,-3.0342538176434273e-05,-3.03425381764342e-05,-3.034253817643442e-05,-189.4041084671303,-189.40410846712984,-189.4041084671312
-60,-8.710619966610865e-06,-54.373408031278814,-60,49374.338387898468,667.07993886508166,48707.258449033383,74.015624681953653,25273225206746180.0,3.410605131648481e-12,5.454892180317694e-19,1.8189894035458565e-12,-9077.3249503623574,3.8216367815884064e-12,5.9117155615240335e-12,-60,-8.710619966610355e-06,-8.710619966610865e-06,-8.71061996661032e-06,-54.37340803127563,-54.373408031278814,-54.3734080312754
