voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.09096728118097985245881272995964504631871141931040093551012241814844317388857486,-283917.85637009942901444919720063617374704507602736141689930089896905029760752085,-150,763799470329.9706834163946365230730011847069867455484007374398105016926102317855,5138.5607903974914772366351424600614073403190664486907761952941240003735437435021,763799465191.40989301890315928643785872464557940522933428874903430639848623141195,148640738.42568811114950799135494580223501149377273439983939254350839080124432957,6936369144756.6821651012189382421615869004530147324884371064715080352810121785014,9.948866175468800208445077345946060305925632419830596155547306397634217757243116e-75,3.1626593829691569673045722153810057023129884147105522650233289075324432872909279e-81,772931979274.14304493419508535968690099720090909554707958357225422463491333458068,-1.1256705951030915166402023006168895815976511725019915517791833491897873878434526e-75,7.4069882743966312455174088333596427556444588210631196763783097147361469485912467e-75,1.1434773197254023032059643925226408486704476854571687882528969877370156895198576e-74,-150,-0.090967281180979852458812729959645046318711419310400935510122418148443173888574863,-0.09096728118097985245881272995964504631871141931040093551012241814844317388857486,-0.090967281180979852458812729959645046318711419310400935510122418148443173888574863,-283917.85637009942901444919720063617374704507602736141689930089896905029760752086,-283917.85637009942901444919720063617374704507602736141689930089896905029760752085,-283917.85637009942901444919720063617374704507602736141689930089896905029760752086
-140,-0.080186049344779951263505308225304110372100161830892665411136539376667302751649799,-250268.56849182258213497781725574127204612918755745606476774005254820908072809156,-140,704557223066.46080150458255262455632713098409824922667120662311972028561426332916,5443.2321975574636055360151059624108450840525269475730390508128056499642557149151,704557217623.22860394711894708854122116857325316517414425905008066947280861336491,129437289.73800090550802323595463320785722338150280752544960624356870880195352555,7949842668031.9010581245439304022468027958802166466931647726901552994139227588795,5.2507904814974223322349019325826429392385282215772590820944117098625038163227557e-75,1.5813296914845784836522861076905028511564942073552761325116644537662216436454639e-81,730254094249.44594685951841400958737832691608106498785841134921121730486808730607,6.6047123127089865533101200796983899563759093099611876645418387218615126578388527e-75,5.4868462529270691254418570682244681369567736955082509292826444392119098943157306e-75,7.2178941476587045591959385733840307094134105342883089845173880526102402974335222e-75,-140,-0.080186049344779951263505308225304110372100161830892665411136539376667302751649801,-0.080186049344779951263505308225304110372100161830892665411136539376667302751649799,-0.080186049344779951263505308225304110372100161830892665411136539376667302751649799,-250268.56849182258213497781725574127204612918755745606476774005254820908072809157,-250268.56849182258213497781725574127204612918755745606476774005254820908072809156,-250268.56849182258213497781725574127204612918755745606476774005254820908072809156
-130,-0.069807495121266755608366370025405513014549182372439735210200461037457467172364975,-217876.07715751173263540500783340972434837817549741629358992685384594025457740932,-130,649920231652.34634231433512746333667085220522085459600860910135522776376367066445,5765.9679363712132690761043191925981181074391746338805297424659862248451898168447,649920225886.37840594312185838723235165960710274715683397522082548529777744581926,112716587.88678086212059351669729381755243778477204083646372091684277159545358556,9120607291134.0317789973593921399939718792002018197861851570397689483333842780465,1.6305086232018311452729432316967154390267008688055699254924752151678301324370662e-74,5.1393214973248800718699298499941342662586061739046474306629094747402203418477578e-81,696391903092.0551895142023346989882257862615284906845406268852769109976040077225,-8.9362754123839765761185275900327134562122813771004421631532771657569503683223214e-75,1.3658400202365426807290717697795060684189749787892238768675488819039063217625978e-74,2.3768208803613828544852900765122910590412874361739986131018956103232528633141049e-74,-130,-0.069807495121266755608366370025405513014549182372439735210200461037457467172364969,-0.069807495121266755608366370025405513014549182372439735210200461037457467172364975,-0.069807495121266755608366370025405513014549182372439735210200461037457467172364972,-217876.07715751173263540500783340972434837817549741629358992685384594025457740931,-217876.07715751173263540500783340972434837817549741629358992685384594025457740932,-217876.07715751173263540500783340972434837817549741629358992685384594025457740931
-120,-0.059800401847866478525887164039407715265447357253909327512959218448743630608059913,-186642.95208447715838999288640088067391522543877487689103958585644314567023946363,-120,599532037670.19276230431394461163119173190741819936810721666482268590706771202519,6107.8390626399378869021523745735173824646197587597047881296391501757981381645843,599532031562.35369966437605770947881715839003573474834845696003455626791753622705,98157798.776554906543193839003984163983750422786542247529175775232172781506179323,10470594942340.202137264216484831434607517746709051419292220023752535734851524516,1.298879750686204471658107320165180095495846454811216720307565001913356207195629e-74,4.1509904401470185195872510326875699842857972943075998478431191911363318145693428e-81,674820066389.47980536161095975052131427413822304223190089156064195889302629698014,1.6198888346817384453976634521404280726790941621074271857268288798068571922041149e-74,1.7078560492022629305336042973675562495949200523285864824765989782691556524712133e-74,2.921715694303696526787298476859460464101356505135139545411891527764011495875597e-74,-120,-0.059800401847866478525887164039407715265447357253909327512959218448743630608059917,-0.059800401847866478525887164039407715265447357253909327512959218448743630608059913,-0.059800401847866478525887164039407715265447357253909327512959218448743630608059914,-186642.95208447715838999288640088067391522543877487689103958585644314567023946364,-186642.95208447715838999288640088067391522543877487689103958585644314567023946363,-186642.95208447715838999288640088067391522543877487689103958585644314567023946363
-110,-0.050146531664792539327947364207857502470784894075194300816268358648007440330444827,-156512.27111358471242919696625565199996284519231106876354027276927388230491696204,-110,553064002522.23035070453794768302733113302192416239672183176494489958952108830292,6469.9801363426396395287256732143021338935987157319450813283623430385862440968908,553063996052.25021436189830815430165791871979026879800609981986357122717804971668,85481561.128079015081115269939880591608541289885308595750702582977195550374825329,12025423978461.942146118304423022401680734430312369019887812418203195178778691072,1.9345017563411555960865428172672895039299840816337270302453095773177645639083837e-74,6.1935412916479323943047872551211361670296023121414981856706857772510347709447338e-81,670166290089.00177799166531099452034353489758770095810331916733894260454622998386,-6.4315166511392409333619422263248850681020438964025319277031211686746159769113687e-75,1.9154052478125391622181115575915643104396681802172954982746061292067303743476641e-74,3.1101798981237119035432558382601125454115271277587900044531130077834104336747234e-74,-110,-0.050146531664792539327947364207857502470784894075194300816268358648007440330444821,-0.050146531664792539327947364207857502470784894075194300816268358648007440330444827,-0.050146531664792539327947364207857502470784894075194300816268358648007440330444823,-156512.27111358471242919696625565199996284519231106876354027276927388230491696202,-156512.27111358471242919696625565199996284519231106876354027276927388230491696204,-156512.27111358471242919696625565199996284519231106876354027276927388230491696203
-100,-0.040855218490112216428652251461842981001444634247773201874356988404031394630038621,-127513.16632369606271361965067153960660805608630892490413128627661377707167220456,-100,510213170535.57703500134171379000534340581846795246751980304475631846935973882384,6853.5929868746847234771623652209288136202443806522555632832046632972362574379217,510213163681.98404812665699031284297818488965433222313915078919303526469644158758,74444626.564881548890985993048405199537819012732281556936154571238168786536802178,13814841593922.108251447875850132869147010167818239835938111811355555638031533914,2.5563058923079556091143601513889182730503361078731392899670162271699031737360784e-74,8.1702034060036554988701448897342647309752200713355933513102663444588118255015637e-81,688885970229.41765901652465655583605347462510200299556773188669110708014358753449,1.0323122636211838367328031203625386996714542216873784068381107047235976966087975e-74,1.2362826376338260811583182834389481688656001627620817054889052143857413511928676e-74,2.1427497088626281846995365111633538355643721399729712347768840972022477389851081e-74,-100,-0.040855218490112216428652251461842981001444634247773201874356988404031394630038629,-0.040855218490112216428652251461842981001444634247773201874356988404031394630038621,-0.040855218490112216428652251461842981001444634247773201874356988404031394630038627,-127513.16632369606271361965067153960660805608630892490413128627661377707167220459,-127513.16632369606271361965067153960660805608630892490413128627661377707167220456,-127513.16632369606271361965067153960660805608630892490413128627661377707167220458
-90,-0.031993459738482889455913744125786773063297617757102140417646839603618093632625398,-99854.74325369191970299226424974120896455992214945683882236973713773816096484887,-90,470700301302.30241495291734130134033749070711348760789962490511694620317528928124,7259.9507015318470951430354194450492642897691613581267880179352478677474160305171,470700294042.35171342107024615830491804565784919783873826677832892826792742153383,64835192.50385334071935916810836685284020178249127150275725882106969058436172636,15873260789507.195378825089208471710592030691019795061652353240628994590539816278,5.7896873993353156768590102888213878724761666443180830405198908064010239448400911e-74,1.851473513779860641276218317754297088229061967778469138482407131284617841101564e-80,740591306024.91800360269398255648698624946646658802477125248958825578541009872604,2.0637474163734908939333404393640117337614669745877437538480549395635063956125864e-74,4.750018058741338178683311728733411801048642662633445480687846741440889815603678e-74,7.8748642749272936896603781312496832966333218899814175687111658473903637255231142e-74,-90,-0.031993459738482889455913744125786773063297617757102140417646839603618093632625417,-0.031993459738482889455913744125786773063297617757102140417646839603618093632625398,-0.031993459738482889455913744125786773063297617757102140417646839603618093632625412,-99854.743253691919702992264249741208964559922149456838822369737137738160964848928,-99854.74325369191970299226424974120896455992214945683882236973713773816096484887,-99854.743253691919702992264249741208964559922149456838822369737137738160964848914
-80,-0.023725236692666769523051608472880484165155629785550631914045697978396179623300758,-74048.803660008647696962918237832808671515891929686128277568279689306843866265845,-80,434268058620.60411143304834230430778384741149515894926078564392114483917725420191,7690.4018504763425074054567309451467841076913171703964326970158339711746380746679,434268050930.20226095670583489885105290226471105125794361524748844782334328302727,56468838.308326580281755595060015672574081631461424479428745203887155787178777365,18240398523248.978560659019026027489859914738989960810342199918388786152296770553,2.5010344135553511635118874994669957157951937055407470891028645249608241861958389e-74,8.0054815631406785734896984201831706839797519247360854208403012971914970709551612e-81,841456817316.89654562411550316958396247551136297959352166453322085750600483287371,3.4983634475217188319770123116977999843914631913768738404867971808619030167894823e-74,7.1354888564172875744629404123814785003337864287905765724689068939716415853330398e-74,1.1956717978888018676531051055903270876573805759220917522819040573613798762592826e-73,-80,-0.02372523669266676952305160847288048416515562978555063191404569797839617962330076,-0.023725236692666769523051608472880484165155629785550631914045697978396179623300758,-0.023725236692666769523051608472880484165155629785550631914045697978396179623300752,-74048.803660008647696962918237832808671515891929686128277568279689306843866265852,-74048.803660008647696962918237832808671515891929686128277568279689306843866265845,-74048.803660008647696962918237832808671515891929686128277568279689306843866265827
-70,-0.016325811869194930141509813658710079696298178860594419070529327351993717981032994,-50954.469004977936849575077494590034439771292785138499458467127038253720206666518,-70,400679344459.08515999246952274823356278247447475591952637381327031193406785540136,8146.3749622061412890501463362036467533119633446756748698259737408776852515263328,400679336312.7101977863282336980872265788277214439561816981384004859603269777161,49184986.73556957534811848517706077283632073756384921388818667289834737343612859,20962024629977.038180992676007474601271624202323869941700233285879571544898717981,3.7031890764244978553656676787688113360945409562702774578981640480082921651960487e-74,1.185997268613433862739214580767877138367370655516457099383748340324666232734098e-80,1022481607156.0598728737216459917782771075191171244923561395279623244634539006285,-3.3986022066970106614840727815076697437207435184170653588001093062447836430382639e-75,4.8070041924049782641844240567196374489816739424900957594903914267717008719980116e-75,8.4013612720227771132938349077314629205128838618052547701813260975558664604066777e-75,-70,-0.016325811869194930141509813658710079696298178860594419070529327351993717981032982,-0.016325811869194930141509813658710079696298178860594419070529327351993717981032994,-0.016325811869194930141509813658710079696298178860594419070529327351993717981032983,-50954.469004977936849575077494590034439771292785138499458467127038253720206666481,-50954.469004977936849575077494590034439771292785138499458467127038253720206666518,-50954.469004977936849575077494590034439771292785138499458467127038253720206666483
-60,-0.01011627582146650983907694483520068413680900691588159040552945277063768078102591,-31573.894573865512953638529965947475451163349945125227342411697512398255438195577,-60,369715767351.10319720408512451512848258745991833511942285329358030595417334909554,8629.3832643802055074586379826913803263108895893102047509829928805226892573169633,369715758721.71993282387961705649049989607959202422983354308882932296129282640628,42843822.788262442832601234239780445327965100044233028532238501680078810628541459,24090833982815.365344338143598371889725363745541295653753613584951326980882500632,9.3443343766121890846680327155500323359475123943200564585956471547224163310217461e-74,2.9946431032489205034165168164388897743776109051790541759439645593197822376535973e-80,1346122146494.6275087512880558925863661222802022696868011667804526521184027816767,-1.2775915951978966656565299628233771105530455139128812866934815728593906284008336e-73,9.350109880101980612167294559053366254574339415304028844678999709234469382860797e-74,9.7989814448106263998721081586218360787565591219350786857382742631461613686591361e-74,-60,-0.0101162758214665098390769448352006841368090069158815904055294527706376807810259,-0.01011627582146650983907694483520068413680900691588159040552945277063768078102591,-0.01011627582146650983907694483520068413680900691588159040552945277063768078102593,-31573.894573865512953638529965947475451163349945125227342411697512398255438195548,-31573.894573865512953638529965947475451163349945125227342411697512398255438195577,-31573.894573865512953638529965947475451163349945125227342411697512398255438195641
