voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0008819668847144579,-2752.7056326918164,-150,191262474.61085871,319.03789444961535,191262155.57296425,599497.67077297519,1.7112606873150024e+18,3.183231456205249e-12,9.75781955236954e-19,0.0,-213790.45915028229,4.5791503331370194e-12,7.6001566151617794e-12,-150,-0.0008819668847144589,-0.0008819668847144579,-0.0008819668847144587,-2752.7056326918196,-2752.7056326918164,-2752.7056326918187
-140,-0.0008447461087224437,-2636.5359198578144,-140,179601867.6041722,402.9892501833105,179601464.61492202,445674.09061774093,2.1071643994331415e+18,9.549694368615746e-12,3.0357660829594124e-18,0.0,-187842.52710839838,1.1987565823392667e-11,1.9102046333596689e-11,-140,-0.0008447461087224414,-0.0008447461087224437,-0.0008447461087224406,-2636.535919857807,-2636.5359198578144,-2636.535919857805
-130,-0.0008084500544240981,-2523.2523546320167,-130,168669386.49309492,509.03149308789767,168668877.46160182,331353.53859917214,2.167106966063701e+18,1.0459189070388675e-11,3.3610267347050637e-18,0.0,-162911.54169548379,1.3267374425183659e-11,2.0922222288000114e-11,-130,-0.0008084500544241015,-0.0008084500544240981,-0.0008084500544241006,-2523.252354632027,-2523.2523546320167,-2523.2523546320244
-120,-0.0007727301780998884,-2411.7670976900386,-120,158424116.46414062,642.97760011571006,158423473.4865405,246391.34619251225,1.8755498572126863e+18,3.2741809263825417e-11,1.0408340855860843e-17,-2.9103830456733704e-11,-139344.48106419545,4.2238055336626827e-11,6.6533459297524189e-11,-120,-0.0007727301780998988,-0.0007727301780998884,-0.0007727301780998962,-2411.7670976900713,-2411.7670976900386,-2411.767097690063
-110,-0.0007370541165617592,-2300.4185910167266,-110,148828616.52444208,812.17016994893481,148827804.35427213,183248.07045523438,4.1871561903111482e+17,1.318767317570746e-11,4.228388472693467e-18,0.0,-117474.99451105065,1.5561214547493682e-11,2.6639246364368319e-11,-110,-0.0007370541165617634,-0.0007370541165617592,-0.0007370541165617608,-2300.41859101674,-2300.4185910167266,-2300.4185910167316
-100,-0.0007005715723216268,-2186.5529722897218,-100,139848961.47443581,1025.8839263392329,139847935.59050947,136320.4529127123,5.1622928919724954e+18,5.911715561524034e-11,1.8973538018496328e-17,-1.8354564488761747e-10,-97608.288956005708,1.6264085410551527e-10,2.90518969991993e-10,-100,-0.0007005715723216127,-0.0007005715723216268,-0.0007005715723216078,-2186.5529722896777,-2186.5529722897218,-2186.5529722896626
-90,-0.0006618823679891826,-2065.800149778972,-90,131454848.33791266,1295.8341358281752,131453552.50377683,101444.19312885217,8.1410012213735936e+17,8.958522812463343e-11,2.873135757086587e-17,7.2759576141834259e-11,-79997.872169500857,1.2424771120345835e-10,1.8558521386324855e-10,-90,-0.0006618823679891538,-0.0006618823679891826,-0.0006618823679891789,-2065.8001497788823,-2065.800149778972,-2065.8001497789605
-80,-0.0006186471951674529,-1930.8589112592163,-80,123619780.93946667,1617.1593262790157,123618163.78014039,76442.548937900996,3.4056055072634851e+19,8.185452315956354e-12,2.6020852139652106e-18,1.4551915228366852e-11,-64819.508367051363,1.1818164697444766e-11,1.8506973731291509e-11,-80,-0.0006186471951674503,-0.0006186471951674529,-0.0006186471951674529,-1930.8589112592083,-1930.8589112592163,-1930.8589112592165
-70,-0.000566977181233188,-1769.5917017265547,-70,116321350.12210137,1909.9386244810141,116319440.18347688,60903.187480021385,5.2733353573444634e+17,3.228706191293895e-11,1.0408340855860843e-17,-6.1683477770024808e-11,-52150.360832254031,4.1266295735643717e-11,6.7508221235357269e-11,-70,-0.0005669771812331985,-0.000566977181233188,-0.0005669771812331933,-1769.591701726587,-1769.5917017265547,-1769.5917017265708
-60,-0.0005006067236620677,-1562.4429577467781,-60,109541631.88885513,1915.6998816843118,109539716.18897344,57180.998410118656,1.4756939189032138e+17,9.549694368615746e-12,3.144186300207963e-18,-2.9296755993390988e-12,-41961.442208783003,1.3603411141327367e-11,2.0482726625914438e-11,-60,-0.0005006067236620673,-0.0005006067236620677,-0.0005006067236620705,-1562.4429577467772,-1562.4429577467781,-1562.4429577467868
