voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.01477249467518742,-92212.82568781162,-150,3005628627.257278,98588.113336956536,3005530039.1439409,30486.72426649019,9.7801537117518426e+17,2.35741026699543e-09,3.7643499428696714e-16,-7.0297763287568982e-09,-15946236.85790702,3.1413522129984874e-09,4.9054017514649217e-09,-150,-0.014772494675187488,-0.01477249467518742,-0.014772494675187112,-92212.82568781204,-92212.82568781162,-92212.82568780969
-140,-0.014041554253312265,-87650.15139395921,-140,2958130497.4326572,95674.394248823563,2958034823.0384083,30918.727217016389,1.2453954921827786e+18,3.623426891863346e-09,5.811323644522304e-16,-3.6431880181923837e-09,-14043169.490628606,4.3690211926363714e-09,7.2777498472120783e-09,-140,-0.014041554253311684,-0.014041554253312265,-0.014041554253312,-87650.15139395559,-87650.15139395921,-87650.15139395755
-130,-0.013243427937132679,-82668.08949521024,-130,2911404808.8333201,92846.788573729922,2911311962.0447464,31357.086804584142,1.09808596453078e+18,6.83940015733242e-10,1.0928757898653885e-16,1.862645149230957e-09,-12364949.089288248,7.9109108234207956e-10,1.3680536703475354e-09,-130,-0.013243427937132696,-0.013243427937132679,-0.013243427937132788,-82668.08949521034,-82668.08949521024,-82668.08949521092
-120,-0.012351761139437825,-77102.12945966184,-120,2865440939.6320095,90102.751275698844,2865350836.880734,31801.925014079265,2.1352987425799718e+18,2.051820047199726e-09,3.2786273695961654e-16,3.7252902984619141e-09,-10892732.180962855,2.5616693197930156e-09,4.0458185690539494e-09,-120,-0.012351761139437497,-0.012351761139437825,-0.012351761139437766,-77102.12945965979,-77102.12945966184,-77102.12945966146
-110,-0.011332599842207447,-70740.32360928494,-110,2820228581.638588,87439.812535934107,2820141141.8260522,32253.369487492804,4.9292571850461728e+17,1.3969838619232178e-09,2.237793284010081e-16,0.0,-9608820.3385806084,1.8483207720387006e-09,3.010606430819962e-09,-110,-0.01133259984220767,-0.011332599842207447,-0.011332599842207521,-70740.32360928634,-70740.32360928494,-70740.3236092854
-100,-0.010142931695716262,-63314.18037276069,-100,2775757748.1577463,84855.575529816109,2775672892.5822163,32711.554082647344,8.4184460429255949e+17,3.2014213502407074e-09,5.117434254131581e-16,9.2711248708785433e-09,-8496628.3611109219,4.342361431129491e-09,6.305513444715416e-09,-100,-0.01014293169571575,-0.010142931695716262,-0.010142931695716248,-63314.18037275749,-63314.18037276069,-63314.1803727606
-90,-0.00872952665365952,-54491.42730124545,-90,2732018782.8579597,82347.714269598117,2731936435.1436901,33176.619498066524,1.6813248990301302e+18,6.984919309616089e-10,1.1102230246251565e-16,0.0,-7540667.3654048555,9.5900267996465999e-10,1.4769039324846744e-09,-90,-0.008729526653659435,-0.00872952665365952,-0.00872952665365941,-54491.42730124492,-54491.42730124545,-54491.42730124475
-80,-0.007028539445294372,-43873.5296210635,-80,2689002369.7361827,79913.971510860254,2688922455.7646718,33648.713972008627,1.3922357423491269e+18,3.0704541131854057e-09,4.917941054394248e-16,-2.7939677238464355e-09,-6726537.9703533025,3.8106795413564413e-09,6.2140177448100076e-09,-80,-0.007028539445294864,-0.007028539445294372,-0.007028539445294578,-43873.52962106657,-43873.5296210635,-43873.52962106478
-70,-0.004966490408401342,-31001.81278652523,-70,2646699544.2703075,77552.156720837054,2646621992.1135869,34127.994064659979,1.7407942696558746e+18,1.0477378964424133e-09,1.6740081543176188e-16,-1.862645149230957e-09,-6040928.8919551158,1.3793135838388566e-09,2.0668213807084612e-09,-70,-0.004966490408401491,-0.004966490408401342,-0.004966490408401324,-31001.812786526163,-31001.81278652523,-31001.812786525115
-60,-0.002463276659139795,-15376.25879612856,-60,2605101705.8596635,75260.144106790249,2605026445.7155566,34614.625533578022,2.9331929263849069e+17,2.3646862246096134e-09,3.7903707950093235e-16,-2.7939677238464355e-09,-5471616.7209581481,2.8746793441304646e-09,4.6827182131892187e-09,-60,-0.0024632766591399877,-0.002463276659139795,-0.0024632766591396087,-15376.258796129761,-15376.25879612856,-15376.258796127397
-50,0.0005623664270336676,3510.4021662526065,-50,2680026353.138937,73035.870702651664,2679953317.2682343,36694.658766375673,4.5577345945365382e+17,2.270098775625229e-09,3.636414086516382e-16,-9.3132257461547852e-10,-5007463.3644528482,2.8533353491882212e-09,4.4273313903886446e-09,-50,0.0005623664270333972,0.0005623664270336676,0.0005623664270333039,3510.4021662509185,3510.4021662526065,3510.4021662503364
-40,0.004185159087397034,26124.5885605308,-40,2853785049.575685,70877.334512214657,2853714172.2411728,40263.71856695426,1.2923388938386342e+18,1.7549609765410423e-08,2.811119392820416e-15,1.7695128917694092e-08,-4638408.5137465009,2.3880033615209446e-08,3.5028577372031577e-08,-40,0.004185159087399845,0.004185159087397034,0.004185159087397267,26124.58856054835,26124.5885605308,26124.588560532255
-30,0.008464514136387378,52837.166893803864,-30,3045629364.0218115,68782.592707202246,3045560581.4291043,44279.071842880716,1.6305049231203756e+18,2.1624146029353142e-08,3.4642427815256838e-15,-2.3283064365386963e-08,-4355455.4556623437,3.0542891586411113e-08,4.3314962283602654e-08,-30,0.008464514136383924,0.008464514136387378,0.008464514136387389,52837.1668937823,52837.166893803864,52837.16689380392
-20,0.013436901883098895,83875.79202933144,-20,3257280818.6321311,66749.759878590616,3257214068.8722525,48798.390054986172,1.1241527146864498e+18,7.8580342233181e-09,1.259409243559162e-15,-8.8475644588470459e-09,-4150649.4786935202,1.0090150246340449e-08,1.5777516182424733e-08,-20,0.013436901883097907,0.013436901883098895,0.013436901883099166,83875.79202932527,83875.79202933144,83875.79202933313
-10,0.01911193054807502,119300.44037500012,-10,3490627167.85952,64777.006339613676,3490562390.8531804,53886.824432095818,1.6181748003313338e+17,7.159542292356491e-09,1.1483869410966463e-15,-8.8475644588470459e-09,-4017048.9603013075,9.3231020297616073e-09,1.4066841913518147e-08,-10,0.019111930548074047,0.01911193054807502,0.019111930548075196,119300.44037499407,119300.44037500012,119300.44037500123
