voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.21023098434329707,-656151.6365271445,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,19072736871799564.0,2.5029294192790985e-08,8.021361352916756e-15,15875423.136561861,8.3819031715393066e-08,3.4829619612034557e-08,4.9934897106140852e-08,-150,-0.21023098434329685,-0.21023098434329707,-0.21023098434330487,-656151.6365271438,-656151.6365271445,-656151.6365271688
-140,-0.1837302626050483,-573440.2703028973,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,19532003763771880.0,3.480818122625351e-08,1.1157741397482823e-14,13894497.458858598,-2.223532646894455e-08,4.7808745668522669e-08,6.9514499045908451e-08,-140,-0.18373026260504896,-0.1837302626050483,-0.18373026260505945,-573440.2703028994,-573440.2703028973,-573440.2703029321
-130,-0.160498332685587,-500931.1257352903,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,35045603691435144.0,5.238689482212067e-10,1.6653345369377348e-16,12161918.549481967,7.0780515670776367e-08,6.7680095745157194e-10,9.6042640507221222e-10,-130,-0.16049833268558683,-0.160498332685587,-0.16049833268558686,-500931.12573528977,-500931.1257352903,-500931.1257352898
-120,-0.1401120158729063,-437303.42032742297,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,16849181151875730.0,6.9267116487026215e-09,2.220446049250313e-15,10646784.35722588,1.3038516044616699e-08,9.0166759805903127e-09,1.3838871382176876e-08,-120,-0.14011201587290673,-0.1401120158729063,-0.1401120158729045,-437303.42032742425,-437303.42032742297,-437303.4203274173
-110,-0.12219488576830098,-381382.29016323655,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,44900965635083800.0,9.953510016202927e-09,3.1780134079895106e-15,9322109.5883870553,2.2293534129858017e-08,1.3531613163660509e-08,1.9881554180756211e-08,-110,-0.12219488576830076,-0.12219488576830098,-0.1221948857682978,-381382.29016323586,-381382.29016323655,-381382.2901632266
-100,-0.10640836653128659,-332111.00665195566,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,19310541873368184.0,1.0133953765034676e-07,3.247402347028583e-14,8164365.8807769036,-1.3766111806035042e-07,1.4331577311424403e-07,2.0270090317353606e-07,-100,-0.10640836653128659,-0.10640836653128659,-0.10640836653131906,-332111.00665195566,-332111.00665195566,-332111.006652057
-90,-0.09244239302487518,-288521.82592033455,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,79872063263659920.0,4.0978193283081055e-08,1.3128387266192476e-14,7153104.000803398,5.948822945356369e-08,5.7309403374912479e-08,8.2103724707849324e-08,-90,-0.09244239302487552,-0.09244239302487518,-0.09244239302486239,-288521.8259203356,-288521.82592033455,-288521.8259202946
-80,-0.08000502133257445,-249703.56221153075,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,21245938181716516.0,3.818422555923462e-08,1.2226331058684536e-14,6270674.513194954,-2.2293534129858017e-08,5.2357653764709163e-08,7.6373908086679876e-08,-80,-0.08000502133257524,-0.08000502133257445,-0.08000502133258668,-249703.56221153322,-249703.56221153075,-249703.56221156893
-70,-0.06881044919538686,-214764.19848747458,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,14869075282489108.0,2.0023435354232788e-08,6.411537967210279e-15,5502095.6556576928,5.1921233534812927e-08,2.724356442863407e-08,4.0139639168046415e-08,-70,-0.0688104491953863,-0.06881044919538686,-0.06881044919538044,-214764.19848747284,-214764.19848747458,-214764.19848745456
-60,-0.0585655502794114,-182788.85854997317,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,1.000178904126679e+18,2.523302100598812e-08,8.083811398051921e-15,4835192.5701870192,1.4668330550193787e-08,3.424787780816702e-08,5.0302332965657115e-08,-60,-0.05856555027941204,-0.0585655502794114,-0.05856555027940396,-182788.85854997518,-182788.85854997317,-182788.85854994995
-50,-0.04895716313259446,-152800.13462108135,-50,142683434.73031145,47634.372316165412,142635800.3579953,2995.3881575949677,5.7908808860395379e+17,1.8451828509569168e-08,5.9119376061289586e-15,4261308.8504853556,-2.6077032089233398e-08,2.5848987115936521e-08,3.6736309994012117e-08,-50,-0.048957163132594496,-0.04895716313259446,-0.04895716313260037,-152800.13462108147,-152800.13462108135,-152800.1346210998
