voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.10872664687040035,-678693.1764694154,-150,31885611133.55439,236.08460305014023,31885610897.469788,135060104.39309523,2.0935853565349064e+18,8.568167686462402e-08,1.3725132141928498e-14,4263661176.584723,7.4505805969238281e-08,1.0431228603160568e-07,1.6484784737258451e-07,-150,-0.10872664687040393,-0.10872664687040035,-0.1087266468703902,-678693.1764694378,-678693.1764694154,-678693.1764693521
-140,-0.1080300675446308,-674344.9909152985,-140,31035993430.282425,244.6406082012779,31035993185.641815,126863621.12355272,9.4180026497689894e+17,8.195638656616211e-08,1.3128387266192476e-14,3378248186.0028663,7.4505805969238281e-09,9.589005183735678e-08,1.5182160950644175e-07,-140,-0.10803006754464393,-0.1080300675446308,-0.10803006754463998,-674344.9909153804,-674344.9909152985,-674344.9909153557
-130,-0.10708701196964153,-668458.2519952655,-130,30347078657.677887,253.50669382018225,30347078404.171192,119709180.85186233,9.4226440731729562e+17,1.8870923668146133e-07,3.0225821845419887e-14,2665462733.4106555,-9.6857547760009766e-08,2.3669717586298098e-07,3.7467043512151577e-07,-130,-0.10708701196965704,-0.10708701196964153,-0.10708701196967176,-668458.2519953623,-668458.2519952655,-668458.2519954542
-120,-0.1058083011750511,-660476.2869853377,-120,29797560664.093506,262.69409761589992,29797560401.399406,113430643.98676451,7.3670205410191245e+17,1.1175870895385742e-07,1.7916224059888464e-14,2095532074.8170238,0.0,1.6402323952645303e-07,2.5786187052290188e-07,-120,-0.10580830117503319,-0.1058083011750511,-0.1058083011750375,-660476.286985226,-660476.2869853377,-660476.2869852529
-110,-0.10407786242871105,-649674.5469956994,-110,29369042404.834309,272.21446456629246,29369042132.619843,107889352.79992095,5.8458281991290593e+19,1.9941944628953934e-07,3.194666753358888e-14,1642660174.1305401,-1.6391277313232422e-07,2.9425485499641304e-07,4.4045168579032179e-07,-110,-0.10407786242871582,-0.10407786242871105,-0.10407786242874299,-649674.5469957292,-649674.5469956994,-649674.5469958988
-100,-0.10174994780145796,-635143.2447032332,-100,29045639853.210911,282.07986167797424,29045639571.13105,102969562.16736153,4.0859951000393632e+17,2.9569491744041443e-07,4.7378767575878555e-14,1284909054.597424,3.2782554626464844e-07,4.3579865686834125e-07,6.2903973230277188e-07,-100,-0.10174994780146274,-0.10174994780145796,-0.10174994780141536,-635143.244703263,-635143.2447032332,-635143.2447029673
-90,-0.09865128513826031,-615800.7811377048,-90,28813639855.350243,292.30279328116887,28813639563.047451,98574630.546325728,3.4084387817536416e+17,3.2654497772455215e-07,5.230538224765269e-14,1003966300.0603429,-3.5762786865234375e-07,4.3741822223619669e-07,6.7186078922532033e-07,-90,-0.09865128513822212,-0.09865128513826031,-0.09865128513827442,-615800.7811374664,-615800.7811377048,-615800.781137793
-80,-0.09459301321001665,-590468.2472535372,-80,28661204582.293091,302.89621687887148,28661204279.396873,94623844.687220827,5.5485694884541126e+17,5.9476587921381e-07,9.527101330064625e-14,784841547.31752825,2.384185791015625e-07,7.6509071504257662e-07,1.2571699699037708e-06,-80,-0.0945930132099713,-0.09459301321001665,-0.09459301320992138,-590468.247253254,-590468.2472535372,-590468.2472529424
-70,-0.08939827291657061,-558041.6536614895,-70,28578116233.408413,313.8735595704037,28578115919.534855,91049772.629854709,1.4113987191872634e+17,2.157525159418583e-06,3.4564018314142686e-13,615537613.71338165,-1.8775463104248047e-06,2.6763750483576559e-06,4.2556221160339192e-06,-70,-0.08939827291666849,-0.08939827291657061,-0.08939827291691625,-558041.6536621004,-558041.6536614895,-558041.653663647
-60,-0.08294928072815179,-517785.7723355293,-60,28555556509.398849,325.24873507017969,28555556184.150116,87796057.079937145,1.0820258787832718e+17,4.6566128730773926e-07,7.45931094670027e-14,486727168.03521949,4.9173831939697266e-07,7.1192046221326269e-07,1.0732060218288098e-06,-60,-0.08294928072816134,-0.08294928072815179,-0.08294928072808674,-517785.77233558893,-517785.7723355293,-517785.77233512327
