voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.16422077954096934,-1025098.4990072992,-150,1184759357.6126599,10952.356166359352,1184748405.2564936,108173.92528300904,2.1737986185214505e+18,1.0826624929904938e-08,1.7486012637846216e-15,1182455223.7822325,0.0,1.4492847357178323e-08,2.0976585801690817e-08,-150,-0.1642207795409676,-0.16422077954096934,-0.16422077954096923,-1025098.4990072884,-1025098.4990072992,-1025098.4990072986
-140,-0.14823172935749093,-925291.6938669847,-140,1093253549.5495441,11009.456751278618,1093242540.0927927,99301.316517963132,5.0263533568238336e+17,9.546056389808655e-09,1.5265566588595902e-15,1091376727.324414,1.4901161193847656e-08,1.3856020923499391e-08,2.0331754058133811e-08,-140,-0.14823172935749246,-0.14823172935749093,-0.148231729357491,-925291.6938669942,-925291.6938669847,-925291.693866985
-130,-0.13343910261531916,-832953.1998459374,-130,1008816507.0004058,11066.855032579246,1008805440.1453732,91156.566525051036,3.1786845406270682e+17,3.14321368932724e-09,4.996003610813204e-16,1007387925.7241553,0.0,6.0425513831055234e-09,9.746145224198699e-09,-130,-0.13343910261531866,-0.13343910261531916,-0.1334391026153191,-832953.1998459343,-832953.1998459374,-832953.1998459371
-120,-0.11981492041988068,-747908.3671652976,-120,930902153.23124576,11124.552562314262,930891028.6786834,83679.963577572271,1.7722465482999635e+17,2.3283064365386963e-08,3.7192471324942744e-15,929938551.11141026,-1.4901161193847656e-08,3.2295088089951485e-08,4.7099092626012862e-08,-120,-0.11981492041987704,-0.11981492041988068,-0.11981492041988076,-747908.3671652749,-747908.3671652976,-747908.3671652982
-110,-0.10732024375252201,-669914.1307897754,-110,859006597.39005029,11182.550900628383,858995414.83914971,76816.694600672912,84370545512196128.0,1.862645149230957e-09,2.914335439641036e-16,858521989.08796489,-7.4505805969238281e-09,2.3639418959340042e-09,4.2336978367529809e-09,-110,-0.10732024375252172,-0.10732024375252201,-0.1073202437525219,-669914.1307897735,-669914.1307897754,-669914.1307897747
-100,-0.09590724105324834,-598671.9166869435,-100,792664875.52966273,11240.851615800211,792653634.67804694,70516.443292916345,2.1622115513675043e+17,1.6065314412117004e-08,2.581268532253489e-15,792671873.74466312,2.2351741790771484e-08,2.108249489122724e-08,3.0593128030886874e-08,-100,-0.09590724105325092,-0.09590724105324834,-0.09590724105324837,-598671.9166869596,-598671.9166869435,-598671.9166869436
-90,-0.08552124734490785,-533840.4952865659,-90,731447943.39582765,11299.456284284639,731436643.93954337,64733.021217412956,6.6334561711533875e+17,1.5133991837501526e-08,2.4147350785597155e-15,731958898.45376861,0.0,1.8493404059355164e-08,2.8074737201677635e-08,-90,-0.08552124734490567,-0.08552124734490785,-0.08552124734490808,-533840.4952865522,-533840.4952865659,-533840.4952865674
-80,-0.07610272620985024,-475048.2285259067,-80,674959901.5308311,11358.36649075547,674948543.16434038,59424.029157729528,66975955489954840.0,3.14321368932724e-09,4.996003610813204e-16,675987857.65698087,-7.4505805969238281e-09,4.3041763492486727e-09,7.123162504285574e-09,-80,-0.07610272620984997,-0.07610272620985024,-0.07610272620985047,-475048.22852590494,-475048.2285259067,-475048.2285259081
-70,-0.06758906871940538,-421904.2991223807,-70,622835434.74570441,11417.583828148281,622824017.16187632,54550.546255697314,6.9309439841213402e+17,2.852175384759903e-09,4.579669976578771e-16,624394921.65670621,-7.4505805969238281e-09,3.5403853188884321e-09,6.1054379330016673e-09,-70,-0.06758906871940498,-0.06758906871940538,-0.06758906871940544,-421904.29912237823,-421904.2991223807,-421904.2991223811
-60,-0.05991618581016057,-374008.6505003781,-60,574737449.40041399,11477.10989770348,574725972.29051626,50076.844651929008,1.0375495513499013e+17,2.3865140974521637e-09,3.8163916471489756e-16,576845137.15351772,0.0,2.0834586236346488e-09,2.876731741707772e-09,-60,-0.0599161858101602,-0.05991618581016057,-0.05991618581016058,-374008.6505003758,-374008.6505003781,-374008.65050037816
-50,-0.05301987079227082,-330960.4918368965,-50,530354893.21081036,11536.946309009612,530343356.26450133,45970.127536836793,6.1968361319274688e+17,1.2747477740049362e-08,2.0469737016526324e-15,533030140.78607261,-7.4505805969238281e-09,1.7157474073327455e-08,2.5685039872769266e-08,-50,-0.05301987079226897,-0.05301987079227082,-0.053019870792271016,-330960.491836885,-330960.4918368965,-330960.49183689774
-40,-0.04683692557075124,-292365.328156999,-40,489400743.48162949,11597.094680046892,489389146.38694942,42200.288691585527,3.0951348124681421e+17,6.9267116487026215e-09,1.1102230246251565e-15,492666070.38244271,-7.4505805969238281e-09,9.6221795558358471e-09,1.6444118955405429e-08,-40,-0.04683692557075024,-0.04683692557075124,-0.04683692557075135,-292365.3281569928,-292365.328156999,-292365.3281569997
-30,-0.04130605729638976,-257840.55740567893,-30,451610150.75415879,11657.556637230931,451598493.19752157,38739.691755976033,2.0586166973246339e+17,3.6961864680051804e-09,5.898059818321144e-16,455491658.10066098,-7.4505805969238281e-09,7.3408618604851834e-09,1.1238171282457188e-08,-30,-0.041306057296389406,-0.04130605729638976,-0.041306057296389996,-257840.5574056767,-257840.55740567893,-257840.5574056804
-20,-0.03636856156179005,-227019.73509232246,-20,416738725.8623457,11718.333815456739,416727007.52853024,35562.967604887497,45077854242888784.0,1.1525116860866547e-08,1.8457457784393227e-15,421266490.37078047,-1.4901161193847656e-08,1.4506582818522064e-08,2.1316736820153892e-08,-20,-0.036368561561788394,-0.03636856156179005,-0.03636856156179024,-227019.7350923121,-227019.73509232246,-227019.73509232362
-10,-0.03196881427438613,-199555.64465908948,-10,384560959.31864005,11779.427858142919,384549179.89078194,32646.82834767731,50179763783679440.0,2.3952452465891838e-08,3.837208328860697e-15,389769421.0429067,0.0,3.0974224871223019e-08,4.5098659029463306e-08,-10,-0.031968814274389926,-0.03196881427438613,-0.03196881427438609,-199555.64465911314,-199555.64465908948,-199555.6446590892
0,-0.028054597513276897,-175122.33154355118,0,354868762.80672866,11840.840417276104,354856921.9663114,29969.896586813687,65240961932643608.0,2.852175384759903e-09,4.544975507059235e-16,360797126.11744756,-7.4505805969238281e-09,3.7000873592430834e-09,6.8175722844898701e-09,0,-0.028054597513276693,-0.028054597513276897,-0.028054597513277147,-175122.3315435499,-175122.33154355118,-175122.33154355275
10,-0.024577285622291053,-153416.2648083087,10,327470123.34805453,11902.573153455636,327458220.77490109,27512.548683893714,74583310638104224.0,4.103640094399452e-09,6.557254739192331e-16,334162790.80451816,-1.4901161193847656e-08,5.9813250795445044e-09,8.9239620137959719e-09,10,-0.024577285622290397,-0.024577285622291053,-0.024577285622291004,-153416.2648083046,-153416.2648083087,-153416.2648083084
20,-0.021491917107137336,-134156.78593718688,20,302187861.43775815,11964.627735938464,302175896.81002223,25256.770883900434,1.5371505507595139e+17,1.3387762010097504e-09,2.1510571102112408e-16,309694922.52501261,7.4505805969238281e-09,2.2516827821984242e-09,3.7825884646736085e-09,20,-0.021491917107137548,-0.021491917107137336,-0.021491917107137333,-134156.7859371882,-134156.78593718688,-134156.78593718685
30,-0.018757176124475326,-117085.99328636285,30,278858485.11810553,12027.005842684281,278846458.11226285,23186.027242826029,47444965667166656.0,8.381903171539307e-09,1.3426759704060487e-15,287236287.10549283,-3.7252902984619141e-09,9.4238163713023136e-09,1.4854776964057237e-08,30,-0.01875717612447667,-0.018757176124475326,-0.018757176124475583,-117085.99328637123,-117085.99328636285,-117085.99328636445
40,-0.016335304918563474,-101968.19549665091,40,257331132.57796296,12089.709160400889,257319042.86880258,21285.13839032915,53454126781822624.0,6.955815479159355e-09,1.1136924715771102e-15,266642970.33978772,1.4901161193847656e-08,8.0596549384742117e-09,1.2415512173902243e-08,40,-0.016335304918564587,-0.016335304918563474,-0.016335304918563578,-101968.19549665786,-101968.19549665091,-101968.19549665155
50,-0.014191965820537578,-88589.05006577764,50,237466596.43943194,12152.739384589824,237454443.70004734,19540.170238534811,69766057757566720.0,3.6961864680051804e-09,5.915407053080912e-16,247783574.12013268,2.2351741790771484e-08,4.920191495316942e-09,8.7402440840378404e-09,50,-0.014191965820537965,-0.014191965820537578,-0.014191965820537373,-88589.05006578006,-88589.05006577764,-88589.05006577636
60,-0.012296068623970135,-76754.48579257262,60,219136423.42107913,12216.098219592188,219124207.32285953,17938.331821008771,69406415041957936.0,1.7869751900434494e-08,2.8622937353617317e-15,230538566.78679034,-1.4901161193847656e-08,2.5744622872715412e-08,3.8652615330647677e-08,60,-0.012296068623967297,-0.012296068623970135,-0.012296068623970159,-76754.48579255491,-76754.48579257262,-76754.48579257278
70,-0.010619576449359368,-66289.49094481503,70,202222083.55470824,12279.787378634739,202209803.7673296,16467.881512879354,1.9727117279364365e+17,1.996522769331932e-08,3.1970953662252555e-15,214799823.23341066,-1.862645149230957e-08,2.7035592999044038e-08,3.96194081986323e-08,70,-0.010619576449356209,-0.010619576449359368,-0.010619576449359406,-66289.49094479531,-66289.49094481503,-66289.49094481528
80,-0.00913730069637964,-57036.83331073434,80,186614203.58246508,12343.808583876216,186601859.7738812,15118.04094452867,6.421453303525847e+17,3.863533493131399e-09,6.192962809237201e-16,200470414.71348748,1.4901161193847656e-08,1.9507446535568928e-09,3.1450326787307858e-09,80,-0.00913730069638026,-0.00913730069637964,-0.009137300696379719,-57036.833310738206,-57036.83331073434,-57036.83331073483
90,-0.007826693380811912,-48855.763925167994,90,174312112.32160139,12408.16356645391,174299704.15803495,14048.179763914693,1.8193610894135632e+17,7.654307410120964e-09,1.2264494975156026e-15,187464745.74319527,0.0,7.5059261529708572e-09,1.2823875294998288e-08,90,-0.007826693380810826,-0.007826693380811912,-0.007826693380812053,-48855.76392516121,-48855.763925167994,-48855.76392516887
100,-0.0066676430385857535,-41620.743062333044,100,189181753.92082384,12472.854066530475,189169281.06675732,15167.479144045481,50997683906887592.0,8.469214662909508e-09,1.3565537582138631e-15,175709192.24263924,3.7252902984619141e-09,1.7499330012072644e-08,2.8754584491252899e-08,100,-0.006667643038584436,-0.0066676430385857535,-0.0066676430385857926,-41620.74306232482,-41620.743062333044,-41620.74306233329
