voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1520.6705216014484,-3164108451.105802,-150,2881700482539.1523,3182921.0016054665,2881697299618.1509,905363.4950680905,1.0449334633082005e+17,0.00026226043701171875,1.2596501619555056e-10,2138719608014.9683,-0.000244140625,0.00036979930336707352,0.00052395462989807129,-150,-1520.6705216013231,-1520.6705216014484,-1520.670521601449,-3164108451.105541,-3164108451.105802,-3164108451.1058035
-140,-1317.7122660407545,-2741806629.298282,-140,2330987609236.7729,3796954.6181242447,2330983812282.1548,613909.78920583404,13256683878852610.0,0.0006661415100097656,3.2014213502407074e-10,1626058184940.5283,0.000244140625,0.00094164510495617056,0.0013321936130523682,-140,-1317.7122660410741,-1317.7122660407545,-1317.712266040754,-2741806629.2989473,-2741806629.298282,-2741806629.298281
-130,-1116.3973812938955,-2322924222.4175935,-130,2004224914199.5903,4529444.6091571702,2004220384754.9812,442488.00617798755,32829766761617008.0,0.0005292892456054688,2.544311428209767e-10,1235205755588.8389,-0.00048828125,0.000748359461148778,0.0010583400726318359,-130,-1116.3973812936413,-1116.3973812938955,-1116.3973812938957,-2322924222.4170647,-2322924222.4175935,-2322924222.417594
-120,-920.0413990702674,-1914359964.7737565,-120,1772078051481.1938,5403243.0015079081,1772072648238.1924,327965.64044716326,3.0993651930977239e+18,0.00018596649169921875,8.93578544491902e-11,943609649151.04944,0.0001220703125,0.00026215659600000346,0.0003719329833984375,-120,-920.0413990703568,-920.0413990702674,-920.041399070268,-1914359964.7739425,-1914359964.7737565,-1914359964.7737577
-110,-734.2689561303564,-1527817220.4127266,-110,1618453457751.7717,6445610.3236853015,1618447012141.448,251093.90367651251,5.657276025563031e+17,0.0001068115234375,5.1386450650170445e-11,730428091013.06079,0.000244140625,0.00015105430506304421,0.000213623046875,-110,-734.2689561304078,-734.2689561303564,-734.2689561303564,-1527817220.4128335,-1527817220.4127266,-1527817220.4127266
-100,-565.8680357444962,-1177419966.1766462,-100,1531262167210.873,7689066.0725797703,1531254478144.8005,199148.00481056562,1.6397814544472134e+17,0.000133514404296875,6.411937647499144e-11,576839350414.34058,-0.0001220703125,0.0001883153640864623,0.00026702880859375,-100,-565.8680357444321,-565.8680357444962,-565.8680357444958,-1177419966.1765127,-1177419966.1766462,-1177419966.1766455
-90,-420.8319512687886,-875638683.4556566,-90,1501665179597.4814,9172403.2480285298,1501656007194.2334,163715.56493880073,4.1541217319768719e+19,4.410743713378906e-05,2.120259523508139e-11,466881156523.21222,6.103515625e-05,6.2550241744009443e-05,8.9183449745178223e-05,-90,-420.8319512688094,-420.8319512687886,-420.8319512687882,-875638683.4556999,-875638683.4556566,-875638683.4556558
-80,-302.516713565612,-629456332.8456346,-80,1523492582334.1182,10941898.606447628,1523481640435.5117,139234.75597154448,4.2469082445484301e+17,0.0001302957534790039,6.264144758461043e-11,387948061759.51477,-0.0001220703125,0.00018392927188408691,0.00026047602295875549,-80,-302.5167135655496,-302.516713565612,-302.51671356561224,-629456332.8455048,-629456332.8456346,-629456332.845635
-70,-210.89206321707746,-438809952.5948345,-70,1592801854958.7686,13052756.39069986,1592788802202.3779,122028.00751676068,3.4800572635630577e+18,4.470348358154297e-06,2.1600499167107046e-12,330706125710.86255,0.0,6.0787983064905046e-06,8.6463987827301025e-06,-70,-210.89206321707957,-210.89206321707746,-210.8920632170774,-438809952.59483886,-438809952.5948345,-438809952.5948344
-60,-143.10561809493458,-297764498.7410208,-60,1707548429030.3696,15570830.577296805,1707532858199.7922,109663.28485521361,1.6843883361056246e+18,2.849102020263672e-05,1.3670842236024328e-11,288620412631.77332,-6.103515625e-05,3.9961258487871311e-05,5.6985765695571899e-05,-60,-143.1056180949209,-143.10561809493458,-143.10561809493433,-297764498.7409923,-297764498.7410208,-297764498.74102026
