voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.226299322990039e-06,-2.5516007552851416,-150,11913404480595360.0,0.00035031068952158078,11913404480595360.0,3.4008110049012474e+19,42301081802607632.0,0.3501937774429136,1.6830312943906436e-07,93.050247153366143,0.39829000747830812,0.70329801204978992,1.270119159380132,-150,-1.0832771192663008e-06,-1.226299322990039e-06,-1.2515802487053651e-06,-2.2540098195303804,-2.5516007552851416,-2.604203596973294
-140,-8.180909624483051e-07,-1.7022283862844467,-140,10578929006329012.0,0.0003596820493929942,10578929006329012.0,2.9411890374240805e+19,1.1642426525293555e+17,1.4059604978682745,6.757046152754928e-07,82.327108841152295,0.12850297865789687,1.809825700962709,2.681352255007917,-140,-8.797586964448014e-07,-8.180909624483051e-07,-2.0405408116930864e-07,-1.8305424395439063,-1.7022283862844467,-0.4245819416756318
-130,-5.451961102440759e-07,-1.1344072206493465,-130,9393934295121628.0,0.00036930410782561762,9393934295121628.0,2.5436852978514301e+19,31636194746578616.0,0.4667870150455591,2.2433783943089578e-07,72.841959474146591,0.41993132826077195,0.41933680224080894,0.82548003850287155,-130,-7.43558963496316e-07,-5.451961102440759e-07,-5.192211240654202e-07,-1.5471472399007822,-1.1344072206493465,-1.080360224855223
-120,-3.6301679805769534e-07,-0.7553408199286212,-120,8341676316114143.0,0.00037918357139880073,8341676316114143.0,2.1999044645689324e+19,19206472970733464.0,0.6516801635601455,3.1319748660700595e-07,64.451259318965128,0.61421541549617531,0.60565335987707136,1.2038313713906035,-120,-6.522974766028574e-07,-3.6301679805769534e-07,-3.3909998999585147e-07,-1.357256505623923,-0.7553408199286212,-0.7055763420637775
-110,-2.415238255210367e-07,-0.5025464534353656,-110,7407286614700122.0,0.00038932732610339995,7407286614700122.0,1.9025858495051665e+19,14097494103813198.0,0.8351109090018426,4.013543028662856e-07,57.028516628887466,0.74307427337270515,0.74290678495380258,1.4558719920053371,-110,-5.913698651999193e-07,-2.415238255210367e-07,-1.9001556233363368e-07,-1.2304824494380342,-0.5025464534353656,-0.3953715404361916
-100,-1.6381344888088938e-07,-0.340851953559903,-100,6577562220564687.0,0.00039974244214131723,6577562220564687.0,1.6454500516208341e+19,54457625399801800.0,0.8950280388893057,4.3015047549020036e-07,50.44872993630365,0.17081313457883004,1.042899336049623,1.6250233965099503,-100,-8.218942041570119e-08,-1.6381344888088938e-07,-5.123398959059016e-07,-0.17101419146005242,-0.340851953559903,-1.0660422303493582
-90,-1.0675988026581858e-07,-0.22213874379071696,-90,5840779089094610.0,0.00041043617885343426,5840779089094610.0,1.4230663352853058e+19,44547906306733808.0,0.9912371217826244,4.7638856072872924e-07,44.6529194135152,0.18542081287145015,1.0301995846757988,1.7052305115317088,-90,-5.165267721868882e-07,-1.0675988026581858e-07,-4.013821145815893e-08,-1.0747539995565714,-0.22213874379071696,-0.08351687777394701
-80,-7.2694670069653e-08,-0.15125815661600708,-80,5186526440077964.0,0.00042141598977937621,5186526440077964.0,1.230737932557629e+19,92771288917030176.0,0.07153669996926079,3.438053800522673e-08,39.500366379822708,0.079063858174095392,0.10477941836968899,0.17979124717775072,-80,-3.831413206442627e-08,-7.2694670069653e-08,-4.71246594312941e-08,-0.07972145664674629,-0.15125815661600708,-0.0980538065569998
-70,-4.771357426449746e-08,-0.09927918074177583,-70,4605559652891347.0,0.00043268952785263312,4605559652891347.0,1.064402846943854e+19,66477094453640904.0,0.9355315752077052,4.4961647504482313e-07,34.958654995512703,0.097977280344017995,0.68073942151432432,1.0887945767856664,-70,-2.5619927355763523e-07,-4.771357426449746e-08,1.934172014871879e-07,-0.533082133911018,-0.09927918074177583,0.40244944129668725
-60,-3.170713233234824e-08,-0.0659740581197425,-60,4089669639576810.0,0.0004442646507346575,4089669639576810.0,9.2054806359541207e+18,45453255927219488.0,0.7004109879358599,3.366175208019743e-07,30.938163740904994,0.12724426772374417,0.51875002013884863,0.86702719470636425,-60,-2.4005376722028764e-07,-3.170713233234824e-08,9.656375358168664e-08,-0.49948765547292473,-0.0659740581197425,0.20092333246293514
