voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.000124488091797809,-777.0792247054246,-150,97818.025895034574,489.46349696580609,97328.562398068767,199.84743806516821,66733425987706456.0,1.2391865311656147e-11,2.0057740190981832e-18,13162.47479462443,2.4161159576418254e-12,1.2276617894618097e-11,2.4009239041333785e-11,-150,-0.00012448809179781102,-0.000124488091797809,-0.00012448809179780944,-777.079224705437,-777.0792247054246,-777.0792247054274
-140,-0.00011814509709863984,-737.4850006157294,-140,86535.444542485944,506.59399659265824,86028.850545893292,170.81814061066993,52768019590394128.0,6.59383658785373e-12,1.0570971181733668e-18,12017.37658451469,2.6669470721181455e-12,8.4879616309693584e-12,1.3926637620897964e-11,-140,-0.0001181450970986409,-0.00011814509709863984,-0.00011814509709864042,-737.485000615736,-737.4850006157294,-737.485000615733
-130,-0.00011076821697991884,-691.4370597997431,-130,80472.837843414804,524.32403841067435,79948.513805004128,153.4792074140702,43194111203630896.0,3.865352482534945e-12,6.098637220230962e-19,11181.695429636406,2.8823734066175014e-12,4.9308389475161275e-12,7.4322770160506479e-12,-130,-0.00011076821697991881,-0.00011076821697991884,-0.00011076821697991942,-691.4370597997429,-691.4370597997431,-691.4370597997467
-120,-0.00010211783977488805,-637.4396989693387,-120,74881.254037341394,542.67460551123008,74338.579431830163,137.98555023004812,72897134706596080.0,8.526512829121202e-12,1.3688052427629493e-18,10581.299156076369,1.5293612298821332e-12,7.4579914047984309e-12,1.3059775483270641e-11,-120,-0.00010211783977488876,-0.00010211783977488805,-0.00010211783977488739,-637.4396989693431,-637.4396989693387,-637.4396989693346
-110,-9.192810415288036e-05,-573.8333592564318,-110,69724.37574481692,561.66741536291499,69162.708329454006,124.13818896680219,63069505594613040.0,2.2737367544323206e-12,3.6591823321385775e-19,10154.614097655283,1.5986919698821454e-12,3.2651893428941019e-12,4.8459014578838833e-12,-110,-9.192810415288044e-05,-9.192810415288036e-05,-9.192810415288008e-05,-573.8333592564322,-573.8333592564318,-573.83335925643
-100,-7.991728804792239e-05,-498.85947595457174,-100,64968.693645393592,581.32494551364971,64387.368699879946,111.75968646586853,27822343459525668.0,2.7853275241795927e-12,4.472333961502706e-19,9852.5352921625108,3.3032168757117545e-12,3.382064001162579e-12,5.3432813729159534e-12,-100,-7.991728804792269e-05,-7.991728804792239e-05,-7.991728804792224e-05,-498.8594759545736,-498.85947595457174,-498.8594759545708
-90,-6.58060011975905e-05,-410.77403993502185,-90,60583.289632451444,601.67046019234124,59981.619172259103,100.69181327779373,99660765523330960.0,1.9326762412674725e-12,3.1170812458958252e-19,9637.3719434699233,8.4562922523765636e-13,1.7840141966275059e-12,3.3537617127876729e-12,-90,-6.580600119759041e-05,-6.58060011975905e-05,-6.580600119759072e-05,-410.7740399350213,-410.77403993502185,-410.7740399350232
-80,-4.934382506599744e-05,-308.01388930085795,-80,56539.636722913769,622.72803784155451,55916.908685072216,90.793465665825025,90256369668032016.0,6.0254023992456496e-12,9.622294280808852e-19,9481.1304183425109,8.6036615873302434e-13,6.7267647830190142e-12,1.1709744285326451e-11,-80,-4.934382506599648e-05,-4.934382506599744e-05,-4.934382506599693e-05,-308.01388930085193,-308.01388930085795,-308.01388930085477
-70,-3.0342538176434053e-05,-189.40410846712894,-70,52811.414427593088,644.52259961378888,52166.8918279793,81.938809374936994,inf,1.3642420526593924e-12,2.202285662861181e-19,9363.6166627550811,0.0,2.9607728363556398e-12,4.4906300900038332e-12,-70,-3.0342538176434263e-05,-3.0342538176434053e-05,-3.0342538176434273e-05,-189.40410846713024,-189.40410846712894,-189.4041084671303
-60,-8.710619966610865e-06,-54.373408031278814,-60,49374.338387898468,667.07993886508166,48707.258449033383,74.015624681953653,25273225206746180.0,3.637978807091713e-12,5.827586677109586e-19,9270.7325838749748,2.6385552270602053e-12,3.9891770164837786e-12,6.5369931689929217e-12,-60,-8.710619966610428e-06,-8.710619966610865e-06,-8.710619966610282e-06,-54.373408031276085,-54.373408031278814,-54.373408031275176
-50,1.5519336253108086e-05,96.87475813425772,-50,46206.00317689943,690.42675168084349,45515.576425218584,66.923830897935147,35058769543145584.0,4.092726157978177e-12,6.572975670693371e-19,9193.1361204356417,1.7713645993504577e-12,5.5088282531804532e-12,9.3223206931725144e-12,-50,1.5519336253108377e-05,1.5519336253108086e-05,1.5519336253108743e-05,96.87475813425954,96.87475813425772,96.87475813426181
-40,4.2179352155121325e-05,263.29183617429044,-40,43285.737247878438,706.77048357823389,42578.966764300203,61.244404306093308,21720579353466196.0,3.410605131648481e-12,5.488773498207866e-19,9125.2473037984219,2.670996308435689e-12,4.3215954539728526e-12,6.4801497501321137e-12,-40,4.2179352155121874e-05,4.2179352155121325e-05,4.2179352155121765e-05,263.29183617429385,263.29183617429044,263.29183617429317
-30,7.097679236708024e-05,443.0511383712874,-30,40594.469092064333,694.16242779157369,39900.306664272757,58.479784365760949,inf,4.547473508864641e-13,8.131516293641283e-20,9064.4549489966957,0.0,1.652374732401385e-12,2.5579538487363607e-12,-30,7.097679236708019e-05,7.097679236708024e-05,7.097679236708016e-05,443.05113837128704,443.0511383712874,443.0511383712869
-20,0.00010152637797797805,633.7476777651564,-20,38114.603739729566,596.39898863601206,37518.204751093552,63.907894657734353,14260812995910796.0,3.069544618483633e-12,4.87890977618477e-19,9010.3392080860303,3.585631165383385e-12,2.5630016165440553e-12,4.6043169277254492e-12,-20,0.00010152637797797854,0.00010152637797797805,0.00010152637797797818,633.7476777651594,633.7476777651564,633.7476777651573
