voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.16422077954096934,-1025098.4990072992,-150,1184759357.6126599,10952.356166359352,1184748405.2564936,108173.92528300904,2.1737986185214505e+18,2.2118911147117615e-09,3.608224830031759e-16,3952246.9153610133,7.7085302170109289e-10,2.7288447813944285e-09,4.5645265345228836e-09,-150,-0.16422077954096953,-0.16422077954096934,-0.16422077954096917,-1025098.4990073005,-1025098.4990072992,-1025098.4990072983
-140,-0.14823172935749115,-925291.693866986,-140,1093253549.5495441,11009.456751278618,1093242540.0927927,99301.316517963132,5.0263533568238336e+17,1.4435499906539917e-08,2.3037127760972e-15,3833256.6509890733,3.0765253496958483e-09,1.4087584090597474e-08,2.2865606297273189e-08,-140,-0.14823172935749276,-0.14823172935749115,-0.14823172935749046,-925291.6938669961,-925291.693866986,-925291.6938669817
-130,-0.13343910261531922,-832953.1998459378,-130,1008816507.0004058,11066.855032579246,1008805440.1453732,91156.566525051036,3.1786845406270682e+17,2.1187588572502136e-08,3.3861802251067274e-15,3727680.2667045966,4.489545746835738e-09,3.0359044747440727e-08,4.4561602408066392e-08,-130,-0.13343910261531583,-0.13343910261531922,-0.133439102615319,-832953.1998459166,-832953.1998459378,-832953.1998459363
-120,-0.11981492041988082,-747908.3671652986,-120,930902153.23124576,11124.552562314262,930891028.6786834,83679.963577572271,1.7722465482999635e+17,1.0011717677116394e-08,1.609823385706477e-15,3632979.3295688448,7.4315743199444966e-09,9.5313042187529145e-09,1.5667865227442235e-08,-120,-0.11981492041988182,-0.11981492041988082,-0.1198149204198802,-747908.3671653047,-747908.3671652986,-747908.3671652947
-110,-0.10732024375252161,-669914.1307897728,-110,859006597.39005029,11182.550900628383,858995414.83914971,76816.694600672912,84370545512196128.0,2.2817403078079224e-08,3.649858193455202e-15,3547088.7149949442,1.4407715401690618e-08,1.8321918308378118e-08,3.1041963666211814e-08,-110,-0.10732024375251993,-0.10732024375252161,-0.10732024375252358,-669914.1307897624,-669914.1307897728,-669914.1307897852
-100,-0.09590724105324851,-598671.9166869445,-100,792664875.52966273,11240.851615800211,792653634.67804694,70516.443292916345,2.1622115513675043e+17,1.594889909029007e-08,2.55351295663786e-15,3468331.1322350162,5.1892479168270628e-09,1.3532758689458111e-08,2.1995674615027383e-08,-100,-0.09590724105325033,-0.09590724105324851,-0.09590724105324777,-598671.9166869558,-598671.9166869445,-598671.9166869399
-90,-0.0855212473449078,-533840.4952865656,-90,731447943.39582765,11299.456284284639,731436643.93954337,64733.021217412956,6.6334561711533875e+17,4.6566128730773926e-09,7.355227538141662e-16,3395340.0468357168,1.5614510718787882e-09,2.7268939968200827e-09,4.5665728976018727e-09,-90,-0.08552124734490746,-0.0855212473449078,-0.0855212473449082,-533840.4952865634,-533840.4952865656,-533840.4952865681
-80,-0.07610272620985055,-475048.22852590855,-80,674959901.5308311,11358.36649075547,674948543.16434038,59424.029157729528,66975955489954840.0,2.4330802261829376e-08,3.899658373995862e-15,3326990.7480628239,1.427849558790065e-08,2.1318241694002751e-08,3.6526216717902571e-08,-80,-0.07610272620985266,-0.07610272620985055,-0.07610272620984876,-475048.2285259217,-475048.22852590855,-475048.2285258974
-70,-0.06758906871940533,-421904.2991223803,-70,622835434.74570441,11417.583828148281,622824017.16187632,54550.546255697314,6.9309439841213402e+17,2.6193447411060333e-09,4.163336342344337e-16,3262338.4297432182,1.274192419829158e-09,4.3414982993220633e-09,7.5165189628023654e-09,-70,-0.06758906871940558,-0.06758906871940533,-0.06758906871940575,-421904.29912238196,-421904.2991223803,-421904.29912238294
-60,-0.05991618581016037,-374008.6505003769,-60,574737449.40041399,11477.10989770348,574725972.29051626,50076.844651929008,1.0375495513499013e+17,1.7404090613126755e-08,2.7824964554667986e-15,3200561.5454744301,7.8627139730113404e-09,1.6872947625358322e-08,2.8599515644600615e-08,-60,-0.059916185810159006,-0.05991618581016037,-0.05991618581016179,-374008.6505003683,-374008.6505003769,-374008.65050038573
