voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-102.75931038978337,-320721942.53989816,-150,12391391507.803862,957.41630595484958,12391390550.387556,12942532.345368497,40954976075456168.0,1.1324882507324219e-06,3.552713678800501e-13,537068396.18151593,4.3839433267534889e-07,8.9206757998322698e-07,1.5463447198271751e-06,-150,-102.75931038978355,-102.75931038978337,-102.7593103897832,-320721942.53989875,-320721942.53989816,-320721942.5398976
-140,-93.62567940344161,-292214979.4114907,-140,11378364750.782463,1358.0950635870322,11378363392.687399,8378179.8902424853,14168093567203352.0,5.364418029785156e-07,1.7053025658242404e-13,511400692.88332707,1.1645644896836757e-06,7.6904835678066054e-07,1.3813842087984085e-06,-140,-93.6256794034415,-93.62567940344161,-93.62567940344144,-292214979.4114903,-292214979.4114907,-292214979.41149014
-130,-84.3688794266102,-263323593.71601188,-130,10448737643.601599,1926.457895345734,10448735717.143703,5423807.9476563921,67599819260658744.0,8.642673492431641e-07,2.8421709430404007e-13,486915632.50803274,2.245324078132788e-07,1.1196852523943033e-06,1.8682330846786499e-06,-130,-84.36887942661006,-84.3688794266102,-84.36887942660992,-263323593.71601143,-263323593.71601188,-263323593.71601102
-120,-75.0821883593345,-234338914.9791963,-120,9595692282.081089,2732.6805921359423,9595689549.4004974,3511457.6909190905,2.4620054271241162e+17,9.834766387939453e-07,3.126388037344441e-13,463644338.24324548,5.6812796079267264e-08,1.0323072342383992e-06,1.9801664166152477e-06,-120,-75.08218835933418,-75.0821883593345,-75.08218835933442,-234338914.97919533,-234338914.9791963,-234338914.9791961
-110,-65.89830847870323,-205675120.09582782,-110,8812972079.3587322,3876.3075158184429,8812968203.0512161,2273548.2268614499,45006280744449064.0,5.662441253662109e-07,1.8474111129762605e-13,441701313.4823941,2.8728013859445374e-07,8.6028802635220543e-07,1.4454708434641361e-06,-110,-65.89830847870321,-65.89830847870323,-65.8983084787034,-205675120.0958278,-205675120.09582782,-205675120.09582835
-100,-56.98033045287839,-177841231.12633705,-100,8094835879.826601,5498.5423471851773,8094830381.2842541,1472178.5099955669,25896697935410988.0,1.4901161193847656e-07,4.973799150320701e-14,421224395.88901317,4.6408806266019286e-07,1.7723027034369236e-06,3.5316916182637215e-06,-100,-56.98033045287834,-56.98033045287839,-56.98033045287835,-177841231.1263369,-177841231.12633705,-177841231.12633693
-90,-48.50476894611565,-151388167.74692774,-90,7436015850.9870548,7799.6825123935232,7436008051.3045425,953374.17121419881,13806480302391084.0,2.086162567138672e-07,7.105427357601002e-14,402285684.13048398,8.1775412527923728e-07,3.2556104132935095e-07,4.9883965402841568e-07,-90,-48.50476894611562,-48.50476894611565,-48.504768946115576,-151388167.74692765,-151388167.74692774,-151388167.74692753
-80,-40.63945134229796,-126839735.77496243,-80,6831678844.404727,11063.849917474967,6831667780.5548096,617477.54130452615,23201924716234840.0,2.2351741790771484e-07,7.105427357601002e-14,384835665.0126183,4.6659121407321473e-07,7.7483575537065482e-07,1.5217810869216919e-06,-80,-40.63945134229803,-40.63945134229796,-40.63945134229797,-126839735.77496265,-126839735.77496243,-126839735.77496244
-70,-33.52139798817397,-104623589.22651052,-70,6277390942.3578835,15694.071496103325,6277375248.2863874,399984.85695165175,47275743204096912.0,1.430511474609375e-06,4.618527782440651e-13,368718278.58890802,2.27705967732756e-07,1.3238748146015783e-06,2.6312191039323807e-06,-70,-33.52139798817351,-33.52139798817397,-33.52139798817393,-104623589.2265091,-104623589.22651052,-104623589.2265104
-60,-27.240326551319413,-85019745.79063487,-60,7006456034.2661438,22262.040967834768,7006433772.2251759,314726.58074744348,11837579994466272.0,6.407499313354492e-07,2.0605739337042905e-13,353731147.19377482,9.4902002520101918e-07,9.391080078939632e-07,1.5677069313824177e-06,-60,-27.24032655131925,-27.240326551319413,-27.240326551319455,-85019745.79063436,-85019745.79063487,-85019745.790635
