voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1520.6705216013412180537071824664852560833662147763210002133228502004569589998047,-3164108451.1055788829670798154952268466518981224687160280754178844241684816777829,-150,2881700482539.1521930696049245262234736247135439431683562563148856171007079871405,3182921.0016054663223032641083667818577122254312441811750982170007488248061687094,2881697299618.1505876032826212621151068428558317177371120751397874000999591623343,905363.49506809047170665194714931415146949649632460354154246475569556169580319179,5763400965078.304386139209849052446947249427087886336712512629771234201415974281,0.0,0.0,2138719608014.9681272246836797277432317080579661315192189092324529272039690519822,-1.6457633354333360948981100489683694948191308939493010620239464593849491787833773e-72,5.2623938414950712157025401754844281677947371162014049961773269039784018772709756e-72,7.9091763679860671768386235519896731403397065772032670336743379712613736757128542e-72,-150,-1520.6705216013412180537071824664852560833662147763210002133228502004569589998047,-1520.6705216013412180537071824664852560833662147763210002133228502004569589998047,-1520.6705216013412180537071824664852560833662147763210002133228502004569589998047,-3164108451.1055788829670798154952268466518981224687160280754178844241684816777829,-3164108451.1055788829670798154952268466518981224687160280754178844241684816777829,-3164108451.1055788829670798154952268466518981224687160280754178844241684816777829
-140,-1317.7122660410108215528827631989711130415577943727695235212025186017039629475437,-2741806629.298815679513182134379498629009366764213042214927956979646069985812642,-140,1826589357199.5664846046048053185922807620643676009566359251802530731134540573185,3796954.6181242441311039829408466824491678926714655152056082074566093747288638503,1826585560244.9483603604737013356514340796151997082851704099746448656568446825897,481066.94467207791632893692093869578777477858452792704388726823666923166464107767,4661975218473.5451380574152411313593982562971462186473076622383804001493914833509,0.0,0.0,1626058184940.5282986159931941713662445024699343895789960120566017827443444892978,-3.5539579729543372791487533218440904190930626515978982360015074259789129982168589e-72,5.6791318236561042265568158993995936770481942900943918269446517621973126537927993e-72,7.4110417818249051472283531107308888597184118042665894500980082029374699162391727e-72,-140,-1317.7122660410108215528827631989711130415577943727695235212025186017039629475437,-1317.7122660410108215528827631989711130415577943727695235212025186017039629475437,-1317.7122660410108215528827631989711130415577943727695235212025186017039629475437,-2741806629.298815679513182134379498629009366764213042214927956979646069985812642,-2741806629.298815679513182134379498629009366764213042214927956979646069985812642,-2741806629.298815679513182134379498629009366764213042214927956979646069985812642
-130,-1116.3973812937085424645610641337709947733703637954460526737539371865702671939444,-2322924222.4172046138142704381417265295673427317956332826244168084599904275056087,-130,1157860263683.7011075152637392637624521268316684005843476550456227320939598869015,4529444.6091571695928397071271512261241532288509059485527980991090239964985109618,1157855734239.091950345670899556635300900707515171733441706492824632984935890403,255629.63312165407742593495014220313656904999710383886104766610727914580902810428,4008449828399.1804298470885505356997269796060779486509602087368807310125388652594,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,1235205755588.8387705422873992252458576867758089077963245115391140316876910176412,-2.5877121288993585970987612499084790636281592353234459931250347708113715861337601e-72,6.0045629007065625898008835265178620407128315939814244841744262048894418409111275e-72,9.2237739043350606409748404087203762712116023877783982457302644030471479569941598e-72,-130,-1116.3973812937085424645610641337709947733703637954460526737539371865702671939444,-1116.3973812937085424645610641337709947733703637954460526737539371865702671939444,-1116.3973812937085424645610641337709947733703637954460526737539371865702671939444,-2322924222.4172046138142704381417265295673427317956332826244168084599904275056087,-2322924222.4172046138142704381417265295673427317956332826244168084599904275056087,-2322924222.4172046138142704381417265295673427317956332826244168084599904275056087
-120,-920.04139907032602351205785608699649643940373279535743856938253750478514138699868,-1914359964.7738785254630876106948320017723622482722448116095309957365488904496397,-120,734027215191.31934862961161717267650099356255040372208750286701822379647433877218,5403243.001507908117433171130919662118497342196321747813701443182731329650653711,734021811948.31784072149418400154558133144405306152576575505331678061374300912152,135849.38063797444697884979081803201018208419680949627759417422549450398444314276,3544156102962.3873730462015859568773940744800409499971085876241114106096271774616,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,943609649151.0492410688980616803610847898305185265383846347703571589635048968267,1.1220853706915242619643915196380967094694483441631992461523287432913669297869179e-72,2.0411881795053651684526033757398080621408482900210133729008897548413364505948412e-72,3.268828786874649390687282655754833407763324389716352235126086463835378908359264e-72,-120,-920.04139907032602351205785608699649643940373279535743856938253750478514138699868,-920.04139907032602351205785608699649643940373279535743856938253750478514138699868,-920.04139907032602351205785608699649643940373279535743856938253750478514138699868,-1914359964.7738785254630876106948320017723622482722448116095309957365488904496397,-1914359964.7738785254630876106948320017723622482722448116095309957365488904496397,-1914359964.7738785254630876106948320017723622482722448116095309957365488904496397
-110,-734.26895613038527665141577846898849512265867734339424070092747786303371456499444,-1527817220.4127866694128629717377095843780605600634140997082049898655608051627252,-110,465414647452.60346718487232349501676488675106816669425960510215988332813361591514,6445610.3236853015266500800578682397466094403844389390441439451898407037149694277,465408201842.27978188334567341495889664700445872630982066605801593813829291220017,72206.451225009972717580998238640407173157062379747446689889964035127517009499726,3236906915503.5431263189061338588462281349473035903343966478556274531741996632425,0.0,0.0,730428091013.06089894819779871519379439518750392489692102504657510281718424711256,2.6213885982996820372140607856739735092432394813695538837521414205025605671016982e-72,2.6546816167296401505855605234276536623720743862228754704054646485777538100134933e-72,4.2333323542493262431513024231456836681886844340781129699144522106261215044512942e-72,-110,-734.26895613038527665141577846898849512265867734339424070092747786303371456499444,-734.26895613038527665141577846898849512265867734339424070092747786303371456499444,-734.26895613038527665141577846898849512265867734339424070092747786303371456499444,-1527817220.4127866694128629717377095843780605600634140997082049898655608051627252,-1527817220.4127866694128629717377095843780605600634140997082049898655608051627252,-1527817220.4127866694128629717377095843780605600634140997082049898655608051627252
-100,-565.86803574446582361967027515250693995961582084547062750391654764380173615304571,-1177419966.1765830650273842258733783025524916463252657093584307328968480028852503,-100,295185184750.28016638014413036556412975799184359291945543609612762995958174575206,7689066.0725797696628179488116754948124630474523531137754733775209061893443782291,295177495684.20758661048131241675245426317938054546710232232065425243867555640768,38390.252075339776437666736775076531430412537290314148624638754606208084875425726,3062524334421.7458036006888040577082891180448668594237475961546049596498998913301,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,576839350414.34052169371507001479670606575329655125818475864708599802161081284626,-4.4752514801589799901180312590398428447403608964754140797337585766212931188905219e-72,4.4497565715593233564458718795326662810900603449982399456820774056279875270545568e-72,4.7784743982354093692755942821863717077667915100290978347584287850295695700471349e-72,-100,-565.8680357444658236196702751525069399596158208454706275039165476438017361530457,-565.86803574446582361967027515250693995961582084547062750391654764380173615304571,-565.86803574446582361967027515250693995961582084547062750391654764380173615304571,-1177419966.1765830650273842258733783025524916463252657093584307328968480028852503,-1177419966.1765830650273842258733783025524916463252657093584307328968480028852503,-1177419966.1765830650273842258733783025524916463252657093584307328968480028852503
-90,-420.83195126879628370607701487325290612803899723265435421592093588262987386665759,-875638683.4556726629143547572268550551917003166760819813464030982261220010223503,-90,187314778718.01645513299029221547936012205902946689434132426886204311796239352479,9172403.248028527863527504806648064817076174515725786532941360352500401130942696,187305606314.76842660512676471067271205724195329237861553773592068276546199239385,20421.559503315228828070915240294530510819506706172135712210188050473741290077245,3003330359194.9628622639477749027276214277805990355907828206130384652442336547951,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,466881156523.21244201871663763217641425541210770697548220014440564585810976668003,-2.9972299983827805367118189464127458577378140125108743956954388811841457946188081e-72,3.3677704228541862246952649594477546721753289824710278074239760543721041140906686e-72,3.8724639759492275936419093969217352104903346891627749637053748209951716726158254e-72,-90,-420.83195126879628370607701487325290612803899723265435421592093588262987386665759,-420.83195126879628370607701487325290612803899723265435421592093588262987386665759,-420.83195126879628370607701487325290612803899723265435421592093588262987386665759,-875638683.4556726629143547572268550551917003166760819813464030982261220010223503,-875638683.4556726629143547572268550551917003166760819813464030982261220010223503,-875638683.4556726629143547572268550551917003166760819813464030982261220010223503
-80,-302.51671356559383475349805431266047233927368904111249299619610360125521797588646,-629456332.84559682351413005909753463690310994641571280812312066660468424391219941,-80,118971188544.40199113727233746451009190850176440948721957920909473793590274995836,10941898.606447626511666612828768083539060236002789279052783525380955919899311454,118960246645.79554351076067085168132382496270417348443030015631121255494683005905,10872.993145293540946587491796210617008140245991944383692462113631469307655798582,3046985164668.2365667428858477438886749025943404943117383400077708726244778290105,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,387948061759.51472846022577822443397618789704294275363603832585599254485903814018,5.673180087921744684834657535722296232012079851901609831960055406773780786045553e-74,1.3696386846939495906547861810955774016419496109311902832984164437094063661683952e-72,2.2638231587457387625197712496489156896557231618858458177454648444880419968530824e-72,-80,-302.51671356559383475349805431266047233927368904111249299619610360125521797588645,-302.51671356559383475349805431266047233927368904111249299619610360125521797588646,-302.51671356559383475349805431266047233927368904111249299619610360125521797588645,-629456332.84559682351413005909753463690310994641571280812312066660468424391219941,-629456332.84559682351413005909753463690310994641571280812312066660468424391219941,-629456332.84559682351413005909753463690310994641571280812312066660468424391219941
-70,-210.89206321707787498252717780363983749276080454280363091860691766389275214745951,-438809952.59483536002007484267039719025137602388023677091265371316781518773433696,-70,75683360350.874440456958619583259568182130774787873967671112371417483878654902979,13052756.390699859011612419354191287098361422058237740256385781925772570504479281,75670307594.483740597947007163905376895032413365815729930855985635558106084398499,5798.266518235116727129939693037842617403570016950236216049712367139789907057299,3185603709917.5374906245036520884282287102364376222145404307368944344545053169825,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,330706125710.86268589696899174046067044754418523676870699953311927469956928814582,1.850900810985034231748160226338676654700471925668364245783450666823831446184586e-72,1.7010549299667632092093732414885611133638477790514100565855433621564029437913594e-72,2.2413829840218200869006390407227191750547798477988525793686471130183097862467242e-72,-70,-210.89206321707787498252717780363983749276080454280363091860691766389275214745951,-210.89206321707787498252717780363983749276080454280363091860691766389275214745951,-210.89206321707787498252717780363983749276080454280363091860691766389275214745951,-438809952.59483536002007484267039719025137602388023677091265371316781518773433696,-438809952.59483536002007484267039719025137602388023677091265371316781518773433696,-438809952.59483536002007484267039719025137602388023677091265371316781518773433696
-60,-143.10561809493219459362556029855829842650135761761069432685855501687955174804496,-297764498.74101580096611185060825198795235200091639565055857323330381785631279311,-60,48279717605.877334324104817746826594723303858391143646056679566493014436325247182,15570830.577296802275499122865799442772211861557831920484653517768583015217876135,48264146775.300037521829318623960795280531646529585814136194912975245853310029305,3100.6513985369564100093355861884396707113260276277843207894099880921846402465269,3415096858060.7388066981373600075042131847322454933153008178868861762221132827556,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,288620412631.77328691107658960044871948042779448802790945736466459254043196723677,-1.2583062211735687307038586091432566807732836929740609044593437970383038345988904e-72,1.7092623868534296396888876630084566607566203566479019866030591507128329018548562e-72,2.1237443139338794691323721435637824815449529468607947327921110073557451737837845e-72,-60,-143.10561809493219459362556029855829842650135761761069432685855501687955174804496,-143.10561809493219459362556029855829842650135761761069432685855501687955174804496,-143.10561809493219459362556029855829842650135761761069432685855501687955174804496,-297764498.74101580096611185060825198795235200091639565055857323330381785631279311,-297764498.74101580096611185060825198795235200091639565055857323330381785631279311,-297764498.74101580096611185060825198795235200091639565055857323330381785631279311
