voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.368501034777901e-05,-41.6664465556583,-106.18005998478498,-150,9320730995.9234352,16.967672009107311,9320730978.9557629,549322911.88329077,1.5911962397711638e+17,2.3176511376732378e-08,9.015138857648708e-09,2.2828215554861198e-15,-4.8415358833153732e-08,-329.95216048922754,2.9004218816646761e-08,4.8012895368621205e-08,-150,-2.3685010347761992e-05,-2.368501034777901e-05,-2.3685010350044814e-05,-41.666446555640505,-41.6664465556583,-41.666446578817016,-106.18005998469653,-106.18005998478498,-106.18005997576984
-140,-2.5597796134564248e-05,-39.9168347361318,-119.86965798898837,-140,9005903382.9057255,16.585185996988312,9005903366.3205395,543008886.63781631,7.7853702332925645e+17,3.810550452953976e-08,1.5971636457834393e-08,8.652231492031759e-15,7.6737535437132465e-08,-323.16648384659624,6.7451115107994643e-08,1.0813517723712676e-07,-140,-2.559779613463945e-05,-2.5597796134564248e-05,-2.559779612598722e-05,-39.91683473666944,-39.9168347361318,-39.91683469856394,-119.86965798892015,-119.86965798898837,-119.86965797301673
-130,-2.7867895621205267e-05,-38.22775992246624,-135.72914158318463,-130,8701783073.1051559,16.21132200145404,8701783056.8938332,536771959.2717157,7.2871220281844032e+17,2.3969967344328325e-08,1.3801582099404186e-09,4.061089301215376e-15,4.8917229378275806e-08,-316.57060288788057,3.4968786324147854e-08,5.1126980599568313e-08,-130,-2.7867895621216997e-05,-2.7867895621205267e-05,-2.7867895617155908e-05,-38.22775992246761,-38.22775992246624,-38.227759898497645,-135.72914158325648,-135.72914158318463,-135.72914158187632
-120,-3.054951430450978e-05,-36.597637685679004,-154.0984565996505,-120,8408018923.7847757,15.845885664625685,8408018907.9388905,530612116.08732074,1.8501773241043914e+17,1.13799458745234e-08,2.0495463104452938e-09,2.145981688791293e-15,2.2516815079143271e-08,-310.15814412690582,1.7642075113092988e-08,2.6997355672831044e-08,-120,-3.054951430454086e-05,-3.054951430450978e-05,-3.0549514302394876e-05,-36.59763768564517,-36.597637685679004,-36.59763767429906,-154.09845659987832,-154.0984565996505,-154.09845659782877
-110,-3.370247084515963e-05,-35.02490258711428,-175.35256835645396,-110,8124273612.9870749,15.488687009848341,8124273597.4983883,524529523.24631059,3.7301570345692486e+17,2.9233575560283498e-09,2.355591277591884e-10,5.047503214006266e-16,5.1023221203649882e-09,-303.92290391910035,3.6656024063256493e-09,6.3099092322281601e-09,-110,-3.37024708452462e-05,-3.370247084515963e-05,-3.370247084474145e-05,-35.02490258766284,-35.02490258711428,-35.02490258473948,-175.35256835644577,-175.35256835645396,-175.3525683562184
-100,-3.7391063853942745e-05,-33.508004866557194,-199.89439122546992,-100,7850223519.1424322,15.139540342929248,7850223504.0028915,518524561.59996897,9.1759527930992883e+17,2.991473024849256e-08,1.0083567758556455e-08,6.399564309467892e-15,-6.158671794764814e-08,-297.85885051268963,5.1084380934345684e-08,8.0699761540893437e-08,-100,-3.739106385398027e-05,-3.7391063853942745e-05,-3.739106386034231e-05,-33.508004866842384,-33.508004866557194,-33.508004896471924,-199.89439122541899,-199.89439122546992,-199.89439123550255
-90,-4.168130877303574e-05,-32.04540641512845,-228.13754472741675,-90,7585558666.5816174,14.798264155602336,7585558651.7833529,512597868.6973142,2.231888035331576e+17,2.768963014432302e-08,7.17773218639195e-09,3.3265084480385565e-15,-5.5781780750498017e-08,-291.96013227733823,3.5218058910341285e-08,5.696376069509756e-08,-90,-4.168130877315181e-05,-4.168130877303574e-05,-4.168130877636225e-05,-32.045406415600155,-32.04540641512845,-32.04540644281808,-228.1375447276696,-228.13754472741675,-228.13754472049186
-80,-4.6635256786445186e-05,-30.635575745440665,-260.4708960800599,-80,7329982745.7433014,14.464681031168894,7329982731.2786207,506750389.44505256,2.1687804771622881e+18,1.4471925879888659e-08,1.6189005691558123e-09,2.0590557796122677e-15,2.9559885206253966e-08,-286.22109695429594,1.981013874299833e-08,3.1507453136287887e-08,-80,-4.6635256786334834e-05,-4.6635256786445186e-05,-4.663525678438613e-05,-30.635575744641756,-30.635575745440665,-30.63557573096874,-260.47089608016995,-260.4708960800599,-260.4708960816788
-70,-5.230018553317239e-05,-29.276981798999422,-297.19109269021646,-70,7083213218.5341616,14.138617552265272,7083213204.3955441,500983437.19604313,1.0984531646513504e+17,1.551804018617986e-09,2.0116203813813627e-08,3.43595188108739e-15,-2.609965576994e-09,-280.63632805424561,2.9166349236679796e-08,4.322685368378658e-08,-70,-5.230018553325395e-05,-5.230018553317239e-05,-5.230018553660834e-05,-29.276981799728674,-29.276981798999422,-29.276981800551226,-297.19109268999637,-297.19109269021646,-297.19109271011257
-60,-5.868889804099124e-05,-27.968086409076346,-338.3795917494208,-60,6844981521.2592821,13.819904210709696,6844981507.4393778,495298767.40786546,2.7344121632266608e+17,9.550163326821348e-09,5.326000973582268e-09,6.767115622204056e-16,1.8567009265550649e-08,-275.20070973855007,1.1052250033529118e-08,1.8382027870125425e-08,-60,-5.8688898041017267e-05,-5.868889804099124e-05,-5.8688898040340555e-05,-27.968086409580792,-27.968086409076346,-27.96808640003063,-338.3795917490788,-338.3795917494208,-338.3795917544048
