voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0039108809372050648092039549259238088194279781920646534936077184745180474464318579,-19496.096403866135480266895010058293808446264679158748639885073279126343331741112,-2458.1969204298068131027738445571900917045657111137614583405596663571036826475341,-150,1503199833.6010224169902463198213220982986883015687813305912741985800494518816968,319.03789444961534445278615045452408338958223511389685064683692092011756385460674,1503199514.5631279673749018670351716437746049119865462166944235517431285317641329,4711665.4784669100152192112529647831563300080737816795102300543606826450930574759,3006399667.2020448339804926396426441965973766031375626611825483971600989037633936,9.5066943454479646436252961305706798478844932011714585486340927799615858569211997e-74,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,1.5236770464825365597691298433476199347080803560454483568471766872226614795542231e-80,223513.47849936478630487420952695121962628390441750492685756810285900105444121059,-1.4741811437555679766622144108876202992480399972464464959091921255903109743600272e-74,2.8125543049281227997850620796057767432424843514222750406885908420474136504295849e-74,4.8252904549881141313825129605409822883019797444399797505055268156103269032610207e-74,-150,-0.0039108809372050648092039549259238088194279781920646534936077184745180474464318712,-0.0039108809372050648092039549259238088194279781920646534936077184745180474464318579,-0.0039108809372050648092039549259238088194279781920646534936077184745180474464318731,-19496.096403866135480266895010058293808446264679158748639885073279126343331741195,-19496.096403866135480266895010058293808446264679158748639885073279126343331741112,-19496.096403866135480266895010058293808446264679158748639885073279126343331741207,-2458.1969204298068131027738445571900917045657111137614583405596663571036826475341,-2458.1969204298068131027738445571900917045657111137614583405596663571036826475341,-2458.1969204298068131027738445571900917045657111137614583405596663571036826475341
-140,-0.0034094191470856041661916899225624463543271997989442492466092366024896287594517768,-16708.724366931647224389773384678691350503872109845090212984898121498396348884739,-2286.7712344043522258236061518930712408315853211463722821179569110790729218254987,-140,1715764135.6112568579032268608572678426491176889995047976219918137663568956906074,402.98925018331048357641995730186789224229598240677451110974844778002140506724178,1715763732.6220066745927432844373105407812254467035223908474807040179091156692023,4257592.8137805052128254833755047120970097100037146402593199391968393203608110455,3431528271.2225137158064537217145356852982353779990095952439836275327137913812148,2.7463016005200333908728598923705270636148881158907374804375377035136121934056518e-74,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,4.4021912505130583307924318987529884059538862178718494418098158882189868152526066e-81,203983.07200274877677718478776091486530961810839793686593441815949457477633195705,3.4458282831393697406253342858700414952899396241612710866496691129466382709638568e-74,3.0970250152339403788258141927485255405630649104653978431429483230634897600778963e-74,4.7672163562148910392970193877705629353711173064844765475096036419729941409261668e-74,-140,-0.003409419147085604166191689922562446354327199798944249246609236602489628759451777,-0.0034094191470856041661916899225624463543271997989442492466092366024896287594517768,-0.0034094191470856041661916899225624463543271997989442492466092366024896287594517726,-16708.72436693164722438977338467869135050387210984509021298489812149839634888474,-16708.724366931647224389773384678691350503872109845090212984898121498396348884739,-16708.724366931647224389773384678691350503872109845090212984898121498396348884713,-2286.7712344043522258236061518930712408315853211463722821179569110790729218254987,-2286.7712344043522258236061518930712408315853211463722821179569110790729218254987,-2286.7712344043522258236061518930712408315853211463722821179569110790729218254987
-130,-0.0027974744498699824165697751098529084588003255618252110430807452547925895403446832,-13239.104753912186370952750173962948051400379951280106430289995607037708804516896,-2111.6412868078973199917693869320323115351175715651864173767576925764569148726889,-130,1958545808.3507579473833143528323893438856760656945958963072377431771365448157413,509.03149308789769819245725688073508584280261210734166124377931544047916573233329,1958545299.3192648594856161603751324631505902228919837889655764993978211043365755,3847592.6046732110813627359166606718563804562298501750494851786092789705193768894,3917091616.7015158947666287056647786877713521313891917926144754863542730896314825,2.6903392282830213897003563322995804743940564335291903770625841050269197185211593e-73,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,4.3103588231169486948928329919782534747539127261426237705728103743674588395929873e-80,183315.12647714059200154294977530563601878418506823199477966581393915684320871258,3.5032484030159825475998375165625162998738497787147830336665524193725767078183633e-73,3.4237872323333769139042171909884988747050865110791697619086690744559045999104781e-73,5.6838707302238163151933052022704976487885498013680803181447118946688850688290432e-73,-130,-0.0027974744498699824165697751098529084588003255618252110430807452547925895403447182,-0.0027974744498699824165697751098529084588003255618252110430807452547925895403446832,-0.0027974744498699824165697751098529084588003255618252110430807452547925895403446751,-13239.104753912186370952750173962948051400379951280106430289995607037708804517114,-13239.104753912186370952750173962948051400379951280106430289995607037708804516896,-13239.104753912186370952750173962948051400379951280106430289995607037708804516845,-2111.6412868078973199917693869320323115351175715651864173767576925764569148726889,-2111.6412868078973199917693869320323115351175715651864173767576925764569148726889,-2111.6412868078973199917693869320323115351175715651864173767576925764569148726889
-120,-0.002047065579972232080530081755144085491369946426996705419756981407253847346996422,-8912.5871854541504467534773675196293971413108338366963980542375299531023519724251,-1932.7999777230876479940789805617542957093537221395158598274800618261521460453875,-120,2235835479.697445050775694034215383090595811001127124452706580687338538525730271,642.97760011571005252881821672199542780849926775649726102838560884836576908038177,2235834836.7198449350656415053971663686003831926278566962093196589529296773645019,3477314.7296190174910482794514754800410310190059964951924010753310300433587715801,4471670959.394890101551388068430766181191622002254248905413161374677077051460542,3.4534310818111665167994943828966237804978662257307802002432785436510164902485913e-73,1.2954252832641666938079527794200599356674000546654422077535555205252887704743641e-77,5.5330067017673949235291969122212490385777750442774713844861259377091026052136598e-80,161650.50301129285035240073842359888025947975093502619199847941816917410397806649,4.2238460031025964960284998881963955886797034670529985144328987486082512974060014e-73,3.1799847204439600391434674960447489935284754995901307235525175901388112065190817e-73,3.9589257121951807961321380893162151092738430882340773996627356011742114913481322e-73,-120,-0.0020470655799722320805300817551440854913699464269967054197569814072538473469964774,-0.002047065579972232080530081755144085491369946426996705419756981407253847346996422,-0.0020470655799722320805300817551440854913699464269967054197569814072538473469964273,-8912.5871854541504467534773675196293971413108338366963980542375299531023519727705,-8912.5871854541504467534773675196293971413108338366963980542375299531023519724251,-8912.5871854541504467534773675196293971413108338366963980542375299531023519724583,-1932.7999777230876479940789805617542957093537221395158598274800618261521460453875,-1932.7999777230876479940789805617542957093537221395158598274800618261521460453875,-1932.7999777230876479940789805617542957093537221395158598274800618261521460453875
-110,-0.0011273824433024888825363819342728908496587956683633046858722901856284472239037674,-3535.9582039516318610368336520890150790700216101709964511285986432262799746439213,-1750.692693599992245241346191778716994548639063506092708158765615273063555544998,-110,2552533166.933262526070514065703460133755025820749424426470935278634672788180429,812.17016994893487911563765554618364000959585667690912833863474423705694541615626,2552532354.7630925771356349500658045875713858111535677495618069399999285511234836,3142855.1076848252159599450677267353342900046890207243529484618609896585624260949,5105066333.8665250521410281314069202675100516414988488529418705572693455763608581,1.42600415181719469654379441958560197718267398017571878229511391699423787853818e-73,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-77,2.2844860582059112338700669745867355642683988581519256107053277492885715021154196e-80,139386.57651921189744255844867823982050675943710259205545327000913618474340234683,7.1388816944344053164111549157247133761142680182986970411719611336317804041537721e-74,8.8828886353084518074335489994975717297378070353394465123946721735161953076310343e-74,1.5387359446426521436272253144032489795875163629588246638173950375811729045879062e-73,-110,-0.0011273824433024888825363819342728908496587956683633046858722901856284472239037526,-0.0011273824433024888825363819342728908496587956683633046858722901856284472239037674,-0.0011273824433024888825363819342728908496587956683633046858722901856284472239037445,-3535.9582039516318610368336520890150790700216101709964511285986432262799746438289,-3535.9582039516318610368336520890150790700216101709964511285986432262799746439213,-3535.9582039516318610368336520890150790700216101709964511285986432262799746437787,-1750.692693599992245241346191778716994548639063506092708158765615273063555544998,-1750.692693599992245241346191778716994548639063506092708158765615273063555544998,-1750.692693599992245241346191778716994548639063506092708158765615273063555544998
-100,-0.0000065378519243527036205971109635371965693282226545186151906261692460784906073111715,3091.3960480384505032681839923689380900933731548796995590911194982917405016620113,-1566.1033046819989843151629861405892776405120945956746400708882052308927705810361,-100,2914234822.3234896378319747689914490639841625084089566230767019833202408869186414,1025.8839263392327838138972675750174684244877101124736101777846388982852710804979,2914233796.4395632985991909550941814889666940839212465106030918055356019886333704,2840706.1924857851493012331073469895647245994929469516066386401793929736367704252,5828469644.6469792756639495379828981279683250168179132461534039666404817738372829,5.0528494982146576614210467478872577810685494932243795127496684263262396921942728e-73,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-77,8.0952549675010009978220417460885169395922820646328172429464322479521836121829505e-80,117208.26613216553781753246846175307027715485039864163505358933124649116817078976,-1.8450092736682825030880596183482540227001742258005266352517727273517480231245431e-73,5.4720043994274633297217344915257554827010247386946079966017142974307820123632243e-73,8.7864750681379503204189685792496526055567634704968846050540993427337014546041917e-73,-100,-0.000006537851924352703620597110963537196569328222654518615190626169246078490607230219,-0.0000065378519243527036205971109635371965693282226545186151906261692460784906073111715,-0.0000065378519243527036205971109635371965693282226545186151906261692460784906072503418,3091.3960480384505032681839923689380900933731548796995590911194982917405016625166,3091.3960480384505032681839923689380900933731548796995590911194982917405016620113,3091.396048038450503268183992368938090093373154879699559091119498291740501662391,-1566.1033046819989843151629861405892776405120945956746400708882052308927705810361,-1566.1033046819989843151629861405892776405120945956746400708882052308927705810361,-1566.1033046819989843151629861405892776405120945956746400708882052308927705810361
-90,0.0013458538196464058188168736871949200424737783467529442479853462834222114007076066,11160.604046680000359908172143653798663001211470862521610411896470458428296544406,-1379.7595150803064008177064394477422424257929694219236298623001424581104017586569,-90,3327331170.0620042605404276725616007349955373356342409979111321051285011608195204,1295.8341358281754217605015433314057206754073602456651984949604926209725860598039,3327329874.2278684323650059120600574035898166602268807522459336101680085398469343,2567713.7822391804920112262297126464566823865275281506748274521937906684621836468,6654662340.1240085210808553451232014699910746712684819958222642102570023216390407,2.3573285687985796049454586044699970669318234594765273668560700992172188185912161e-73,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,3.7762482476337460143467353144588310273711072607937193060239487086031907479762772e-80,96018.051268596304303055407362354399777064353267879035990005460013939007537799041,-3.6031323745171530312435807427334923249091354666851787183662656023996349680001212e-73,3.2843280167224689356226431888619706368506088806537101079431208823921572274591984e-73,5.590914317160784779213680725217683037069738106466441085117184570843866903707478e-73,-90,0.0013458538196464058188168736871949200424737783467529442479853462834222114007076183,0.0013458538196464058188168736871949200424737783467529442479853462834222114007076066,0.0013458538196464058188168736871949200424737783467529442479853462834222114007075806,11160.604046680000359908172143653798663001211470862521610411896470458428296544479,11160.604046680000359908172143653798663001211470862521610411896470458428296544406,11160.604046680000359908172143653798663001211470862521610411896470458428296544243,-1379.7595150803064008177064394477422424257929694219236298623001424581104017586569,-1379.7595150803064008177064394477422424257929694219236298623001424581104017586569,-1379.7595150803064008177064394477422424257929694219236298623001424581104017586569
-80,0.0029554040560500399479454824512181625526932279306861016783794856777059665910040974,20831.180195930146773755995347230100736668110857820073182355327071389664625306921,-1191.4825572346111605691890064869730240937050053295413432747885261609349232692296,-80,3799120580.2207636498097580355763053700034881516139381220356003351788611641745946,1617.1593262790158877672890254328023225924173787111473700835287405447846571247505,3799118963.0614373707938702682872799372011655591965594108882302516501206193899375,2349255.5856956323281745886803634761147807112914119880438197135459167370472823443,7598241160.4415272996195160711526107400069763032278762440712006703577223283491893,4.7264023268320876545814426474734026772803646794486880763957724351538669220347331e-73,1.5113294971415278094426115759900699249453000637763492423791481072795035655534247e-77,7.5722631164110492597391242052637933403816706991793795637042932228784592664981226e-80,76752.756138024130077136891488574200514317620897168934494601953257991592947966823,-7.0798067157502063282713743019083400008077611958817965939568391996244765130941564e-73,4.7682402559964333641426398753053229923795957738101461562192383374899401123963112e-73,6.7374580898847180244116235133218464677233428240525006276355926097634380802135029e-73,-80,0.0029554040560500399479454824512181625526932279306861016783794856777059665910041731,0.0029554040560500399479454824512181625526932279306861016783794856777059665910040974,0.0029554040560500399479454824512181625526932279306861016783794856777059665910041011,20831.180195930146773755995347230100736668110857820073182355327071389664625307394,20831.180195930146773755995347230100736668110857820073182355327071389664625306921,20831.180195930146773755995347230100736668110857820073182355327071389664625306944,-1191.4825572346111605691890064869730240937050053295413432747885261609349232692295,-1191.4825572346111605691890064869730240937050053295413432747885261609349232692296,-1191.4825572346111605691890064869730240937050053295413432747885261609349232692295
-70,0.0048392078929833938449811920012182492232294901613435999149786994036792074020325007,32204.583506113665505548374013090597657550726447383826141187322379928001416487203,-998.6466438702095019906149465388558077105378704629377293927737591652557968679913,-70,4337937973.260090301561741662632120028090516271461177904067710712598134527888677,1909.9386244810144113199330666626548917620880461193543050454663518935222977851803,4337936063.3214658205473303426990533654356245093731317847134056671317826343663792,2271244.6974252031621651932548379906198658703185233271243445040405372260106270091,8675875946.520180603123483325264240056181032542922355808135421425196269055777354,6.1890238333228827963368751989572783486445705011696166917633868548616196298183217e-73,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,9.9162549403512109079028774669758616291271824252903774142918958454923482236934301e-80,60157.502090900501850485824685358992311871531439758234435774966307999942377895903,2.954504709128387550373805045764993662725278653364027156131320615568143247058849e-73,2.8624403364551262840435282359027001778149603020652599690734849756053001472885266e-73,4.943275635366145024880414965432892499645853190049069380587289528375559248985313e-73,-70,0.0048392078929833938449811920012182492232294901613435999149786994036792074020324015,0.0048392078929833938449811920012182492232294901613435999149786994036792074020325007,0.0048392078929833938449811920012182492232294901613435999149786994036792074020324307,32204.583506113665505548374013090597657550726447383826141187322379928001416486584,32204.583506113665505548374013090597657550726447383826141187322379928001416487203,32204.583506113665505548374013090597657550726447383826141187322379928001416486766,-998.64664387020950199061494653885580771053787046293772939277375916525579686799132,-998.6466438702095019906149465388558077105378704629377293927737591652557968679913,-998.6466438702095019906149465388558077105378704629377293927737591652557968679913
-60,0.0070019911521843488224378977944349810087388232229721419081862090531841995346688848,45295.163310868578109983258255930886322412440511846798283655892815999928948087764,-793.67668606990336113028867962832395151482419055714653997685496047462991838496311,-60,4953302031.784414267852690226676922550997758748031487989363833076028657337417816,1915.699881684311988251232194387960814294699391416908633882631865056413537953923,4953300116.084532583540701975444728163036944453332096572455199193396792281004278,2585635.7142066517419022283668368230858560935824634669947850357357936449757702511,9906604063.5688285357053804533538451019955174960629759787276661520573146748356319,3.3660330560336107371905845020450837368381723020426850326268386645329103412005876e-73,3.0226589942830556188852231519801398498906001275526984847582962145590071311068495e-77,5.3921695261195496523289151807550636283966497789348921039343058222955484900764856e-80,46632.692555068342732865291444133668670534148534831072714504696743683070037427314,-4.8623179212145279010722920656001429976195980226893993950533258695683425547826064e-73,3.3066251261859921005275557234927691419324097392786560337383138947089728889042026e-73,4.9795194151791521084113134061236077264916887581478703842458227330598037422397432e-73,-60,0.0070019911521843488224378977944349810087388232229721419081862090531841995346689387,0.0070019911521843488224378977944349810087388232229721419081862090531841995346688848,0.0070019911521843488224378977944349810087388232229721419081862090531841995346688908,45295.163310868578109983258255930886322412440511846798283655892815999928948088101,45295.163310868578109983258255930886322412440511846798283655892815999928948087764,45295.163310868578109983258255930886322412440511846798283655892815999928948087802,-793.67668606990336113028867962832395151482419055714653997685496047462991838496309,-793.67668606990336113028867962832395151482419055714653997685496047462991838496311,-793.67668606990336113028867962832395151482419055714653997685496047462991838496312
-50,0.0094334133049131513886823503706173999584184743161297247441621202664774160504158856,60006.29700253505567835530880202870611949714395244374177142426195222977098689037,-560.5351900529464863691606417208297604057185713199572220138474439151026010467036,-50,5656083319.5664731666535254751987869017048290643461396627654948672727437609809682,1837.6416348555818533091212117518693157398209805481683132482447230553637444720369,5656081481.9248383110716721660775751498355133245251591145971816190280207056172237,3077903.3366921827836319579323760842218285989914748358921269578047884186746245524,11312166639.132946333307050950397573803409658128692279325530989734545487521961936,4.8714899585576743242879333587684493900751134855712176036641706534526992643278619e-73,2.2669942457122917141639173639851048874179500956645238635687221609192553483301371e-77,7.8045209148478467245255537273308359466452807858846857456669439395253730704085501e-80,36221.42053840422989956216167399950544192377145834690340461454739937112205367195,-7.9375364827943180554102912737209338252023164592756836426642907391360967312418419e-73,6.1657604597243869655160864547996773747428699657617572215074223677882822673225567e-73,1.0212814290472953498199210636516937612633265957946972688856482726120107767054681e-72,-50,0.0094334133049131513886823503706173999584184743161297247441621202664774160504159479,0.0094334133049131513886823503706173999584184743161297247441621202664774160504158856,0.0094334133049131513886823503706173999584184743161297247441621202664774160504158699,60006.297002535055678355308802028706119497143952443741771424261952229770986890759,60006.29700253505567835530880202870611949714395244374177142426195222977098689037,60006.297002535055678355308802028706119497143952443741771424261952229770986890271,-560.53519005294648636916064172082976040571857131995722201384744391510260104670358,-560.5351900529464863691606417208297604057185713199572220138474439151026010467036,-560.53519005294648636916064172082976040571857131995722201384744391510260104670359
-40,0.012111012108057390076080998873818159141004205885525745444359130915730905517278723,76142.003679340879884272529970704966952510047670092698238327215048342184355018403,-271.3385810643516519918055181766411185173203090645642119341026678428794667163663,-40,6458696277.1223517553213594142543832523909206924164219894250773069018661376964184,1762.7639957808271596551816126000285750262724765349806504555791890503752923586253,6458694514.358355974494199759072770652362345666143945454444426851322677087321126,3663959.7204056987184753477554324458179291741000252163846589542547256373003898318,12917392554.244703510642718828508766504781841384832843978850154613803732275392837,3.5954096928569191864408460075210623494470132717221126662130682287005881394925816e-73,8.9600248759104862988383400576554145550328503781026419369620923502999139957810181e-77,5.7636172817755626190618219695927807043714304495167824871440770038833432615786233e-80,28711.01999028075484804985850574312399595191944995218699657373589302497487538831,5.8410205274777223786990811657821541774457255988305549133826442809800073508801008e-73,4.2247899909301053709052340569002733226139538188502706920486584147139355131145743e-73,6.7314344286097099849827960627522523724214324235371787061561847411753110628772119e-73,-40,0.01211101210805739007608099887381815914100420588552574544435913091573090551727868,0.012111012108057390076080998873818159141004205885525745444359130915730905517278723,0.012111012108057390076080998873818159141004205885525745444359130915730905517278738,76142.003679340879884272529970704966952510047670092698238327215048342184355018136,76142.003679340879884272529970704966952510047670092698238327215048342184355018403,76142.003679340879884272529970704966952510047670092698238327215048342184355018496,-271.33858106435165199180551817664111851732030906456421193410266784287946671636639,-271.3385810643516519918055181766411185173203090645642119341026678428794667163663,-271.33858106435165199180551817664111851732030906456421193410266784287946671636632
-30,0.015018478095106499036147854768392321079187341896370343391120096573115838830628416,93522.519582169300160973096857181202271490857555254950483452532239306489057453789,112.89156692564890568775626294393148093809805702847812083013227316319472041913705,-30,7375318484.8219165210690228382979426975169559730125280520245190420224884493291946,1690.9373655246933240199827439046055462393236844723267393955373626779502457059251,7375316793.8845509963756988183151987929114097336888435796977796464851257713789489,4361674.5570782126512546900213911464840510732792998607273254928306586490495446036,14750636969.643833042138045676595885395033911946025056104049038084044976898658389,3.4862485223205254063759625199752652988681070271156380695063686168376571391006086e-73,7.5566474857076390472130578799503496247265003188817462118957405363975178277671237e-77,5.5873649099121773089047442471731100740862795326553090015412144033073164742139726e-80,23772.040269993192936433006375398557126809174397697826829758592577716205701028398,-5.2822008394242807002526271605481519033409953184616433698284902186057363246628573e-73,4.800041074451532206398834274159552860787818311291757213895696167529430386159888e-73,8.2467012969120575059442638779321653153218947912965919571930238541139399745758058e-73,-30,0.015018478095106499036147854768392321079187341896370343391120096573115838830628472,0.015018478095106499036147854768392321079187341896370343391120096573115838830628416,0.015018478095106499036147854768392321079187341896370343391120096573115838830628419,93522.519582169300160973096857181202271490857555254950483452532239306489057454138,93522.519582169300160973096857181202271490857555254950483452532239306489057453789,93522.519582169300160973096857181202271490857555254950483452532239306489057453812,112.89156692564890568775626294393148093809805702847812083013227316319472041913713,112.89156692564890568775626294393148093809805702847812083013227316319472041913705,112.89156692564890568775626294393148093809805702847812083013227316319472041913706
