voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.003910880937180011,-19496.096404016018,-2458.1969202766704,-150,1503199833.6010225,319.03789444961535,1503199514.563128,4711665.4784669103,2.0031511280262134e+17,1.4136458048596978e-07,1.6238891475950368e-07,4.497357347643671e-14,-6.460626423721848e-08,-220563.33112466222,2.3229143426181514e-07,4.7286656368328295e-07,-150,-0.003910880937206893,-0.003910880937180011,-0.0039108809371619195,-19496.096403874653,-19496.096404016018,-19496.096403918695,-2458.1969204312545,-2458.1969202766704,-2458.1969202688656
-140,-0.0034094191471089647,-16708.72436697781,-2286.7712344541806,-140,1715764135.6112568,402.9892501833105,1715763732.6220067,4257592.8137805052,3.8921086560269856e+17,4.9898517318069935e-08,5.038418748881668e-08,2.4137376125610288e-14,-1.1706015008346895e-08,-194273.22533489097,1.3023054644946032e-07,2.2558197798616675e-07,-140,-0.0034094191470848273,-0.0034094191471089647,-0.0034094191471081723,-16708.724366927912,-16708.72436697781,-16708.724366974377,-2286.7712344037964,-2286.7712344541806,-2286.7712344534248
-130,-0.002797474449875176,-13239.104753956199,-2111.6412868021016,-130,1958545808.3507581,509.03149308789767,1958545299.3192649,3847592.6046732115,7.6412194150117079e+18,4.419780452735722e-08,3.176228347001597e-08,9.395262345890387e-15,2.3182631588774462e-08,-168821.10941020187,7.7969368361467869e-08,1.660982320572657e-07,-130,-0.0027974744498699524,-0.002797474449875176,-0.0027974744498793476,-13239.104753912,-13239.104753956199,-13239.104753918713,-2111.641286807897,-2111.6412868021016,-2111.641286833864
-120,-0.002047065579826017,-8912.587185233831,-1932.7999773768959,-120,2235835479.6974449,642.97760011571006,2235834836.7198448,3477314.7296190173,4.5201445285333549e+19,2.2440508473664522e-07,3.504244432406267e-07,1.4822604949005225e-13,-4.7598625361172611e-07,-144590.80335167365,6.3468474671653003e-07,1.3134524330382646e-06,-120,-0.002047065579974243,-0.002047065579826017,-0.0020470655798942765,-8912.587185458236,-8912.587185233831,-8912.587185449025,-1932.7999777273203,-1932.7999773768959,-1932.7999774823422
-110,-0.0011273824434947744,-3535.9582040309906,-1750.6926941604547,-110,2552533166.9332628,812.17016994893481,2552532354.763093,3142855.107684826,2.2017267948406166e+17,1.589651219546795e-07,5.689216777682304e-07,1.91700388202376e-13,4.6232610694795882e-07,-121953.76689735529,7.4941781926173712e-07,1.2164383242918575e-06,-110,-0.001127382443303074,-0.0011273824434947744,-0.0011273824434633907,-3535.9582039722027,-3535.9582040309906,-3535.9582038720255,-1750.692693591533,-1750.6926941604547,-1750.6926941419863
-100,-6.537851935224334e-06,3091.3960478007793,-1566.1033045970948,-100,2914234822.3234892,1025.8839263392329,2914233796.4395628,2840706.1924857846,1.5040746086557722e+17,2.523811417631805e-07,9.880864126898814e-08,2.1694668631000447e-14,1.931201615735916e-07,-101254.29965290886,2.872645505580822e-07,5.2051632337679621e-07,-100,-6.537851922492439e-06,-6.537851935224334e-06,-6.537851913529665e-06,3091.3960480531605,3091.3960478007793,3091.3960479114903,-1566.1033046835478,-1566.1033045970948,-1566.1033045847391
-90,0.0013458538196201714,11160.604046583176,-1379.7595151137743,-90,3327331170.0620046,1295.8341358281752,3327329874.2278686,2567713.782239181,2.2214649150645498e+17,2.1059531718492508e-07,4.072603587701451e-08,3.165198138310732e-14,7.496817401272165e-08,-82786.494605242711,2.4465799761164943e-07,4.4523373077254291e-07,-90,0.00134585381964447,0.0013458538196201714,0.0013458538196518233,11160.604046666418,11160.604046583176,11160.604046793771,-1379.759515079557,-1379.7595151137743,-1379.7595151202831
-80,0.0029554040560614077,20831.18019592762,-1191.4825571978681,-80,3799120580.2207637,1617.1593262790157,3799118963.0614376,2349255.5856956327,3.0374382120712614e+17,6.693881005048752e-08,3.812033355643507e-08,1.946619948567374e-14,-9.6241810230710236e-08,-66767.66745188697,1.2725304262048996e-07,2.4317832014730811e-07,-80,0.0029554040560514387,0.0029554040560614077,0.002955404056070905,20831.180195941633,20831.18019592762,20831.18019599456,-1191.4825572359885,-1191.4825571978681,-1191.4825572016962
-70,0.004839207892810223,32204.583505749702,-998.646644228711,-70,4337937973.2600899,1909.9386244810141,4337936063.3214655,2271244.6974252034,7.8746360729349338e+17,1.9976869225502014e-07,3.777598749366007e-07,1.3556950700932546e-13,6.7883315900302472e-07,-53316.146416725416,5.1681807787939564e-07,9.7426152478874428e-07,-70,0.004839207892945793,0.004839207892810223,0.004839207892844066,32204.583505840434,32204.583505749702,32204.58350594947,-998.6466438509511,-998.646644228711,-998.6466442229694
-60,0.007001991151994904,45295.16331064701,-793.676686550396,-60,4953302031.7844143,1915.6998816843118,4953300116.0845327,2585635.7142066523,2.5203578200633814e+17,4.313187673687935e-07,5.209417395235505e-07,1.1337111804898825e-13,3.6163152275283992e-07,-42442.072025168767,7.2160932975019714e-07,1.2870243608631426e-06,-60,0.007001991152092716,0.007001991151994904,0.007001991151979345,45295.16331021569,45295.16331064701,45295.16331054154,-793.6766860294542,-793.676686550396,-793.6766865462205
