voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-178.86228447416562,-372139454.28758776,-75298.02466240607,-150,6913944595536.6514,98588.113336956536,6913944496948.5381,70129596.373408884,5.4022392108489974e+18,0.00012820959091186523,3.527384251356125e-07,6.16751094639767e-11,0.00010060665784837783,-18867240.150326986,0.00017092393246488917,0.00028806043915530211,-150,-178.86228447412492,-178.86228447416562,-178.86228447410394,-372139454.2875031,-372139454.28758776,-372139454.28745955,-75298.02466243369,-75298.02466240607,-75298.02466208095
-140,-156.8533374616617,-326346677.3692273,-69440.1873350179,-140,6592873711689.7314,95674.394248823563,6592873616015.3369,68909489.978514284,7.3775998185785334e+18,0.00028401613235473633,5.97545295022428e-06,1.3747580851486418e-10,-0.00040280899793287972,-16587945.739355706,0.00036535409476449191,0.00058008150278254789,-140,-156.85333746179919,-156.8533374616617,-156.85333746176903,-326346677.3695113,-326346677.3692273,-326346677.3694497,-69440.18734099335,-69440.1873350179,-69440.18733781404
-130,-136.44472008413808,-283883842.3102301,-63330.02397956659,-130,6287707539178.5996,92846.788573729922,6287707446331.8115,67721324.945832789,4.1636938420188406e+18,0.0010720491409301758,1.3322249287739396e-05,5.13836084792274e-10,-0.0014495072346107918,-14562521.906898921,0.0013810599543083017,0.0021493200526805367,-130,-136.44472008465192,-136.44472008413808,-136.44472008454338,-283883842.3113021,-283883842.3102301,-283883842.31107175,-63330.02397090439,-63330.02397956659,-63330.02398422664
-120,-117.4850410898972,-244435956.6379622,-56930.896957315636,-120,5997949043693.1914,90102.751275698844,5997948953590.4404,66567878.991180904,2.927087223354924e+18,0.0010425448417663574,2.803483948810026e-05,4.965556854585884e-10,-0.0015113629451661836,-12773929.230636431,0.0013360121915254239,0.0021054551358190565,-120,-117.48504109039375,-117.4850410898972,-117.48504109028251,-244435956.63900474,-244435956.6379622,-244435956.6387649,-56930.896929280796,-56930.896957315636,-56930.89695439713
-110,-99.8397936178966,-207723157.56168768,-50212.81990949823,-110,5723196431636.4609,87439.812535934107,5723196344196.6484,65452981.492663503,5.6700514892275743e+18,0.001066744327545166,2.1693980670534074e-05,5.092175570098334e-10,0.0015037632872463291,-11206023.007873468,0.0013832810409806695,0.00217202286079754,-110,-99.83979361738739,-99.8397936178966,-99.83979361748894,-207723157.56062093,-207723157.56168768,-207723157.5608363,-50212.81993119221,-50212.81990949823,-50212.819918959896
-100,-83.40536965644085,-173529866.93856764,-43168.57531363882,-100,5463159528588.2129,84855.575529816109,5463159443732.6377,64381856.990276337,3.2488519487939209e+20,0.0010571777820587158,2.180707815568894e-05,5.059774821347673e-10,-0.0018317152443938142,-9843793.8852381762,0.0013389435086446145,0.0021142978495731768,-100,-83.40536965694683,-83.40536965644085,-83.40536965682053,-173529866.93962482,-173529866.93856764,-173529866.93935475,-43168.57530047833,-43168.57531363882,-43168.57532228541
-90,-68.13324445207823,-141755103.1207002,-35842.02415551759,-90,5217681427851.0518,82347.714269598117,5217681345503.3379,63361581.728533335,1.0713910225051185e+19,0.0013532936573028564,4.924614040646702e-05,6.42501163383713e-10,-0.0022919808000218898,-8673782.5014096219,0.0017237595452194783,0.0027239287460645301,-90,-68.13324445272073,-68.13324445207823,-68.13324445257167,-141755103.1220535,-141755103.1207002,-141755103.1217297,-35842.02410627145,-35842.02415551759,-35842.02414712755
-80,-54.06080141274649,-112476606.35369569,-28367.035957195287,-80,4986766911130.1895,79913.971510860254,4986766831216.2178,62401690.428468958,2.9076876827596099e+18,9.112060070037842e-05,6.716909410897642e-07,4.389733021525899e-11,0.00030708686959394739,-7684719.20748882,0.00010808260773678505,0.00018356995900603579,-80,-54.060801412702595,-54.06080141274649,-54.06080141272176,-112476606.35360457,-112476606.35369569,-112476606.35364442,-28367.035956523596,-28367.035957195287,-28367.035956647742
-70,-41.33292816027673,-85995763.0683977,-21001.43323839821,-70,4770619579678.6475,77552.156720837054,4770619502126.4912,61514982.708364271,2.3126062699521884e+18,4.76837158203125e-05,4.9185327952727675e-06,2.212630079156952e-11,-7.3161226025159729e-05,-6868453.6751794647,5.7369693876810392e-05,9.6132112531677194e-05,-70,-41.332928160298856,-41.33292816027673,-41.332928160291914,-85995763.06844538,-85995763.0683977,-85995763.06842944,-21001.433233479678,-21001.43323839821,-21001.433237971592
-60,-30.184025751175493,-62800174.306671694,-14119.721529805414,-60,4569690196850.0039,75260.144106790249,4569690121589.8594,60718594.829766072,2.9328306129403868e+18,3.749877214431763e-05,1.5024033928057179e-06,1.7781331962396507e-11,0.00012360631853837239,-6221245.586528521,4.1779964083699823e-05,7.5149641872940265e-05,-60,-30.184025751157712,-30.184025751175493,-30.184025751166725,-62800174.306634195,-62800174.306671694,-62800174.30665344,-14119.721531307818,-14119.721529805414,-14119.721529844363
-50,-20.853021667245674,-43386850.68666452,-8122.51707058202,-50,4384739468541.124,73035.870702651664,4384739395505.2534,60035424.050636128,3.3309185098769075e+18,5.125999450683594e-06,1.720836735330522e-07,2.48334686148155e-12,-4.8317746302598161e-06,-5745498.3027681038,6.5411367639176734e-06,1.0398203983186249e-05,-50,-20.853021667246153,-20.853021667245674,-20.85302166724367,-43386850.68666546,-43386850.68666452,-43386850.686660334,-8122.517070754104,-8122.51707058202,-8122.517070605187
-40,-13.44580313351744,-27976030.734329127,-3263.187258814789,-40,4216919423678.5981,70877.334512214657,4216919352801.2637,59496021.580098711,5.6521773939014625e+18,4.820525646209717e-06,5.766705726273358e-07,2.227551476607914e-12,1.9693527338458591e-06,-5452077.699073418,6.4609359065442041e-06,9.7266264447171125e-06,-40,-13.445803133519668,-13.44580313351744,-13.445803133519465,-27976030.734333947,-27976030.734329127,-27976030.734333333,-3263.1872582652068,-3263.187258814789,-3263.1872588418773
-30,-7.817567789558992,-16266441.288348816,523.6805333912198,-30,4067878763579.2344,68782.592707202246,4067878694796.6416,59141108.287319407,7.4082168504601428e+19,2.5834888219833374e-06,2.006836439250037e-07,1.2736478538499796e-12,4.4608796053541408e-05,-5363503.9123362126,6.7125154188173651e-06,1.2489600294429692e-05,-30,-7.8175677895602655,-7.817567789558992,-7.81756778955945,-16266441.2883514,-16266441.288348816,-16266441.28834974,523.6805331905362,523.6805333912198,523.6805333018419
-20,-3.5485986118904185,-7384905.934072219,3665.293537388654,-20,3939899105206.334,66749.759878590616,3939899038456.5742,59024918.027757898,5.0658324815243305e+18,5.278736352920532e-06,1.795760908862576e-07,2.5082158572331537e-12,-1.0890444417523889e-05,-5518469.0669652047,4.8960611475467718e-06,7.947629001137102e-06,-20,-3.548598611891027,-3.5485986118904185,-3.5485986118885187,-7384905.934073534,-7384905.934072219,-7384905.934068255,3665.2935375378056,3665.293537388654,3665.2935373582295
-10,-0.008437197453924896,-19825.292025491595,6809.225302911145,-10,3836071050301.5054,64777.006339613676,3836070985524.499,59219640.842766114,1.5400464021632686e+19,2.037733793258667e-06,2.5641111278673634e-07,9.45561337561962e-13,3.6338431737857796e-05,-5978184.3530785143,1.3799792597040298e-06,2.7300225156068336e-06,-10,-0.00843719745362401,-0.008437197453924896,-0.008437197454569572,-19825.292024780065,-19825.292025491595,-19825.2920268178,6809.225302654734,6809.225302911145,6809.225302865554
