voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,0.00093981681843051209833130649447579076682263758487565857574482038594234498039137485,5866.5220184532000586718234594421594110468163376910642041426937638932103195817484,-0.000027857960373190688713260015452839552633567300415770024613162094494304176393512063,-150,11821123092.613047286406138689388457057245047860192072865482197810465433183759083,0.0064027980283356347640836529623439805868363668639439094863639985444278997943651592,11821123092.606644488377803054624373404282703879605236498618253900979069185214655,1846243320544.9509526640364614712340799816514018534027039585670375565463574751608,23642246185.226094572812277378776914114490095720384145730964395620930866367518166,2.1072251274430444885942698545232974953523040889224526579457836467211363999716322e-75,3.7995376763835748343194474400417912437476039910017244426771440868011267983212456e-76,3.9842095742482543826395489822670872617028857958755980682422795807781756255911103e-82,23.302662013137989371904873951414611547313776540296546312763391170232739937113038,5.1368643244696972187476613676891515791803317009659303632682091784228387281151912e-76,8.5685078771486156410197398034795507521264881579067238234895556726534366289493163e-76,1.4774209519033857275096992934579296718940201889283874600814895106335940131013821e-75,-150,0.00093981681843051209833130649447579076682263758487565857574482038594234498039137491,0.00093981681843051209833130649447579076682263758487565857574482038594234498039137485,0.00093981681843051209833130649447579076682263758487565857574482038594234498039137451,5866.5220184532000586718234594421594110468163376910642041426937638932103195817481,5866.5220184532000586718234594421594110468163376910642041426937638932103195817484,5866.5220184532000586718234594421594110468163376910642041426937638932103195817463,-0.000027857960373190688713260015452839552633567300415770024613162094494304176013558296,-0.000027857960373190688713260015452839552633567300415770024613162094494304176393512063,-0.000027857960373190688713260015452839552633567300415770024613162094494304176393512063
-140,0.0013528490876014666887199977702139547747860145203651638083663706587843233968231704,8444.7508973374663047864646304505419912396677989316270377819155205502031825809859,-0.00001920098422264305875817236144474916772767626738350544625072612638883922263038281,-140,11769576487.155208087386703714687219591580229040036667881512293653531197603219912,0.0066694345868889639436334714778349004922493920140426549935195461678367624123245433,11769576487.148538652799814750743586120102394139544418489498250998537678057052075,1764703789177.6168096919451862705762784160132510178659360469650960065091835671397,23539152974.310416174773407429374439183160458080073335763024587307062395206439823,3.6271907931396667426622677823761678198687201530632381817099554574708085573282194e-76,1.540235028650123758704422993439134211309453132486140549451637101497635902861767e-76,3.0885345536808173508833713040830133811650277487407736963118446362621516477450468e-83,20.410841258676627662709505426933454902914438371231676550078697144904401591517499,-2.5814659315869321513191379673735772525889627907108899603941253129165872765809837e-76,2.1114774765274358959751090534249188273215045523656286804006798911463479438760521e-76,3.5246887640836030898699257844009238317580917748370324275316457175348451955518364e-76,-140,0.0013528490876014666887199977702139547747860145203651638083663706587843233968231704,0.0013528490876014666887199977702139547747860145203651638083663706587843233968231704,0.0013528490876014666887199977702139547747860145203651638083663706587843233968231704,8444.7508973374663047864646304505419912396677989316270377819155205502031825809861,8444.7508973374663047864646304505419912396677989316270377819155205502031825809859,8444.7508973374663047864646304505419912396677989316270377819155205502031825809857,-0.000019200984222643058758172361444749167727676267383505446250726126388839222784406313,-0.00001920098422264305875817236144474916772767626738350544625072612638883922263038281,-0.00001920098422264305875817236144474916772767626738350544625072612638883922263038281
-130,0.0018365807662386752066411372167615578552109800126227146838581724467875714335372909,11464.299439689879330993048893313520110653392450628882503630757778147853534539906,-0.000012483281427479907733856936761707108251605582357686024275042013900305987058016771,-130,11734115924.986853311489405619063321264929923035604301895785232621945549500852027,0.0069471748932167077244540719268335202750577802349375285956654469336317572921115052,11734115924.979906136596188911338867193003089515329244115550295093349884053918396,1689048585266.5323760525523175207696224463278934615806706170148480789348238054384,23468231849.973706622978811238126642529859846071208603791570465243891099001704055,2.9362973087321111726313596333521358541794401239083356709080591798573212130752252e-76,1.9947047932073630693988095962571300798540129882294183216787833990487349230223793e-76,3.9121437679957019777856036518384836161423684817383133486616698725987254204770592e-83,19.720296228139100929742169583200037432992990792350945577852071296994125894487235,-2.3657046518892038997167541767942446619641279762238119880726567853715563336552505e-76,2.8984891360686953821674180751807311152335960563897878064011274787211153923093014e-76,5.1344969070514076694652466066652771299776021624384108413194537546715882518797087e-76,-130,0.0018365807662386752066411372167615578552109800126227146838581724467875714335372908,0.0018365807662386752066411372167615578552109800126227146838581724467875714335372909,0.0018365807662386752066411372167615578552109800126227146838581724467875714335372908,11464.299439689879330993048893313520110653392450628882503630757778147853534539906,11464.299439689879330993048893313520110653392450628882503630757778147853534539906,11464.299439689879330993048893313520110653392450628882503630757778147853534539906,-0.00001248328142747990773385693676170710825160558235768602427504201390030598725748725,-0.000012483281427479907733856936761707108251605582357686024275042013900305987058016771,-0.000012483281427479907733856936761707108251605582357686024275042013900305987058016771
-120,0.002344907121573047262799590467642497375371545707743923017622472243595832205163354,14637.372809104153979273188520498046736899191227899810022019409123629916082696598,-0.0000076324534524661750050226094386995341756974339992917695219438687985454900208519857,-120,11714200104.469979328519469250011346442741105839127736291267676068821456518348486,0.0072364813490814270255032338492596083221745964263188565420334053129719569972497273,11714200104.462742847170387822985843208891846230805561694841357212279423113035514,1618770164585.1595891460535573234380012133318872589551907677035869216618701192536,23428400208.939958657038938500022692885482211678255472582535352137642913036696972,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,8.5153348364976245158247292070330017705639713428499384228529187400551346651266012e-77,4.9416552858893077614133940865328214098640443979852379140989514180194426363920748e-83,21.409327404769029859607402348589608133693577412194169723086491466275371293206885,-1.4910292326786041345052268425430176849173127340265644435337120828969819348382297e-76,1.1931646808933595601279447206712973804926714134074315555065217446287475115210566e-76,1.9119868221046942248236053117261360264023056965383543277160563083834858287569387e-76,-120,0.002344907121573047262799590467642497375371545707743923017622472243595832205163354,0.002344907121573047262799590467642497375371545707743923017622472243595832205163354,0.0023449071215730472627995904676424973753715457077439230176224722435958322051633541,14637.372809104153979273188520498046736899191227899810022019409123629916082696598,14637.372809104153979273188520498046736899191227899810022019409123629916082696598,14637.372809104153979273188520498046736899191227899810022019409123629916082696598,-0.0000076324534524661750050226094386995341756974339992917695219438687985454901060053341,-0.0000076324534524661750050226094386995341756974339992917695219438687985454900208519857,-0.0000076324534524661750050226094386995341756974339992917695219438687985454900208519857
-110,0.002827175911738526803813397972125159563852632706866538146968499306362197423965452,17647.789720036973415708582879097994634750664082333396533558357403379115511129664,-0.0000044051067244063965884579799177119679456558614636162421072070370306019553036748059,-110,11709337502.032650038912080819569500464360867865832206866843699434026714579155382,0.0075378356123918360235318935445826948906072790153662469866436551518905050148166281,11709337502.025112203299688983545968570816285170941599587828333187040070924003491,1553408445626.3635284299148850035142183637977565729964563508334141297982296080416,23418675004.065300077824161639139000928721735731664413733687398868053429158310763,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,4.9889456545633767900617220654687001307233263749901289045035482879497286590046629e-77,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,25.457414150038314794128967279937865609076519163496286555712798792932545980428848,-7.2616813183426411100845883772811186953644127306525471145395140735062754074045654e-78,1.626117529702105995390073110737120712214547840917383008574562003115674657067266e-76,2.6478156121420990104483430916715021740666499399544800896510147036031704455656282e-76,-110,0.002827175911738526803813397972125159563852632706866538146968499306362197423965452,0.002827175911738526803813397972125159563852632706866538146968499306362197423965452,0.0028271759117385268038133979721251595638526327068665381469684993063621974239654521,17647.789720036973415708582879097994634750664082333396533558357403379115511129664,17647.789720036973415708582879097994634750664082333396533558357403379115511129664,17647.789720036973415708582879097994634750664082333396533558357403379115511129665,-0.0000044051067244063965884579799177119679456558614636162421072070370306019552537853494,-0.0000044051067244063965884579799177119679456558614636162421072070370306019553036748059,-0.0000044051067244063965884579799177119679456558614636162421072070370306019553036748059
-100,0.0032485655380018064909191299792203782294819805344970620811323101662387509755461642,20278.186883754929377917592867793610358453284822697910565816808731174072865569465,-0.0000024211392985120210650558530703641002032585667179284719992266984214472917466647667,-100,11719085664.444743439580815731510391893522383657558805817654376849749060911928604,0.0078517393991010563750634966349392753384263025107245488657676225157853388342627938,11719085664.436891700181714675135328396887444382220379515143652300883293289412819,1492546437008.1435132769407425334542343707666409753831231213881735996276862823018,23438171328.889486879161631463020783787044767315117611635308753699498121823857208,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,1.5412733411241753701150556201013860146128937464448705589566621833288804146979881e-76,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,31.826732702158538506849917455425302475439302329447134684085189620598251105322347,-1.736428235299536465078432339470460944643062979692111670882692059603077203075287e-76,1.5214859728606847168870043459249459269258613922558241955222339065430287252827762e-76,2.0283787728358791491773908628654984662906893822856659278708191705817516397911813e-76,-100,0.0032485655380018064909191299792203782294819805344970620811323101662387509755461642,0.0032485655380018064909191299792203782294819805344970620811323101662387509755461642,0.0032485655380018064909191299792203782294819805344970620811323101662387509755461642,20278.186883754929377917592867793610358453284822697910565816808731174072865569465,20278.186883754929377917592867793610358453284822697910565816808731174072865569465,20278.186883754929377917592867793610358453284822697910565816808731174072865569465,-0.0000024211392985120210650558530703641002032585667179284719992266984214472919007921009,-0.0000024211392985120210650558530703641002032585667179284719992266984214472917466647667,-0.0000024211392985120210650558530703641002032585667179284719992266984214472917466647667
-90,0.0035975144934090783532660326283720003005176253852817029315650992303529635689908942,22456.395092505476817942926555752825610970728354256517525538149774141874451892427,-0.0000012805831808763861660924038459512582304637826390652178672167459755846987494296136,-90,11743050816.359156913509411340282968329017962647501655809126550042900008285835933,0.008178715318498922331495725796663999516045257646699872947883214165321575720246169,11743050816.350978198190912417951472603221298647985610551479850169952125071670611,1435806279966.5233557322735381805719777607997795678438300062782097704444703988402,23486101632.718313827018822680565936658035925295003311618253100085800016571671865,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-76,6.2967747210179936789946057064619601459356831630913579767078801329310891207180034e-77,1.2354138214723269403533485216332053524660110994963094785247378545048606590980187e-83,40.686168281152638206502826577295716996110968779794844220821240998116571258110163,-6.2214390732838069392151539275502751311814426864071741035913506852584426559220034e-77,8.8287437090542631990270572243096750736242664096065338312147833680760445811368903e-77,1.5816217094039142513569566791752052455378339966622527087365186025355306372756919e-76,-90,0.0035975144934090783532660326283720003005176253852817029315650992303529635689908942,0.0035975144934090783532660326283720003005176253852817029315650992303529635689908942,0.0035975144934090783532660326283720003005176253852817029315650992303529635689908942,22456.395092505476817942926555752825610970728354256517525538149774141874451892427,22456.395092505476817942926555752825610970728354256517525538149774141874451892427,22456.395092505476817942926555752825610970728354256517525538149774141874451892427,-0.0000012805831808763861660924038459512582304637826390652178672167459755846988123973608,-0.0000012805831808763861660924038459512582304637826390652178672167459755846987494296136,-0.0000012805831808763861660924038459512582304637826390652178672167459755846987494296136
-80,0.0038798742174096016338864331715660006245252450279912379702195192349326486051668776,24218.940184896056842198962204109143782971139466981542923496428715128057301330794,-0.00000065776053729078050752836869210211853339990206042881639593137455654341904756655406,-80,11780887803.474790320665298344264895224301512059719269415370057614614641918431675,0.0085193077432889978050419296724633500561468560739539001100798738659187870862809138,11780887803.466271012922009346459853294629048709663122559296103714504562044565757,1382845667566.7187431976272805620125708238506484360338172393793544221495818728111,23561775606.949580641330596688529790448603024119438538830740115229229283836863351,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,1.5814123350189862220100796295306408909322905890487907859012112960748576621200119e-77,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,52.478238077792773715985021307071233462766682609816508402629588544065243284215181,-9.2995155117247872564281476185357363675155708250808769305800467622097964139794346e-78,7.4827311101199247096102269817516930337725894907658644212571380165928442048747783e-77,1.6092931234256029326100572828660154884515035282699638170508370681654656059400598e-76,-80,0.0038798742174096016338864331715660006245252450279912379702195192349326486051668776,0.0038798742174096016338864331715660006245252450279912379702195192349326486051668776,0.0038798742174096016338864331715660006245252450279912379702195192349326486051668776,24218.940184896056842198962204109143782971139466981542923496428715128057301330794,24218.940184896056842198962204109143782971139466981542923496428715128057301330794,24218.940184896056842198962204109143782971139466981542923496428715128057301330794,-0.00000065776053729078050752836869210211853339990206042881639593137455654341903175243071,-0.00000065776053729078050752836869210211853339990206042881639593137455654341904756655406,-0.00000065776053729078050752836869210211853339990206042881639593137455654341904756655406
-70,0.0041091587446946278558174667057191372872814001850329816583008429640564220298557323,25650.179430713639627024819224196622687743545740180917636682108130241498932513145,-0.00000032989077639878354917012029796471088462215326521835958481537843491189960642275498,-70,11832300395.808572938528946539136780969645531132286161135547680427418112131822486,0.0088740837158988638596928403800225534301035702892857405783469510116930477627847192,11832300395.799698854813047675277088129265508578856057565258394686839765180810793,1333354605908.1851552178070836431071397623685663766915163545664642222639216326819,23664600791.617145877057893078273561939291062264572322271095360854836224263644972,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,3.4245922501932884572518699475046900077200479301105042140520648811560668929984099e-78,0.0,67.920244909418893269923123116441750363769161225199827515816140093846814050521095,4.0774292682694164857597736306809379632123054868699000911612281243848561638304369e-77,3.3841189019319608849520930151852926174560248641172092038195820343147788921159473e-77,7.2345342236420764261516795062713851178454643865196824608392332054141689047836815e-77,-70,0.0041091587446946278558174667057191372872814001850329816583008429640564220298557323,0.0041091587446946278558174667057191372872814001850329816583008429640564220298557323,0.0041091587446946278558174667057191372872814001850329816583008429640564220298557323,25650.179430713639627024819224196622687743545740180917636682108130241498932513145,25650.179430713639627024819224196622687743545740180917636682108130241498932513145,25650.179430713639627024819224196622687743545740180917636682108130241498932513145,-0.00000032989077639878354917012029796471088462215326521835958481537843491189960299816273,-0.00000032989077639878354917012029796471088462215326521835958481537843491189960642275498,-0.00000032989077639878354917012029796471088462215326521835958481537843491189960642275498
-60,0.0042995646915452985535121848699749451412462301476485154153723503975212185969389035,26838.730908845379947994714329063796756900260683244342275215299162019761712632284,-0.00000016145785536784770397785598955312400121687772500635845386390384980385383904846591,-60,11897041980.195103420564267756697738408664891542714658584880564404483627286963538,0.0092436338925325746654849631129458727030790917140388726456089820556810418916992789,11897041980.185859786671735182032253445551945670011579493166525531838018304907857,1287052485906.6596915607200543275007239089383565731218566391632182318973323433442,23794083960.390206841128535513395476817329783085429317169761128808967254573927077,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,4.0414855110326138534060292971571759657788032943225621383053898637492982831738482e-78,0.0,88.019768168234871531472802139342332810236957910089992680789066745400789862210441,-2.9538666351699586820861615520626369444373151561656769681626948181245089509308282e-77,5.0629368406620124379985060883457851593634346585986613050065431999732883136919134e-77,1.0744330413480107944880208438923716529509097139633759199976582959480845084255125e-76,-60,0.0042995646915452985535121848699749451412462301476485154153723503975212185969389035,0.0042995646915452985535121848699749451412462301476485154153723503975212185969389035,0.0042995646915452985535121848699749451412462301476485154153723503975212185969389035,26838.730908845379947994714329063796756900260683244342275215299162019761712632284,26838.730908845379947994714329063796756900260683244342275215299162019761712632284,26838.730908845379947994714329063796756900260683244342275215299162019761712632284,-0.0000001614578553678477039778559895531240012168777250063584538639038498038538350069804,-0.00000016145785536784770397785598955312400121687772500635845386390384980385383904846591,-0.00000016145785536784770397785598955312400121687772500635845386390384980385383904846591
