voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.11874654240477647,-246800.33537166478,-838.3347387913276,-150,5.5566641334976127e+19,489.46349696580609,5.5566641334976127e+19,1.1352560850693635e+17,2.4474065646656451e+18,0.049892791284946725,4.54678098549266e-05,2.3971191545624215e-08,79214.508876556822,-0.016406029860263516,0.070456018704471352,0.099704725482362686,-150,-0.11874654242868585,-0.11874654240477647,-0.1187465184574943,-246800.33543656973,-246800.33537166478,-246800.28554377845,-838.3346933235701,-838.3347387913276,-838.33473879138
-140,-0.11214485050617734,-233070.4328147564,-818.9793720687567,-140,3.0422519551630287e+19,506.59399659265824,3.0422519551630287e+19,60053059760383232.0,2.8005561740370055e+19,0.060015935683622956,2.3488024339712865e-05,2.8843658683719298e-08,72805.207920651228,-0.0059380834406965732,0.084871472874410936,0.12006605800212361,-140,-0.11214485052129693,-0.11214485050617734,-0.11214487934983602,-233070.43285404556,-233070.4328147564,-233070.4928306921,-818.9793485807323,-818.9793720687567,-818.9793720686894
-130,-0.10579904452739235,-219873.25476053008,-798.7408831559754,-130,1.6656211965621576e+19,524.32403841067435,1.6656211965621576e+19,31767019525005404.0,1.7532145369343967e+19,0.023927537025883794,5.766727520040149e-05,1.1499574292805903e-08,66774.532496225598,0.070871565396373626,0.033860475751984739,0.047956131439789752,-130,-0.10579904455109561,-0.10579904452739235,-0.10579905602696664,-219873.25482907263,-219873.25476053008,-219873.2786880671,-798.7408254887526,-798.7408831559754,-798.7408831560278
-120,-0.09966465130202538,-207116.4161450481,-777.1641867369788,-120,9.1192129320862894e+18,542.67460551123008,9.1192129320862884e+18,16804200601012970.0,8.3647748945333709e+18,0.19810740102548152,1.0461315696375095e-05,9.52087410299729e-08,61064.400041150358,-0.10884323991035671,0.2801577243830119,0.3962164744614704,-120,-0.09966465130019275,-0.09966465130202538,-0.09966474650893378,-207116.41613774782,-207116.4161450481,-207116.61424514884,-777.1641971981865,-777.1641867369788,-777.1641867368708
-110,-0.09368682673714998,-194686.0285714548,-753.5668271460761,-110,4.9927358595462543e+18,561.66741536291499,4.9927358595462533e+18,8889132114456480.0,2.4549066890754386e+18,0.28103093919344246,2.66120036940265e-06,1.3506346938085834e-07,55614.205507154831,-0.089378266465473644,0.39743043023888436,0.56206364243199292,-110,-0.09368682673778214,-0.09368682673714998,-0.09368696180061936,-194686.02857365724,-194686.0285714548,-194686.309602394,-753.5668244848757,-753.5668271460761,-753.5668271460572
-100,-0.08779283201890128,-182431.09634792246,-726.8858557411995,-100,2.7335061768585431e+18,581.32494551364971,2.7335061768585426e+18,4702200031074289.0,5.6593032347329323e+19,0.21506816614419222,4.27955865234253e-06,1.0336176065051106e-07,50361.633477036026,-0.08144416724576331,0.30414392872288143,0.43013704299329586,-100,-0.08779283201636467,-0.08779283201890128,-0.08779272865714063,-182431.096344071,-182431.09634792246,-182430.88127975632,-726.8858514616409,-726.8858557411995,-726.8858557411768
-90,-0.0818760207378064,-170130.291483365,-695.3973214805321,-90,1.4965871283388247e+18,601.67046019234124,1.4965871283388242e+18,2487386746326881.0,1.6213522887971261e+18,0.1307151519577019,4.944809006701689e-08,6.28217099590822e-08,45246.273099504462,-0.25519919891598875,0.18485489056797322,0.26143063726838267,-90,-0.081876020740047,-0.0818760207378064,-0.08187595791833704,-170130.2914880106,-170130.291483365,-170130.16077285865,-695.3973215299736,-695.3973214805321,-695.3973214805255
-80,-0.07575968269311745,-157416.8987665996,-656.1869281502675,-80,8.1937916637245248e+17,622.72803784155451,8.1937916637245184e+17,1315789745411998.7,6.3979571724357581e+17,0.30400339170591906,8.735639767110115e-07,1.461041700123733e-07,40218.326903360205,0.76428227833002893,0.42992575198659533,0.60801511246031525,-80,-0.07575968269520734,-0.07575968269311745,-0.07575953659103733,-157416.89877065696,-157416.8987665996,-157416.59476726525,-656.1869290237071,-656.1869281502675,-656.1869281501431
-70,-0.06911638112734929,-143611.3062748611,-604.1656157992159,-70,4.4861086158353402e+17,644.52259961378888,4.4861086158353338e+17,696035890521683.5,1.7066996608754519e+18,1.80997502990067,2.388868779235054e-06,8.698739993734383e-07,35254.761324669533,2.0690724737551136,2.55968694480074,3.6199500815354053,-70,-0.06911638112689895,-0.06911638112734929,-0.06911551125334991,-143611.30627472035,-143611.3062748611,-143609.4962998312,-604.1656134103823,-604.1656157992159,-604.1656157992511
-60,-0.06131242490807953,-127397.93117660284,-530.4568327353544,-60,2.4561710655407693e+17,667.07993886508166,2.4561710655407626e+17,368197411200748.94,2.5594320563515919e+18,0.8674644103739411,1.7732179458107566e-07,4.169033955767065e-07,30384.406863733668,-0.19052980196056524,1.2267680479611063,1.7349289987265681,-60,-0.06131242491620592,-0.06131242490807953,-0.06131284181147511,-127397.9311935708,-127397.93117660284,-127398.79864101321,-530.4568325580326,-530.4568327353544,-530.4568327350526
