voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.499482759072686,-9271779.668308496,-44143.745972737226,-150,3468184572378.3413,5138.5607903974915,3468184567239.7808,674933062.74772346,42872499002593064.0,5.519576370716095e-05,3.500322054605931e-05,1.593192244797592e-11,80780586.591061652,3.2797455787658691e-05,7.4912487226108489e-05,0.00013069079732019873,-150,-1.499482759088618,-1.499482759072686,-1.4994827590765012,-9271779.66833794,-9271779.668308496,-9271779.668282744,-44143.74600774045,-44143.745972737226,-44143.74599752099
-140,-1.1939049642005701,-7384985.393992305,-33802.44720038361,-140,3974921334015.9507,5443.2321975574632,3974921328572.7183,730250187.71009135,1.3430082471892746e+17,2.4869106709957123e-05,3.250750887673348e-05,7.289946424293703e-12,77675399.265785173,2.0582228899002075e-05,3.0586921334308571e-05,6.9368280605885957e-05,-140,-1.1939049641932802,-1.1939049642005701,-1.1939049641997115,-7384985.394005135,-7384985.393992305,-7384985.393980266,-33802.447171216016,-33802.44720038361,-33802.447203723525
-130,-0.9468269933388206,-5858743.618529558,-25768.619383225294,-130,4560303645567.0166,5765.967936371213,4560303639801.0488,790899931.44100344,80049792857957696.0,0.00013700127601623535,0.00012155447257100604,1.6998402685430847e-11,74149920.07455191,8.2924962043762207e-05,9.1605266134475e-05,0.00015645464704050482,-130,-0.9468269933320944,-0.9468269933388206,-0.9468269933490928,-5858743.618605907,-5858743.618529558,-5858743.618468906,-25768.619324057905,-25768.619383225294,-25768.619445612378
-120,-0.7485744374642728,-4633595.350231051,-19576.973649370415,-120,5235297471170.1016,6107.8390626399378,5235297465062.2627,857143978.00574899,1.2417623485123725e+17,4.3373554944992065e-05,5.7450979511486366e-05,2.1493806734440568e-11,-70069002.199190155,-1.2539327144622803e-05,8.7055973330990119e-05,0.00015616725262646014,-120,-0.748574437442779,-0.7485744374642728,-0.7485744374584591,-4633595.350211785,-4633595.350231051,-4633595.350255159,-19576.973591919435,-19576.973649370415,-19576.97361917191
-110,-0.5904890476866425,-3656270.8159219027,-14839.14786502418,-110,6012711989230.9727,6469.9801363426386,6012711982760.9922,929324644.36124969,56441960353439448.0,9.071081876754761e-05,0.00010043244947155472,1.7646661909509476e-11,-65476282.075358093,3.5025179386138916e-05,7.0040605546143787e-05,0.00011951162171897067,-110,-0.5904890476791519,-0.5904890476866425,-0.5904890476967986,-3656270.8159616026,-3656270.8159219027,-3656270.815870892,-14839.147821795099,-14839.14786502418,-14839.147922227548
-100,-0.4650605083973488,-2880524.9593708515,-11237.234413665417,-100,6907420796961.0547,6853.5929868746844,6907420790107.4619,1007853954.8802294,66217063296064552.0,5.75515441596508e-05,3.859331081912387e-05,5.4586890563257384e-12,-60601059.949334487,-2.5987625122070313e-05,3.5913400759106991e-05,6.948436045206563e-05,-100,-0.4650605083950357,-0.4650605083973488,-0.4650605083918901,-2880524.9593469054,-2880524.9593708515,-2880524.959404457,-11237.234418419006,-11237.234413665417,-11237.234379825695
-90,-0.3659298231750453,-2267177.366576433,-8514.385298067158,-90,7936630394753.5977,7259.9507015318468,7936630387493.6465,1093207202.2305841,23217637223145308.0,5.5938493460416794e-05,9.657179361965973e-05,2.198025095268008e-11,-55765578.234905325,-1.7791986465454102e-05,5.8803435824492407e-05,0.00011502024258902566,-90,-0.36592982318807804,-0.3659298231750453,-0.3659298231660978,-2267177.366551204,-2267177.366576433,-2267177.3666071426,-8514.38535135822,-8514.385298067158,-8514.385254786426
-80,-0.28781332623910544,-1783658.9244724512,-6464.3150393845135,-80,9120199261624.4883,7690.4018504763417,9120199253934.0859,1185919726.8163023,43353086357984624.0,5.20641915500164e-05,2.920685255958233e-05,1.003047644942967e-11,-51259774.471417487,2.4072825908660889e-05,4.7819671849555336e-05,9.1095825155207422e-05,-80,-0.2878133262491359,-0.28781332623910544,-0.28781332624466666,-1783658.9245008158,-1783658.9244724512,-1783658.9244487516,-6464.315056508127,-6464.3150393845135,-6464.315068591366
-70,-0.22638487122372278,-1403298.1813363433,-4920.420017604818,-70,10481012314988.52,8146.3749622061414,10481012306842.145,1286586041.4740999,5.1268851019946157e+17,1.0420568287372589e-05,1.3578255675383843e-05,2.6810775821672905e-12,-47269980.049179077,-2.0861625671386719e-07,9.7772472242566251e-06,2.0523834095342863e-05,-70,-0.22638487122428694,-0.22638487122372278,-0.22638487122160586,-1403298.1813332825,-1403298.1813363433,-1403298.181343703,-4920.420020896094,-4920.420017604818,-4920.420007317838
-60,-0.17814199399674127,-1104509.6050552726,-3743.9302961504654,-60,12045416991407.684,8629.3832643802052,12045416982778.301,1395860703.1777062,22313817031161604.0,4.481244832277298e-05,0.00010138269908566144,3.59924035020498e-11,-43885777.759970881,-2.4139881134033203e-05,0.00015889096300705804,0.00025149373463762004,-60,-0.17814199396074887,-0.17814199399674127,-0.17814199399386743,-1104509.6050333662,-1104509.6050552726,-1104509.6050781787,-3743.9301947677664,-3743.9302961504654,-3743.9302757278456
-50,-0.14027183512125072,-869986.6187753081,-2808.9225762995193,-50,13843728652329.354,9141.0297057329117,13843728643188.324,1514460525.5627913,45117746575175952.0,0.00017245265189558268,0.00018145416470360942,3.0511010384870474e-11,-41158894.525767401,7.80448317527771e-05,0.00012975670715689171,0.00022719594366549245,-50,-0.14027183510868385,-0.14027183512125072,-0.14027183513919486,-869986.6188669084,-869986.6187753081,-869986.6186944557,-2808.922491276986,-2808.9225762995193,-2808.9226727311507
-40,-0.11052502874016136,-685958.3704070449,-1980.330215208407,-40,15910814564256.078,9578.1594245514934,15910814554677.918,1661155746.006088,1.2039829632826819e+17,0.00019728811457753181,0.0001258779507224972,1.784175585051173e-11,-39190596.539241537,-8.1077218055725098e-05,0.00014161402698118395,0.0002482303309108147,-40,-0.11052502873104535,-0.11052502874016136,-0.1105250287223196,-685958.3703339212,-685958.3704070449,-685958.3705312093,-1980.330223318308,-1980.330215208407,-1980.3300974403573
-30,-0.08710124841835303,-541539.4735555053,-1081.8500460708165,-30,18286767375070.066,9858.0210800474961,18286767365212.047,1855014026.3021188,3.1263089597329402e+17,6.784219294786453e-05,6.77019122576894e-05,2.5122931512910895e-11,-38254452.482205302,5.6847929954528809e-06,0.00011416672704365301,0.0002461174062133864,-30,-0.08710124844347596,-0.08710124841835303,-0.08710124842365835,-541539.473611649,-541539.4735555053,-541539.4736233475,-1081.8500964100747,-1081.8500460708165,-1081.8500287081624
-20,-0.06855150162819772,-428181.28285878897,134.6438382655033,-20,21017680853694.621,10146.059937732911,21017680843548.562,2071511599.8408859,3.1907201827470854e+17,0.0002712151617743075,0.00013611284521175548,4.996897340348028e-11,-38998370.378859162,-0.00013790279626846313,0.00024481203580259197,0.00047414006268908793,-20,-0.06855150157822874,-0.06855150162819772,-0.0685515016106923,-428181.28275052726,-428181.28285878897,-428181.2830217424,134.64394009275156,134.6438382655033,134.6439743783485
-10,-0.05371504685190699,-339210.7427418232,1955.4124074066058,-10,24156542724942.98,10442.514925071837,24156542714500.465,2313287833.2732477,33193117178964356.0,0.00012501177843660116,6.508680826300406e-05,7.266749701972941e-12,-42818615.975629188,-6.4224004745483398e-05,8.2216826637745031e-05,0.00015906736948423372,-10,-0.05371504684546717,-0.05371504685190699,-0.05371504684464024,-339210.7426961136,-339210.7427418232,-339210.7428211254,1955.412404651142,1955.4124074066058,1955.4124697379502
0,-0.04171856130946032,-269413.89374154806,4499.202459224965,0,27764261762877.215,10747.631950685469,27764261752129.582,2583291081.2605982,1.0568849817600918e+17,3.094610292464495e-05,8.262002666015178e-06,7.198443230382878e-12,52578230.615730338,4.4181942939758301e-06,8.8119568627036205e-05,0.00018972836816111283,0,-0.04171856131665876,-0.04171856130946032,-0.04171856131504583,-269413.8937699582,-269413.89374154806,-269413.89377249416,4499.202450962963,4499.202459224965,4499.202457265085
10,-0.031998317864671735,-214643.94688117504,7452.067495919182,10,31910848955069.316,11061.664108332649,31910848944007.652,2884814494.6863079,2.1936251773407427e+17,0.00014417964848689735,6.22906491116737e-05,3.3110097996669197e-11,73956495.546652734,0.0001017153263092041,0.00015310298567371681,0.00032419511412218327,10,-0.03199831783156164,-0.031998317864671735,-0.03199831786039436,-214643.94679907657,-214643.94688117504,-214643.94694325622,7452.067558209831,7452.067495919182,7452.067540309893
20,-0.024206327300729417,-171553.4548175335,10226.392512607505,20,36676775572318.547,8761.3903501573968,36676775563557.156,4186182113.3970656,1.7947946839320416e+17,0.0007505914254579693,0.00037884248376940377,6.357891296771001e-11,117629119.51183482,-0.00041775405406951904,0.00052496303770980894,0.00097797001506805259,20,-0.024206327363171947,-0.024206327300729417,-0.02420632736430833,-171553.455283353,-171553.4548175335,-171553.45453276156,10226.392550627974,10226.392512607505,10226.39217178549
30,-0.01803255727609671,-137503.2671945691,12470.243846670608,30,42154534435297.492,6454.351846146852,42154534428843.141,6531180115.3919268,2.7534636553659542e+17,0.00021988045773468912,0.00016414117999374866,1.736598712054338e-11,199880559.48438239,0.00016042590141296387,0.00023339898374521,0.0004811141645770789,30,-0.01803255728615208,-0.01803255727609671,-0.018032557268786092,-137503.26705452328,-137503.2671945691,-137503.26727440374,12470.243745263891,12470.243846670608,12470.243909405071
40,-0.013147907967734941,-110484.19223225117,14206.178613831755,40,48450434630580.391,4754.7998763815949,48450434625825.594,10189794710.655876,2.3114020173306819e+18,0.0009012414666358382,0.0006695180491078645,8.653577507344856e-11,322358337.64030546,-0.00039696693420410156,0.00055724555616703728,0.0010222810971021179,40,-0.01314790798413602,-0.013147907967734941,-0.013147908054270716,-110484.1926516621,-110484.19223225117,-110484.19175042064,14206.178772347848,14206.178613831755,14206.1781028298
50,-0.009251829029999464,-88973.43108141422,15610.84466055897,50,55686664472059.234,3502.7718357088211,55686664468556.461,15897885184.631353,4.8177584397187449e+20,0.0011946139857172966,0.0007868961383792339,8.160739271845241e-11,412757029.87273431,0.000640869140625,0.0007554982356298126,0.0012695047329622788,50,-0.009251829009136434,-0.009251829029999464,-0.009251828948392072,-88973.43050621351,-88973.43108141422,-88973.4317008275,15610.84443807419,15610.84466055897,15610.845224970328
