voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-178.86228447413143,-372139454.28751665,-75298.02466242872,-150,6913944595536.6514,98588.113336956536,6913944496948.5381,70129596.373408884,5.4022392108489974e+18,7.408857345581055e-05,3.2465322874486446e-08,3.561240191629622e-11,18969424.887487561,-0.00026692519895732403,0.00010473493940386332,0.00014821571173762038,-150,-178.86228447413143,-178.86228447413143,-178.86228447409582,-372139454.28751665,-372139454.28751665,-372139454.28744256,-75298.02466243159,-75298.02466242872,-75298.02466239913
-140,-156.85333746172464,-326346677.36935633,-69440.187340771,-140,6592873711689.7314,95674.394248823563,6592873616015.3369,68909489.978514284,7.3775998185785334e+18,0.00023120641708374023,9.762879926711321e-08,1.1110046216344927e-10,16685438.785586575,0.00060327904066070914,0.00032680675325740216,0.00046245818013268547,-140,-156.8533374617247,-156.85333746172464,-156.8533374616136,-326346677.36935645,-326346677.36935633,-326346677.36912525,-69440.1873407767,-69440.187340771,-69440.18734086862
-130,-136.44472008462122,-283883842.31123805,-63330.023971419396,-130,6287707539178.5996,92846.788573729922,6287707446331.8115,67721324.945832789,4.1636938420188406e+18,0.00010442733764648438,1.554071786813438e-07,5.022116056352388e-11,14656154.130067794,-5.1698647439479828e-05,0.00014747326030727437,0.00020925805081262183,-130,-136.444720084621,-136.44472008462122,-136.444720084571,-283883842.3112376,-283883842.31123805,-283883842.3111336,-63330.023971413175,-63330.023971419396,-63330.02397126399
-120,-117.4850410904968,-244435956.63921857,-56930.896930961535,-120,5997949043693.1914,90102.751275698844,5997948953590.4404,66567878.991180904,2.927087223354924e+18,0.00030037760734558105,1.788430381566286e-07,1.4439649476116756e-10,12864903.589040527,0.00023486290592700243,0.0004245455290063812,0.00060103701969183021,-120,-117.48504109049702,-117.4850410904968,-117.48504109035262,-244435956.63921905,-244435956.63921857,-244435956.63891867,-56930.89693097866,-56930.896930961535,-56930.89693079982
-110,-99.83979361739867,-207723157.5606448,-50212.81992989358,-110,5723196431636.4609,87439.812535934107,5723196344196.6484,65452981.492663503,5.6700514892275743e+18,3.185868263244629e-05,2.4049950297921896e-07,1.5361933947133366e-11,11295923.075135836,-4.2430183384567499e-06,4.4912374086426318e-05,6.4225918812610416e-05,-110,-99.83979361739847,-99.83979361739867,-99.83979361738331,-207723157.5606444,-207723157.5606448,-207723157.56061295,-50212.819929879704,-50212.81992989358,-50212.81992965308
-100,-83.40536965691965,-173529866.9395677,-43168.57530217782,-100,5463159528588.2129,84855.575529816109,5463159443732.6377,64381856.990276337,3.2488519487939209e+20,0.0002631843090057373,5.204492481425405e-07,1.2640555269172182e-10,9934610.6412889175,0.00092247509746812284,0.00037160932857448247,0.0005265291016129936,-100,-83.40536965691942,-83.40536965691965,-83.40536965679324,-173529866.93956724,-173529866.9395677,-173529866.9393045,-43168.57530220439,-43168.57530217782,-43168.57530269827
-90,-68.13324445282565,-141755103.12226993,-35842.02411185061,-90,5217681427851.0518,82347.714269598117,5217681345503.3379,63361581.728533335,1.0713910225051185e+19,0.00016164779663085938,3.2619573175907135e-07,7.774758614687016e-11,8767962.706138432,0.00064714695326983929,0.00022767788955315823,0.00032402495737926529,-90,-68.1332444528248,-68.13324445282565,-68.1332444527479,-141755103.12226817,-141755103.12226993,-141755103.12210828,-35842.02411183642,-35842.02411185061,-35842.02411152441
-80,-54.060801412722434,-112476606.35364583,-28367.035956571664,-80,4986766911130.1895,79913.971510860254,4986766831216.2178,62401690.428468958,2.9076876827596099e+18,0.0005966275930404663,8.898787200450897e-07,2.8688162956314045e-10,7785234.4039990716,-0.00094942210125736892,0.00084308717116554784,0.0011950437030066041,-80,-54.06080141272155,-54.060801412722434,-54.060801413008434,-112476606.353644,-112476606.35364583,-112476606.35424063,-28367.035956589018,-28367.035956571664,-28367.035957461543
-70,-41.33292816032279,-85995763.06849487,-21001.43323443344,-70,4770619579678.6475,77552.156720837054,4770619502126.4912,61514982.708364271,2.3126062699521884e+18,0.0011246651411056519,5.900728865526617e-07,5.404174885370594e-10,6978892.6431367928,0.0020583677251124755,0.0015890215119339875,0.0022494111289006469,-70,-41.33292816032204,-41.33292816032279,-41.33292815978237,-85995763.0684933,-85995763.06849487,-85995763.0673702,-21001.433234414762,-21001.43323443344,-21001.433235004835
-60,-30.18402575115498,-62800174.30662864,-14119.721530939998,-60,4569690196850.0039,75260.144106790249,4569690121589.8594,60718594.829766072,2.9328306129403868e+18,0.0003750994801521301,2.3028405848890543e-08,1.8027535020337382e-10,6345976.756117044,-0.0013077215699013323,0.00052706471045594467,0.00075029829929462721,-60,-30.18402575115733,-30.18402575115498,-30.184025751335255,-62800174.306633525,-62800174.30662864,-62800174.30700374,-14119.72153094194,-14119.721530939998,-14119.721530963026
