voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,0.0009398168129261691,5866.521984090607,-2.7856260950379878e-05,-150,11821123092.613049,0.0064027980283356337,11821123092.606646,1846243320544.9514,1.686280774679032e+17,3.6733399610966444e-07,1.0967021395871449e-07,9.062531541176311e-14,16.73495733504696,8.9243555758893745e-08,5.6619458768408385e-07,9.4446902713140997e-07,-150,0.0009398168129380985,0.0009398168129261691,0.0009398168128474731,5866.521984069633,5866.521984090607,5866.521983723273,-2.780854154504908e-05,-2.7856260950379878e-05,-2.7918211759007796e-05
-140,0.0013528491001146932,8444.750975453104,-1.9203788884715025e-05,-140,11769576487.155209,0.0066694345868889629,11769576487.148539,1764703789177.6172,1.3202233217340478e+17,2.0118204702157527e-07,1.8019635040581188e-07,7.982698703445923e-14,14.686831142702275,1.1387390334166441e-07,3.5821366612886075e-07,7.1927561503435576e-07,-140,0.0013528491000932613,0.0013528491001146932,0.0013528491001730883,8444.750975516383,8444.750975453104,8444.750975654286,-1.9302319591574246e-05,-1.9203788884715025e-05,-1.9122123241168434e-05
-130,0.0018365807336987608,11464.299236540392,-1.2468819994061487e-05,-130,11734115924.986855,0.0069471748932167076,11734115924.979908,1689048585266.5325,28917569110182224.0,7.23845005268231e-07,6.054570506594027e-07,7.802851247074027e-14,14.221737024061181,5.201219498032207e-07,6.552495873152486e-07,1.6489684486161558e-06,-130,0.0018365807337520981,0.0018365807336987608,0.0018365807336740696,11464.299236400428,11464.299236540392,11464.299237124273,-1.2232366827902297e-05,-1.2468819994061487e-05,-1.28378238785617e-05
-120,0.0023449069682033004,14637.371851673304,-7.5991356587801235e-06,-120,11714200104.46998,0.0072364813490814264,11714200104.462744,1618770164585.1599,14908283352582054.0,1.468257323722355e-06,1.9084734678910202e-06,3.762597872158935e-13,15.47914565443819,1.010727251299024e-06,1.3555710949614469e-06,3.4357674477948256e-06,-120,0.002344906968485671,0.0023449069682033004,0.002344906968109411,14637.371851091973,14637.371851673304,14637.37185256023,-6.427162669631059e-06,-7.5991356587801235e-06,-8.33563613752208e-06
-110,0.002827175944991398,17647.789927643484,-4.42287040039097e-06,-110,11709337502.03265,0.0075378356123918357,11709337502.025112,1553408445626.3635,34024512733145252.0,2.4665860109962523e-07,6.068428861318083e-07,1.5491774529863278e-13,18.458796022995731,4.4425516502310872e-07,3.4094118080582408e-07,9.7789171492932834e-07,-110,0.002827175944928432,0.002827175944991398,0.0028271759450833496,17647.789927774404,17647.789927643484,17647.789927527745,-4.684855484882178e-06,-4.42287040039097e-06,-4.0780125987503695e-06
-100,0.0032485656392042153,20278.18751552578,-2.443865541782723e-06,-100,11719085664.444744,0.007851739399101056,11719085664.436892,1492546437008.1438,33988157826670508.0,2.0203078747726977e-06,1.32029228061493e-06,6.710972923207326e-13,23.151132422445183,4.4668045878304881e-07,3.2401873814975651e-06,5.9910570594098999e-06,-100,0.0032485656389777385,0.0032485656392042153,0.0032485656396488358,20278.18751599755,20278.18751552578,20278.18751754609,-3.386606951316651e-06,-2.443865541782723e-06,-2.0663146707017207e-06
-90,0.003597514390706814,22456.394451228873,-1.186176345345514e-06,-90,11743050816.359158,0.0081787153184989213,11743050816.350979,1435806279966.5237,9811474411420908.0,5.293622962199152e-07,2.418162935178738e-06,7.278014996225934e-13,29.700678518852207,1.555957996938459e-06,1.8621010111237222e-06,5.1833266343278236e-06,-90,0.003597514390955455,0.003597514390706814,0.0035975143902276536,22456.39445069951,22456.394451228873,22456.394450992753,-1.454625966346157e-07,-1.186176345345514e-06,-2.5636255318133535e-06
-80,0.00387987423432132,24218.940290494284,-6.737330168929777e-07,-80,11780887803.474791,0.0085193077432889966,11780887803.46627,1382845667566.719,72048861153568592.0,1.0308067430742085e-06,4.101998091094415e-07,2.74351288215291e-13,38.45778134272571,2.1330006269607518e-07,1.617637491689133e-06,2.8088003934454751e-06,-80,0.003879874234276667,0.00387987423432132,0.003879874234551018,24218.940290632934,24218.940290494284,24218.94029152509,-8.824259385420419e-07,-6.737330168929777e-07,-4.722261294326004e-07
-70,0.004109158748850282,25650.17945669601,-3.5087013961386806e-07,-70,11832300395.808573,0.0088740837158988624,11832300395.799698,1333354605908.1853,61705554428277536.0,3.9683072827756405e-08,2.777753666264818e-07,8.264222639553509e-14,49.98355185240392,2.5097500785667492e-07,2.2606201024295746e-07,6.4344437414924369e-07,-70,0.00410915874884107,0.004109158748850282,0.004109158748923712,25650.179456722955,25650.17945669601,25650.179456683272,-3.9309464527903515e-07,-3.5087013961386806e-07,-1.1531927865255339e-07
-60,0.004299564698906709,26838.730954848783,-1.87470589561275e-07,-60,11897041980.195103,0.009243633892532575,11897041980.18586,1287052485906.6597,71231637416883000.0,1.3177850632928312e-07,3.5688030054247445e-07,1.2269178728541164e-13,65.065672838370233,2.1930215027598748e-07,4.1096664133553429e-07,1.0306497246381871e-06,-60,0.004299564698882221,0.004299564698906709,0.004299564699004913,26838.73095492845,26838.730954848783,26838.73095498056,-3.037362121816045e-07,-1.87470589561275e-07,5.314408836086996e-08
