voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.00391088093721026,-19496.096403881907,-2458.1969204381357,-150,1503199833.6010225,319.03789444961535,1503199514.563128,4711665.4784669103,2.0031511280262134e+17,1.6570993466302752e-08,1.913304004119709e-08,6.612765890423589e-15,164434.37923529014,1.2207928019760998e-08,2.6319972312433772e-08,5.9859637246972852e-08,-150,-0.003910880937204908,-0.00391088093721026,-0.0039108809372115205,-19496.096403865336,-19496.096403881907,-19496.096403868345,-2458.1969204297175,-2458.1969204381357,-2458.1969204488505
-140,-0.003409419147084553,-16708.724366933107,-2286.771234400342,-140,1715764135.6112568,402.9892501833105,1715763732.6220067,4257592.8137805052,3.8921086560269856e+17,2.3865140974521637e-08,7.114977051969618e-09,5.9934696094998685e-15,150184.67691930966,6.9437230289186513e-09,2.7332235512581642e-08,5.6637428968997483e-08,-140,-0.0034094191470857476,-0.003409419147084553,-0.003409419147079754,-16708.724366932427,-16708.724366933107,-16708.724366909242,-2286.7712344044107,-2286.771234400342,-2286.7712343972958
-130,-0.0027974744498700764,-13239.104753911495,-2111.6412868085363,-130,1958545808.3507581,509.03149308789767,1958545299.3192649,3847592.6046732115,7.6412194150117079e+18,7.043126970529556e-09,3.0204319045878947e-09,2.5934115965853266e-16,135053.79720176081,3.9357411200311192e-10,2.9865827012015141e-08,4.6889493177104669e-08,-130,-0.0027974744498699775,-0.0027974744498700764,-0.002797474449870237,-13239.104753912165,-13239.104753911495,-13239.104753918538,-2111.6412868078933,-2111.6412868085363,-2111.641286805516
-120,-0.0020470655799703047,-8912.587185442448,-1932.799977722924,-120,2235835479.6974449,642.97760011571006,2235834836.7198448,3477314.7296190173,4.5201445285333549e+19,1.1679730960167944e-08,1.0345502232667059e-09,1.92597673920325e-15,119129.10703148477,1.6825289407829633e-10,2.2154666118891799e-08,2.95891062762621e-08,-120,-0.0020470655799722307,-0.0020470655799703047,-0.0020470655799716044,-8912.587185454127,-8912.587185442448,-8912.587185452285,-1932.7999777230953,-1932.799977722924,-1932.7999777220607
-110,-0.0011273824433113632,-3535.9582040309906,-1750.6926935880106,-110,2552533166.9332628,812.17016994893481,2552532354.763093,3142855.107684826,2.2017267948406166e+17,8.007737051229924e-08,2.2080712369643152e-08,1.4342260018507247e-14,102692.4170707598,1.6421327750621037e-08,5.7732628114963102e-08,9.8013117622031132e-08,-110,-0.0011273824433024383,-0.0011273824433113632,-0.001127382443297021,-3535.9582039509132,-3535.9582040309906,-3535.958203961258,-1750.692693600194,-1750.6926935880106,-1750.6926935781132
-100,-6.537851918721367e-06,3091.396048039198,-1566.1033046647967,-100,2914234822.3234892,1025.8839263392329,2914233796.4395628,2840706.1924857846,1.5040746086557722e+17,1.800799509510398e-09,3.687841854116414e-08,1.152745433830038e-14,86253.795005433276,2.8389705253005681e-08,1.9870794495484913e-08,5.7866060387823381e-08,-100,-6.5378519242006e-06,-6.537851918721367e-06,-6.537851912673145e-06,3091.396048040242,3091.396048039198,3091.396048038441,-1566.10330468242,-1566.1033046647967,-1566.1033046455416
-90,0.0013458538196410253,11160.604046672583,-1379.7595150933907,-90,3327331170.0620046,1295.8341358281752,3327329874.2278686,2567713.782239181,2.2214649150645498e+17,1.709486241452396e-08,3.0244336812756956e-08,1.2428860024504829e-14,70506.519856675717,2.1752216210798877e-08,5.5184366567432292e-08,1.1851620485003878e-07,-90,0.0013458538196461397,0.0013458538196410253,0.0013458538196337109,11160.604046677337,11160.604046672583,11160.604046660243,-1379.7595150798052,-1379.7595150933907,-1379.7595151100495
-80,0.0029554040560635817,20831.180195987225,-1191.4825572208847,-80,3799120580.2207637,1617.1593262790157,3799118963.0614376,2349255.5856956327,3.0374382120712614e+17,7.566995918750763e-08,3.421018845983781e-08,1.2405441257579142e-14,56183.748581391541,1.5937331674622255e-08,1.5385245549345247e-07,2.523955870969985e-07,-80,0.0029554040560511763,0.0029554040560635817,0.0029554040560578,20831.18019593863,20831.180195987225,20831.180195911555,-1191.4825572353047,-1191.4825572208847,-1191.4825572010946
-70,0.004839207892960891,32204.58350598812,-998.6466438776715,-70,4337937973.2600899,1909.9386244810141,4337936063.3214655,2271244.6974252034,7.8746360729349338e+17,1.2128657544963062e-07,1.6129206414916553e-08,2.199282422843396e-14,43870.165508197373,7.9066568556815942e-09,1.2871209352472978e-07,2.1275870665249386e-07,-70,0.004839207892982884,0.004839207892960891,0.004839207892973709,32204.583506109408,32204.58350598812,32204.583506084397,-998.6466438696732,-998.6466438776715,-998.6466438858024
-60,0.007001991152172611,45295.16331076622,-793.676686055358,-60,4953302031.7844143,1915.6998816843118,4953300116.0845327,2585635.7142066523,2.5203578200633814e+17,1.344596967101097e-07,3.6489950616669375e-08,2.790909864325286e-14,33871.810526797839,2.9556268981621863e-08,1.45482917268397e-07,2.4858587721610093e-07,-60,0.0070019911521885725,0.007001991152172611,0.00700199115220052,45295.16331089908,45295.16331076622,45295.16331090068,-793.6766860719694,-793.676686055358,-793.6766860354794
-50,0.009433413304944637,60006.29700267315,-560.535190023722,-50,5656083319.5664721,1837.6416348555817,5656081481.9248371,3077903.3366921823,1.4603163296828691e+17,6.993650458753109e-08,7.046310201985762e-08,3.378200497117234e-14,26207.698363267707,5.522508818197122e-08,9.8233650754852528e-08,1.7589846379451046e-07,-50,0.009433413304925206,0.009433413304944637,0.009433413304958988,60006.297002622654,60006.29700267315,60006.29700269259,-560.5351900591195,-560.535190023722,-560.5351899886564
-40,0.01211101210804118,76142.00367927551,-271.3385810822656,-40,6458696277.1223526,1762.7639957808269,6458694514.3583565,3663959.7204056997,2.4277597277370189e+17,6.798654794692993e-08,4.723619895230513e-08,2.09277040141842e-14,20697.924613461128,3.7852077165406121e-08,1.176525378397535e-07,2.4120112129821791e-07,-40,0.012111012108043887,0.01211101210804118,0.01211101210802296,76142.00367924367,76142.00367927551,76142.00367920753,-271.33858105789636,-271.3385810822656,-271.33858110513256
-30,0.015018478095131406,93522.51958233118,112.89156692244433,-30,7375318484.8219166,1690.9373655246934,7375316793.884551,4361674.5570782125,4.3144410755582254e+18,2.3213215172290802e-07,4.228922989568673e-09,3.7452679846339265e-14,17077.712166135978,6.0288343200528812e-09,3.2977615227409165e-07,5.4585069619861315e-07,-30,0.015018478095108251,0.015018478095131406,0.015018478095093954,93522.51958217983,93522.51958233118,93522.51958209905,112.8915669258497,112.89156692244433,112.89156692162078
