voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-420.08970545959534,-677798758.6487607,-294443264.8345848,-150,48443619259595.32,162.14385801310758,48443619259433.18,298769375869.16907,68466197817562576.0,0.0020128488540649414,0.0008904337882995605,6.820641829108354e-10,757840789.2530328,0.00099969870080686765,0.0013361230979354753,0.0024788335140328854,-150,-420.0897054592118,-420.08970545959534,-420.0897054598939,-677798758.6476961,-677798758.6487607,-677798758.649709,-294443264.83498466,-294443264.8345848,-294443264.8340942
-140,-381.1023545422672,-611782369.8766973,-271784480.5852887,-140,42628622917993.141,273.93311030457505,42628622917719.211,155616905421.16693,80223369285998544.0,0.0018393993377685547,0.0011678338050842285,1.2582290764839854e-09,687635777.09394372,0.00075057760687259199,0.0020990860781686426,0.0045069020125083625,-140,-381.1023545417782,-381.1023545422672,-381.1023545430364,-611782369.8762199,-611782369.8766973,-611782369.8780593,-271784480.5844786,-271784480.5852887,-271784480.58564645
-130,-343.05582758380507,-547761941.3976374,-249068160.26248616,-130,37517148830607.883,462.79488992467685,37517148830145.086,81066471664.615967,73392461566132272.0,0.0002976655960083008,0.0008147656917572021,1.1795009413617663e-10,616635114.09368539,0.00072181918977840497,0.00067377587136481835,0.0016238776152022183,-130,-343.0558275837563,-343.05582758380507,-343.05582758387425,-547761941.3978539,-547761941.3976374,-547761941.3975562,-249068160.2620091,-249068160.26248616,-249068160.26282388
-120,-305.8657380601591,-485594919.0278058,-226244756.47751445,-120,33024779854971.508,781.86645602007195,33024779854189.641,42238389434.274055,78926537308365328.0,0.0007613301277160645,0.0010333061218261719,6.969571586523671e-10,545222210.73547316,0.00059058376908374026,0.0017141743189144393,0.0030467081815004349,-120,-305.86573805963627,-305.8657380601591,-305.86573806033323,-485594919.0272241,-485594919.0278058,-485594919.02798545,-226244756.47675514,-226244756.47751445,-226244756.47778845
-110,-269.5292853440868,-425273227.29139405,-203317641.41024613,-110,29077315923246.914,1320.9202788494124,29077315921925.992,22012922648.575516,2.5292649703203546e+17,0.0009134411811828613,0.00019678473472595215,3.759623723453842e-10,474389989.29368818,0.00016217648433085397,0.0010224383566747759,0.0016550729633308947,-110,-269.52928534412007,-269.5292853440868,-269.5292853437441,-425273227.2915442,-425273227.29139405,-425273227.29063076,-203317641.4101246,-203317641.41024613,-203317641.41032138
-100,-234.15666832569775,-366970247.9845793,-180370683.97100163,-100,25609548568615.969,2231.6219984130075,25609548566384.348,11475755565.605602,1.9714665298706493e+17,0.002456843852996826,0.00035569071769714355,1.2947225513926242e-09,405541274.08772188,0.00018312111898462839,0.0025267962529948547,0.0044778741430491209,-100,-234.15666832537764,-234.15666832569775,-234.15666832667236,-366970247.98409265,-366970247.9845793,-366970247.9865495,-180370683.9707326,-180370683.97100163,-180370683.9710883
-90,-199.99774777109826,-311078180.5406507,-157595425.10381246,-90,22564183834437.082,3770.2023532705662,22564183830666.879,5984873415.3123522,66284716561923536.0,0.0009766221046447754,0.0002250373363494873,4.951630216964986e-10,340105741.23884374,0.00047945444379266373,0.0015645343413994714,0.0028608640423044562,-90,-199.9977477706031,-199.99774777109826,-199.99774777088828,-311078180.5396741,-311078180.5406507,-311078180.54036385,-157595425.103732,-157595425.10381246,-157595425.10358742
-80,-167.4506213958851,-258214789.13735747,-135307720.7755028,-80,19890895776471.762,6369.5490520864814,19890895770102.211,3122810675.2637496,1.0691822853375765e+17,0.0003350377082824707,0.000470966100692749,3.11928260998684e-10,279254886.09480518,0.00026173032785707689,0.00066904061039485172,0.0011890600435435772,-80,-167.4506213960743,-167.4506213958851,-167.45062139576237,-258214789.13752028,-258214789.13735747,-258214789.13718525,-135307720.77584913,-135307720.7755028,-135307720.77537817
-70,-137.03651972311923,-209176125.83412325,-113940304.76666534,-70,17545494923489.93,10761.002016706405,17545494912728.928,1630470368.4889781,36908618402893152.0,0.000888437032699585,0.0007395148277282715,5.331912689143792e-10,223941185.18221283,0.00066631802737771679,0.0013739730983234688,0.0028392010135576129,-70,-137.03651972309913,-137.03651972311923,-137.03651972258604,-209176125.83380947,-209176125.83412325,-209176125.83323482,-113940304.76707338,-113940304.76666534,-113940304.76633386
-60,-109.33145909746436,-164822783.53819454,-94000091.5387268,-60,15489197958333.861,18180.11973165147,15489197940153.742,851985475.72639298,1.9556320412371699e+17,0.00033149123191833496,0.0001815110445022583,1.0116707471752306e-10,175097529.56683517,0.00011106644463954709,0.00028917082665642365,0.0005770138232037425,-60,-109.33145909748077,-109.33145909746436,-109.33145909737961,-164822783.53831163,-164822783.53819454,-164822783.53798014,-94000091.5386024,-94000091.5387268,-94000091.53878391
