voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.03628798620976365,-0.006050404193599084,-0.0063211567906269845,-113258.37471462184,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,4.0690011881908512e+17,2.1993726223926147e-09,1.9704722072511754e-07,3.6685378290712833e-08,3.479855292809475e-14,-4.9010121944425285e-07,-113107.40560949354,2.9086557569037934e-07,4.8134261323595696e-07,-150,-0.036287986209757636,-0.03628798620976365,-0.036287986209792435,-0.006050402119046466,-0.006050404193599084,-0.006050401994226462,-0.006321196717316013,-0.0063211567906269845,-0.00632135383784771,-113258.37471458515,-113258.37471462184,-113258.37471461533
-140,-0.03138462105362055,-0.005240759802946879,-0.005833970584534549,-97954.48951273102,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,2.3904357701292457e+18,5.267191467706045e-09,7.108630608087044e-07,1.282751327380538e-07,1.3763989947790378e-13,-1.5065766148979849e-06,-130912.96334775008,9.8491842573679554e-07,1.5042748950057452e-06,-140,-0.03138462105360211,-0.03138462105362055,-0.03138462105373975,-0.005240754535755412,-0.005240759802946879,-0.005240759321530675,-0.00583408841736599,-0.005833970584534549,-0.005834681447595358,-97954.48951261984,-97954.48951273102,-97954.48951274811
-130,-0.027105486083458582,-0.004534593318768479,-0.005217421441467793,-84598.88824826457,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,2.7519773700053629e+17,1.2080610274287085e-08,3.6848442874770626e-07,4.931644070893526e-08,4.6792431040998395e-14,-9.1700100823872334e-07,-148884.79362607477,4.740611457308353e-07,7.2939791355307388e-07,-130,-0.02710548608346116,-0.027105486083458582,-0.027105486083505374,-0.004534581238158204,-0.004534593318768479,-0.004534584307336331,-0.005217395460100249,-0.005217421441467793,-0.005217763944528997,-84598.88824829769,-84598.88824826457,-84598.88824824838
-120,-0.023366403686148115,-0.003918372035961458,-0.004369641736766554,-72928.84435294977,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,2.1497409168529219e+17,2.3373798434950244e-09,2.8646426484656845e-07,6.490154191851616e-09,4.6563447542169456e-14,6.702072296880793e-07,-164833.18016759827,4.1145862896815761e-07,6.3302378457610057e-07,-120,-0.023366403686148434,-0.023366403686148115,-0.02336640368610187,-0.003918369834072182,-0.003918372035961458,-0.003918369698581614,-0.004369635151334705,-0.004369641736766554,-0.004369355272501707,-72928.84435295626,-72928.84435294977,-72928.84435295103
-110,-0.02009280368663163,-0.0033804280614152184,-0.0030812775467709804,-62711.61707216548,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,2.8285803966270715e+18,1.7045005043687944e-08,1.0109662998674523e-07,2.990418579429388e-09,1.9328288969333585e-14,-1.9443481553235025e-07,-175475.00876571093,1.5686669018358339e-07,2.4787926671981739e-07,-110,-0.02009280368662953,-0.02009280368663163,-0.02009280368664886,-0.0033804171313733004,-0.0033804280614152184,-0.003380434176378344,-0.003081292261327917,-0.0030812775467709804,-0.003081378643400967,-62711.61707216249,-62711.61707216548,-62711.61707216258
-100,-0.017216625947169568,-0.002910444674756806,-0.0008956585713136749,-53734.78424213044,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,4.0295866923033715e+17,1.643894202880969e-08,3.6875069474740646e-07,5.699985194951296e-08,7.725070583219917e-14,8.3833724137668643e-07,-177185.91730001685,5.1960557210663452e-07,8.2852060769637171e-07,-100,-0.017216625947177766,-0.017216625947169568,-0.017216625947100515,-0.0029104418539230128,-0.002910444674756806,-0.002910428235814777,-0.0008956308104544064,-0.0008956585713136749,-0.0008952898206189275,-53734.78424217273,-53734.78424213044,-53734.78424211573
-90,-0.014673088448503298,-0.002499208536943632,0.003233986342294954,-45796.15532409955,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,1.5062039133906959e+18,1.108693498119706e-08,2.9102064029104535e-07,1.129956217482686e-08,5.0638312987238976e-14,7.1714877727713774e-07,-167875.61805026548,4.0636105532492031e-07,6.4074458541487061e-07,-90,-0.014673088448505369,-0.014673088448503298,-0.01467308844845473,-0.0024992094408018972,-0.002499208536943632,-0.002499198353866916,0.0032339978144335646,0.003233986342294954,0.003234277362935245,-45796.15532411085,-45796.15532409955,-45796.15532410366
-80,-0.01239751139549856,-0.002138138084093347,0.011779444620625676,-38693.859542778235,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,5.7565235603991917e+17,5.602917412580316e-09,5.357185602072878e-08,2.6302586775273085e-08,7.303185833862358e-16,1.6356414630890021e-07,-148900.31809193696,8.4149985749478198e-08,1.7071355919310908e-07,-80,-0.012397511395498802,-0.01239751139549856,-0.012397511395498072,-0.0021381436870107594,-0.002138138084093347,-0.002138141555512618,0.011779445281312917,0.011779444620625676,0.011779498192481697,-38693.859542773724,-38693.859542778235,-38693.859542800026
-70,-0.010323463459895073,-0.0018189132283038898,0.03058811271358639,-32220.561102780688,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,1.4761300866261507e+18,2.5952532377911813e-09,8.236412316411923e-08,1.3311364455148578e-08,1.6785184353551585e-14,-2.7062144829008966e-07,-124900.58613778334,1.2207075760986753e-07,1.8629426930512769e-07,-70,-0.010323463459892981,-0.010323463459895073,-0.010323463459909766,-0.001818910633050652,-0.0018189132283038898,-0.0018189128704477753,0.030588104037740038,0.03058811271358639,0.030588030349463224,-32220.56110277241,-32220.561102780688,-32220.561102785723
-60,-0.008386130955152045,-0.0015330098435373113,0.07301012710770353,-26173.976779644363,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,1.340751379297983e+18,1.2273392726615262e-08,8.561284974006877e-08,8.68749339133501e-09,1.4047790708460184e-14,-2.5769008269078703e-07,-101326.87444267675,1.2719831875365404e-07,2.241864899744835e-07,-60,-0.008386130955146865,-0.008386130955152045,-0.008386130955160912,-0.0015329975701445847,-0.0015330098435373113,-0.0015330033540621457,0.07301011752491604,0.07301012710770353,0.0730100414948538,-26173.976779635675,-26173.976779644363,-26173.976779635723
