voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-9.97512466486494e-05,-139.9467443011908,-42.796039526544796,-160.03068542662072,-150,40234355634019248.0,16.967672009107311,40234355634019232.0,2371236054800191.0,1.6266712389212856e+23,1.2946490683796128,1.9084598654836569,0.13236823809165799,4.148060163875443e-07,-1.2948418785350668,-341.65732196963478,1.540237109048338,2.5901413341392199,-150,-0.00010016605266503694,-9.97512466486494e-05,-9.987079138118494e-05,-141.2413933695704,-139.9467443011908,-139.9467576100099,-41.50183940334637,-42.796039526544796,-43.41029926883002,-160.03023932088217,-160.03068542662072,-160.16260755897383
-140,-9.782166029964379e-05,-133.3657098224545,-40.30767132605488,-170.21729845529444,-140,37575317754420192.0,16.585185996988312,37575317754420176.0,2265595198102901.0,2.4701048998821315e+24,3.202295682735496,4.752616320062387,0.32898691162927207,1.0259744275418136e-06,-3.2025149940817528,-332.53357952451529,3.8102551505332709,6.4055883101305842,-140,-9.88476347271856e-05,-9.782166029964379e-05,-9.812268425977993e-05,-136.5678712147315,-133.3657098224545,-133.365575531996,-37.10599913432452,-40.30767132605488,-41.85861545438691,-170.21682122388802,-170.21729845529444,-170.5458081355173
-130,-0.00010204661612695401,-136.38257908622836,-38.76149489882923,-189.08587475231093,-130,35092701624305372.0,16.21132200145404,35092701624305356.0,2164703262396355.2,1.1569874376400377e+23,0.7629852712167349,1.137484914613303,0.08170428955054376,2.444088845353538e-07,0.77534265778382405,-319.68835460337738,0.90699782566507303,1.5259645007814493,-130,-0.00010180220724241866,-0.00010204661612695401,-0.00010197358385325838,-135.61975760952436,-136.38257908622836,-136.3827428807411,-39.5242813311188,-38.76149489882923,-38.3867964165055,-189.0859042823722,-189.08587475231093,-189.00419999282167
-120,-0.0001483985890368672,-207.7295364118947,-41.93949311307625,-261.20516255053553,-120,32775240280674568.0,15.845885664625685,32775240280674552.0,2068375411406756.0,2.7353584003186013e+22,52.87337526977174,74.95189128753313,6.472508157261927,1.6940670166929665e-05,52.931942749519408,-274.56993014231205,62.584826056668419,105.75389352515151,-120,-0.00013145791886993755,-0.0001483985890368672,-0.00014382458719954623,-154.85616114212297,-207.7295364118947,-207.72935531745557,-94.80550746667814,-41.93949311307625,-19.853616179145007,-261.21226921892276,-261.20516255053553,-254.73976106166083
-110,-9.642043736867996e-05,-116.71037273115599,-34.5708364929298,-217.17343463120505,-110,30612663877429464.0,15.488687009848341,30612663877429448.0,1976453127238266.2,2.8725216395579428e+22,5.308745184785849,7.978249148543135,0.575631200904354,1.7008793446283228e-06,-5.3462075024957585,-310.64655912669565,6.3162711438899874,10.618580724197466,-110,-9.812131671330828e-05,-9.642043736867996e-05,-9.69402654094817e-05,-122.01897777625175,-116.71037273115599,-116.7102325914659,-29.262490366148995,-34.5708364929298,-37.24073951469213,-217.17318999615873,-217.17343463120505,-217.74882119706308
-100,-9.774573026787394e-05,-111.6757376601713,-33.392803253036305,-241.72811277939581,-100,28595794071393580.0,15.139540342929248,28595794071393564.0,1888815209951134.5,4.3281452337390709e+22,1.787314876568601,2.6870012804296977,0.202322194610133,5.726441855730016e-07,-1.815089855081411,-300.48094819426638,2.1246669174020516,3.5746317059024175,-100,-9.831837445344694e-05,-9.774573026787394e-05,-9.792226054446945e-05,-113.46299921120931,-111.6757376601713,-111.6756843346407,-31.605887602046096,-33.392803253036305,-34.29288888247579,-241.7278017396502,-241.72811277939581,-241.93012393426034
-90,-9.600709090532881e-05,-100.04581816534211,-32.155086080955236,-267.00265858237435,-90,26716734057752748.0,14.798264155602336,26716734057752732.0,1805396482778577.2,1.5963747561911334e+22,0.5857197887787748,0.8774274340295989,0.06782761454178399,1.876644880061942e-07,0.59089182406910112,-291.88599443293344,0.69573832622067266,1.1716863433296529,-90,-9.581942641732262e-05,-9.600709090532881e-05,-9.594944343849988e-05,-99.46009837656334,-100.04581816534211,-100.04571402358454,-32.74071293598627,-32.155086080955236,-31.863285501956668,-267.0027523420804,-267.00265858237435,-266.9349247275386
-80,-9.037568715458574e-05,-80.7748177319374,-30.673205488102635,-291.1452074495792,-80,24969212690628912.0,14.464681031168894,24969212690628896.0,1726219377864231.0,6.4904426867693554e+22,0.12070472413384437,0.18119011484594694,0.01435038551062462,3.866733380007866e-08,0.1219827327869325,-286.40209160994834,0.14325841986593296,0.24135746715797685,-80,-9.033701982078566e-05,-9.037568715458574e-05,-9.036370492304726e-05,-80.65414032592662,-80.7748177319374,-80.77484505006046,-30.79383976227018,-30.673205488102635,-30.612649647424234,-291.14523626859955,-291.1452074495792,-291.1308858830889
-70,-8.552868918512885e-05,-61.2364034495486,-29.366927855686825,-320.8108105168212,-70,23349178421175248.0,14.138617552265272,23349178421175232.0,1651447062264886.7,3.5144450680904418e+22,0.7457670623992172,1.1166650225104746,0.0896114942352142,2.389406683477876e-07,0.74636760431607319,-280.0798212958511,0.88496210087055915,1.4916226527963388,-70,-8.528974851678106e-05,-8.552868918512885e-05,-8.545491303299994e-05,-60.49063638714938,-61.2364034495486,-61.23639172256665,-30.1125958618195,-29.366927855686825,-28.995930839309025,-320.8109289141921,-320.8108105168212,-320.7213174199569
-60,-5.8397497659615215e-05,-15.733839505698741,-24.147579450505248,-293.17960153062086,-60,21855799777126344.0,13.819904210709696,21855799777126332.0,1581472595171047.0,1.3519839263254576e+22,33.227147656487745,52.05493372407092,3.5012397515001794,1.0646148234519724e-05,-33.127247888402678,-318.97155232290891,39.869090242358155,66.454649373439338,-60,-6.904364589413494e-05,-5.8397497659615215e-05,-6.197478420555248e-05,-48.960987162186484,-15.733839505698741,-15.733852997873228,9.072752426332954,-24.147579450505248,-42.98218129773797,-293.1738477071576,-293.17960153062086,-296.6750874586578
