voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.46228347549774845,-1393266.7973028426,-634.1317297689254,-97862.7829943803,-150,3873995845378.0791,753.95262197430566,3873995844624.1265,5138248389.1807499,1.1040924046595964e+18,4.129181616008282e-05,1.7347150560453883e-05,2.2342122974805534e-05,1.3464507286897742e-11,-2.4559329823927538e-05,-4651676.9998086216,5.2172392680543133e-05,0.0001177178138576096,-150,-0.46228347548428395,-0.46228347549774845,-0.4622834754885108,-1393266.7972615508,-1393266.7973028426,-1393266.7972905308,-634.1317178656209,-634.1317297689254,-634.1317124217749,-97862.78301672242,-97862.7829943803,-97862.78299603508
-140,-0.3593913280090929,-1086713.3875723733,-520.4900275041113,-68923.8054063184,-140,4554354811700.5322,887.60740208002812,4554354810812.9248,5131046452.5507689,49740829062046048.0,0.0005220826715230942,1.622915772259148e-05,5.632266402244568e-05,1.6102130739881204e-10,-0.00054174647431631004,-5042449.5336417621,0.00069795303289932223,0.0010780285485463281,-140,-0.35939132785674105,-0.3593913280090929,-0.3593913278480716,-1086713.3871081949,-1086713.3875723733,-1086713.3870502906,-520.4900410485006,-520.4900275041113,-520.490043733269,-68923.80535657611,-68923.8054063184,-68923.80541289877
-130,-0.2781544100581503,-842228.3973399169,-432.4317053476499,-50973.036404791164,-130,5358583873093.8662,1044.9554484792368,5358583872048.9111,5128050081.8407297,29938460311301456.0,0.00027982343453913927,2.6371873786956712e-05,6.531667895615101e-05,8.124173556112169e-11,0.00036047608453872518,-5602164.1445461176,0.00035256038375678739,0.00058942492245961375,-130,-0.278154410139392,-0.2781544100581503,-0.2781544101297938,-842228.3976197403,-842228.3973399169,-842228.3975364014,-432.4317109957028,-432.4317053476499,-432.43173171952367,-50973.03634097474,-50973.036404791164,-50973.036406291416
-120,-0.21462233842026712,-649300.0110155054,-357.2831694632775,-40400.38304246669,-120,6309086205459.4814,1230.196916730976,6309086204229.2842,5128517328.9368401,36702047744793792.0,0.0013056399766355753,2.0883976787899883e-05,8.414497278863564e-05,4.2482206641381026e-10,0.0012760962445438236,-6352081.2795541817,0.0018148677072032902,0.0026926559366167169,-120,-0.2146223388350407,-0.21462233842026712,-0.2146223388450892,-649300.0122663674,-649300.0110155054,-649300.0123211454,-357.2831716904493,-357.2831694632775,-357.2831903472543,-40400.3831253869,-40400.38304246669,-40400.38304124193
-110,-0.16530345381123762,-498387.8035913216,-276.0708530389626,-34529.01647480977,-110,7432321735128.4404,1448.2765328769626,7432321733680.1641,5131838821.1154203,23807900844258112.0,0.0017267806106247008,0.00017154655267859198,2.4654458684381098e-05,5.77493636244597e-10,0.0023729824372454274,-7318127.6716928929,0.0023385877921984579,0.0038222936915186523,-110,-0.16530345438873126,-0.16530345381123762,-0.16530345436586413,-498387.8053181022,-498387.8035913216,-498387.8051384918,-276.0709171529452,-276.0708530389626,-276.07102458551526,-34529.01649784972,-34529.01647480977,-34529.016499464225
-100,-0.1272198093444029,-381146.15321354306,-162.72038928768825,-31513.39726626681,-100,8759541569925.8779,1705.0155850299579,8759541568220.8623,5137514077.193593,58571217256382168.0,0.002064041036646813,8.172146272045211e-05,0.001244004990439862,6.914602779239942e-10,-0.00031968892028929875,-8527300.0478196219,0.0025750201021197921,0.0043888979355779512,-100,-0.12721980887008955,-0.1272198093444029,-0.12721980865294263,-381146.1524245661,-381146.15321354306,-381146.151149502,-162.720319888409,-162.72038928768825,-162.72030756622553,-31513.39602226182,-31513.39726626681,-31513.39724156046
-90,-0.09790760862926406,-290521.7054379983,19.018229740297045,-30153.231259289754,-90,10327655396447.375,2007.2673133909143,10327655394440.107,5145132054.6841736,2.1622665605757741e+17,0.001966702111531049,0.00016660746410934735,0.00019118739510304295,5.644174849717132e-10,0.0018756163504316361,-9989487.0053342953,0.0025252275268575889,0.0040194880882145068,-90,-0.0979076091444021,-0.09790760862926406,-0.09790760919368155,-290521.7070073385,-290521.7054379983,-290521.7074047004,19.018248385651532,19.018229740297045,19.018396347761154,-30153.231373493094,-30153.231259289754,-30153.2311823057
-80,-0.0753733266535444,-220720.1637042385,322.81647327853796,-29700.478156959,-80,12180255916444.375,2363.0998465839748,12180255914081.275,5154355172.1065798,1.8325902091441878e+17,0.0007348664512392133,0.0004540197151072789,0.001309012823185185,2.1193601040803145e-10,0.0015391460800206194,-11541832.921555409,0.0014416702296346107,0.0030077366745937528,-80,-0.07537332662490803,-0.0753733266535444,-0.0753733264416084,-220720.16425275384,-220720.1637042385,-220720.16351788738,322.8164566643936,322.81647327853796,322.81691068410873,-29700.476847946178,-29700.478156959,-29700.478081526013
-70,-0.05802452410421845,-167083.7202741022,833.1281479359285,-29699.34074278887,-70,14368828753504.49,2782.0115675035049,14368828750722.479,5164906185.6341066,2.4011824752906163e+18,0.009123200114117935,0.00047381365141063725,0.0022689100696879905,3.0903215819666485e-09,-0.0091567340857803825,-12106077.020945005,0.012491525167268314,0.021184753188720484,-70,-0.058024521074479696,-0.05802452410421845,-0.058024521013896865,-167083.71204261598,-167083.7202741022,-167083.7111509021,833.1282381081328,833.1281479359285,833.1286217495799,-29699.3384738788,-29699.34074278887,-29699.340646419518
-60,-0.04459169313626567,-125926.95312594871,1686.487015365002,-29869.212199966598,-60,16954181408549.588,3275.1846575215263,16954181405274.402,5176557410.1643324,97401813205779152.0,0.002292149860295467,0.0005460813019908528,0.0016794493058114313,5.095126889842483e-10,-0.0021510085912315917,-11797400.614272254,0.0034076541890543442,0.0073572729604822196,-60,-0.04459169262675298,-0.04459169313626567,-0.044591692635229656,-125926.95083379885,-125926.95312594871,-125926.95117374594,1686.486995517811,1686.487015365002,1686.4864692837,-29869.213564093225,-29869.212199966598,-29869.21188464392
