voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1443.7436526261072,-460144.2668641257,-1569389.1068058677,-3002844580.2012796,-150,2881896371655.1797,226419.30505775462,2881896145235.8745,12728138.931969916,1.0648066035132038e+18,5.052424967288971e-08,1.2347009032964706e-06,9.059906005859375e-06,3.865352482534945e-12,7.9729545796034197e-06,-122090648.52388977,1.3276203776944064e-05,3.0307466836632102e-05,-150,-1443.7436526261088,-1443.7436526261072,-1443.743652626111,-460144.26686416403,-460144.2668641257,-460144.2668641135,-1569389.1068051017,-1569389.1068058677,-1569389.106804633,-3002844580.2012835,-3002844580.2012796,-3002844580.2012887
-140,-1250.5071707177424,-403012.834722185,-1391080.244093656,-2600909084.3766384,-140,2330987609236.7729,243128.13584909699,2330987366108.6372,9587486.043505691,1.5427479478855626e+18,9.655486792325974e-07,1.2088567018508911e-06,2.09808349609375e-05,1.0231815394945443e-11,1.5196895874044441e-05,-124178833.48851798,2.9256286234868746e-05,4.7031025200539034e-05,-140,-1250.5071707177412,-1250.5071707177424,-1250.5071707177515,-403012.83472121943,-403012.834722185,-403012.83472211007,-1391080.2440937757,-1391080.244093656,-1391080.244092567,-2600909084.3766365,-2600909084.3766384,-2600909084.3766575
-130,-1058.3970942830024,-339549.5076069836,-1198208.726024392,-2201329156.00513,-130,2004224914199.5903,261070.01090909174,2004224653129.5793,7676963.3831956657,4.5047416291774099e+17,4.423782229423523e-07,5.266629159450531e-07,1.430511474609375e-05,7.048583938740194e-12,-3.3192746556019576e-05,-120807739.11598386,1.6945333772416591e-05,3.1974714243432345e-05,-130,-1058.397094283005,-1058.3970942830024,-1058.3970942830094,-339549.5076065412,-339549.5076069836,-339549.50760672987,-1198208.7260246486,-1198208.726024392,-1198208.7260249187,-2201329156.005135,-2201329156.00513,-2201329156.005144
-120,-870.7609733136426,-269341.4218562038,-992026.5709685845,-1811069453.8171513,-120,1772078051481.1938,280335.92392768897,1772077771145.27,6321266.3816082701,1.2773902305712343e+18,4.1496241465210915e-07,5.913316272199154e-06,7.3909759521484375e-06,3.296918293926865e-12,-2.0940510033230379e-06,-108595309.9669534,8.1806948228806512e-06,1.8495226584036573e-05,-120,-870.7609733136451,-870.7609733136426,-870.7609733136459,-269341.4218566188,-269341.4218562038,-269341.4218564257,-992026.5709731784,-992026.5709685845,-992026.570967265,-1811069453.8171532,-1811069453.8171513,-1811069453.8171587
-110,-693.1950626786806,-191680.6844054208,-779019.1500835348,-1441770199.1205828,-110,1618453457751.7717,301023.58356186893,1618453156728.1882,5376500.533949472,2.8767107696930473e+18,7.1285758167505264e-06,6.111920811235905e-06,6.198883056640625e-06,2.1600499167107046e-12,-0.00015927847082453702,-95358091.486847281,1.5645323481883017e-05,4.1662170261247411e-05,-110,-693.1950626786828,-693.1950626786806,-693.1950626786825,-191680.68441254937,-191680.6844054208,-191680.68440764397,-779019.1500774228,-779019.1500835348,-779019.1500815544,-1441770199.120589,-1441770199.1205828,-1441770199.120587
-100,-532.390480731652,-105019.66160146444,-572184.1714989097,-1107345669.524168,-100,1531262167210.873,323237.90897310455,1531261843972.9641,4737260.465752746,4.5173498294617542e+17,5.378678906708956e-06,3.209104761481285e-06,1.1682510375976562e-05,5.115907697472721e-12,4.6853078421455622e-05,-82927071.322466567,1.4710729465787259e-05,3.0264507962840526e-05,-100,-532.3904807316472,-532.390480731652,-532.3904807316469,-105019.66159608576,-105019.66160146444,-105019.66160110105,-572184.1714979818,-572184.1714989097,-572184.1715011909,-1107345669.5241606,-1107345669.524168,-1107345669.5241563
-90,-394.1896833563823,-6331.846191288263,-388698.31853446364,-819942010.0985519,-90,1501665179597.4814,347091.56193348835,1501664832505.9194,4326423.7575595081,2.6367186074019814e+17,9.523937478661537e-07,1.125270500779152e-06,2.5033950805664062e-06,1.4779288903810084e-12,-7.5255274416345294e-06,-71644826.651145682,4.6072266607631346e-06,1.0582220141941434e-05,-90,-394.18968335638124,-394.1896833563823,-394.18968335638084,-6331.846192090423,-6331.846191288263,-6331.846191138029,-388698.3185333384,-388698.31853446364,-388698.31853377854,-819942010.0985501,-819942010.0985519,-819942010.0985494
-80,-281.794589206325,109396.42887042533,-243131.2842561012,-586213514.8788064,-80,1523492582334.1182,372705.51819914364,1523492209628.5999,4087657.7027767189,7.8886730537231245e+17,1.3207318261265755e-06,2.9143993742763996e-06,2.7418136596679688e-06,6.252776074688882e-13,3.285785618360859e-06,-61651071.266308092,4.5099838763989199e-06,1.0875138102051096e-05,-80,-281.7945892063246,-281.794589206325,-281.7945892063252,109396.4288717081,109396.42887042533,109396.42887038738,-243131.28425881942,-243131.2842561012,-243131.28425590502,-586213514.8788042,-586213514.8788064,-586213514.878807
-70,-195.08503733789723,249388.8602282767,-140623.60073731473,-405909141.9717636,-70,1592801854958.7686,400209.68104868772,1592801454749.0874,3979918.3537616506,9.6721366585770291e+17,2.7568312361836433e-06,3.404624294489622e-06,6.616115570068359e-06,1.7337242752546445e-12,-2.7895314224938282e-06,-53017780.362625122,6.6758463694983057e-06,1.8044307140030469e-05,-70,-195.0850373378985,-195.08503733789723,-195.08503733789678,249388.86023103353,249388.8602282767,249388.86022862094,-140623.60073504457,-140623.60073731473,-140623.6007384492,-405909141.9717686,-405909141.9717636,-405909141.971762
-60,-131.21863171695793,423058.7864463647,-76050.66095062389,-273121179.98913455,-60,1707548429030.3696,429743.54009835637,1707547999286.8296,3973412.6745443554,1.4972039672958817e+18,8.84645851328969e-06,2.4843320716172457e-06,1.996755599975586e-05,8.895995051716454e-12,1.3692893093910597e-05,-45767373.596524931,1.5363067658180042e-05,3.0240072888432223e-05,-60,-131.21863171696282,-131.21863171695793,-131.21863171695392,423058.7864552112,423058.7864463647,423058.78644641023,-76050.66095310822,-76050.66095062389,-76050.66095088697,-273121179.989146,-273121179.98913455,-273121179.989126
-50,-85.89999088772527,642202.753772361,-38991.85864705518,-178922968.74192485,-50,1867347656163.3364,461456.87873502565,1867347194706.4578,4046635.2160189403,1.9500728717822902e+19,6.846850737929344e-06,1.3255717931315303e-05,1.6361474990844727e-05,7.105427357601002e-12,8.6822393581060853e-05,-39879073.753515497,1.8704064181658004e-05,4.1450640765106073e-05,-50,-85.89999088772163,-85.89999088772527,-85.89999088771816,642202.7537792078,642202.753772361,642202.7537782113,-38991.85863420961,-38991.85864705518,-38991.85864746533,-178922968.7419281,-178922968.74192485,-178922968.74191174
-40,-54.58067338873843,922707.5597309407,-19185.08060542594,-113862555.63874605,-40,2073312189705.187,495510.53375493572,2073311694194.6533,4184193.9746342176,7.6499011740736179e+17,8.141854777932167e-06,1.089811121346429e-05,0.00010272860527038574,5.190514684727532e-11,5.1021434001878467e-05,-35301843.786328755,0.00014041736113257108,0.00024350105741177686,-40,-54.58067338879034,-54.58067338873843,-54.58067338877968,922707.5597353822,922707.5597309407,922707.5597390826,-19185.080615549465,-19185.08060542594,-19185.080604651353,-113862555.63884878,-113862555.63874605,-113862555.6388351
-30,-33.208637812059635,1289766.2524644814,-9117.437965553489,-69522133.03907675,-30,2327952680294.6641,489216.22750499577,2327952191078.4365,4758535.2844226565,2.2029575762346557e+18,2.431171014904976e-05,2.0453935576369986e-05,0.00015422701835632324,7.563727422166266e-11,-2.0852059180292333e-05,-31975250.417616032,0.00020210214712537515,0.00036759064208524705,-30,-33.20863781200428,-33.208637812059635,-33.208637811984,1289766.2524498147,1289766.2524644814,1289766.2524741264,-9117.437945181853,-9117.437965553489,-9117.437965635789,-69522133.03897023,-69522133.03907675,-69522133.03892252
-20,-18.5204256848754,1786672.7081031231,-4148.87612129685,-39128841.76613453,-20,2635132835216.2319,476279.36092534795,2635132358936.8711,5532746.2229236988,1.976953103757781e+18,5.728565156459808e-06,3.356807883392321e-05,5.766749382019043e-05,1.6612489162071142e-11,3.9156114601165203e-05,-29853777.971712861,7.4054648786373237e-05,0.00013131845049940694,-20,-18.52042568489201,-18.5204256848754,-18.520425684887947,1786672.7081052875,1786672.7081031231,1786672.708099559,-4148.876087728771,-4148.87612129685,-4148.87612106657,-39128841.7661922,-39128841.76613453,-39128841.7661596
-10,-8.048124296436892,2478732.0899167946,-1685.9315855933323,-17571113.201751016,-10,3000072465731.8682,463684.59770918253,3000072002047.2705,6470071.4247435015,1.5591530312898865e+18,1.8680933862924576e-05,2.276182340210653e-05,2.5659799575805664e-05,9.105605158765684e-12,0.00018812228861769884,-28922904.333331637,4.9953610463410637e-05,0.00011249903930377059,-10,-8.048124296439564,-8.048124296436892,-8.048124296445998,2478732.089921761,2478732.0899167946,2478732.0899354755,-1685.931562831509,-1685.9315855933323,-1685.931584866401,-17571113.201773405,-17571113.201751016,-17571113.201776676
0,-0.028782024585568777,3432310.353084749,-336.9530918058473,-1203766.5072391406,0,3429394281032.6123,451422.89125231706,3429393829609.7212,7596855.0720122792,6.9888594574668687e+18,9.039882570505142e-06,6.131897748673509e-06,2.8401613235473633e-05,1.5982881684806216e-11,0.00014619087268160554,-29185127.651284955,3.9593787579054435e-05,0.00010398806020361917,0,-0.028782024599146583,-0.028782024585568777,-0.0287820245831637,3432310.353089751,3432310.353084749,3432310.353093789,-336.95309793774504,-336.9530918058473,-336.95309267485754,-1203766.5072649717,-1203766.5072391406,-1203766.5072365701
10,6.681937458571192,4662790.337132079,670.846031634865,12348613.20743674,10,3931211991177.9639,439485.43417957419,3931211551692.5298,8945033.6357943248,1.9155973092174828e+18,1.0301358997821808e-05,1.5161087162596232e-05,1.3347715139389038e-05,6.8336447611727635e-12,1.1616416315373346e-05,-30601588.623355746,2.3923138781569774e-05,6.2772539060063082e-05,10,6.681937458577299,6.681937458571192,6.681937458578026,4662790.337132906,4662790.337132079,4662790.337122604,670.8460467959521,670.846031634865,670.8460376802686,12348613.207439065,12348613.20743674,12348613.207450088
