voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.11888787237676497,-192.30449861937086,-246902.10653537555,-838.3173147753182,-150,8.457049495592516e+19,282.48137768640078,8.457049495592516e+19,2.9938431923753875e+17,8.416982581540821e+18,4217.53449758691,4217.604435164249,0.0001961593948180962,3.3580574959612974e-08,13578719576.001364,-3204.4414958953857,5727.5198769583394,8278.916696383043,-150,-0.11888785374343754,-0.11888787237676497,-0.1188878873240125,-270.4822646657868,-192.30449861937086,3947.0522329211235,-246823.88993297424,-246902.10653537555,-251041.4943681385,-838.317510934713,-838.3173147753182,-838.3173147755369
-140,-0.11229367594033822,-160.21993356046733,-233219.88242068462,-818.9684699627444,-140,4.6302130328172487e+19,267.63192670895677,4.6302130328172487e+19,1.7300675183841174e+17,2.8015092446492375e+18,410.75995737992787,410.6279361960187,3.916259072411776e-05,6.344310712891321e-08,7649606582.4157381,1321.8608198165894,418.13744873886111,667.77129260033246,-140,-0.11229368787176984,-0.11229367594033822,-0.11229362442866271,-254.9632327624466,-160.21993356046733,155.79672461748123,-233125.1639606534,-233219.88242068462,-233535.7918968494,-818.9684308002226,-818.9684699627444,-818.9684699628133
-130,-0.10597542936767286,-242.243583092466,-219998.0085300611,-798.7777908317692,-130,2.5350363895721734e+19,253.5630800890018,2.5350363895721734e+19,99976557655095696.0,8.7145776713049395e+17,698.5709112975746,698.5370124719338,6.854415948964743e-05,1.6291775609134085e-08,4240973281.3654723,-29.561624050140381,945.01698738106893,1397.2013485115201,-130,-0.10597541844980334,-0.10597542936767286,-0.10597541307589725,-240.2078170843912,-242.243583092466,456.32732820510864,-220000.0215560561,-219998.0085300611,-220696.54554253304,-798.7778593758461,-798.7777908317692,-798.7777908316866
-120,-0.09991277234645903,-195.58560173911974,-207437.03199470928,-777.3803346187055,-120,1.3879368259114433e+19,240.23380309980715,1.3879368259114433e+19,57774418420825368.0,4.2793803967046464e+17,244.3378103324157,244.7059773474757,4.516997250902932e-06,1.7694034425141947e-07,2327801223.4357538,-549.30479121208191,272.55701027262006,428.16620083865286,-120,-0.09991277165252066,-0.09991277234645903,-0.09991294859286491,-226.20874666654885,-195.58560173911974,18.129063665866852,-207406.40740437616,-207437.03199470928,-207651.11338172364,-777.3803391357028,-777.3803346187055,-777.3803346213863
-110,-0.09410033201471849,-223.74318904988468,-195322.42800053023,-754.3204806884078,-110,7.5990588819014717e+18,227.60521812378855,7.5990588819014717e+18,33387015221103332.0,2.8823058510211589e+18,281.751235835359,281.7967957635119,1.5072014548422885e-05,2.1898516014418057e-08,1266884543.3647008,176.16642084717751,378.78389978335758,546.32105960982562,-110,-0.0941003495317419,-0.09410033201471849,-0.09410032763322589,-212.96800590296036,-223.74318904988468,-494.7192417383194,-195333.23962689165,-195322.42800053023,-195051.44283112814,-754.3204957603459,-754.3204806884078,-754.3204806883314
-100,-0.08855616860292581,-198.76434527151287,-183819.91285038274,-729.0408407889042,-100,4.1606315177613097e+18,215.64049125782225,4.1606315177613097e+18,19294296231160088.0,7.7144320487039475e+17,164.0792844456724,163.88540413448936,4.592629693433992e-06,1.0185903048798295e-07,681758366.15024865,-155.08217734098434,226.01512711021192,324.87859442836054,-100,-0.08855615992203714,-0.08855616860292581,-0.08855606674389532,-200.44183130684414,-198.76434527151287,-36.36254686117172,-183818.21730327178,-183819.91285038274,-183982.10270740627,-729.0408361962745,-729.0408407889042,-729.040840788839
-90,-0.08331721908042644,-185.938819617033,-172941.30967339873,-700.7706284835228,-90,2.2781252632017613e+18,204.30472487948114,2.278125263201761e+18,11150624463264968.0,7.0353523300194291e+17,51.50404929142326,49.644509875564836,5.3557643013846246e-06,8.936955012278647e-07,358603270.27611691,11.886586405336857,64.921113198706976,98.080676859205767,-90,-0.08331722672500468,-0.08331721908042644,-0.08331633302950345,-188.4116449258837,-185.938819617033,-136.90759563446045,-172938.8527526264,-172941.30967339873,-172988.49726250197,-700.7706338392871,-700.7706284835228,-700.7706284835622
-80,-0.07840352929889055,-174.63281174004078,-162739.43564942107,-668.0898655213435,-80,1.2474817853524065e+18,193.56485586083718,1.2474817853524063e+18,6444774180749420.0,1.1925521160871608e+18,1.151282318141881,1.3984890162246302,7.616177981617511e-07,1.675556053626348e-07,177716429.89064458,-11.973689123988152,4.438416878575409,8.6099635957292833,-80,-0.07840353011956522,-0.07840352929889055,-0.07840336256395986,-175.78409405818266,-174.63281174004078,-175.6843699812889,-162738.286074454,-162739.43564942107,-162738.03716040484,-668.0898662813985,-668.0898655213435,-668.0898655197807
-70,-0.07375642255429707,-158.0183790102601,-153100.0435313657,-627.9525603645147,-70,6.8323214267187789e+17,183.38955913294996,6.8323214267187776e+17,3725578194866385.0,4.7968434705422259e+17,1.5331086441874504,3.253758400969673,1.225029109264142e-07,8.269442730995946e-07,78872152.777722836,0.95733253471553326,3.3382913526396782,6.5126044952867836,-70,-0.07375642062669384,-0.07375642255429707,-0.07375559561002397,-159.07180213256706,-158.0183790102601,-159.55148765444756,-153098.98609737598,-153100.0435313657,-153096.78977296472,-627.9525604870108,-627.9525603645147,-627.9525603645079
-60,-0.06918222536811316,-127.59380249679089,-143630.69524828345,-574.2300268925044,-60,3.7433385718867206e+17,173.74915631976688,3.7433385718867187e+17,2154449927225835.5,7.2007724272826442e+19,0.9325163176376634,1.1925535004411358,1.6444759012301802e-06,1.2518761263735634e-07,31454861.339647677,1.592177726328373,1.4849721717998177,2.7528566229109552,-60,-0.06918222558159229,-0.06918222536811316,-0.0691823505557258,-127.8867011925299,-127.59380249679089,-126.95418487489223,-143630.40279432843,-143630.69524828345,-143631.59534782887,-574.2300252492174,-574.2300268925044,-574.2300268936933
