voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.00010096404455837106550606359371030676188877118691073720302741240947293599367654053,-141.99393242771863245458769051093651725861534909890096602491609231124184258140084,-42.942807029747286452171897015070316346574314666830972319722192440071824662994169,-161.31287732486876905648115550810425314250353694159960416739300509709285987129813,-150,43059365632.245049079316024319750447087763063351361004850915867598783751308331869,16.967672009107310965778637348567826614045853786580647120084558537881593564097345,43059365615.277377070208713353971809739195236737315151064335220478699192770450276,2537729725.6296064257316558833235392845218015137299610878266155464383076437208215,80468711268038492.254720617735952126228213057035786965594484232003884752535499055,4.3720603310165625916018406305427022828774751844958674511682498817728496003509787e-77,2.5233804996916580389800746849119917496854563564837259671866133576898854174865217e-77,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-77,2.8311566742074159049764236954094289327346087696790425549525242499069723437662929e-83,728905.23067935069223569520636663288773636753487573944451899991860191906816864572,3.5720462981468719106034891815492850706061052190085567666353256816854834791060445e-77,5.6786730760540692352394448378803282067439319043420681776465114693552873604063923e-77,1.0410408049604264880330066320724203840337707490005042148985384078247143377803486e-76,-150,-0.00010096404455837106550606359371030676188877118691073720302741240947293599367654054,-0.00010096404455837106550606359371030676188877118691073720302741240947293599367654053,-0.00010096404455837106550606359371030676188877118691073720302741240947293599367654051,-141.99393242771863245458769051093651725861534909890096602491609231124184258140087,-141.99393242771863245458769051093651725861534909890096602491609231124184258140084,-141.99393242771863245458769051093651725861534909890096602491609231124184258140082,-42.942807029747286452171897015070316346574314666830972319722192440071824662994144,-42.942807029747286452171897015070316346574314666830972319722192440071824662994169,-42.942807029747286452171897015070316346574314666830972319722192440071824662994164,-161.31287732486876905648115550810425314250353694159960416739300509709285987129813,-161.31287732486876905648115550810425314250353694159960416739300509709285987129813,-161.31287732486876905648115550810425314250353694159960416739300509709285987129806
-140,-0.00010082875352921214083788176693459871240367364123011470153824970696617692462455885,-138.38536714405203137203504592007377062274058418051753458184108464967463772280784,-40.675198006379474481856413777481593734096734172135459042223989526466856342367737,-173.56166890860639314148700608422077924301851032187910132883587491894358524863204,-140,40603013836.50391142158515617548977281441929172972255908664250353183579388528883,16.585185996988312417629606087993432987157699745990265520800449021954743168681788,40603013819.918725424596843757860166726425858742564859340652238011035344863334087,2448149441.5484380274350617161028125836818167999946842967330334559110219924684337,75150635508840383.064248867979415803146143953163221428430208730805679169465538723,1.1631839522642830104817242665209288172346862990850116490453800611383322084884394e-76,6.1060410487191190515426940904955950092656096326678395730050403441426371733296848e-77,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-77,5.9969045917302536896318792820945176484287622121383355936721650020756777827049658e-83,680978.11127138763602335703869740523059552973663679417489672276900410663228382324,9.2408069753114064004463779053127966601877271753130871947179822251436447259622632e-77,5.9492142746398795020867893899292515937477125797163567364371375785604921133306505e-77,7.4531699914267603217354837478691075796028453915943102409757624926572241175115592e-77,-140,-0.00010082875352921214083788176693459871240367364123011470153824970696617692462455887,-0.00010082875352921214083788176693459871240367364123011470153824970696617692462455885,-0.00010082875352921214083788176693459871240367364123011470153824970696617692462455881,-138.38536714405203137203504592007377062274058418051753458184108464967463772280789,-138.38536714405203137203504592007377062274058418051753458184108464967463772280784,-138.38536714405203137203504592007377062274058418051753458184108464967463772280778,-40.675198006379474481856413777481593734096734172135459042223989526466856342367676,-40.675198006379474481856413777481593734096734172135459042223989526466856342367737,-40.675198006379474481856413777481593734096734172135459042223989526466856342367737,-173.56166890860639314148700608422077924301851032187910132883587491894358524863204,-173.56166890860639314148700608422077924301851032187910132883587491894358524863204,-173.56166890860639314148700608422077924301851032187910132883587491894358524863195
-130,-0.00010133108608162150942610162443322327224149023842410198461167939628255077002239898,-135.20302995009520617703076551557176219344463405827507624799598200790282778299601,-38.673851862484034114404021526043629225851763435848393234402893884366748296940436,-188.24568551333216363729259229959922824728873836952463022061619438172080911857222,-130,38378640985.501355210353883385700455180068016212311409101405080698353888263321958,16.211322001454037810908270734023915932234726323064962804648487324884929405379236,38378640969.290033208899845574792184446044100280076682778340117893705400938437029,2367397364.7589672161560757213164458036551627529220581544058978168053836202522304,70185403248610739.216004317169563744455785232434465380168260568112865198791573809,2.9902733622014514515400243324946383514989151261860624295644573265458749118449904e-76,1.5093053951364275489835366497722260812958197511909344889295331767786828018495585e-76,7.5566474857076390472130578799503496247265003188817462118957405363975178277671237e-77,1.088708430172488116186388384689262216860672281431122727949925234282408455830129e-82,636119.9840841320964851949836443669056345799859708908265322605122675498039456639,2.3478333200540206961786518673148019601664044288871735093552725726336370494486354e-76,1.5275715426918052138752491994839393105843081756263425541856825959599328003484747e-76,2.048291577712471197936850419688435387802001941221458908252751823070182897611271e-76,-130,-0.00010133108608162150942610162443322327224149023842410198461167939628255077002239903,-0.00010133108608162150942610162443322327224149023842410198461167939628255077002239898,-0.00010133108608162150942610162443322327224149023842410198461167939628255077002239892,-135.20302995009520617703076551557176219344463405827507624799598200790282778299616,-135.20302995009520617703076551557176219344463405827507624799598200790282778299601,-135.20302995009520617703076551557176219344463405827507624799598200790282778299586,-38.673851862484034114404021526043629225851763435848393234402893884366748296940285,-38.673851862484034114404021526043629225851763435848393234402893884366748296940436,-38.673851862484034114404021526043629225851763435848393234402893884366748296940433,-188.24568551333216363729259229959922824728873836952463022061619438172080911857223,-188.24568551333216363729259229959922824728873836952463022061619438172080911857222,-188.2456855133321636372925922995992282472887383695246302206161943817208091185723
-120,-0.00010173541859833452390162729929697275340061124880569992750150717975482403989278196,-131.04831793930596465762815529220843944870875787627973023196987447802816804720703,-36.857371941085281592581341485220057548693771272497646392528096273712076174092373,-205.05022479239835735861300402294349666965422191859943764790078365500947776445665,-120,36383310687.5783508810917654980809131629146446991007016548095154275230161400299,15.845885664625685077969376805814513710264737661279736611008699020455112193511746,36383310671.732465216466080420111536357100130988835963993529778816514317119574788,2296073028.5212369843095992820558281796955479464793727918051374517972135088950534,65550480561349133.54037393257245821382505905269427722553762661767160525387992601,5.4515814004033681697751346133927522292669752300504026242962128155439235757462821e-77,2.7932607670383594335233981806245042362828313678723597604686040911326539113353475e-77,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-77,2.4965654308919940252973918041337691497750640968987920711854077476452392485939128e-83,595570.82599628623070613479746111740614457841133493014962363982869015808159589246,4.3473084676432272322599093185325093043018132710518371574289659237753231375538895e-77,2.8897542884845242534603565345959123959056321424303090235435511451225283302890772e-77,4.4899203933079632902129396874965229469255857528177202882348392333874562844440453e-77,-120,-0.00010173541859833452390162729929697275340061124880569992750150717975482403989278197,-0.00010173541859833452390162729929697275340061124880569992750150717975482403989278196,-0.00010173541859833452390162729929697275340061124880569992750150717975482403989278195,-131.04831793930596465762815529220843944870875787627973023196987447802816804720706,-131.04831793930596465762815529220843944870875787627973023196987447802816804720703,-131.048317939305964657628155292208439448708757876279730231969874478028168047207,-36.857371941085281592581341485220057548693771272497646392528096273712076174092345,-36.857371941085281592581341485220057548693771272497646392528096273712076174092373,-36.857371941085281592581341485220057548693771272497646392528096273712076174092373,-205.05022479239835735861300402294349666965422191859943764790078365500947776445665,-205.05022479239835735861300402294349666965422191859943764790078365500947776445665,-205.05022479239835735861300402294349666965422191859943764790078365500947776445663
-110,-0.00010129842169176225652829076270584358597681735084688393862931642084438387270544365,-124.48207651008850453932011565504324957832921883203744053961805862016891297551073,-35.174168621469435761632427129211038428010652904739983332460546312310092164325269,-223.7043315097023686779750356371276040974095397263265414039353321060144002101592,-110,34616490626.191583666766204755217653927259864582752485574535579981967873594954813,15.48868700984834258162878811082225492714911577371579394207801482492217312159849,34616490610.70289665691786217358886581643760965560336980081978603988985877003264,2234953201.919633270422049168958266339626115272936742636191077386199440718019191,61225327754858926.214373193840214866338433204251235561680994816907881445487494422,1.0471354373052014108280951633645484479978150441878991179341240457579417561334443e-76,5.3706173201993577514121375646789984832877627266338124863116155955110930275916343e-77,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,4.1695216474691034236925512605120680645727874608000444900209902589539047244558131e-83,561020.78119572276634681812190694952305646716290371132172227098370607953629091846,-8.0901219260239352687454519457601744407865651606820017017556185058948704582161199e-77,5.2741355909573587069757509131612670944323847151600785127574052015749329043329789e-77,7.0820308197352579836762085343465002156782990714469434269278708492156182504122595e-77,-110,-0.00010129842169176225652829076270584358597681735084688393862931642084438387270544364,-0.00010129842169176225652829076270584358597681735084688393862931642084438387270544365,-0.00010129842169176225652829076270584358597681735084688393862931642084438387270544368,-124.48207651008850453932011565504324957832921883203744053961805862016891297551068,-124.48207651008850453932011565504324957832921883203744053961805862016891297551073,-124.48207651008850453932011565504324957832921883203744053961805862016891297551078,-35.174168621469435761632427129211038428010652904739983332460546312310092164325318,-35.174168621469435761632427129211038428010652904739983332460546312310092164325269,-35.174168621469435761632427129211038428010652904739983332460546312310092164325264,-223.70433150970236867797503563712760409740953972632654140393533210601440021015921,-223.7043315097023686779750356371276040974095397263265414039353321060144002101592,-223.70433150970236867797503563712760409740953972632654140393533210601440021015921
-100,-0.000099336112839757083642395222510367582846701274981848954526369084761047552102001279,-114.14753165623018349334071497761877344140330572678882668735502555648733535091513,-33.592227339306277978910424844895709647970449068671617291108262691380135540435669,-244.0407884270661281035290996947751100254013473814997437255799937928156913247486,-100,33080287462.041590867025516469694617946870398934875856328722668092313825871951057,15.139540342929247940513902768652338004963838102249703347697770485154361376626994,33080287446.902050524096268529180715178218060929912018226472964744616055386796695,2185025880.0949242232930225036673496969005837501046518302696360805340138818892115,57191588142787147.546789279795949772117171746011212863321489682608693200922239404,1.1240513134990113082729423596426145066780669224336597490194914047891307768803596e-76,6.025076968515108633179697041781841263286397129251249435020443124109806625175037e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,4.4140306329688347973041514887519732905816854909086890743123446259913250632356293e-83,534600.9266803284778032829841416846513787907262591994205710298032551229277744532,8.756845102671940808937513367173715738904789745292823062801377864296616321516537e-77,1.057049965061443427997206213903105466482427927094111648232142715333718385932328e-76,2.0424339791020162766537614959100604881380317413709646753965667638733334061583858e-76,-100,-0.000099336112839757083642395222510367582846701274981848954526369084761047552102001297,-0.000099336112839757083642395222510367582846701274981848954526369084761047552102001279,-0.000099336112839757083642395222510367582846701274981848954526369084761047552102001253,-114.14753165623018349334071497761877344140330572678882668735502555648733535091518,-114.14753165623018349334071497761877344140330572678882668735502555648733535091513,-114.14753165623018349334071497761877344140330572678882668735502555648733535091507,-33.592227339306277978910424844895709647970449068671617291108262691380135540435609,-33.592227339306277978910424844895709647970449068671617291108262691380135540435669,-33.592227339306277978910424844895709647970449068671617291108262691380135540435662,-244.04078842706612810352909969477511002540134738149974372557999379281569132474861,-244.0407884270661281035290996947751100254013473814997437255799937928156913247486,-244.04078842706612810352909969477511002540134738149974372557999379281569132474862
-90,-0.000095514322822133033079782630149327961378056369675114350009202416809508198510109593,-99.305394456047095679115780623414260883146325798813474010288714085813361668059775,-32.091761122130839644157271263126703128685393421555361296639933952952939417139455,-266.21129909357952923866719781615081886158670961876984225618404411088162776906337,-90,31779736393.56199027605670509083678742016382391469313449414891411097290000929055,14.798264155602335365908014142436999941744495168494871706926231411960787907916603,31779736378.763726120454369724928773277726823972948639325654042404046668597329762,2147531363.0977995058411805763423548188939003978268055501213225481348093374786473,53433468115505493.18044662076560215071857474694223716152677154665408916063124802,8.5012284214210939281146901149441433278173128587419644883827081034472075562380141e-77,2.7730197469873568289326489184460657997880282420182122259724547861244462742966856e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,3.371650221101558941381013673623956274438488625708677951807097061252848882121676e-83,518647.01439668379341052084314013376565732148327032452076032357827871400077403216,6.8435661389358409377783578900632070154726666944564161636020932640685781804950697e-77,4.9008426566770509444626894384479038629768515705779278258176501367161240729661774e-77,9.2950009505452643867766740773386274837180092880207407657962820520223495401842484e-77,-90,-0.000095514322822133033079782630149327961378056369675114350009202416809508198510109608,-0.000095514322822133033079782630149327961378056369675114350009202416809508198510109593,-0.000095514322822133033079782630149327961378056369675114350009202416809508198510109574,-99.305394456047095679115780623414260883146325798813474010288714085813361668059816,-99.305394456047095679115780623414260883146325798813474010288714085813361668059775,-99.305394456047095679115780623414260883146325798813474010288714085813361668059731,-32.09176112213083964415727126312670312868539342155536129663993395295293941713943,-32.091761122130839644157271263126703128685393421555361296639933952952939417139455,-32.091761122130839644157271263126703128685393421555361296639933952952939417139458,-266.21129909357952923866719781615081886158670961876984225618404411088162776906336,-266.21129909357952923866719781615081886158670961876984225618404411088162776906337,-266.21129909357952923866719781615081886158670961876984225618404411088162776906338
-80,-0.000090281069590069945281662738160519312544996133810813758702957699162313784755470259,-80.639879098539446613591549681460330247329326482918677476875171864603580635267278,-30.66034274334692062286765938374785019849709813527559401074798816519915581289525,-290.9722645931817289862896225735361647367239283453621919858331399043498909388575,-80,30723154270.725264286239729319847262699077559621113364675558000956653300818685462,14.464681031168893639860109530862454496301292009156345903013369658053374417250225,30723154256.260583255070835679987153168215105124812072666401655053639931160632088,2124011874.4770219323098470754597814974542242378516718996342668765504493930635489,49938425381257813.914018046886349338393823241973129995261084761695894093733027243,2.6259350012834045689065376132827464945924588608114068086337698363981374451490755e-76,1.3379314253712721634485262299947806523064866189591520301954690610425248082555541e-76,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,1.1170199969145622752361526216433565061880183691279131534994504767814781792677919e-82,515237.94788374908880261816025778327360043711987860164667239011183258189200257995,-2.0625024842290176696080547046966093227762875545766056813346335654584053863479865e-76,1.3381534786935623268431231254110443790462634741222911752007190496003522323841979e-76,1.9070176904187929081826102549198373215918765262344476592521693487889423383618273e-76,-80,-0.000090281069590069945281662738160519312544996133810813758702957699162313784755470214,-0.000090281069590069945281662738160519312544996133810813758702957699162313784755470259,-0.000090281069590069945281662738160519312544996133810813758702957699162313784755470326,-80.639879098539446613591549681460330247329326482918677476875171864603580635267146,-80.639879098539446613591549681460330247329326482918677476875171864603580635267278,-80.639879098539446613591549681460330247329326482918677476875171864603580635267409,-30.660342743346920622867659383747850198497098135275594010747988165199155812895369,-30.66034274334692062286765938374785019849709813527559401074798816519915581289525,-30.660342743346920622867659383747850198497098135275594010747988165199155812895235,-290.97226459318172898628962257353616473672392834536219198583313990434989093885749,-290.9722645931817289862896225735361647367239283453621919858331399043498909388575,-290.97226459318172898628962257353616473672392834536219198583313990434989093885753
-70,-0.000084996002373288653445584788918717585470780401520886096762626469235801244499930785,-60.531085150484533698883854188433156701894393537229135300327127720379771144355342,-29.289839775420024303021226081779249531782165213725135364771174320452370682030703,-319.67871734047129431926127112889568832784367202275481804227859842641303652409197,-70,29922566798.257244426109830281575382871703220872880925534074912436868072226866977,14.138617552265272740629033575027879855825495558539477238366057132219866583126342,29922566784.118626873844557540946349296675341017055429975535435198502015094647111,2116371468.9674936308332876789862304889276139280849829809259288341423218551558822,46698356842350486.428488247077206942959844795066946703309809508380058535864589803,7.2597791916262675132154020346665858894693878063542490392855507296104724845334152e-77,2.2669942457122917141639173639851048874179500956645238635687221609192553483301371e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,1.222544927498656868058001141199526130044490150543222921456771835187101693899081e-83,525978.51822774956866905411326967327958159006492871183989160896972974536871875127,-5.7694865205046270787992478551872829072938265131548317275483564119907771115470722e-77,1.2768588046304089721681410234236219639385419049582672946295731184548158759717232e-76,2.3288108675260559409328293903786390883204684201795948595986472213737957871389666e-76,-70,-0.000084996002373288653445584788918717585470780401520886096762626469235801244499930773,-0.000084996002373288653445584788918717585470780401520886096762626469235801244499930785,-0.000084996002373288653445584788918717585470780401520886096762626469235801244499930776,-60.531085150484533698883854188433156701894393537229135300327127720379771144355306,-60.531085150484533698883854188433156701894393537229135300327127720379771144355342,-60.531085150484533698883854188433156701894393537229135300327127720379771144355379,-29.289839775420024303021226081779249531782165213725135364771174320452370682030718,-29.289839775420024303021226081779249531782165213725135364771174320452370682030703,-29.289839775420024303021226081779249531782165213725135364771174320452370682030695,-319.67871734047129431926127112889568832784367202275481804227859842641303652409198,-319.67871734047129431926127112889568832784367202275481804227859842641303652409197,-319.67871734047129431926127112889568832784367202275481804227859842641303652409181
-60,-0.000081342568181783387227843253593457540439041821871655195723882207751744065605772753,-42.034665507714924208581550886773543215957102596361423618786171723107085116681098,-27.974628638996099589685588760395584158833854185831464135795271054588278615605709,-353.67773052939090198048788329201076911193035169943976541551910656300710122062838,-60,29394222294.265517235946190354529103539512098944046709124342517070699551660760585,13.819904210709695039420571130893267308351725750189351504886362505009627934813594,29394222280.445613025236495315108532408618831635694983374153165565813189155750957,2126948338.1430783847135088127203019813035260942890136743294017046544719953260687,43711599554252678.998933241065942804287062169497157650479463110563789728551392502,2.0321984131206615009112259227152190240782338357564124634133902228240467586816586e-76,6.0115829551477735634525308669962156389565283786818177453563435874376682004825957e-77,1.2090635977132222475540892607920559399562400510210793939033184858236028524427398e-76,6.8591204879661485334201537711510255506706657919951349172258882963655284510337913e-83,552866.15159732635908788762533743390511738690557758632615330493902072733668387735,1.5932116519629562349652020840323906068595973246038219471969082639100746289407438e-76,1.0608834625692063696281787014926535536165186898887125345865855329642105257205412e-76,1.7315388863411959584517626893170530553320477116980763832800553728823353142339591e-76,-60,-0.00008134256818178338722784325359345754043904182187165519572388220775174406560577279,-0.000081342568181783387227843253593457540439041821871655195723882207751744065605772753,-0.000081342568181783387227843253593457540439041821871655195723882207751744065605772721,-42.0346655077149242085815508867735432159571025963614236187861717231070851166812,-42.034665507714924208581550886773543215957102596361423618786171723107085116681098,-42.034665507714924208581550886773543215957102596361423618786171723107085116680997,-27.974628638996099589685588760395584158833854185831464135795271054588278615605651,-27.974628638996099589685588760395584158833854185831464135795271054588278615605709,-27.974628638996099589685588760395584158833854185831464135795271054588278615605711,-353.67773052939090198048788329201076911193035169943976541551910656300710122062836,-353.67773052939090198048788329201076911193035169943976541551910656300710122062838,-353.67773052939090198048788329201076911193035169943976541551910656300710122062848
