voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,0.07111478225400789,456370.2965222895,-9445.599675541744,-1506.0991911395097,-150,1503915329.7226853,319.03789444961535,1503915010.6847908,4713908.1466079382,2.1283908374772653e+17,1.30385160446167e-08,7.2941475082188845e-09,2.8126123652327806e-10,2.1788126858268697e-15,938715.55759526021,2.3865140974521637e-09,1.1181536163570177e-08,2.1662481586304239e-08,-150,0.07111478225400987,0.07111478225400789,0.07111478225401006,456370.2965222951,456370.2965222895,456370.29652230255,-9445.59967553445,-9445.599675541744,-9445.59967554087,-1506.099191139791,-1506.0991911395097,-1506.099191139665
-140,0.10494661939086147,664137.6803110838,-6368.126772113144,-1336.027110117451,-140,1716464903.1221528,402.9892501833105,1716464500.1329026,4259331.7373636458,2.2221648509240854e+17,2.3981556296348572e-08,7.021299097687006e-09,1.0027179087046534e-10,4.3021142204224816e-15,807539.88934049651,-4.7963112592697144e-08,3.3469797636546424e-08,6.5907364898976084e-08,-140,0.10494661939086418,0.10494661939086147,0.10494661939085988,664137.6803110936,664137.6803110838,664137.6803110696,-6368.126772106123,-6368.126772113144,-6368.126772109041,-1336.027110117391,-1336.027110117451,-1336.0271101173507
-130,0.14344728513221025,900442.8179524541,-2675.4532278757542,-1170.5577299225397,-130,1959232150.4418738,509.03149308789767,1959231641.4103806,3848940.9340014271,1.0779038129051947e+19,1.1175870895385742e-08,7.692506187595427e-09,2.0122570276726037e-10,4.996003610813204e-16,702667.15758688643,7.4796844273805618e-09,1.1604946295958491e-08,2.4273122178897211e-08,-130,0.1434472851322101,0.14344728513221025,0.1434472851322106,900442.8179524457,900442.8179524541,900442.8179524569,-2675.4532278686584,-2675.4532278757542,-2675.453227876351,-1170.5577299223385,-1170.5577299225397,-1170.5577299225001
-120,0.18688324290690458,1166786.2294285223,1793.7525220401585,-1008.9581821957956,-120,2236507693.3185287,642.97760011571006,2236507050.3409286,3478360.1993538304,94639551031660368.0,1.1175870895385742e-08,1.6583726392127573e-08,3.1388935894938186e-10,4.440892098500626e-15,623583.77951449854,-1.0957592166960239e-08,2.7169889951113046e-08,5.7101535944070747e-08,-120,0.1868832429069016,0.18688324290690458,0.18688324290690014,1166786.22942852,1166786.2294285223,1166786.229428511,1793.7525220235748,1793.7525220401585,1793.7525220240204,-1008.958182195589,-1008.9581821957956,-1008.9581821959029
-110,0.2354851178838909,1464435.8936391622,7206.708448374644,-849.0230041588868,-110,2553191542.9213009,812.17016994893481,2553190730.7511311,3143665.7456673551,68329098711195696.0,4.1676685214042664e-08,1.6851117834448814e-08,6.400568963726982e-11,4.218847493575595e-15,568522.22624423529,-4.770117811858654e-08,3.1757045984825947e-08,5.2801159000637199e-08,-110,0.2354851178838936,0.2354851178838909,0.23548511788388937,1464435.8936391775,1464435.8936391622,1464435.8936391359,7206.708448376259,7206.708448374644,7206.708448391495,-849.0230041589128,-849.0230041588868,-849.0230041588488
-100,0.28949592346349845,1794745.7843907773,13717.837951440364,-686.4820091286324,-100,2914879645.5285387,1025.8839263392329,2914878619.6446123,2841334.746251463,4.5086363646773203e+17,3.329478204250336e-08,1.2561940820887685e-08,4.732783054350875e-10,3.4416913763379853e-15,535143.67936961493,-4.1458406485617161e-08,2.4653639655608948e-08,4.2616290940600265e-08,-100,0.28949592346349967,0.28949592346349845,0.28949592346349623,1794745.7843907943,1794745.7843907773,1794745.784390761,13717.837951430058,13717.837951440364,13717.83795144262,-686.4820091281591,-686.4820091286324,-686.4820091285025
-90,0.3492379235982955,2159581.1300527006,21460.943363688886,-515.0329681962264,-90,3327962719.4704351,1295.8341358281752,3327961423.6362991,2568201.1512557622,56299454463651112.0,1.6298145055770874e-08,6.3810148276388645e-09,2.6557245291769505e-10,3.2751579226442118e-15,521033.48851105658,1.0011717677116394e-08,1.8515950300231697e-08,3.8204248653528339e-08,-90,0.3492379235982977,0.3492379235982955,0.34923792359829875,2159581.130052708,2159581.1300527006,2159581.130052717,21460.943363695267,21460.943363688886,21460.943363692757,-515.0329681963868,-515.0329681962264,-515.0329681961213
-80,0.41518871779274596,2561783.7741435915,30562.95671205595,-328.42849665658264,-80,3799739129.0759621,1617.1593262790157,3799737511.916636,2349638.0766754309,8.5197792727527846e+17,5.448237061500549e-08,2.3930624593049288e-08,5.979927664157003e-11,5.6066262743570405e-15,524011.52555150009,6.0317688621580601e-08,4.1878346181799195e-08,7.4568959007592639e-08,-80,0.41518871779274663,0.41518871779274596,0.41518871779275157,2561783.774143579,2561783.7741435915,2561783.7741436334,30562.95671207307,30562.95671205595,30562.95671204914,-328.4284966565497,-328.42849665658264,-328.4284966566095
-70,0.4880372557835351,3005500.927262813,41174.5483077988,-125.32897277421739,-70,4338543789.1806812,1909.9386244810141,4338541879.2420568,2271561.8887280161,95164096245800016.0,5.4016709327697754e-08,2.9402144718915224e-08,7.395328793791123e-10,3.7192471324942744e-15,542298.72884183924,4.6595232561230659e-08,3.3658395799924918e-08,6.7651491519882256e-08,-70,0.4880372557835328,0.4880372557835351,0.4880372557835365,3005500.927262782,3005500.927262813,3005500.927262836,41174.54830781386,41174.5483077988,41174.548307784455,-125.32897277367965,-125.32897277421739,-125.32897277441919
-60,0.5686411562736623,3495900.8189687207,53494.78138368949,87.33176406426287,-60,4953895376.8800488,1915.6998816843118,4953893461.1801672,2585945.441790449,2.6487186098378209e+18,3.119930624961853e-08,1.4057150110602379e-08,1.0732037480920553e-10,2.7755575615628914e-15,574586.04802694183,-3.0122464522719383e-08,3.2047691698713277e-08,7.0952072661611965e-08,-60,0.5686411562736621,0.5686411562736623,0.5686411562736595,3495900.818968708,3495900.8189687207,3495900.8189686895,53494.78138370061,53494.78138368949,53494.78138370355,87.33176406427083,87.33176406426287,87.33176406437019
