voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-179.2720598414971,-3450017.813569406,-371842100.6890457,-75239.67920045172,-150,6913944595536.6514,98588.113336956536,6913944496948.5381,70129596.373408884,8.9373757081139282e+18,4.962645471096039e-05,0.00021004676818847656,7.139169611036777e-08,9.302425496571232e-11,633618172.35114098,-3.7074089050292969e-05,0.00024624724333295302,0.00037361419879289315,-150,-179.27205984150513,-179.2720598414971,-179.2720598414121,-3450017.8135441123,-3450017.813569406,-3450017.8135937387,-371842100.6890708,-371842100.6890457,-371842100.6888608,-75239.6792004456,-75239.67920045172,-75239.67920038033
-140,-157.2262017666381,-3061264.6729458785,-326102103.38725424,-69390.00073520551,-140,6592873711689.7314,95674.394248823563,6592873616015.3369,68909489.978514284,2.7257047018196608e+18,0.0004771850071847439,0.0003091096878051758,1.2881355360150337e-07,1.8675905266718473e-10,575064763.01153672,0.00035905838012695313,0.00067306519401195985,0.0010990919139146627,-140,-157.22620176656147,-157.2262017666381,-157.22620176645134,-3061264.6731848605,-3061264.6729458785,-3061264.6727076755,-326102103.38701516,-326102103.38725424,-326102103.3869451,-69390.00073521589,-69390.00073520551,-69390.00073508707
-130,-136.78158346643548,-2693478.8137629107,-283686952.62774575,-63287.937428461984,-130,6287707539178.5996,92846.788573729922,6287707446331.8115,67721324.945832789,3.9601205618100994e+19,0.0007698372937738895,0.0007168054580688477,5.256151780486107e-08,2.2117774278740399e-10,521336009.03541595,0.0005925297737121582,0.00051093847252459124,0.00077102588377897519,-130,-136.78158346631187,-136.78158346643548,-136.78158346653305,-2693478.8141478775,-2693478.8137629107,-2693478.81337804,-283686952.6273603,-283686952.62774575,-283686952.6280771,-63287.937428465346,-63287.937428461984,-63287.937428514546
-120,-117.78683554570357,-2343051.9205676997,-244282904.13961148,-56896.99457765721,-120,5997949043693.1914,90102.751275698844,5997948953590.4404,66567878.991180904,2.1878156499531804e+18,0.00027772877365350723,0.0002930760383605957,5.1601091399788857e-08,9.639222753321519e-11,472112502.33926916,0.00021666288375854492,0.00020809852195328803,0.00031428097591401638,-120,-117.78683554565984,-117.78683554570357,-117.78683554575623,-2343051.920706761,-2343051.9205676997,-2343051.9204290323,-244282904.13947418,-244282904.13961148,-244282904.13976726,-56896.994577645324,-56896.99457765721,-56896.994577696925
-110,-100.107341972959,-2006645.529657131,-207610980.77741465,-50187.25020254674,-110,5723196431636.4609,87439.812535934107,5723196344196.6484,65452981.492663503,3.4576766814920735e+18,0.002465982222929597,0.0014921128749847412,8.275674190372229e-08,3.934843562092283e-10,427096842.06693387,0.001971125602722168,0.0015905284677988519,0.0024682219823830565,-110,-100.10734197256552,-100.107341972959,-100.10734197288758,-2006645.5308891204,-2006645.529657131,-2006645.5284231382,-207610980.77618527,-207610980.77741465,-207610980.7776774,-50187.25020253051,-50187.25020254674,-50187.25020246398
-100,-83.63925138040031,-1681962.9126818152,-173455863.65524644,-43151.367523332665,-100,5463159528588.2129,84855.575529816109,5463159443732.6377,64381856.990276337,1.5517487154319907e+20,0.000347403809428215,0.00017118453979492188,5.77274477109313e-08,5.4356519285647664e-11,386067368.52534354,-0.00028085708618164063,0.00028497035051753503,0.00044912336750257964,-100,-83.63925138045467,-83.63925138040031,-83.63925138045053,-1681962.9125075703,-1681962.9126818152,-1681962.9128549742,-173455863.65541762,-173455863.65524644,-173455863.6552932,-43151.367523346664,-43151.367523332665,-43151.36752339039
-90,-68.33370160421543,-1368875.3997669164,-141715912.0964279,-35832.78170740162,-90,5217681427851.0518,82347.714269598117,5217681345503.3379,63361581.728533335,3.8871365847308908e+18,0.00012289872393012047,0.0005005300045013428,2.62079993262887e-08,2.2086510398366954e-10,348949629.06169343,9.4175338745117188e-05,0.0005824043780606748,0.00088489102577682388,-90,-68.33370160419429,-68.33370160421543,-68.33370160441515,-1368875.3998281257,-1368875.3997669164,-1368875.399705227,-141715912.0963635,-141715912.0964279,-141715912.09686404,-35832.78170737541,-35832.78170740162,-35832.78170739228
-80,-54.22778678640467,-1070720.5411242591,-112467152.20931193,-28364.568796848107,-80,4986766911130.1895,79913.971510860254,4986766831216.2178,62401690.428468958,4.4995269911305247e+18,0.0017587491311132908,0.0008834898471832275,9.494397090747952e-08,2.836983981069352e-10,315863050.17643666,-0.0013602375984191895,0.0013839376218492769,0.0021135012956676746,-80,-54.22778678668837,-54.22778678640467,-54.227786786629146,-1070720.540244718,-1070720.5411242591,-1070720.5420034672,-112467152.21019542,-112467152.20931193,-112467152.2094859,-28364.5687968161,-28364.568796848107,-28364.568796911044
-70,-41.466448558649816,-795094.4485562509,-86008551.10323396,-21003.544175178453,-70,4770619579678.6475,77552.156720837054,4770619502126.4912,61514982.708364271,1.5316865597270932e+18,0.0013653440400958061,0.0011028945446014404,1.5599653124809265e-08,3.113242996732879e-10,287074434.00475597,0.0010025501251220703,0.0008417400407740405,0.001368466921661593,-70,-41.466448558434166,-41.466448558649816,-41.46644855874549,-795094.4492377294,-795094.4485562509,-795094.4478723854,-86008551.10255809,-86008551.10323396,-86008551.10366099,-21003.544175194053,-21003.544175178453,-21003.5441751919
-60,-30.28485932552518,-552922.5251683258,-62825673.23595796,-14123.469362161377,-60,4569690196850.0039,75260.144106790249,4569690121589.8594,60718594.829766072,1.4245763860067222e+19,0.0007916598115116358,0.0004024803638458252,5.733272701036185e-08,1.2535039672911807e-10,262865977.76886126,-0.00054472684860229492,0.00055163192401872906,0.00079402902861147595,-60,-30.28485932565053,-30.28485932552518,-30.284859325583916,-552922.5247715137,-552922.5251683258,-552922.5255631735,-62825673.23635105,-62825673.23595796,-62825673.23594857,-14123.469362164555,-14123.469362161377,-14123.469362107222
-50,-20.923554873894993,-354834.7874023318,-43415332.309513696,-8125.049942937585,-50,4384739468541.124,73035.870702651664,4384739395505.2534,60035424.050636128,6.4485516144879196e+18,0.00041879015043377876,0.0002650916576385498,7.511152944061905e-08,7.074874019963318e-11,243450590.66449282,-0.0002689361572265625,0.00026987743198195701,0.00043623948619142539,-50,-20.92355487396574,-20.923554873894993,-20.923554873905413,-354834.78719321406,-354834.7874023318,-354834.7876120042,-43415332.309730604,-43415332.309513696,-43415332.30946551,-8125.049942941661,-8125.049942937585,-8125.04994286655
-40,-13.490300597447094,-205725.4833752541,-28000043.09555532,-3262.5673313985535,-40,4216919423678.5981,70877.334512214657,4216919352801.2637,59496021.580098711,3.0105105128859448e+18,0.0033100980799645185,0.002030514180660248,4.720823199022561e-08,5.273346204148766e-10,229026625.60650551,0.0020043551921844482,0.0021215523180642213,0.0033113200805132692,-40,-13.49030059691976,-13.490300597447094,-13.490300597365355,-205725.48503091116,-205725.4833752541,-205725.48172081308,-28000043.0939062,-28000043.09555532,-28000043.095936716,-3262.5673313784337,-3262.5673313985535,-3262.567331425642
