voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0000000097930777142036942717112658780206053152034816432093713668300738468879463932108208,-0.00015144780619399156312816092644839355679158992674805716889052204152385147318921282,-0.019910819857472098802844607884674870057493759522611074168715322886559269970393886,-0.00054748381272799206659652419340843040012952114870450448821252699579975704089129375,-150,1066788018596.7171395123142146045371891349343891436966474637846882039027756352786,0.0030989556452115860652401855150122372999265488516126730652772374700515892784284355,1066788018596.7140405566690030184719489494193769063967209149330755308374983978085,344241138218640.2708525469311687646664046439067641049916980008842047874193371107,2133576037193.4342790246284292090743782698687782873932949275693764078055512705571,4.5080799857593000944516756723818085761225521902357388829823732114280049212507869e-75,9.6752668842426756660712842820226110383728125268152973120143369813402667377920433e-78,5.576262070881647464778805487284818559546242558219229906280536459871018569948732e-76,1.2610757344710674432824386342492275294327151724715214011681915290372233455970771e-81,2135.9882714973629659824466246894063402618389813993212037796958491460654780101923,-1.8618452526809760517421784519456852253790295803132704385597016486320097251873215e-75,1.015171173620869406122499231107653991757141317427602234842532892188748311722957e-75,1.8901899888689702311007169496359101351835448744989299958450725653417210795563126e-75,-150,-0.0000000097930777142036942717112658780206053152034816432093713668300738468879463927797861,-0.0000000097930777142036942717112658780206053152034816432093713668300738468879463932108208,-0.0000000097930777142036942717112658780206053152034816432093713668300738468879463940408618,-0.00015144780619399156312816092644839355679158992674805716889052204152385147127177189,-0.00015144780619399156312816092644839355679158992674805716889052204152385147318921282,-0.00015144780619399156312816092644839355679158992674805716889052204152385147577985187,-0.019910819857472098802844607884674870057493759522611074168715322886559269970403561,-0.019910819857472098802844607884674870057493759522611074168715322886559269970393886,-0.019910819857472098802844607884674870057493759522611074168715322886559269970393886,-0.00054748381272799206659652419340843040012952114870450448821252699579975704144891996,-0.00054748381272799206659652419340843040012952114870450448821252699579975704089129375,-0.00054748381272799206659652419340843040012952114870450448821252699579975704089129461
-140,-0.0000000057200903868107227092913935750134958528904269710187057402299225390352515707483134,-0.0001019667500671576729210545029768331394165023251784134175070974070985540501017139,-0.011554587248952747401501323825201905969883518029064318467702703059133394245329511,-0.00041911862747351739378141505890811656092242649179970687453744607013844828117541363,-140,918861898939.53804089470644023477932360091173110190170728942782486907014122450072,0.0037865873045126673620883437436531965643483310415929474439118038976065836612704993,918861898939.53425430740192756741723525716807790533735895838623192162622942060312,242662277413882.38998188472222119888005497626190426193021312841140833409675034474,1837723797879.0760817894128804695586472018234622038034145788556497381402824490014,4.0330907152291056400554263199277865997111721701917434068060695205687323720768534e-75,3.2553318917638677855236113991504512131526387939874354267057312431250345681987339e-78,3.2227499112455709496833590874732448106569351945900527580587721567755597097494555e-76,1.393894667049199737917763214195426759423216110151845888770062503862427452989462e-81,2506.6767903871538195070847269097411024043121922087970855547935922875631744689313,-4.5297826939660739281164033213771226135303650196156576197516692143348411046887938e-76,2.769967371076942786644871935368694938325541488492850275564600377174980150102307e-75,5.3792368420276573345244437220821057529561835349516128781511480925901959993837479e-75,-140,-0.0000000057200903868107227092913935750134958528904269710187057402299225390352515705984382,-0.0000000057200903868107227092913935750134958528904269710187057402299225390352515707483134,-0.0000000057200903868107227092913935750134958528904269710187057402299225390352515719923329,-0.00010196675006715767292105450297683313941650232517841341750709740709855404995133003,-0.0001019667500671576729210545029768331394165023251784134175070974070985540501017139,-0.00010196675006715767292105450297683313941650232517841341750709740709855405398442074,-0.011554587248952747401501323825201905969883518029064318467702703059133394245332766,-0.011554587248952747401501323825201905969883518029064318467702703059133394245329511,-0.011554587248952747401501323825201905969883518029064318467702703059133394245329511,-0.00041911862747351739378141505890811656092242649179970687453744607013844828085313934,-0.00041911862747351739378141505890811656092242649179970687453744607013844828117541363,-0.00041911862747351739378141505890811656092242649179970687453744607013844828117541433
-130,-0.0000000033058257489136947134805555486868310835997637257845663894030014419778028316084019,-0.000054254458984759416122842312081425856851712691440493956882094784997193746564696118,-0.0066284696406929264783555258221536709525417759503004658807533556695939738736447308,-0.00032084928507477316690669405547936116064286736433191300715404590336033476896418304,-130,821900503494.29497228942264822164885507871332800967317541860469800648286241067157,0.0046267985270623437408770071431714045488624585469733044111714064966317314722738938,821900503494.29034549089558587790797807157015660512431296005772470207169100417494,177639138312801.72443973688194149587534079230075302830215418769907842202093621534,1643801006988.5899445788452964432977101574266560193463508372093960129657248213431,1.8769111530490943740421267603663201810336177281100590220576398990312964748539048e-75,1.6050331646725608632145323546589052845191420736509453237062924240679882368246913e-78,8.4254355775714630916028554575838592405759643334526826524903023486170252706589075e-77,5.7513861787958139362955252888421403244770530463151488225634341378625849625942527e-82,2962.4188408741632687419042340419660268278225463619630196814404359127269178933821,-3.2283703947648585965033469024255631551715673981389514968905505153644826705941679e-75,2.6350624178194984155577009962245227718321579913815600097723199563290335115003083e-75,5.001144316538590076652955179092179804338634588904958316975477289603199935321295e-75,-130,-0.0000000033058257489136947134805555486868310835997637257845663894030014419778028310332632,-0.0000000033058257489136947134805555486868310835997637257845663894030014419778028316084019,-0.0000000033058257489136947134805555486868310835997637257845663894030014419778028315051047,-0.000054254458984759416122842312081425856851712691440493956882094784997193744687784965,-0.000054254458984759416122842312081425856851712691440493956882094784997193746564696118,-0.000054254458984759416122842312081425856851712691440493956882094784997193746242295305,-0.0066284696406929264783555258221536709525417759503004658807533556695939738736431258,-0.0066284696406929264783555258221536709525417759503004658807533556695939738736447308,-0.0066284696406929264783555258221536709525417759503004658807533556695939738736447308,-0.0003208492850747731669066940554793611606428673643319130071540459033603347690484374,-0.00032084928507477316690669405547936116064286736433191300715404590336033476896418304,-0.0003208492850747731669066940554793611606428673643319130071540459033603347689641831
-120,-0.0000000018937858690681199890526155218726792747506172480391657728898382398127551608843485,-0.00000097726801337629375173262278060005545386126128662438635835477605746084922202824958,-0.003776063561495643458455997827621860031369232051755797923147602151807112974206826,-0.00024561986498697869587867199381080726151646620746656772395349450859279953784661824,-120,761848859540.35970679761563291748099804975101568497925600178969830838186741286836,0.0056534454083533646550363404437059691817979603538926799854489773754451387455797533,761848859540.35405335220727955282596170930730971579745804143580562839641843549291,134758329569199.38407869419660745767972150551841679337386586700954660651879292448,1523697719080.7194135952312658349619960995020313699585120035793966167637348257367,6.9521156868510279234360132495543216547483802933712065149440812934857164015457538e-76,2.2559603530681152048173081572222248526799586618645558248461915522280542694968463e-78,4.721955880752383657417969803304354213743368802776678216755330836576188909368265e-77,2.0653242696137722842955097527377446910782645315222452243451472335034699251413079e-82,3512.7241224880603457304951583253263045364515746297203687512957320999383088304921,-8.0225494664172827682465416751104509097475007046630342974727682170606818832234219e-76,8.474989567577483448839750527280331407488894422958918813916444867247233576897749e-76,1.5761940186004129169008873101729044920353662257688782157706962438581173247133235e-75,-120,-0.0000000018937858690681199890526155218726792747506172480391657728898382398127551607438101,-0.0000000018937858690681199890526155218726792747506172480391657728898382398127551608843485,-0.0000000018937858690681199890526155218726792747506172480391657728898382398127551609503425,-0.00000097726801337629375173262278060005545386126128662438635835477605746084873279077617,-0.00000097726801337629375173262278060005545386126128662438635835477605746084922202824958,-0.00000097726801337629375173262278060005545386126128662438635835477605746084942800234486,-0.003776063561495643458455997827621860031369232051755797923147602151807112974209082,-0.003776063561495643458455997827621860031369232051755797923147602151807112974206826,-0.003776063561495643458455997827621860031369232051755797923147602151807112974206826,-0.00024561986498697869587867199381080726151646620746656772395349450859279953789383759,-0.00024561986498697869587867199381080726151646620746656772395349450859279953784661824,-0.00024561986498697869587867199381080726151646620746656772395349450859279953784661803
-110,-0.0000000010678705495252593242093627294164211136176582730720236008925939970424822657787167,0.000068347919106411606099447228404409399442111126202153835321867340118791857160661758,-0.0021421656812695235099258137295951256672853477461835349160374083273869150904672582,-0.00018802870283651873033703697397163478384480758519615977713583791990159967665832554,-110,728690309343.26404669515480855823224835585584791910314881378667480536554242265994,0.0069078964208810637784629990594117245983156652603097411673353927011498694152070213,728690309343.25713879873392749445378535679643619450483314852636506419820702995879,105486571446061.67234334133298170032210300326541569773239792238713601726663364529,1457380618686.5280933903096171164644967117116958382062976275733496107310848453199,8.5520772744579201005732528420433117791639351314277260294734279947978569647731975e-76,3.1255228434956988194775505588207115494178601210596932020988752876260271758784414e-78,1.5070398559508190721971070227458518516507225576259261926567990153996357668719055e-75,7.5536200335979825610124057945300734176650914875915257460705250193189731681076762e-82,4169.5919264147759799463871904771611554335199918706688385550124650295196990818551,4.6643186231848908291553220896364722219383703161044427500407182459180744024437046e-76,1.5576250303969057872892632953327150740242998626328455685646285360610261720566965e-75,2.7569069056119295851837037228154769291509271564133640709014532648653349759798386e-75,-110,-0.0000000010678705495252593242093627294164211136176582730720236008925939970424822665340787,-0.0000000010678705495252593242093627294164211136176582730720236008925939970424822657787167,-0.0000000010678705495252593242093627294164211136176582730720236008925939970424822658645675,0.00006834791910641160609944722840440939944211112620215383532186734011879185630545403,0.000068347919106411606099447228404409399442111126202153835321867340118791857160661758,0.000068347919106411606099447228404409399442111126202153835321867340118791856892713492,-0.0021421656812695235099258137295951256672853477461835349160374083273869150904641327,-0.0021421656812695235099258137295951256672853477461835349160374083273869150904672582,-0.0021421656812695235099258137295951256672853477461835349160374083273869150904672582,-0.0001880287028365187303370369739716347838448075851961597771358379199015996781653654,-0.00018802870283651873033703697397163478384480758519615977713583791990159967665832554,-0.00018802870283651873033703697397163478384480758519615977713583791990159967665832605
-100,-0.00000000057424138402965624026782670747648696180683691036548495214446064369026922884101068,0.00017004125718516298337427917229341231497201604709782663201474822856680853941346403,-0.0012122431819254386840432261271276837345556338864830493019339011731489258490321235,-0.00014394047939580719576679660257973502395962617203108817938852542773216027842610966,-100,715295596702.63761447130627786525986630727323185284005250479162541808676331965874,0.0084406993461214200936055840476264686140887506526016541282712109340209444668231375,715295596702.62917377196015644516626072322560538422596375413902376395849210872472,84743641180789.432850705022360624957216993005650718774891333177400816850579759428,1430591193405.2752289426125557305197326145464637056801050095832508361735266393175,1.455194401533413919377600288881867327733046061407513413376494034723407718832869e-75,2.8062219052440327728969586110811320713706697789875420419776332908768825727968312e-79,2.1405086451638228900162437464599939650413545172048346987203261048815830478463792e-75,1.1519283180370772230475249330841293359631983636616504218841501860432692956911184e-81,4947.5733461682403226423283046831199467991477323970340964436262939611029835990659,3.7149780348266326036441087066310794088341860353212821891461023928343785731734017e-76,2.8847433542973551161689046192239127890579942206402137805947107993074786406112986e-75,4.994666882490351960414686408389579100864356813489699418632067438611988324992211e-75,-100,-0.00000000057424138402965624026782670747648696180683691036548495214446064369026922968425624,-0.00000000057424138402965624026782670747648696180683691036548495214446064369026922884101068,-0.00000000057424138402965624026782670747648696180683691036548495214446064369026922853232792,0.0001700412571851629833742791722934123149720160470978266320147482285668085389216992,0.00017004125718516298337427917229341231497201604709782663201474822856680853941346403,0.0001700412571851629833742791722934123149720160470978266320147482285668085403768936,-0.0012122431819254386840432261271276837345556338864830493019339011731489258490318429,-0.0012122431819254386840432261271276837345556338864830493019339011731489258490321235,-0.0012122431819254386840432261271276837345556338864830493019339011731489258490321235,-0.00014394047939580719576679660257973502395962617203108817938852542773216028056661831,-0.00014394047939580719576679660257973502395962617203108817938852542773216027842610966,-0.00014394047939580719576679660257973502395962617203108817938852542773216027842610988
-90,-0.00000000025854457941527846207017411315773476651367336424703203204159894057776034468313376,0.00033072798687023374884527336098241986394504870611457872896591876842627873160197902,-0.00068498785470390535094076625576289870121674391344095400506191206784054656831968657,-0.00011018933657242334105254408766550515286267797597979431919509219208895559635012439,-90,716600483346.42838711903230790802530539997027825043093029500488654393689673915222,0.010313618084407763173384953159620295873218113055550199419538908472433247990521316,716600483346.41807350094790014485192044681065795455771218194933634451735783067978,69480998567301.282149481050448380048102933234965055663809095824610553269393379568,1433200966692.8567742380646158160506107999405565008618605900097730878737934783044,2.2194953186592722687242924287397026897768120936601243159510917918333280934127438e-75,1.5620953277957722467967680989991085381563921362120348408555997226531263839005237e-78,3.2772241687598069765102528519393282873309769230117784981299192677020976519013186e-75,1.7618996388361621578979438520666531760919619654997126847539272003221824933606581e-81,5863.8570101896448654894858569105433604199019860308277009132495274654768930163765,-9.616318715177348045349553884850734275621229870658690048868819425202512754227231e-76,2.6429292475806263944977426014077913384350702620881368720308685156720341786096991e-75,4.8630842098451436558936804705073781032548281036077882968341383483097223932434465e-75,-90,-0.00000000025854457941527846207017411315773476651367336424703203204159894057776034326532524,-0.00000000025854457941527846207017411315773476651367336424703203204159894057776034468313376,-0.00000000025854457941527846207017411315773476651367336424703203204159894057776034502722488,0.00033072798687023374884527336098241986394504870611457872896591876842627873274753193,0.00033072798687023374884527336098241986394504870611457872896591876842627873160197902,0.00033072798687023374884527336098241986394504870611457872896591876842627873052803661,-0.00068498785470390535094076625576289870121674391344095400506191206784054656831812448,-0.00068498785470390535094076625576289870121674391344095400506191206784054656831968657,-0.00068498785470390535094076625576289870121674391344095400506191206784054656831968657,-0.00011018933657242334105254408766550515286267797597979431919509219208895559307290022,-0.00011018933657242334105254408766550515286267797597979431919509219208895559635012439,-0.0001101893365724233410525440876655051528626779759797943191950921920889555963501243
-80,-0.000000000022281981532066497977292008273416038094775754097748898986487120366090142304354518,0.00059486519993920995441259093352170842368804352289657656539419505706163644960196343,-0.00038670523323583377439621488778194435965759964313613121082190799492987442625552049,-0.000084351612045716748709042673729225707435143839949956280820012857525438595798442459,-80,729018145020.75769992627052354460542872501580468929340640683828951281603977162037,0.012602121415437118917759337685571875653690370032959473453999255835160783108195664,729018145020.74509780485508642568766938733023281363971603680533003936204051578521,57848843142213.994945732417261198411889457993008663141110556401582189067022947306,1458036290041.5153998525410470892108574500316093785868128136765790256320795432407,2.362766078341390874722452338302389008298843705853750066716882123858704790002111e-76,7.9736336243346398785731727230859013443309718802669868094084989925839071838808302e-79,2.3260049456101307997232045291990491895556759495782088217240546642000593887291805e-75,7.3933464504148887360514730609853492421660277226111046480869210221627932550908663e-82,6938.4108830631924331732473472834539419979092946610005339156890565941064114280873,3.4903006589404992387286219139443883367885799251507232292946747770580926934213637e-76,3.1486086540738992319347416814615749379431899279539699617817219636842180536924724e-76,6.4888330788421095326792400495087354879166555720845637888603387424555851318425888e-76,-80,-0.000000000022281981532066497977292008273416038094775754097748898986487120366090141635188772,-0.000000000022281981532066497977292008273416038094775754097748898986487120366090142304354518,-0.000000000022281981532066497977292008273416038094775754097748898986487120366090142374523417,0.00059486519993920995441259093352170842368804352289657656539419505706163644936568682,0.00059486519993920995441259093352170842368804352289657656539419505706163644960196343,0.00059486519993920995441259093352170842368804352289657656539419505706163644938295916,-0.00038670523323583377439621488778194435965759964313613121082190799492987442625631786,-0.00038670523323583377439621488778194435965759964313613121082190799492987442625552049,-0.00038670523323583377439621488778194435965759964313613121082190799492987442625552049,-0.000084351612045716748709042673729225707435143839949956280820012857525438593472437513,-0.000084351612045716748709042673729225707435143839949956280820012857525438595798442459,-0.000084351612045716748709042673729225707435143839949956280820012857525438595798442239
-70,0.00000000020686931407067529536034991293418923062666987426499154476159675662327175032455801,0.0010374982817877643310326965367637136368463617809462881275699172017555536808630226,-0.00021817793317025523492759874074463672285950698307101775914494497177500934772121315,-0.000064571849976590868184093127249416037835173201197346974150441606243353937903338814,-70,750019351559.31377328597119310697521174972411660197428501221137556605251542037837,0.015398423993371905296643016232457512989957524053508648310900151765872244475163203,750019351559.2983748619778212016785687334916590889843274881578669177416152686125,48707539932797.795458034993598396219196488277283347529482375508998742615222324146,1500038703118.6275465719423862139504234994482332039485700244227511321050308407567,4.7680190839869172528271324980988255981161919546419091232755884668118818855192942e-75,1.0225993775624681143965134497158000097746285841452427139049356371247625205273622e-78,3.7059483913141590125144086745409907508696189615624985910643214017024839708827671e-75,3.876577599385185689359529843690688091012003514772129630288492781597091440545679e-82,8194.1928354217556809389610882513220544184166430441219436762791727030454343305611,-6.8824715362206705729754725049840496558006897226756351257360417700869642017054717e-75,4.6605296164279758716414380168693717833356724009705615671849435854500823410726555e-75,5.1679545598236709682549471255309707350994614997455775949477432335389177359245751e-75,-70,0.00000000020686931407067529536034991293418923062666987426499154476159675662327175066435415,0.00000000020686931407067529536034991293418923062666987426499154476159675662327175032455801,0.00000000020686931407067529536034991293418923062666987426499154476159675662327175071221577,0.0010374982817877643310326965367637136368463617809462881275699172017555536856310417,0.0010374982817877643310326965367637136368463617809462881275699172017555536808630226,0.0010374982817877643310326965367637136368463617809462881275699172017555536820729403,-0.00021817793317025523492759874074463672285950698307101775914494497177500934772223575,-0.00021817793317025523492759874074463672285950698307101775914494497177500934772121315,-0.00021817793317025523492759874074463672285950698307101775914494497177500934772121315,-0.000064571849976590868184093127249416037835173201197346974150441606243353941609286745,-0.000064571849976590868184093127249416037835173201197346974150441606243353937903338814,-0.000064571849976590868184093127249416037835173201197346974150441606243353937903338354
-60,0.00000000049724798899590028296433030427287976232193997849260248010271718080059581461252323,0.0017859386888446281789494199547360755968940553306598002799965364733897114253793101,-0.00012303271972577150617008928455957789804770531670865830623281023979513588084775919,-0.000049429593663273318722025715432780498454722290347631787114936053466414178973615693,-60,777832554552.19224048125960651678045442867999370325508390371505599222274648523753,0.018815202112653748107124892569432624987034085993150382226776307228122973605786172,777832554552.17342527914695276867332953611056107826804981772190560999597017800941,41340643055281.248170763399718688899611984023221675800058682117674976335564079948,1555665109104.3844809625192130335609088573599874065101678074301119844454929704751,2.3070327763704344295482521707338771784633722242748034224459286517950295591137137e-75,5.0802275361977870998896946790426792768989819763120739606068095140330711736542359e-79,3.0467036393519757962553173796762765092433850074736045767785135764666737866056933e-75,1.7150929834271740227659937894302196180006689014586108317267061982281695641634365e-81,9657.4361583072854176953710935363975623550845217684523571420853223659611458679469,-3.279977883572906046052393843478655899990776419466477117921044381390076631051465e-75,3.6968142493093540617105623173539312516852996173424625022932892577488699249587432e-75,6.7976409247856046773970505648068311773074721368828699251429330112584496357375245e-75,-60,0.00000000049724798899590028296433030427287976232193997849260248010271718080059581632761621,0.00000000049724798899590028296433030427287976232193997849260248010271718080059581461252323,0.00000000049724798899590028296433030427287976232193997849260248010271718080059581461289994,0.0017859386888446281789494199547360755968940553306598002799965364733897114276863429,0.0017859386888446281789494199547360755968940553306598002799965364733897114253793101,0.0017859386888446281789494199547360755968940553306598002799965364733897114253804859,-0.00012303271972577150617008928455957789804770531670865830623281023979513588084826722,-0.00012303271972577150617008928455957789804770531670865830623281023979513588084775919,-0.00012303271972577150617008928455957789804770531670865830623281023979513588084775919,-0.000049429593663273318722025715432780498454722290347631787114936053466414175926912078,-0.000049429593663273318722025715432780498454722290347631787114936053466414178973615693,-0.000049429593663273318722025715432780498454722290347631787114936053466414178973615718
