voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-9.793077728765046e-09,-0.00015144780619381424,-0.01991081988777028,-0.0005474838127283116,-150,1066788018596.717,0.003098955645211586,1066788018596.714,344241138218640.25,1.6717421642679892e+21,2.738488547038287e-09,4.822111945856911e-10,3.1424142177272074e-09,3.6116848769032313e-16,1422.7375765725963,1.0683598710244118e-09,2.4344021439232335e-09,6.1120826461723006e-09,-150,-9.793077574746052e-09,-9.793077728765046e-09,-9.79307793591454e-09,-0.00015144999179028673,-0.00015144780619381424,-0.0001514472533017397,-0.01991081944059031,-0.01991081988777028,-0.019910819922801505,-0.0005474818171933293,-0.0005474838127283116,-0.0005474849596075471
-140,-5.720090393913314e-09,-0.00010196675006716373,-0.0115545872637314,-0.0004191186274734216,-140,918861898939.53809,0.0037865873045126669,918861898939.5343,242662277413882.44,1.0878453397304771e+21,2.29496924998465e-09,1.3767151064991712e-09,3.530335912493854e-09,1.0917595360985278e-15,1682.3387557841979,8.3260463191005728e-10,4.0492744049715947e-09,1.0564478352583653e-08,-140,-5.720090456975571e-09,-5.720090393913314e-09,-5.720089365216035e-09,-0.00010196639732384938,-0.00010196675006716373,-0.00010196445509791374,-0.011554586900284991,-0.0115545872637314,-0.011554588277000098,-0.0004191197222098708,-0.0004191186274734216,-0.0004191161918739583
-130,-3.305825757663858e-09,-5.425445898470938e-05,-0.0066284696588996975,-0.0003208492850747891,-130,821900503494.29492,0.0046267985270623431,821900503494.29028,177639138312801.75,4.9256573406056033e+21,2.1650521375704557e-09,2.4288870021163533e-09,1.703222987127495e-09,1.2327699523160764e-16,2007.8768718512749,1.3341805923235201e-09,2.5454548767571471e-09,7.5009735837044777e-09,-130,-3.3058256552587948e-09,-3.305825757663858e-09,-3.3058256343868628e-09,-5.4255430313787656e-05,-5.425445898470938e-05,-5.4253265261650085e-05,-0.006628468904803619,-0.0066284696588996975,-0.0066284713336906215,-0.0003208491252735257,-0.0003208492850747891,-0.00032084758185180196
-120,-1.89378586733043e-09,-9.772680133654082e-07,-0.003776063557879962,-0.0002456198649870102,-120,761848859540.35962,0.005653445408353365,761848859540.354,134758329569199.36,6.8968953427244226e+21,2.9736461436399766e-10,1.347045862441082e-09,8.577054622094238e-10,8.012351045730603e-16,2407.0406504408593,1.4389787277151883e-10,2.7819923112316521e-09,7.6211205209606637e-09,-120,-1.8937859137449913e-09,-1.89378586733043e-09,-1.8937866685655346e-09,-9.775653779797722e-07,-9.772680133654082e-07,-9.774230420589447e-07,-0.003776063811259278,-0.003776063557879962,-0.0037760649049258244,-0.0002456193324178457,-0.0002456198649870102,-0.00024562019012330794
-110,-1.0678705438125156e-09,6.834791910643651e-05,-0.0021421656693828115,-0.00018802870283657518,-110,728690309343.26404,0.0069078964208810637,728690309343.25708,105486571446061.67,1.1503911757242506e+21,1.8216434944143788e-10,1.4186859911662075e-09,1.63531227448388e-09,1.178127039220666e-15,2888.4859965042697,4.8118264919677671e-10,2.8898536179277156e-09,8.8463885241295897e-09,-110,-1.0678717219395549e-09,-1.0678705438125156e-09,-1.0678707267478622e-09,6.834773694208707e-05,6.834791910643651e-05,6.834790110588074e-05,-0.0021421670880688026,-0.0021421656693828115,-0.002142166216991898,-0.000188030069693923,-0.00018802870283657518,-0.0001880284343816485
-100,-5.742413928989237e-10,0.0001700412571851766,-0.0012122432003800337,-0.00014394047939578656,-100,715295596702.6377,0.0084406993461214191,715295596702.62927,84743641180789.453,1.6944394219511815e+20,7.163635018514469e-09,3.785351324059327e-09,3.5793123786870187e-09,3.597626939187568e-15,3460.9157805896289,4.6580492358840316e-09,8.8884078097998478e-09,2.9302226457474179e-08,-100,-5.742395553512832e-10,-5.742413928989237e-10,-5.742377952719845e-10,0.00017003883431243594,0.0001700412571851766,0.00017004599794745445,-0.0012122394150287097,-0.0012122432003800337,-0.001212241261397472,-0.0001439379993826151,-0.00014394047939578656,-0.00014393690008340787
-90,-2.585445767009127e-10,0.00033072798687012924,-0.0006849878490559828,-0.0001101893365723994,-90,716600483346.42847,0.010313618084407762,716600483346.41821,69480998567301.297,9.6007435641493402e+20,5.6141337560267936e-09,5.393369747878386e-09,7.131698120943497e-09,1.5241420811699264e-15,4132.0844380151821,5.5904833438055833e-10,8.5388842784713465e-09,2.6390881089787802e-08,-90,-2.585461008429939e-10,-2.585445767009127e-10,-2.585446816349541e-10,0.00033073080021495116,0.00033072798687012924,0.00033073360100388527,-0.0006849895737598699,-0.0006849878490559828,-0.0006849932424257307,-0.00011019431985914707,-0.0001101893365723994,-0.00011018718816102613
-80,-2.2281980838594133e-11,0.000594865199939347,-0.0003867052317929823,-8.435161204573537e-05,-80,729018145020.75769,0.012602121415437118,729018145020.74512,57848843142214.0,2.783751777178855e+20,2.812423742460865e-09,3.9219581012190675e-09,2.6577853861009743e-09,2.2076985637605396e-15,4908.3650903985344,3.4677616279831145e-09,2.1593055608532174e-08,6.4264794100419151e-08,-80,-2.2281716214874e-11,-2.2281980838594133e-11,-2.2283923913437762e-11,0.0005948638404333906,0.000594865199939347,0.0005948623875156045,-0.0003867055467014491,-0.0003867052317929823,-0.00038670915375108353,-8.434895426034927e-05,-8.435161204573537e-05,-8.434898121306711e-05
-70,2.0686931283742816e-10,0.0010374982817892896,-0.00021817793573726812,-6.457184997668279e-05,-70,750019351559.31372,0.015398423993371905,750019351559.29834,48707539932797.789,1.0877041622176322e+20,9.2186382971704e-09,1.7747346525915416e-08,1.5412815246307332e-08,6.544760445855693e-15,5795.7437830645122,9.5516617113380189e-09,2.4564149056354288e-08,6.841746264122352e-08,-70,2.0686781496485958e-10,2.0686931283742816e-10,2.0687435972530543e-10,0.00103748948458815,0.0010374982817892896,0.001037498703226447,-0.00021818232524797865,-0.00021817793573726812,-0.00021816457790145273,-6.45611435174942e-05,-6.457184997668279e-05,-6.457655633274051e-05
-60,4.972479881480369e-10,0.0017859386888461524,-0.00012303272149093421,-4.942959366331876e-05,-60,777832554552.19226,0.018815202112653747,777832554552.17346,41340643055281.25,2.4747617567247732e+20,1.3544195098802447e-08,1.758750310480988e-09,9.426902635698052e-09,4.2922441185465835e-15,6802.2746290401137,9.8813601015402747e-09,1.6726952531232425e-08,4.7862699126112105e-08,-60,4.972485002303557e-10,4.972479881480369e-10,4.972522803921554e-10,0.0017859304389276076,0.0017859386888461524,0.0017859439831227064,-0.0001230324406407135,-0.00012303272149093421,-0.00012303096274062373,-4.942016676068306e-05,-4.942959366331876e-05,-4.942412954811459e-05
-50,9.339008628028316e-10,0.0030566426971987653,-6.933906472511666e-05,-3.7837399727720966e-05,-50,811229669359.4364,0.02299013397035897,811229669359.41345,35285991391148.461,1.0008567391580619e+20,7.021935743978247e-08,2.53810025505817e-08,1.3412349801312183e-08,2.6823707043569534e-14,7940.5573094974407,8.5772208955248476e-09,7.2232092948776266e-08,1.9799641179392086e-07,-50,9.339157139652651e-10,9.339008628028316e-10,9.338888902582216e-10,0.003056664389987418,0.0030566426971987653,0.003056594170629978,-6.931368372256608e-05,-6.933906472511666e-05,-6.932932249539802e-05,-3.785081207752228e-05,-3.7837399727720966e-05,-3.784085399605175e-05
