voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.00010096404497257433,-141.99393328974185,-42.942807084314055,-161.31287726977087,-150,40234355634019248.0,16.967672009107311,40234355634019232.0,2371236054800191.0,1.6266712389212856e+23,7.676934501432697e-06,7.125235157445786e-07,1.9239439552620752e-07,3.762125200669313e-12,153.49839785389781,2.9234186141239229e-07,5.8038291592367523e-06,1.4272092951810272e-05,-150,-0.00010096404445200655,-0.00010096404497257433,-0.00010096404821413175,-141.99393249818382,-141.99393328974185,-141.99394017511833,-42.94280637179054,-42.942807084314055,-42.94280685501978,-161.31287710748165,-161.31287726977087,-161.31287707737647
-140,-0.00010082875346377135,-138.3853669735617,-40.67519801929404,-173.56166899866844,-140,37575317754420192.0,16.585185996988312,37575317754420176.0,2265595198102901.0,2.4701048998821315e+24,5.0617966849131335e-05,1.969440397431299e-06,2.3965171749296132e-06,2.50176985247888e-11,148.89921692573881,2.1512408221624846e-08,6.7670595960074158e-05,0.0001042489849420172,-140,-0.00010082875268554967,-0.00010082875346377135,-0.0001008287777032482,-138.38536677167457,-138.3853669735617,-138.38541738964142,-40.67519604985364,-40.67519801929404,-40.67519796484509,-173.56166671595702,-173.56166899866844,-173.5616691124742
-130,-0.0001013310876758088,-135.20303310949956,-38.67385195879262,-188.24568589004207,-130,35092701624305372.0,16.21132200145404,35092701624305356.0,2164703262396355.2,1.1569874376400377e+23,4.933328625611466e-06,2.5526988238766535e-06,1.7948952972801635e-06,1.8722230390360098e-12,145.19560053783863,7.6877550573694326e-07,8.0711135919552418e-06,1.8682860272289719e-05,-130,-0.00010133108718811133,-0.0001013310876758088,-0.00010133108906033437,-135.2030307832681,-135.20303310949956,-135.20303571659673,-38.67385409828785,-38.67385195879262,-38.673851545589024,-188.24568768493737,-188.24568589004207,-188.2456871244358
-120,-0.00010173541771737191,-131.04831682743344,-36.85737168594466,-205.05022288401415,-120,32775240280674568.0,15.845885664625685,32775240280674552.0,2068375411406756.0,2.7353584003186013e+22,3.397757177481253e-05,1.7527851881027345e-06,3.4408913052175194e-07,1.6555301021129593e-11,142.04974093232263,1.6943614633805983e-06,5.4542949970315526e-05,9.0503395402184543e-05,-120,-0.00010173541748042329,-0.00010173541771737191,-0.00010173543403572431,-131.0483165490897,-131.04831682743344,-131.04835052666147,-36.85737104193913,-36.85737168594466,-36.85737279472432,-205.05022288397095,-205.05022288401415,-205.05022253992502
-110,-0.00010129842301210929,-124.48207785661735,-35.17416884719881,-223.70433548625306,-110,30612663877429464.0,15.488687009848341,30612663877429448.0,1976453127238266.2,2.8725216395579428e+22,2.4783601986655412e-05,2.4684719690526435e-06,1.7542402019898873e-06,1.1673372256890482e-11,139.26221976257486,1.5059718853018362e-06,3.6984044547885153e-05,5.9142087467442019e-05,-110,-0.00010129842293601411,-0.00010129842301210929,-0.00010129843460938637,-124.48207779320637,-124.48207785661735,-124.48210257680836,-35.174170316670825,-35.17416884719881,-35.174167848198856,-223.70433373201286,-223.70433548625306,-223.70433471717115
-100,-9.933611035191947e-05,-114.14752720461559,-33.59222721576844,-244.04078637587463,-100,28595794071393580.0,15.139540342929248,28595794071393564.0,1888815209951134.5,4.3281452337390709e+22,4.779797592391333e-05,1.9592770925669356e-06,8.864699339028448e-07,2.2515818555316272e-11,136.71452037285329,9.3409476303522147e-07,5.9072190611714766e-05,8.8247949600032353e-05,-100,-9.93361120849066e-05,-9.933611035191947e-05,-9.933608956908804e-05,-114.14753128468158,-114.14752720461559,-114.14748348670565,-33.592225815508755,-33.59222721576844,-33.59222777478585,-244.04078635358383,-244.04078637587463,-244.04078724005376
-90,-9.551431962374096e-05,-99.30538977353919,-32.091760795387216,-266.21129350285264,-90,26716734057752748.0,14.798264155602336,26716734057752732.0,1805396482778577.2,1.5963747561911334e+22,3.7796545171886464e-05,3.96222760201681e-06,1.699019776424393e-06,1.7573392448264752e-11,134.33555410620286,2.3656243967116405e-06,4.4180200017152269e-05,7.5581708995923515e-05,-90,-9.551432121059013e-05,-9.551431962374096e-05,-9.551430363719768e-05,-99.30539332761066,-99.30538977353919,-99.30535553106549,-32.09175833957852,-32.091760795387216,-32.09176230180612,-266.2112952018724,-266.21129350285264,-266.21129493269837
-80,-9.028107029713192e-05,-80.63988054542865,-30.660342814077033,-290.97226459540434,-80,24969212690628912.0,14.464681031168894,24969212690628896.0,1726219377864231.0,6.4904426867693554e+22,4.882958693031014e-05,6.925109872213397e-07,2.126992512785364e-06,2.354721513532932e-11,132.08238258807688,5.4358147002332907e-07,7.0505779937015339e-05,0.00010437084302457583,-80,-9.028107002337455e-05,-9.028107029713192e-05,-9.028104674991679e-05,-80.63987920184525,-80.63988054542865,-80.63983171584172,-30.660343173367437,-30.660342814077033,-30.66034248085645,-290.9722665580166,-290.97226459540434,-290.9722644310241
-70,-8.499600368118318e-05,-60.53108758277845,-29.289839908223605,-319.67871807492156,-70,23349178421175248.0,14.138617552265272,23349178421175232.0,1651447062264886.7,3.5144450680904418e+22,5.3056750289215415e-05,6.524509288396985e-07,2.298007530043833e-06,2.513299305814936e-11,129.92907627319326,1.0336648711575694e-06,6.9918806118172733e-05,0.00010401552282336256,-70,-8.499600238663495e-05,-8.499600368118318e-05,-8.499602751962801e-05,-60.5310845885424,-60.53108758277845,-60.53113764529269,-29.289839255772677,-29.289839908223605,-29.289839268629613,-319.6787196292553,-319.67871807492156,-319.67871733124775
-60,-8.134256484966197e-05,-42.034660171698555,-27.974628347331244,-353.67772602934565,-60,21855799777126344.0,13.819904210709696,21855799777126332.0,1581472595171047.0,1.3519839263254576e+22,5.648407648806142e-05,5.7081641173795106e-06,6.973943527555093e-06,2.7682091631431836e-11,127.85995216585437,2.280070280814867e-06,7.583023689803809e-05,0.00012353374197061895,-60,-8.134256675211282e-05,-8.134256484966197e-05,-8.13425925317536e-05,-42.03466724261,-42.034660171698555,-42.03471665577504,-27.974624076607142,-27.974628347331244,-27.97462978477126,-353.67772096280896,-353.67772602934565,-353.6777279367525
-50,-8.041658265358804e-05,-27.282672668810985,-26.71064195781879,-393.4175114064601,-50,20493128854916296.0,13.508375319381308,20493128854916284.0,1517068364654743.2,1.1397549555704566e+22,2.8075014142814325e-05,3.685897610239408e-06,1.1929005268029869e-06,1.2711268330771984e-11,125.86520704426241,2.4609436048833967e-06,3.0052619731239565e-05,4.9275199851286228e-05,-50,-8.041658427368194e-05,-8.041658265358804e-05,-8.04165715624136e-05,-27.282676775201594,-27.282672668810985,-27.28264870018745,-26.710639797136537,-26.71064195781879,-26.710643483034147,-393.41751136091625,-393.4175114064601,-393.4175125538168
-40,-8.230206439937411e-05,-16.804598600902075,-25.494827571512108,-437.83709697143786,-40,19272847431393456.0,13.203868926085656,19272847431393444.0,1459636379252287.5,5.5288192044775716e+21,2.490633089990979e-05,5.317105205904227e-06,7.462705980287865e-06,1.2816151880533887e-11,123.93826176014468,4.0373658472009086e-06,4.0119547305185066e-05,6.65856700441253e-05,-40,-8.230206797964506e-05,-8.230206439937411e-05,-8.230207721552599e-05,-16.804608549773207,-16.804598600902075,-16.804623507232975,-25.494824834195242,-25.494827571512108,-25.494830151300448,-437.83709221089885,-437.83709697143786,-437.8370996736048
-30,-8.622994667178818e-05,-9.989051664679215,-24.324762692895927,-483.97241859139467,-30,18218782116280388.0,12.906226729361805,18218782116280376.0,1411627309694820.5,1.5297089314799382e+22,5.326350694190296e-05,3.0297443771587496e-06,3.0121846066322178e-06,2.4630524413115674e-11,122.07441587799515,1.6611143242964358e-06,7.2045101159376535e-05,0.00011140240880272434,-30,-8.622994490365774e-05,-8.622994667178818e-05,-8.622996953418215e-05,-9.989046799656307,-9.989051664679215,-9.98910006316325,-24.324764685090486,-24.324762692895927,-24.32476165534611,-483.97242015724987,-483.97241859139467,-483.97241714506526
-20,-9.081742691633744e-05,-5.829980445334117,-23.19836376317702,-526.2119877618534,-20,17374311355626452.0,12.615293996187352,17374311355626440.0,1377241890746057.0,3.6279288963414669e+21,6.327381680648614e-05,7.031677561997185e-06,7.029426342342049e-06,2.8156807506223014e-11,120.27039269972597,6.6152358377374947e-06,6.6108065190972884e-05,0.00011041519876688922,-20,-9.081742076013773e-05,-9.081742691633744e-05,-9.081744891694524e-05,-5.829965822315671,-5.829980445334117,-5.830029096132478,-23.198366535278183,-23.19836376317702,-23.19835950360062,-526.2119904305946,-526.2119877618534,-526.2119834011683
-10,-9.403799259175066e-05,-3.3968226912646364,-22.113693967502034,-554.6995370333025,-10,16814500840261104.0,12.330919481538521,16814500840261092.0,1363604787577703.7,2.2898866814789149e+21,6.641060711354285e-05,1.4255331905133062e-05,1.1609106877585873e-05,3.396446338966349e-11,118.52431551730196,9.9755577301029937e-06,0.00010806357035871071,0.00017357880925410966,-10,-9.40379991528432e-05,-9.403799259175066e-05,-9.403802655621405e-05,-3.396840704269266,-3.3968226912646364,-3.39688910187175,-22.11368606187898,-22.113693967502034,-22.113700317210885,-554.6995318555455,-554.6995370333025,-554.6995434646524
0,-9.285295066078426e-05,-2.0027956827628817,-21.068857028251205,-552.5291895113769,0,16665971254379284.0,12.052955349763542,16665971254379272.0,1382729029582461.7,9.1147697827559936e+21,0.00030958946774717333,2.029365269606842e-06,4.190569597994909e-06,1.4779226463251718e-10,116.83597036133183,2.4304624133536293e-06,0.00040417054013043991,0.00061563361173432897,0,-9.285293035724934e-05,-9.285295066078426e-05,-9.285307814951397e-05,-2.0027525689860113,-2.0027956827628817,-2.0030621584537585,-21.068857506539644,-21.068857028251205,-21.068855477174374,-552.5291916357492,-552.5291895113769,-552.5291874451796
10,-8.251396576555592e-05,-1.2045123103262239,-20.061913447804123,-491.39300009285216,10,17139411643033210.0,11.781257097728437,17139411643033198.0,1454803294831575.0,1.3705686357383436e+21,0.000154077797986929,1.9399718190982185e-05,1.9466453522909433e-05,6.782342901548184e-11,115.20766992073204,1.6099058406584259e-05,0.00015166606481663934,0.00026439434806563127,10,-8.251393933808633e-05,-8.251396576555592e-05,-8.251400716151535e-05,-1.2044512329752024,-1.2045123103262239,-1.2046053107731893,-20.061922621302074,-20.061913447804123,-20.061903221583883,-491.39300918592926,-491.39300009285216,-491.39298971947574
20,-5.554625960992926e-05,-0.7391891411585916,-19.090837444070715,-325.42230430804193,20,18582774563483188.0,11.515683479695266,18582774563483176.0,1613692717088724.2,7.9373265197842969e+20,0.00047876739861862916,3.6275062207380415e-05,3.730892058229074e-05,2.1830745773664204e-10,113.64548956267407,2.9265144227338136e-05,0.00053281148184781892,0.00087902025088914008,20,-5.554632331661426e-05,-5.554625960992926e-05,-5.554610500915652e-05,-0.7393339284483318,-0.7391891411585916,-0.7388551610497132,-19.090819540957455,-19.090837444070715,-19.090855816019662,-325.42228551898006,-325.42230430804193,-325.42232282790064
30,-4.834201529552638e-07,-0.45815611630146913,-18.153446293210052,16.51031069108285,30,21568296922831492.0,11.256096433893747,21568296922831480.0,1916143580458870.7,2.7815325739116102e+20,0.00020218333037291814,0.00012251495688531122,0.00012277647329028696,5.864847379447766e-11,112.16099692836826,9.5394172227397642e-05,0.00015410848497393685,0.00039783246641032863,30,-4.834788014290583e-07,-4.834201529552638e-07,-4.834209278075953e-07,-0.4583194600186289,-0.45815611630146913,-0.45811727668825597,-18.153384333847498,-18.153446293210052,-18.153506848804383,16.510372667529737,16.51031069108285,16.510249891056446
40,9.935681448876051e-05,-0.27829332203207,-17.2471824196535,638.2868968973635,40,27034844533457192.0,11.002361010748128,27034844533457180.0,2457185735593210.0,1.8434653179529105e+21,0.00011969325277050302,2.325889784060564e-05,2.5193388864863664e-05,4.9762520967495776e-11,110.77341430604238,1.8053729311626222e-05,0.00010513873492622003,0.00018660372431809208,40,9.935678019121053e-05,9.935681448876051e-05,9.93568299537315e-05,-0.27837344011936693,-0.27829332203207,-0.27825374686659643,-17.24717060196417,-17.2471824196535,-17.247193860862012,638.2869113418637,638.2868968973635,638.2868861484749
50,0.0002663359600956799,-0.1519964003041016,-16.368507471677603,1679.3460952723399,50,36520742293789400.0,10.754345302721957,36520742293789392.0,3395905679590360.0,2.3064779173444914e+20,0.00044251998411937166,0.00025424264087803294,0.0002578777784947306,1.306334132121674e-10,109.51196163932863,0.00020005812597818717,0.00032281860078354157,0.00083486407667227361,50,0.0002663359556050104,0.0002663359600956799,0.0002663360862384236,-0.15209125510068588,-0.1519964003041016,-0.1516487351165665,-16.368380220636027,-16.368507471677603,-16.368634463276905,1679.3462245540431,1679.3460952723399,1679.3459666762647
60,0.0005269789652699287,-0.04970882886707528,-15.511919987870938,3305.1676960994955,60,52544600316046216.0,10.511920375744291,52544600316046208.0,4998572899894690.0,1.9565071590210765e+20,0.00017068320509139312,0.0004468789258496031,0.000450236679171212,1.2410750367935347e-10,108.41449476234943,0.00035038054048828056,0.00097476558910996886,0.0023294722993844616,60,0.0005269790893774323,0.0005269789652699287,0.0005269789756259675,-0.04960049783642262,-0.04970882886707528,-0.04953814566198389,-15.511695771172526,-15.511919987870938,-15.512142650098376,3305.1679215932236,3305.1676960994955,3305.1674713565444
70,0.0009072772021694514,0.049570346603851664,-14.668007787058302,5677.9225562319625,70,79228199029505664.0,10.274960202181719,79228199029505648.0,7710803494176343.0,3.1238924349531764e+20,0.005972704921106242,0.0004336565994691455,0.0004314604593673721,2.73189023226178e-09,107.52311779400559,0.00034025777406072286,0.0069772915816360562,0.010969668500361789,70,0.0009072794752195176,0.0009072772021694514,0.0009072767433292853,0.0544439813295412,0.049570346603851664,0.04847127640843496,-14.668224651075434,-14.668007787058302,-14.667790994475965,5677.922341018682,5677.9225562319625,5677.922772479142
80,0.0014250076832997836,0.1604951042034785,-13.820229269502157,8908.51779077202,80,1.2331528131090438e+17,10.043341595321301,1.2331528131090437e+17,12278311968234846.0,7.8824962991439888e+19,0.0054591726429293885,0.0027391489644941203,0.002741831645835191,1.7456252782242082e-09,106.8795379891864,0.0021415038157751413,0.0037253985629843397,0.0098458848264351695,80,0.0014250075363941134,0.0014250076832997836,0.0014250092820193916,0.15927629213967975,0.1604951042034785,0.16473546478260914,-13.818859089398757,-13.820229269502157,-13.82159823836325,8908.519160013937,8908.51779077202,8908.516418182291
