voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-445.2749483402164,-918196289.5276074,-24671987.83310324,-116601.56799343973,-150,1.6459493294681004e+19,5138.5607903974915,1.6459493294680998e+19,3203132932754073.0,4.9262544016491061e+19,0.4941082000732422,0.32925017923116684,0.4980379474291112,2.3677722538195667e-07,63240605.855111279,0.4719580621723975,0.76442178349504564,2.1217489024734419,-150,-445.27494836578376,-445.2749483402164,-445.2749485769936,-918196289.1984677,-918196289.5276074,-918196289.6925759,-24671987.984043084,-24671987.83310324,-24671988.16235342,-116602.06603138716,-116601.56799343973,-116601.89492071679
-140,-349.8397686771282,-720894182.7269505,-20899383.46786374,-93455.76468158104,-140,1.0430520640105388e+19,5443.2321975574632,1.0430520640105382e+19,1916236578109944.7,3.389585184315679e+20,0.26279425621032715,0.16211697459220886,0.11482412272016518,1.4212321275408613e-07,63174259.288227096,0.043419171547272831,0.2920757159334102,0.61231260310613322,-140,-349.8397686582879,-349.8397686771282,-349.8397688004111,-720894182.6887435,-720894182.7269505,-720894182.9515377,-20899383.629980713,-20899383.46786374,-20899383.49911078,-93455.68213132625,-93455.76468158104,-93455.79695544897
-130,-271.8816643176024,-559820066.1104766,-17532932.945013225,-72923.49287196729,-130,6.6238383988347955e+18,5765.967936371213,6.6238383988347894e+18,1148781691457597.5,1.1863277427788808e+20,0.18527185916900635,0.11514512076973915,0.28366027065203525,1.5848542034291313e-07,61917994.873315141,0.078613605949217555,0.34925329297446106,0.82340414016871932,-130,-271.881664359043,-271.8816643176024,-271.88166420055757,-559820066.0844598,-559820066.1104766,-559820065.9252048,-17532932.829868104,-17532932.945013225,-17532932.885656353,-72923.71880996508,-72923.49287196729,-72923.43514969443
-120,-208.6974031089247,-429351567.13157076,-14566246.52909404,-54704.28068329643,-120,4.2235529945412321e+18,6107.8390626399378,4.223552994541226e+18,691497099256528.62,3.6792007296180666e+19,0.7075302004814148,0.25522891990840435,0.39762734904070385,3.1085440355127503e-07,51060259.669585772,0.1609684080854695,0.85627582239124678,1.5655668320508198,-120,-208.697403077383,-208.6974031089247,-208.6974033882374,-429351567.28811806,-429351567.13157076,-429351567.83910096,-14566246.65781738,-14566246.52909404,-14566246.40258846,-54703.883055947386,-54704.28068329643,-54704.15440321547
-110,-157.72337875478223,-324160465.9884797,-11981457.79348582,-38792.953191279106,-110,2.7140707658946616e+18,6469.9801363426386,2.714070765894655e+18,419486723096630.12,2.0175413362354418e+20,0.35808199644088745,0.02842787839472294,0.0922552084812196,1.5432797795256192e-07,34659735.878526427,0.018718948440355803,0.47256585569052778,0.76029370482422109,-110,-157.7233787573166,-157.72337875478223,-157.7233789091102,-324160465.93664056,-324160465.9884797,-324160466.29472256,-11981457.780312782,-11981457.79348582,-11981457.80874066,-38793.04544648759,-38792.953191279106,-38792.9678723524
-100,-116.61872641743878,-239384621.813617,-9752088.092977762,-25570.103993165387,-100,1.7697436932600973e+18,6853.5929868746844,1.7697436932600904e+18,258221300367461.75,2.0868658865954918e+19,0.213329017162323,0.1977402362972498,0.09790181537755416,6.075600822441629e-08,24300690.631678604,0.11637669163560893,0.24770892558859919,0.74889518666513766,-100,-116.61872645549582,-116.61872641743878,-116.61872639473981,-239384621.88178784,-239384621.813617,-239384621.66845882,-9752087.993216977,-9752088.092977762,-9752088.190957213,-25570.170397047747,-25570.103993165387,-25570.201894980764
-90,-83.40463664897325,-170916915.25343567,-7846404.532522738,-15521.760492927991,-90,1.185108707106942e+18,7259.9507015318468,1.1851087071069348e+18,163239222389882.69,1.1385380289835031e+20,0.13315078616142273,0.02428490575402975,0.12959494539245497,7.378901045740349e-08,17373106.425026488,0.013953933125245201,0.19561986206915014,0.36357793726971011,-90,-83.40463666462668,-83.40463664897325,-83.40463659083767,-170916915.20367503,-170916915.25343567,-170916915.1202849,-7846404.520326513,-7846404.532522738,-7846404.544611419,-15521.890087873384,-15521.760492927991,-15521.772727822336
-80,-56.67336437155317,-115839305.65653285,-6230967.221838832,-8717.61574561086,-80,8.3079774287149056e+17,7690.4018504763417,8.3079774287148288e+17,108030472142366.81,1.6535732659838487e+19,0.16231434047222137,0.11541781760752201,0.10817732597752183,5.182336337838933e-08,12521622.626910415,0.065089546137306595,0.22448794315185525,0.45436574243726113,-80,-56.67336442337653,-56.67336437155317,-56.67336442177645,-115839305.71158573,-115839305.65653285,-115839305.8188472,-6230967.2794475565,-6230967.221838832,-6230967.164029739,-8717.666107790908,-8717.61574561086,-8717.55793046493
-70,-35.76358382587302,-72786799.46778631,-4873737.205968022,-4604.560732970844,-70,6.2568376248412723e+17,8146.3749622061414,6.2568376248411904e+17,76805175969298.141,3.4049518479105417e+19,0.19923104345798492,0.03956265840679407,0.06367870980920998,6.900985027868956e-08,9056356.8563464358,0.022937509987280523,0.17007968448050678,0.40033699178579241,-70,-35.763583805400124,-35.76358382587302,-35.763583874409974,-72786799.39035791,-72786799.46778631,-72786799.58958896,-4873737.224715063,-4873737.205968022,-4873737.185152405,-4604.6036041277,-4604.560732970844,-4604.539925417891
-60,-20.573889955242016,-41558513.635609224,-3746097.661814332,-2320.4012033914114,-60,5.1929822677452755e+17,8629.3832643802052,5.1929822677451891e+17,60177907373526.016,3.9969736050672886e+18,0.5546659156680107,0.29090943839401007,0.1537318928512832,2.2207704830634611e-07,6568086.8435916547,0.15913479927804117,0.39883587083394484,1.2440437887281917,-60,-20.57388990466087,-20.573889955242016,-20.57389012673792,-41558513.58491725,-41558513.635609224,-41558514.13958316,-3746097.8056165557,-3746097.661814332,-3746097.5147071173,-2320.24747149856,-2320.4012033914114,-2320.254051718296
