voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-662.15513451880648962904839066720335472747331439331559411561395228173300440520039,-501318950.39490866830660383746583850529649175741522528059372791817092173401296173,-679722191.66882615154253278463917084342419944076520401411236490524241300547047237,-295089767.92439306308510764704129242012727320706784819951691622833326027445495976,-150,62800409290076.245861299365234659706458073028701064016260404235604598598197018861,39.521967586921834751107381792920187396576945143668132280121101113718144033332999,62800409290036.723893712443399908599076280108513667439315260567472318477095905143,1589000070706.4354601237055483383402201259745685894935672720677647987806147119628,125600818580152.49172259873046931941291614605740212803252080847120919719639403772,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,0.0,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,0.0,3010567708.7649235023907419286653732913866941263900963328366835714383460929692714,8.838632035872875758358220342278039054740096589122583220422354613264997070110293e-73,1.2953891333711821470306010484792579570898792311119951054606767577262590338137239e-72,3.3810061100214435410747177167740132691202613835031447328297605096160401407821726e-72,-150,-662.15513451880648962904839066720335472747331439331559411561395228173300440520039,-662.15513451880648962904839066720335472747331439331559411561395228173300440520039,-662.15513451880648962904839066720335472747331439331559411561395228173300440520039,-501318950.39490866830660383746583850529649175741522528059372791817092173401296173,-501318950.39490866830660383746583850529649175741522528059372791817092173401296173,-501318950.39490866830660383746583850529649175741522528059372791817092173401296173,-679722191.66882615154253278463917084342419944076520401411236490524241300547047237,-679722191.66882615154253278463917084342419944076520401411236490524241300547047237,-679722191.66882615154253278463917084342419944076520401411236490524241300547047237,-295089767.92439306308510764704129242012727320706784819951691622833326027445495976,-295089767.92439306308510764704129242012727320706784819951691622833326027445495976,-295089767.92439306308510764704129242012727320706784819951691622833326027445495976
-140,-591.36601662989351997086878355383765329633852909609212210287965270090291813523046,-434754637.67261470313695259007715649100385081527093682927589892163572556997642129,-613993216.15545461142928198632365327807182716667926468835292011396854820631608284,-272589881.64832524818164148069107338839049487979948370436374829365600042424781032,-140,58796445443625.845039868942653132474543133380835786155367603299105113614949507592,66.770185680218019005386953615277104599509487286586316745425045248678074100536508,58796445443559.074854188724634127087589518103731186645880316712788368189904258914,880579331098.75188847817629513528761891168429767394305152824025879000861964605571,117592890887251.69007973788530626494908626676167157231073520659821022722989901518,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,0.0,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,2662885801.0772912721496623267625505352075262193809265741729161708150463853067115,-2.6502749501842313424009830034957777092096801090865712543400769565725582199425402e-72,1.332839718873491040104919143991006399255025908887989981457357684303573022390222e-72,2.8738686829709972785636492799130368860813620483891954111197675699914196838025007e-72,-140,-591.36601662989351997086878355383765329633852909609212210287965270090291813523046,-591.36601662989351997086878355383765329633852909609212210287965270090291813523046,-591.36601662989351997086878355383765329633852909609212210287965270090291813523046,-434754637.67261470313695259007715649100385081527093682927589892163572556997642129,-434754637.67261470313695259007715649100385081527093682927589892163572556997642129,-434754637.67261470313695259007715649100385081527093682927589892163572556997642129,-613993216.15545461142928198632365327807182716667926468835292011396854820631608284,-613993216.15545461142928198632365327807182716667926468835292011396854820631608284,-613993216.15545461142928198632365327807182716667926468835292011396854820631608284,-272589881.64832524818164148069107338839049487979948370436374829365600042424781032,-272589881.64832524818164148069107338839049487979948370436374829365600042424781032,-272589881.64832524818164148069107338839049487979948370436374829365600042424781032
-130,-523.50778661214764183947904817417457169353866451381309483174995036441444106867856,-372322073.20491774449624697122483078389832159670926455620018657053293419791452602,-550262154.40669459517950880644374575436588537031286151160568520604218775881352476,-250043092.45320459871533288979791283210918192665756579500551886937601420744408027,-130,55724455942112.660211059494392447358805063962573021726070001197225193275379990074,112.80454815326734599737713918357580186667081000015855871038229546766627254573555,55724455941999.855662906227046449981665880386771155055260001038666482893084522408,493991216261.95370729709833246219358469352437780703534374852637171128915868716274,111448911884225.32042211898878489471761012792514604345214000239445038655075998015,5.0938194818400257067238796011243828766339237989532652316402208755887194917084754e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,8.4896991364000428445397993352073047943898729982554420527337014593145324861807923e-73,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,2349125283.2512765282637768283038045508265277358612273259094385284169888232689073,5.3586048335355786968052587680505199885391044800673291901190511371101621257408359e-72,2.5169800799251799701152440328356530141078771795322858127763684481157516970128137e-72,4.4718247027488250759573898255567327637640577899114256372571618588747401511878232e-72,-130,-523.50778661214764183947904817417457169353866451381309483174995036441444106867856,-523.50778661214764183947904817417457169353866451381309483174995036441444106867856,-523.50778661214764183947904817417457169353866451381309483174995036441444106867856,-372322073.20491774449624697122483078389832159670926455620018657053293419791452602,-372322073.20491774449624697122483078389832159670926455620018657053293419791452602,-372322073.20491774449624697122483078389832159670926455620018657053293419791452602,-550262154.40669459517950880644374575436588537031286151160568520604218775881352476,-550262154.40669459517950880644374575436588537031286151160568520604218775881352476,-550262154.40669459517950880644374575436588537031286151160568520604218775881352476,-250043092.45320459871533288979791283210918192665756579500551886937601420744408027,-250043092.45320459871533288979791283210918192665756579500551886937601420744408027,-250043092.45320459871533288979791283210918192665756579500551886937601420744408027
-120,-458.55506488289956057336079120884746128309807915039945710736986652659559985254428,-314166058.61201861401089991816046105169456807208760536917776217313493260695349404,-488369616.52459962973747100702656105269617038824452202697379857469987891624299479,-227392070.57503381573025413532782961165794792090462351000228390041332187676999979,-120,53528841655939.325437715126011524012555955599191794731458951588653241346893097067,190.57706601275473158075003969582919552242246089808782068006869061335533492385921,53528841655748.748371702371279943262516259769996272308998053500832561278202483712,280877666845.5836453588406692478307508761479137809110379030477805485060610253149,107057683311878.65087543025202304802511191119838358946291790317730648269378619413,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,2062605993.3047968789368809577405846487938692123135967720808618809872124505350884,3.8724378953723824758111562269851310393299515495875519191232569166214252041292327e-72,1.7131289104720794642223122148424842128892864897271568587766983234014655127771826e-72,2.7218605934978085010546898187333509447356749904411279632493922400765929141554934e-72,-120,-458.55506488289956057336079120884746128309807915039945710736986652659559985254428,-458.55506488289956057336079120884746128309807915039945710736986652659559985254428,-458.55506488289956057336079120884746128309807915039945710736986652659559985254428,-314166058.61201861401089991816046105169456807208760536917776217313493260695349404,-314166058.61201861401089991816046105169456807208760536917776217313493260695349404,-314166058.61201861401089991816046105169456807208760536917776217313493260695349404,-488369616.52459962973747100702656105269617038824452202697379857469987891624299479,-488369616.52459962973747100702656105269617038824452202697379857469987891624299479,-488369616.52459962973747100702656105269617038824452202697379857469987891624299479,-227392070.57503381573025413532782961165794792090462351000228390041332187676999979,-227392070.57503381573025413532782961165794792090462351000228390041332187676999979,-227392070.57503381573025413532782961165794792090462351000228390041332187676999979
-110,-396.61687408821705349719760765331437667803928317861262215001971670574627908900717,-260556105.48472615502530826070279843825791770853619778443216991990479163852599001,-428279874.05728329498522623289910155764584545358829948295532148710276130366880977,-204626411.7363524145864904464914391309930171830523618227066177235051016674985607,-110,52167855768771.681926655888866298664916181792436005065785589615800328015492593734,321.96944790455143592388733840215035651068827717889659673093352339632871182642519,52167855768449.712478751337430374777577779642079494377508410719203597081969197406,162027347962.02451988765029819660073021503153490848847835692827844522464660083112,104335711537543.36385331177773259732983236358487201013157117923160065603098518747,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1796928477.6029313690293200288736038994108802153084926086738338685377838921229781,-5.2932580233467586633146894308534749307030180558473673622459306406504234206336243e-73,7.5035346827082203008083290927299773799875141625847977801342588683434313154337783e-73,2.0863208631884167045506268867170904742413994906955468446664274087301434613738577e-72,-110,-396.61687408821705349719760765331437667803928317861262215001971670574627908900716,-396.61687408821705349719760765331437667803928317861262215001971670574627908900717,-396.61687408821705349719760765331437667803928317861262215001971670574627908900717,-260556105.48472615502530826070279843825791770853619778443216991990479163852599001,-260556105.48472615502530826070279843825791770853619778443216991990479163852599001,-260556105.48472615502530826070279843825791770853619778443216991990479163852599001,-428279874.05728329498522623289910155764584545358829948295532148710276130366880977,-428279874.05728329498522623289910155764584545358829948295532148710276130366880977,-428279874.05728329498522623289910155764584545358829948295532148710276130366880977,-204626411.7363524145864904464914391309930171830523618227066177235051016674985607,-204626411.7363524145864904464914391309930171830523618227066177235051016674985607,-204626411.7363524145864904464914391309930171830523618227066177235051016674985607
-100,-337.9509304136020894820213671279914770217920594374620687775290388710356354547743,-211848385.8647545795389791738763401588421831510304937553791067249700313896871776,-370130032.02011354407794757118000896631931401235264702497803611131947013355131771,-181810557.98418998422805049835223742311555009817458748805893346344077496382574222,-100,51612836869892.960743645623502831441367514416394876293156099125013760377523211294,543.94963440681645005935352652600113536323948433105613937013357283705537157913542,51612836869349.011109238807052772087840988415259513053671768068874390243950374238,94885323208.604365736528480560399088713328304591440773037013409837066966445393982,103225673739785.92148729124700566288273502883278975258631219825002752075504642259,1.9809297984933433303926198448817044520243036995929364789711970071733909134421849e-72,0.0,8.4896991364000428445397993352073047943898729982554420527337014593145324861807923e-73,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1546602997.8026759306583859028416270805188271567365705113265353813736461700888254,-1.3267978251460584769747872956359524082922212147299276192469551943725204078489666e-72,8.1508280073963224731285247147580751380947463671742430714210640645180600296525179e-73,2.2150665872972918508392978337795148848721444486048352970296888479945911463405438e-72,-100,-337.9509304136020894820213671279914770217920594374620687775290388710356354547743,-337.9509304136020894820213671279914770217920594374620687775290388710356354547743,-337.9509304136020894820213671279914770217920594374620687775290388710356354547743,-211848385.8647545795389791738763401588421831510304937553791067249700313896871776,-211848385.8647545795389791738763401588421831510304937553791067249700313896871776,-211848385.8647545795389791738763401588421831510304937553791067249700313896871776,-370130032.02011354407794757118000896631931401235264702497803611131947013355131771,-370130032.02011354407794757118000896631931401235264702497803611131947013355131771,-370130032.02011354407794757118000896631931401235264702497803611131947013355131771,-181810557.98418998422805049835223742311555009817458748805893346344077496382574222,-181810557.98418998422805049835223742311555009817458748805893346344077496382574222,-181810557.98418998422805049835223742311555009817458748805893346344077496382574222
-90,-282.96494961712026457335195997514850977136967045038264260700854306133681222801208,-168424092.90715973174868807991522708786248302509126713827321195975243681326635995,-314274405.95696322231607162910684574084620953099128416950349879729623845656623289,-159113767.36274274149106624564244208844522033813413920024942938712405473913983999,-90,51847648274978.481706387109900931969286804516330140610137443477876628961171965802,918.9729233533484840286260161698293161165183362007309145977177876819538117558462,51847648274059.508783033761416903343270634687014024091801242746962031243384283848,56419125044.278229949295154247259577770875058753039548664306957292923635201033347,103695296549956.9634127742198018639385736090326602812202748869557532579223439316,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1308244076.8142610098335867896177343731563389113049146905526526275803198731830685,2.2940536389101583469682692636632536135983621901579613247456322406881069698086118e-72,1.5854108051265339541729526891534875077484421231555076555783662452305964082446493e-72,3.8196160789431107169592170244731912595416852787187857797333069829393024226926954e-72,-90,-282.96494961712026457335195997514850977136967045038264260700854306133681222801208,-282.96494961712026457335195997514850977136967045038264260700854306133681222801208,-282.96494961712026457335195997514850977136967045038264260700854306133681222801208,-168424092.90715973174868807991522708786248302509126713827321195975243681326635995,-168424092.90715973174868807991522708786248302509126713827321195975243681326635995,-168424092.90715973174868807991522708786248302509126713827321195975243681326635995,-314274405.95696322231607162910684574084620953099128416950349879729623845656623289,-314274405.95696322231607162910684574084620953099128416950349879729623845656623289,-314274405.95696322231607162910684574084620953099128416950349879729623845656623289,-159113767.36274274149106624564244208844522033813413920024942938712405473913983999,-159113767.36274274149106624564244208844522033813413920024942938712405473913983999,-159113767.36274274149106624564244208844522033813413920024942938712405473913983999
-80,-232.19525544761894707315921194702854010370190012716600322205213246998093902956908,-130611958.68116423274767996126017311431655170497840373733066262216393125424439519,-261302723.94244005155228552680028803312715015187797615462667915626232668970648305,-136832268.97226819413130801174678930369012240748223993580862334834282405203719452,-80,52868313082510.737609448640232481481289099661647722352104327667660896524640815341,1552.5540977291929954168748757522172987448423480740107938525926486524448658849137,52868313080958.183511719447237064606413347444348977509756253656867043931992162896,34052477243.683386915671631038620970711110555675337674105086579838750001630082431,105736626165021.47521889728046496296257819932329544470420865533532179304928163068,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1081837174.9810026893649992228610484730730741823769323364542093148756776614875544,-1.4839206201985325130147569982553334245691395643349974692064771214684667730528191e-72,1.036558297007123547742981161270465808711432519951769190428636312084083124364716e-72,2.5908944588922992931442115181899377699882296674278040045388038117215716868563138e-72,-80,-232.19525544761894707315921194702854010370190012716600322205213246998093902956908,-232.19525544761894707315921194702854010370190012716600322205213246998093902956908,-232.19525544761894707315921194702854010370190012716600322205213246998093902956908,-130611958.68116423274767996126017311431655170497840373733066262216393125424439519,-130611958.68116423274767996126017311431655170497840373733066262216393125424439519,-130611958.68116423274767996126017311431655170497840373733066262216393125424439519,-261302723.94244005155228552680028803312715015187797615462667915626232668970648305,-261302723.94244005155228552680028803312715015187797615462667915626232668970648305,-261302723.94244005155228552680028803312715015187797615462667915626232668970648305,-136832268.97226819413130801174678930369012240748223993580862334834282405203719452,-136832268.97226819413130801174678930369012240748223993580862334834282405203719452,-136832268.97226819413130801174678930369012240748223993580862334834282405203719452
-70,-186.25029865378597633659115084507353232148196883044723890688591786137706849456149,-98605875.751062341513749855784185467868518728297159777964760166040182401614382062,-212005288.97838727291305882453205765015517136045338010590668243883840750071366789,-115388804.25971439711050381642865691507709013464884559671975339030087608871187558,-70,54682837548532.592222314429864474719108423877044794471149296456477526005953622585,2622.9545671269919828070728202289352753627146124123936934957673095218629114217771,54682837545909.637655187437881667646288194941769431756536884062784030238644100722,20847802029.765423880247179786974441029060917536303940416977272907083144258487093,109365675097065.18444462885972894943821684775408958894229859291295505201190724517,8.4896991364000428445397993352073047943898729982554420527337014593145324861807923e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,871017758.48310450499886408921174504032447252368262064778673223821158030087336835,-6.11368559705127734669255176678598484830882241864472750783288863306713804286455e-73,5.9834594633934153147788855888212668602696444963435497055579853060243546726956605e-73,1.4571829338993763487348994433257292504645403496793171489323596520473829602241328e-72,-70,-186.25029865378597633659115084507353232148196883044723890688591786137706849456149,-186.25029865378597633659115084507353232148196883044723890688591786137706849456149,-186.25029865378597633659115084507353232148196883044723890688591786137706849456149,-98605875.751062341513749855784185467868518728297159777964760166040182401614382062,-98605875.751062341513749855784185467868518728297159777964760166040182401614382062,-98605875.751062341513749855784185467868518728297159777964760166040182401614382062,-212005288.97838727291305882453205765015517136045338010590668243883840750071366789,-212005288.97838727291305882453205765015517136045338010590668243883840750071366789,-212005288.97838727291305882453205765015517136045338010590668243883840750071366789,-115388804.25971439711050381642865691507709013464884559671975339030087608871187558,-115388804.25971439711050381642865691507709013464884559671975339030087608871187558,-115388804.25971439711050381642865691507709013464884559671975339030087608871187557
-60,-145.71240757149451452669777261571558614368637691387773604352628298560586590915851,-72391731.336551062939620426538631525345645588917392027754564625832490770316157349,-167266520.74406924571032371926492000153568677606245105498948386996148505553320038,-95295417.046031196036289324433177133909354308193033640807373515373074623644395832,-60,57311218295786.069162675205326228833716711247867359594100027944516909150667864807,4431.3371568018534118642614912692207429505192866242777827290417849566984013319819,57311218291354.732005873351914364572225442027124409074813403666734180108882908108,12933165829.599891996122411493887320042916008041301793968147163955750926286680731,114622436591572.13832535041065245766743342249573471918820005588903381830133572961,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,0.0,681667968.3896748207004675946460842914133005014273504700859429828206371902225647,-1.0329327101856104972352027222090368761438768558633408045932726501095162769173441e-73,6.9308365578015055386302017737002342343644224980991213322175815263418257548571997e-73,1.522554944052354453176129436191177760681627588781536814163775859869690970948683e-72,-60,-145.71240757149451452669777261571558614368637691387773604352628298560586590915851,-145.71240757149451452669777261571558614368637691387773604352628298560586590915851,-145.71240757149451452669777261571558614368637691387773604352628298560586590915851,-72391731.336551062939620426538631525345645588917392027754564625832490770316157348,-72391731.336551062939620426538631525345645588917392027754564625832490770316157349,-72391731.336551062939620426538631525345645588917392027754564625832490770316157349,-167266520.74406924571032371926492000153568677606245105498948386996148505553320038,-167266520.74406924571032371926492000153568677606245105498948386996148505553320038,-167266520.74406924571032371926492000153568677606245105498948386996148505553320038,-95295417.046031196036289324433177133909354308193033640807373515373074623644395832,-95295417.046031196036289324433177133909354308193033640807373515373074623644395832,-95295417.046031196036289324433177133909354308193033640807373515373074623644395832
