voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-662.1551345184785,-501318950.39359283,-679722191.6695797,-295089767.9242124,-150,62800409290076.242,39.521967586921825,62800409290036.719,1589000070706.4358,1.6033526655184224e+17,0.001795649528503418,0.0010672807693481445,0.0007354021072387695,5.982201400911435e-10,673764846.0635854,0.00058104827059528047,0.0027964962971523122,0.0080369338393211365,-150,-662.1551345183007,-662.1551345184785,-662.1551345178802,-501318950.3942561,-501318950.39359283,-501318950.39246047,-679722191.6685125,-679722191.6695797,-679722191.6689771,-295089767.92426354,-295089767.9242124,-295089767.9249478
-140,-591.3660166313124,-434754637.67542523,-613993216.1567264,-272589881.6466302,-140,58796445443625.852,66.77018568021802,58796445443559.078,880579331098.75195,41319999968450624.0,0.002806365489959717,0.0026738643646240234,0.002974867820739746,1.6806325220386498e-09,604250316.95075202,0.001987447535179467,0.0050684866044646568,0.013166148215532303,-140,-591.3660166306121,-591.3660166313124,-591.3660166322927,-434754637.6732942,-434754637.67542523,-434754637.67610055,-613993216.1561007,-613993216.1567264,-613993216.1587746,-272589881.6485794,-272589881.6466302,-272589881.64560455
-130,-523.5077866122235,-372322073.2058224,-550262154.4059527,-250043092.45319718,-130,55724455942112.656,112.80454815326733,55724455941999.852,493991216261.95374,73292154664347072.0,0.005307316780090332,0.0033540725708007812,0.0006647408008575439,1.3849330571247265e-09,537231471.72591221,0.0010700391314685494,0.0057248579272771525,0.015346664935350418,-130,-523.5077866125088,-523.5077866122235,-523.5077866111238,-372322073.20519656,-372322073.2058224,-372322073.2005151,-550262154.4070637,-550262154.4059527,-550262154.4093068,-250043092.45335972,-250043092.45319718,-250043092.45269498
-120,-458.55506488247977,-314166058.6107892,-488369616.5242633,-227392070.57607234,-120,53528841655939.328,190.5770660127547,53528841655748.75,280877666845.58368,43584923501722456.0,0.0013067126274108887,0.0015740394592285156,0.0020477771759033203,2.0406787371030077e-09,472204946.69957304,0.0016830606559412246,0.0044378134038942953,0.01275143027305603,-120,-458.55506488122353,-458.55506488247977,-458.5550648832642,-314166058.60953987,-314166058.6107892,-314166058.6108466,-488369616.52381265,-488369616.5242633,-488369616.5253867,-227392070.57470152,-227392070.57607234,-227392070.5767493
-110,-396.6168740899799,-260556105.4878724,-428279874.0584166,-204626411.73543495,-110,52167855768771.687,321.96944790455143,52167855768449.719,162027347962.02454,23824869463119696.0,0.003131568431854248,0.0026908516883850098,0.002783834934234619,1.581668129801983e-09,409217720.67146695,0.0029301790833716119,0.0047253807593896852,0.011265583336353302,-110,-396.61687408876054,-396.6168740899799,-396.6168740903422,-260556105.48474082,-260556105.4878724,-260556105.48719674,-428279874.0581588,-428279874.0584166,-428279874.06084967,-204626411.7367136,-204626411.73543495,-204626411.73392975
-100,-337.9509304136627,-211848385.8649467,-370130032.01975983,-181810557.98462164,-100,51612836869892.969,543.94963440681636,51612836869349.016,94885323208.604401,44584123107863424.0,0.0034853219985961914,0.00022667646408081055,0.0005349814891815186,1.8852688299375586e-09,348783295.2716372,0.00018778615384699507,0.0043359892790207095,0.011310886591672897,-100,-337.9509304121772,-337.9509304136627,-337.95093041406244,-211848385.86209142,-211848385.8649467,-211848385.86557674,-370130032.01988065,-370130032.01975983,-370130032.0199865,-181810557.98408666,-181810557.98462164,-181810557.98458418
-90,-282.96494961706634,-168424092.9073361,-314274405.9568295,-159113767.36251056,-90,51847648274978.484,918.97292335334851,51847648274059.508,56419125044.278229,3.0377223418547802e+17,0.00045114755630493164,0.002047896385192871,0.00029543042182922363,9.694076652522199e-10,291652847.70890635,8.5440765082895199e-05,0.00274525821527145,0.0075623393058776855,-90,-282.9649496174844,-282.96494961706634,-282.964949616515,-168424092.90773743,-168424092.9073361,-168424092.90778723,-314274405.957101,-314274405.9568295,-314274405.9550531,-159113767.362806,-159113767.36251056,-159113767.36277753
-80,-232.19525544666737,-130611958.6800639,-261302723.94161212,-136832268.97219062,-80,52868313082510.75,1552.554097729193,52868313080958.195,34052477243.683395,1.9331450360512893e+17,0.008538857102394104,0.0016553103923797607,0.0006612539291381836,3.4852973840315826e-09,238616938.8659364,0.00035190941373425684,0.005714983454395195,0.01555582694709301,-80,-232.1952554489812,-232.19525544666737,-232.1952554454959,-130611958.68406907,-130611958.6800639,-130611958.67553021,-261302723.942382,-261302723.94161212,-261302723.94326743,-136832268.9722497,-136832268.97219062,-136832268.97285187
-70,-186.25029865405895,-98605875.7515809,-212005288.97897688,-115388804.25890422,-70,54682837548532.594,2622.9545671269916,54682837545909.641,20847802029.765427,1.0107424248721888e+18,0.001479312777519226,0.0004781186580657959,0.0015051811933517456,5.191509444557596e-10,190483076.59269801,0.0013517196515686659,0.0028460217779534979,0.0082023655995726585,-70,-186.25029865419177,-186.25029865405895,-186.2502986545781,-98605875.75094774,-98605875.7515809,-98605875.75242706,-212005288.979127,-212005288.97897688,-212005288.979455,-115388804.26004323,-115388804.25890422,-115388804.25853805
-60,-145.71240757207977,-72391731.33713853,-167266520.7448237,-95295417.04584503,-60,57311218295786.062,4431.3371568018529,57311218291354.727,12933165829.599892,58428428780576192.0,0.006541520357131958,0.001626819372177124,0.001135215163230896,3.5619791560748126e-09,148117418.11282858,0.0012684865416653674,0.0052395442441158738,0.015332906506955624,-60,-145.71240757022957,-145.71240757207977,-145.71240757379155,-72391731.33326371,-72391731.33713853,-72391731.33980523,-167266520.7445645,-167266520.7448237,-167266520.74619132,-95295417.04627131,-95295417.04584503,-95295417.0451361
