voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.560389793317324e-05,-48.19749313738262,-1.0076230866085085,2.700338086857543e-07,-150,21606078475.35133,1.384327187140912e-08,21606078475.35133,1.5607638624778396e+18,2.239098869613392e+17,2.757733454927802e-07,1.9584573807129857e-07,3.102877243644555e-07,4.833231661031598e-14,0.18934245412657913,1.4952715072085659e-07,5.0709503851915177e-07,1.6027215788830167e-06,-150,-1.5603897925796972e-05,-1.560389793317324e-05,-1.5603897884840923e-05,-48.19749307632446,-48.19749313738262,-48.19749335209781,-1.0076231718994677,-1.0076230866085085,-1.0076229760537296,2.7464320133268944e-07,2.700338086857543e-07,5.803215330502098e-07
-140,-1.049096160398455e-05,-32.29786564443186,-0.8909212268607951,4.0272945524184616e-07,-140,19306243381.07655,1.2112031884257553e-08,19306243381.07655,1.5939723050241946e+18,51394735922656960.0,7.166345312725753e-07,1.1931667540654445e-06,1.6776422769606881e-06,3.491838708371414e-13,0.2162339343997087,2.4448780919967445e-07,1.8410540886449293e-06,4.460991843308283e-06,-140,-1.0490961891387572e-05,-1.049096160398455e-05,-1.049096195316842e-05,-32.29786526970565,-32.29786564443186,-32.297865986340184,-0.8909204150550067,-0.8909212268607951,-0.890920033694041,-1.274912821718842e-06,4.0272945524184616e-07,-9.417828970015307e-07
-130,-7.0607776722255705e-06,-21.641255085354604,-0.7922580230850601,6.005626422819829e-07,-130,17270691324.109959,1.0597300820787733e-08,17270691324.109959,1.6297254948384271e+18,1.6718094203245673e+18,2.0519666676932502e-07,1.361769977559213e-06,1.5709259069644523e-06,6.702399408181148e-13,0.2469438622317876,3.9246248286559262e-07,3.0504827639866063e-06,6.5660675601307554e-06,-130,-7.060777702983837e-06,-7.0607776722255705e-06,-7.0607770327438964e-06,-21.641255278140306,-21.641255085354604,-21.64125529055127,-0.7922577280551195,-0.7922580230850601,-0.7922566613150825,5.498337906680271e-07,6.005626422819829e-07,2.1207596976324794e-06
-120,-4.758381433135268e-06,-14.499186030148511,-0.7043852434303056,8.955113928399856e-07,-120,15468060099.758404,9.2720020686398882e-09,15468060099.758404,1.6682545997347277e+18,25200535924360184.0,7.093661871238055e-07,9.298535380564132e-07,3.127655526768926e-06,6.87663131563362e-13,0.28201499693157489,2.5219836346281628e-08,2.059191206084629e-06,6.3583633794291698e-06,-120,-4.7583814513633845e-06,-4.758381433135268e-06,-4.758380763700253e-06,-14.499186281114817,-14.499186030148511,-14.499186739514698,-0.7043849714100361,-0.7043852434303056,-0.7043859012635741,9.535758127356313e-07,8.955113928399856e-07,4.0231669196089115e-06
-110,-3.2118286976131626e-06,-9.712570784238025,-0.6237293765824212,1.3351598147533336e-06,-110,14373085183.538658,8.1124452173918708e-09,14373085183.538658,1.7717327881271741e+18,56978464200582976.0,2.7249370759818703e-07,1.1025165586042718e-06,1.2699635875794316e-06,2.1341756673394973e-13,0.32206685128447454,4.0956743510999003e-07,1.6412679855235797e-06,4.3960206735925002e-06,-110,-3.211828484195596e-06,-3.2118286976131626e-06,-3.211828520153357e-06,-9.712570676580071,-9.712570784238025,-9.712570949073779,-0.6237302180379629,-0.6237293765824212,-0.6237304790989798,2.314326905261705e-06,1.3351598147533336e-06,2.605123402332765e-06
-100,-2.171982754908636e-06,-6.504574478654929,-0.5487998106286722,1.990371773979605e-06,-100,13449818863.620031,7.0979025800452807e-09,13449818863.620031,1.8949004599516818e+18,9741193200611058.0,5.02463080920279e-07,1.552256561621057e-06,8.360963147475124e-07,3.895848123337581e-13,0.3678071604008385,2.1574541022417321e-07,2.2925813079286864e-06,4.0846443023830222e-06,-100,-2.1719826137244707e-06,-2.171982754908636e-06,-2.1719823653238237e-06,-6.504574704915285,-6.504574478654929,-6.504574202452204,-0.5488001490011811,-0.5487998106286722,-0.5487985967446195,2.8264680887271175e-06,1.990371773979605e-06,2.3231596451012138e-06
-90,-1.4719086670091647e-06,-4.354380718704941,-0.4791887342641356,2.9665824368761183e-06,-90,12585882203.858858,6.2102386747470137e-09,12585882203.858858,2.0266342185908931e+18,5.0987063902221804e+18,5.069323378847912e-07,6.922806157216854e-07,1.0751466185589346e-06,2.3411094607129785e-13,0.42004406299220048,3.8777563884834565e-09,1.0890354492166647e-06,2.5174635076475557e-06,-90,-1.4719085151647747e-06,-1.4719086670091647e-06,-1.4719087492757208e-06,-4.354380961507559,-4.354380718704941,-4.354380454575221,-0.47918910160660744,-0.4791887342641356,-0.47918942654475133,3.866977608060355e-06,2.9665824368761183e-06,2.7918309895014204e-06
-80,-9.997518420068889e-07,-2.9128394800559625,-0.4149780833676092,4.420594670845716e-06,-80,11777465900.712088,5.4335860435375973e-09,11777465900.712088,2.1675309466608236e+18,54556354724484304.0,1.9917297322535887e-07,3.103435060713977e-06,1.320008530802537e-06,6.202966962911291e-13,0.47969969427713344,3.3462595086485357e-07,4.3504275035150657e-06,8.539485108213603e-06,-80,-9.997520947290796e-07,-9.997518420068889e-07,-9.997514744323833e-07,-2.9128393009305,-2.9128394800559625,-2.9128395001034733,-0.41497737914323807,-0.4149780833676092,-0.4149749799325485,3.100586140043179e-06,4.420594670845716e-06,4.036160935250166e-06
-70,-6.805126316921566e-07,-1.9457635724902425,-0.35638010615096705,6.5853280333203096e-06,-70,11021005692.128418,4.7540616132163838e-09,11021005692.128418,2.3182294612021453e+18,27154171956465352.0,4.509447613099127e-07,8.310289481561206e-07,6.574367252639244e-07,1.409002478764982e-13,0.54782805741479346,6.2193139956474027e-07,1.0656489439275339e-06,3.058389394549334e-06,-70,-6.805127725924045e-07,-6.805126316921566e-07,-6.805127092831623e-07,-1.9457639791071415,-1.9457635724902425,-1.9457640234350038,-0.35637950152158737,-0.35638010615096705,-0.35638033255053553,6.249866672432372e-06,6.5853280333203096e-06,6.907303397696296e-06
-60,-4.6386994036757734e-07,-1.2960158610042294,-0.30355555873285034,9.80651429565295e-06,-60,10313166660.448692,4.1595185281252791e-09,10313166660.448692,2.4794135645062026e+18,51729177926937760.0,3.723455614945692e-07,2.147426029608379e-06,3.365329907425596e-07,3.5975829092527807e-13,0.62563213072868895,4.2303977021063525e-07,3.1137253126951102e-06,6.38152658870536e-06,-60,-4.638699131525887e-07,-4.6386994036757734e-07,-4.638702729108796e-07,-1.2960156723856926,-1.2960158610042294,-1.296015488658668,-0.3035557270050049,-0.30355555873285034,-0.30355770615887995,9.786972500012209e-06,9.80651429565295e-06,9.469981304910391e-06
