"{'distance': [0.201, 0.409, 0.741, 0.754, 0.796], 'solute_4': [7.25, -5.98, 1.78, -6.11, 7.21], 'solute_3': [8.26, -8.42, 10.77, -5.76, 11.26], 'solute_2': [6.13, -1.63, 10.47, -6.52, 7.89], 'solute_1': [7.47, -6.2, 11.05, -9.01, 8.01]}","{'solute_4i': '117.0 uM', 'solute_3i': '111.0 uM', 'solute_1e': '102.0 mM', 'solute_2i': '84.0 mM', 'solute_3e': '55.0 mM', 'solute_1i': '21.0 uM', 'solute_2e': '58.0 uM', 'solute_4e': '27.0 mM'}"
voltage,current,solute_4,solute_3,solute_2,solute_1
-150,-0.80341398394015270914164373146271587430748620130130182237856678696423576068266359,-1089161.0524599328224403427838677161481089992015918980483132726125399404293437268,-1347163.4389050225572364240754935572899327715424842804600034472401202053187276706,-729.756401667057920340698517023629709645142274782537411803539618793794181914346,-140960.06838780849400411070585490850940696228119323411406401383261966028282965935
-140,-0.63652561421887104843907148610555838588557233389598428931659958596881552322316931,-876403.20524088135358288710039278819524854477280142071017911266788296428787855486,-1061982.6047361709965242622883992132028443135120467217973336901761378738287420578,-549.54369859095577729912029879687232801872257535289664992976828190031162591028885,-95447.733465636488159873456237853107353229336959135083972756113612700848827872462
-130,-0.51384464904852218127726356101871956496894680915970779458550484437118886541846254,-740586.93163153350131875298373374692101021361354431927065963033300224505381819365,-829261.91563653625074689622734912316556428592121669786669860611754051352843297371,-421.57883869240505863528032324635012613664947586164604129095373258467546306704047,-66978.804768511935730076379602024181772865146291696859914198130927586360791158346
-120,-0.43039618311958211465548599328608112708055807403154037876629379874511705744615137,-675438.18001139939318638509388609503291132698109117159486414646656245381561275715,-642488.36675422755665903188659456958097545426857484006871337569259151222527346311,-327.32971007538461892940434582445059876708507811218012705365078010474046379015406,-50110.119205787193789033801996057873081913990821907507548100134475757279830504065
-110,-0.3818421111350463695796143804646232026560783711674349217030942219823220539772116,-676520.49609792577433666908047685785504968046258939073690482824883438286676787299,-494667.54675764183263436700231458528827209736407189370470360790253794950284010801,-245.27638558263563273664677406409458888054371952936163292677079533653328041334468,-40667.138890024039621558998066920819622952778100658066861650101745436820521745799
-100,-0.36481556239481307858621424503121874948790561522136444383058849396058822799683859,-741675.11037034653227920060351348340900920779437215952667848912999628491248227195,-378937.70916110023724264454401718059886242449195171534375423981520912083581800623,-149.56116049801962211824826049952990676320807419548200134753003632149782542205396,-35725.940206704036092308240271099749891520696559617195612902069319868613074381767
-90,-0.37703892745290897507841301367998723502670274266517008189746395799636428427767847,-871029.90216595913002959867966336446634083165593523208059725820765721000098079196,-289050.37698282832427485092051467327498605254569137259129057248540498363699124138,-6.7867087558914797255640354814525976768064659555561899855774186909865887297104639,-33377.225668864582674295981348841501472072561550815692824795092766455540946066798
-80,-0.41715942296753335778614644636173593322083430053672711440859749653040216025388873,-1066385.714545984034226857719166974045711921671002548315175827935516795300328334,-219622.75485154416929111153754393110616480516804768046094943019695653678740355879,230.9180592925615965382785860736002139396784095829045984005280083134260258516474,-32436.301615247685377266127823064429319141075376246292023160582371981325256470766
-70,-0.48426379353020212688280159802354667330607218958533397274041869990728460437027944,-1329781.7005322016058787814603143402510614811528482512619566662847812487886964533,-166196.81843869039003085182557009263853184736766757933213638433902722925097294053,638.6166088855621381854784734899670766953942809250765775119254320251400737764629,-32190.317187361360653878530957873211205608442569497045073837435491114364826912848
-60,-0.57697850155631955461964967823811987770570235423103416347294043229675045102999069,-1660861.1498657463175583943835630095950200448028685845428389418247263236127799879,-125179.25986806547133028606027728104362206420338161294476694882506380573488878965,1339.2644505323225521952547164814164413358091597809273814812223378880446678694233,-32211.327138307383055504696709814732118191380220534930396731331958313321453712264
-50,-0.69194539505812971012140359171052815899598057070185799401767281614199518384743694,-2052322.7615582849909450995375697842048409620581211080173801869670127020541525213,-93727.008260617766246682786126831694499423404851354382922266770067493374020346579,2535.1150670340996175858171428925128038912169334748879075276512382352055730053071,-32230.335053876574313494990389231057166970554165281566525449949014298425576294329
-40,-0.82134960700858944074657682956287722369512108303126430637094957099714612265738074,-2482417.1223822356290547491974502625440798970760098379341704810668157182825555243,-69620.208437187598720274566899763615321250641480957940560283414788474375101623835,4552.7089883814073651090550178719401801887627993734973044941861341318268649548924,-32057.017315378795241079209636391564731531585975328847539229093637229119456851081
-30,-0.94932506153225641874531608122358389874434283751973992929212269692289266214992551,-2903927.7329126125985434005753292442817320105265325494844525603669962737275840149,-51144.719438850104559551726619307465914702966014130649822053607512915260489501165,7901.1842002749017779646460896114271585775864605124923250843600932580521666685875,-31531.755409587360667617528058483970223521451394733798006783109724855310176295454
-20,-1.0482390070182776950971930016797201852226093633386226406331640840973634377099369,-3232743.7747410725766172349891401869301946200714030386198873532938468342710429638,-36992.960702063674129699321375360742404147401223318206330220169953541687085009553,13331.395907525587200057984164577576004387186076386860288683875177027333426106496,-30503.971479825789475475938330206154849983362066471345415518992187221322479159104
-10,-1.0792518835329734742431694428529881409752486922578965428839849771632054226145345,-3349701.8842857193561028918859707043991386273205428545715153556029091558624911289,-26183.465138106320809652491128287768725489476674726001359247969310499577893797687,21853.173744446727650932126377269748947074523481205925212699238180092228667071922,-28838.791793386475932043369340914135979780681056496806396241402118379764009728234
0,-1.0057463330872807146491234853010593910935602116082294196592914807601269503233117,-3142431.7176434827532832438600750296170122438231482810965081368282001116042585589,-17993.279625522174233450833835100416642764781043859629763333294006630680422952909,34618.759107315644472415526236178423684288172179408991594066853239433163404386409,-26454.521724566287087307295789101928128025508806046705033292007504882260848689798
10,-0.82208943670212633094916872401886543675074857636527901481838837107805942676982963,-2594799.3963704823676514828957076969075330785570527687047450397459522144336396129,-11893.99978796133252423552636205015952094971185021853388567738225312385678170425,52559.162961966313499659745222171785539445636761434262051194413558525183653034622,-23375.957465511971322913129360892137849736746397738584696792425395053252057971163
20,-0.57331887149470046779364743672011828711309603275826793551460904145914060309077211,-1847809.0102570472503310867091844305148738860221901027953518008375434949446032894,-7486.4413453157146393726187750283296668872214228321287618894716225249799310295842,75793.880277056054515391250448199695547013708722536858049982536247388009217287952,-19766.342335032226335460362571350366789437369086280104208988018357271036406306414
30,-0.33144941397582917217263269457107459838971804572239788756289945667560214017638444,-1125245.0648104560496559982391903015165997413041592568859414784824718803981868058,-4440.258922729396227397333397118304392551705588988066026892482959015495063614311,103155.46556176007473436432157963572996032610053717711960777074549771739735156922,-15912.905229116729136597227194101640660606486292729930294547614863240804467590184
40,-0.14706257894245103633112510561303994167567101148820365228785180191027590994870929,-582779.66496948596157475879750910713627980586516081192023967724298735981691861033,-2452.4804157444879478555315146835079355574422499340112025146231612324171093274877,132319.3996647226477585577322539125825775654954068805007947903038738601821745419,-12168.134916356704608936303387565214691514251574809524611118847681361216630655013
50,-0.029807945057380413717020930960795484000467494795395163559040592140932785510691587,-247988.79286976841026308642263137848087232431257197752011423813472164872881433744,-1236.5259207621028544985941032970558720296330929332098024299309795021189151543669,160618.5790290444309199736068314295549843825001576460145626752965941723437221769,-8853.5932446958457389324138444358926436103138894140258211996130352613844424350693
60,0.035750386059544412178713945547533018571595951413273946529160940577161975078703258,-70796.907393009903006884379026530775717809450857679559730986720022362990001995882,-538.58972485457725170301431167903945571723339378853146574143994085695375338810616,185998.51903252496739326786685148519711768396577888036208984773665765159872952662,-6165.0821592559681176062355975198425878638831792696498927235759165841001237761474
70,0.069415522950906862320734033710927117715508863214602646150296753145299348513237129,11397.21507897391695686746757098888886463516915572548175019513801800054962046711,-159.69527910368057344448719165487271705708947513249688800628362473376686053675084,207485.97767461478143562498987937424143997780205417235691508364913219782334991077,-4141.6082391893500641792451432567804647234696730230374760764867612482262682806115
80,0.085842562591119386585087808416100876206547317206345533968853170388788544223336503,44181.09604718999230050026221885156195390519467671193603197626154328841626841189,36.983312050877663304450521311096969019251964542730356030638589309736051587244424,225058.18954290765257226264680381237850036928043508575879484378708870299115710018,-2706.3293703432939890807579540608189527548967516336083312246509140508372596114149
90,0.093647801156331494229112328783912507731867215533295991056903800150432604823424432,53779.863235039271038486299322206152453918994992542041301321954353717416686435151,135.3897532020571811176000347218851697289945835523192939392670278544139713184476,239234.92103995939959525221728515492971778604038857861403885075770552014361921225,-1732.3008882897267782730926764159375252137413939295884470612675047190972026898531
100,0.097319931855889652113266370120109367423436435818822470339259772772529479947424608,53397.118497345771922849515168000567777242092192163818204326622039798328997728611,182.65411332418937568676741169017396052523854431874013110712284067707336016977242,250711.29027714091429695095426692965405765807548130894910458425239581461215648315,-1091.9144404803215296681833652737240298102780512533530824358513357826866662739497
"{'distance': [0.201, 0.409, 0.741, 0.754, 0.796], 'solute_4': [7.25, -5.98, 1.78, -6.11, 7.21], 'solute_3': [8.26, -8.42, 10.77, -5.76, 11.26], 'solute_2': [6.13, -1.63, 10.47, -6.52, 7.89], 'solute_1': [7.47, -6.2, 11.05, -9.01, 8.01]}","{'solute_4i': '117.0 uM', 'solute_3i': '111.0 uM', 'solute_1e': '102.0 mM', 'solute_2i': '84.0 mM', 'solute_3e': '55.0 mM', 'solute_1i': '21.0 uM', 'solute_2e': '58.0 uM', 'solute_4e': '27.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,4067748708169.7956195919550279764783507907979409100271063122161569676045817900232,753.95262197430566840052874603873311897517305701933589193170522870943242995957765,4067748707415.8429976176493595759496047520648219348540492928802650358993530805908,5395231198.3715370367910544563067794666780224660401856479198335824689841531908226,8135497416339.5912391839100559529567015815958818200542126244323139352091635800465,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,3.1262930169441889543898593743337446447439921319259338613785806562010302327447986e-74,1.9345017563411555960865428172672895039299840816337270302453095773177645639083837e-75,9.4879781489074709019137166461430171069389652441316567950699867225973298618727836e-81,8246541.6432928530679920949529189691115023570117251708896701927475375379402377534,-1.4587879011915063714292952551162635668586536339764141411029072115848832780678482e-75,4.0065385309762027965019889439638424150950767911204133874862272859620449402016036e-75,1.1204780431962190964186890751859799511460429106472629630464453619254337145855165e-74
-140,4741705733199.4700665458280603228216634824957253604553790887844536517004768688386,887.60740208002810044231296862743620292975878494285252320278293844643713979018764,4741705732311.8626644657999598805086948550595224306965941459319304489175384224014,5342120538.9767021202439876126825485556173245725448943190686023103692193488294928,9483411466398.9401330916561206456433269649914507209107581775689073034009537376771,8.401264770395875731575843092132228702781645154523614531351058735780006106116409e-74,4.2006323851979378657879215460661143513908225772618072656755293678900030530582045e-74,8.9297982859676557426494878261356131565339443768271149521145093881543239244699496e-75,4.8362543908528889902163570431682237598249602040843175756132739432944114097709592e-75,1.6867516709168837158957718482032030412335938211789612080124420840173030865551615e-80,8837509.1399852407430875401455603387174165563169505654788879181840561589077862908,-4.4738682283847050356693628045835196507500600245170638239279322868548868148788296e-74,4.171033919438589409255660578548513604393527044003416891015950532963367578462143e-74,5.9739319058813228036957397654682781338413218048192250292303033641864113018992313e-74
-130,5539744384896.1299536823103864046521580352877823436263105913410275780642216275366,1044.9554484792367421752988346619847957229341119494327367952340921198123547727864,5539744383851.1745052030736442293533233733029866206921986419082907828301295077243,5301416814.4281460606561810906687993475345750749044374454462716959824080194491827,11079488769792.259907364620772809304316070575564687252621182682055156128443255073,1.3265154900625066944593436461261413741234176559774128207396408530178957009657488e-74,7.7380070253646223843461712690691580157199363265349081209812383092710582556335346e-75,4.6566220849069245420083209244219754487457473965040429228047809111149047002651807e-74,2.3490378469856889381050877066817086833435520991266685367264473438858569704601802e-75,1.3704857326199680191653146266651024710022949797079059815101091932640587578260687e-80,9673648.8523945580540768251412666660164848947294710090235218702073508767570653314,5.0496779493703556396094986318074777462493493238779354981399153900499838973652807e-75,2.4363772503494487960221774001548850731170782873717954042950578870013585922902596e-74,4.6437036199673757755831471377172624128696346731981222730591935385731867963450515e-74
-120,6484260849778.720826791246240391437667558434666163992880961287688381609560783128,1230.1969167309760516555802952708745708045363857962443737614250365165607185899602,6484260848548.5239100602701887358573722875600953594564951650433146201845242665673,5270912942.1405651578832585623374753168596137911814369324091693899695660293387947,12968521699557.441653582492480782875335116869332327985761922575376763219121566256,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-75,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,2.1321620641458796974500729455271336491139015399747624204450395904912482088032637e-74,8.9816152972982224104018059373124155539606403790137326404246516089753354752889241e-76,7.9066484574228924182614305384525142557824710367763806625583222688311082182273197e-81,10780901.329021652334084054055650477873460833137590538085589594331828701396605151,1.7771838494023910796330007609298058566569485242777402746787506968660888905222428e-75,3.8199361085906892852847943144296409931407020942171192445058533872831316221538779e-74,6.0817226482726448797363843728076018246910180872292498282256532515455415724713677e-74
-110,7601708295737.5538594420143464937648284308387661888279142267278602586080422491779,1448.2765328769624578495807266890650336176626512727356573251856417461786330111578,7601708294289.2773265650518886441841017417737325711652629539922029334224005029992,5248796154.0307253169326387788766716562510878079131493986028409768780854621492293,15203416591475.107718884028692987529656861677532377655828453455720517216084498356,6.3009485777969067986818823190991715270862338658927108985132940518350045795873068e-74,3.2057457676510578449434138114715083207982593352787476501207987281265812773338929e-74,3.7742755388436190026883790875394871250642895342700435990486404071971173864758295e-74,3.2471993767155111791452683004129502387396161370280418007689125047833905179890726e-75,3.1626593829691569673045722153810057023129884147105522650233289075324432872909279e-81,12197165.003153444539855449700156712073600946366401760149980654971180394430705986,3.2536533298570757454417243863751560035685542560981702097826368546157110869176314e-74,3.2685920372467329682727664004270160059615380918565915216681499549306858155291644e-74,5.2593973039823327224056110663157276284699161238342309923385036746118681054474496e-74
-100,8923331295467.985209898297309269947775285168848448301794217244139479866043613794,1705.0155850299577232152720041414104519062958888664194908565620417476523322646379,8923331293762.9696248683395860546757711437583965420059053508246486233040018661416,5233577554.2551413933863024384888782777590895084670793661838195166900218637752309,17846662590935.970419796594618539895550570337696896603588434488278959732087227588,3.4268316826614756273533044191591985498188289446083164535774055369628972274948511e-74,1.8792302775885511504840701653453669466748416793013348293811578751086855763681441e-74,4.6361111845885752360230283387478244997643468956385067545153496153732542947326699e-74,3.9380928611230667491761764494369822044288961661829443115708087823968778622420667e-75,2.0557285989299520287479719399976537065034424695618589722651637898960881367391031e-80,13972796.763311051169312698742942752285866960552337445946295305986793671907324466,1.9432934124326021191508727877705579632158209842004644511462210995946506648009526e-74,4.2380671773809349534006223631657231820585476181876526145136874122425543455367941e-74,7.6275379733044741992861553863189078999994785986089432093316710804578134920352552e-74
-90,10486033216368.20804096942417826722672260628865065788311356561692550676427637158,2007.2673133909141273952291770595684753405679530607413643955988396953767175357129,10486033214360.940727578510050871997545546720175317315160504875561111165436676203,5224034261.1139103655115909807205486900301455486691247912296336355437825862605951,20972066432736.41608193884835653445344521257730131576622713123385101352855274316,1.0169952090479217990854967953633750534946202029160164959003913206470533707404074e-73,5.0297045664870045498250113248949527102179586122476902786378049010261878661617975e-74,1.3161520877963933609088800238907808946380784555400892830776124088536933908019539e-74,3.5235567704785334071576315600225630250153281486900028050896710158287854556902702e-75,2.0557285989299520287479719399976537065034424695618589722651637898960881367391031e-80,16171754.522755301972933500438151362511296549628395842834884091410861631290712385,-5.4941137997899329086737771773113936511137555481996859580503980077520629507517772e-74,8.2391922475761544338383613055292923489688965472367933612024985730997797525518084e-74,1.4694930300206104126709638719528253044002738859548435160136888783133095726925067e-73
-80,12333400649789.855552124555214692231436450780173930201941917807903093773434288471,2363.0998465839748162092839591293880759782808606669828690366681950462221516582383,12333400647426.755705540580398482947477321392097951921081250825034057105239242249,5219161885.0209160605873805890066033120020916214207129544724087500276999845689364,24666801299579.711104249110429384462872901560347860403883835615806187546868576943,3.0952028101458489537384685076276632062879745306139632483924953237084233022534139e-74,1.1330653144283911348506893643994124237304192478140401177151098952861192445749104e-74,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,5.6998712463623334527549922294482637169365602405279457141156442903112705900872019e-75,5.7982088687767877733917157281985104542404787603026791525427696638094793600333678e-81,18873085.247573822231106381624146671100841280139246963223786700546939010040660126,1.6688847073087760163441644649249829648352587024083716470555799334772239505944078e-74,8.2487958186427317242513286419928998252690747765382584945290396138505541564807407e-74,1.4066247124867285818549027836129037118885625657670820966708411188414903518446983e-73
-70,14516913310819.282436351184259394418390488710062223584962078150839827121249845966,2782.0115675035045461984438988531545885762457118855946369355188671769961630137833,14516913308037.270868847679713195974491635555473647339250192556202891602382668969,5218135496.0527119517217922421000571827899172515080152276263244780927702181585138,29033826621638.564872702368518788836780977420124447169924156301679654242499691931,8.1801788553854579491659524844445384737610755451940457278944519269436901559554509e-74,2.1832234107278756012976697509159410115781248921294919341339922372586200078394616e-74,1.6529626614450767012989477465399964779116024697531042570935368441902684711252885e-74,4.8362543908528889902163570431682237598249602040843175756132739432944114097709592e-75,2.3719945372268677254784291615357542767347413110329141987674966806493324654681959e-80,22172157.878627950686821279942734493367010774066859189055417302125448693548026176,-4.7614867296311213204545511781094142076257783138083900292178927193282076563760181e-74,8.3129882637884069789379610181044278160614784243935256260456473690088047492642626e-74,1.5716751452169806889283745028438571460741284662110086636263779414870862169415252e-73
-60,17097372987104.545988482843512971737554599921870805993971636029162165390220924726,3275.1846575215261022653507474550737999236248208040962918204392912015677840125888,17097372983829.361330961317410706386807144848070882369150831932870344950929723158,5220277564.4542948216277433617198750628845427935867515330884656782711829970917526,34194745974209.091976965687025943475109199843741611987943272058324330780441849452,2.0782076010979271546529717122642881527933543276979467524921040030613699315130064e-73,1.1717553495552142467724202207447582138090189294467146583200160868324745358530781e-73,3.0990890859956414538198923659659233860949767307779595750157559902699991685648369e-74,4.73262036819175565471172082081461896497156819971108219899298950165238830813301e-75,4.427723136156819754226401101533407983238183780594773171032660470545420602207299e-80,26180184.787716935929540313926942082562985035276008432321155157435314848367977625,1.1747036821418537592068718086640732481864215582041531770882329861560366579682082e-73,1.0713487006174490582533280366511267933115559582348424780566594753508399713053093e-73,1.4046974303096756513190759830024089767821882708013578705748821485987915506442427e-73
