voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0000000097931261669098299975784422198841369241620804227841211750507756063729974301566018,-0.00000010083374222656538259775647958916355127091785895271976199618801483617471179720024,-0.0001514478060683695355663330515317507117022319715226095652377883925147294473407049,-0.019910819841232718682757404580203188598721587634385488909436203829451394656445373,-0.00054748381227392534340301472077719858967828813744515896248910807385816621308008372,-150,852341802319596.23735583398904441149553476078809789048032828805761124821829223878,0.0030989556452115860652401855150122372999265488516126730652772374700515892784284355,852341802319596.23425687834383282543029457527308565318040173920599857515301500131,275041626890210383.03530645475611492674835947962401600844150698926132962926456566,2449497807631948.3523277439444873091991218232602638290798974777714819461571600727,2.6156268401345137632977695775754146700067200605717268819513037997121867016613652e-75,1.5134885392803014205989581639557700248380790638674583127254040331470457135042153e-75,9.5350227072291371118023721578468095667608709468004762600122087400968749557712362e-78,3.3358895928864200608756370501459180631745355402696054161566134050134411966467435e-76,1.6305279192843332962947882884322137876266992287905118161324750229555979375651283e-81,3898.4291344835942345826515406587826892239757343267324159847112313101634701797814,-1.8476438713580642390439360395290050354862636834556167606973152372182946612886685e-75,2.1486179813180002943993197101574797367544682614161912956400288827955888769958358e-75,4.7878489070226574799307045864138547058462859632534162464431200859634984020854724e-75,-150,-0.0000000097931261669098299975784422198841369241620804227841211750507756063729974294460915,-0.0000000097931261669098299975784422198841369241620804227841211750507756063729974301566018,-0.0000000097931261669098299975784422198841369241620804227841211750507756063729974310766194,-0.00000010083374222656538259775647958916355127091785895271976199618801483617340424869715,-0.00000010083374222656538259775647958916355127091785895271976199618801483617471179720024,-0.00000010083374222656538259775647958916355127091785895271976199618801483617601987553728,-0.00015144780606836953556633305153175071170223197152260956523778839251472944673656328,-0.0001514478060683695355663330515317507117022319715226095652377883925147294473407049,-0.00015144780606836953556633305153175071170223197152260956523778839251472944825005182,-0.019910819841232718682757404580203188598721587634385488909436203829451394656454908,-0.019910819841232718682757404580203188598721587634385488909436203829451394656445373,-0.019910819841232718682757404580203188598721587634385488909436203829451394656445373,-0.00054748381227392534340301472077719858967828813744515896248910807385816621341367268,-0.00054748381227392534340301472077719858967828813744515896248910807385816621308008372,-0.00054748381227392534340301472077719858967828813744515896248910807385816621308008486
-140,-0.0000000057201177125887915266961417950160985439986815290120832544815159399185934217776766,-0.000000056865327782737594599643460242636438324073314701871716453756153175268132076222286,-0.00010196675000022865487895971816350350488454840693417412548349358768504913962551668,-0.011554587241485239000510848022507916186198886270232542836671608584490313650714728,-0.00041911862719843945562089533378762126318976812764105469502543009425019050189404196,-140,766004177737669.89241471550479285056504867838307511813874124456722447675265932322,0.0037865873045126673620883437436531965643483310415929474439118038976065836612704993,766004177737669.88862812820028018320296033463942192157439291352563152930874751933,202294075413178515.85088946336773478545550612683236987413965228428886648331448211,2442090437363455.8233841992241423896190358998528420492908929715842624129548251072,1.9481686617547596463945883086673559565715792755698295634332303893035147621671969e-75,3.6487812145274028542257336620331688187965101539743288851725147161462300368361254e-76,4.3413759461280472499419710621947244838031593781473111138803047927678942078740748e-78,3.8997698631598351511510245130458054313320689145657583129247660982480047361155335e-77,8.0480158968523051064836164568034835147046643245018960116540151950054958507254352e-82,4455.6536968344940304926815475960995431064222527989279157263236375067998062684583,-1.3756561832177784508723362032728551030216993062963350426024040593383946927047934e-75,1.2680297902503238387797768860184103510238009423556878873925566707293420921733614e-75,2.5349432653621959440577336716691108673641730585207535717316107251117077593599011e-75,-140,-0.0000000057201177125887915266961417950160985439986815290120832544815159399185934213982319,-0.0000000057201177125887915266961417950160985439986815290120832544815159399185934217776766,-0.0000000057201177125887915266961417950160985439986815290120832544815159399185934222030335,-0.000000056865327782737594599643460242636438324073314701871716453756153175267157808888655,-0.000000056865327782737594599643460242636438324073314701871716453756153175268132076222286,-0.00000005686532778273759459964346024263643832407331470187171645375615317526910597755041,-0.000101966750000228654878959718163503504884548406934174125483493587685049139857125,-0.00010196675000022865487895971816350350488454840693417412548349358768504913962551668,-0.00010196675000022865487895971816350350488454840693417412548349358768504913949224688,-0.011554587241485239000510848022507916186198886270232542836671608584490313650719069,-0.011554587241485239000510848022507916186198886270232542836671608584490313650714728,-0.011554587241485239000510848022507916186198886270232542836671608584490313650714728,-0.00041911862719843945562089533378762126318976812764105469502543009425019050193303839,-0.00041911862719843945562089533378762126318976812764105469502543009425019050189404196,-0.00041911862719843945562089533378762126318976812764105469502543009425019050189404069
-130,-0.0000000033058411593559384397124185307812239162500429786868915928669927146409693305408334,-0.000000032068528176639828297000884074917415770441419594866899678774863728533931942514396,-0.000054254458956572009303094258296278840418835746108811240979163568386021791942729695,-0.0066284696373014162015220868845419792534838905950461735462064669728722930447920041,-0.00032084928490808501872164894991952412731863202578232063894258311676512137645109834,-130,688412088789358.1239718157949695577303131780062649066674749073074726301960954991,0.0046267985270623437408770071431714045488624585469733044111714064966317314722738938,688412088789358.11934501726790721398943617086309350211861244876049932578492409261,148787997740296272.81306645919962276683675362974662689019958505143742136571796901,2488845662192997.6954941537969950594891306804496475782236263565307504226013382977,2.6520480255887865749332490312077423316745564351555336018353124554113303185578076e-75,3.6660535516375917434765063657587696179387421547032014479425621230865672204424503e-75,5.1042110365186365402250876850093185701415221384569623152832364249151922019161921e-78,9.3838528598221830240268257802386231291998139555580030459978686571983367207108753e-76,8.8734553783020436153720926074084751928025267930493918587841001004225287262837761e-82,5092.5257647608116077682763475841636060174121968735517958063299652031108450185384,-1.8726448292697813207824804649380275702776361704558696696145728324958251362926084e-75,1.5657093158242859199397668611989935499761338654770284864903325760250986738715914e-75,2.6771423711508755153935678430853558177362569661632156696534511595517760963867809e-75,-130,-0.0000000033058411593559384397124185307812239162500429786868915928669927146409693296534879,-0.0000000033058411593559384397124185307812239162500429786868915928669927146409693305408334,-0.0000000033058411593559384397124185307812239162500429786868915928669927146409693300565704,-0.000000032068528176639828297000884074917415770441419594866899678774863728532605531344804,-0.000000032068528176639828297000884074917415770441419594866899678774863728533931942514396,-0.000000032068528176639828297000884074917415770441419594866899678774863728535257579370393,-0.000054254458956572009303094258296278840418835746108811240979163568386021792108894027,-0.000054254458956572009303094258296278840418835746108811240979163568386021791942729695,-0.000054254458956572009303094258296278840418835746108811240979163568386021788442840476,-0.0066284696373014162015220868845419792534838905950461735462064669728722930447868999,-0.0066284696373014162015220868845419792534838905950461735462064669728722930447920041,-0.0066284696373014162015220868845419792534838905950461735462064669728722930447920041,-0.00032084928490808501872164894991952412731863202578232063894258311676512137551271411,-0.00032084928490808501872164894991952412731863202578232063894258311676512137645109834,-0.0003208492849080850187216489499195241273186320257823206389425831167651213764510994
-120,-0.0000000018937945591867401615865367451824461861756636725306728327750796760068847329212336,-0.000000018083406789538954700666406383425216392575055729868943369016790119655362619476357,-0.00000097726801297536596710534429688780708593742636900633244490672938206621954703669996,-0.0037760635599680108787564650414768879719725508374148227753528369748818409172473215,-0.00024561986488593560966781896220217560708553581067273414137258200839581162312979178,-120,679556387911565.52935010067262008501823314363896813987714747752156777368541857819,0.0056534454083533646550363404437059691817979603538926799854489773754451387455797533,679556387911565.52369665526426672036319680319526217069534951716767509369996960081,120202166789737280.88537412135630349599977292348093762273937543280820213265251225,2596128827437068.9665700162456228407640073778207221385380921401905133870019541089,6.0214715368185237942369698294563069167857603224584794054383165291552196398275253e-76,2.6772122520792778338697690774681238670459601129752472293573480757522634589803524e-75,2.5327218754004174604183998042002342930905693550773840619235650755204148372168481e-79,2.0597343479441776531508165496113954687004656002612542884891641482813596046102856e-75,1.2284472366084031751236817346896803569535931404185560796570160571001566817883064e-81,5820.4299356886124125624707395082770207580008286382545960761815454233318988303401,4.2560389983335346711822335269773123182410102708975214909739657504246950477062287e-76,1.2027080472970098913521841635764640404590013221418199710211385479830808428296364e-75,2.70993589352623078655506744427167956730198911793880053520220593903153313390302e-75,-120,-0.0000000018937945591867401615865367451824461861756636725306728327750796760068847323619833,-0.0000000018937945591867401615865367451824461861756636725306728327750796760068847329212336,-0.0000000018937945591867401615865367451824461861756636725306728327750796760068847335904306,-0.000000018083406789538954700666406383425216392575055729868943369016790119655663550803263,-0.000000018083406789538954700666406383425216392575055729868943369016790119655362619476357,-0.000000018083406789538954700666406383425216392575055729868943369016790119655061403649581,-0.00000097726801297536596710534429688780708593742636900633244490672938206621941027881803,-0.00000097726801297536596710534429688780708593742636900633244490672938206621954703669996,-0.00000097726801297536596710534429688780708593742636900633244490672938206622208749107011,-0.0037760635599680108787564650414768879719725508374148227753528369748818409172470683,-0.0037760635599680108787564650414768879719725508374148227753528369748818409172473215,-0.0037760635599680108787564650414768879719725508374148227753528369748818409172473215,-0.00024561986488593560966781896220217560708553581067273414137258200839581162107005743,-0.00024561986488593560966781896220217560708553581067273414137258200839581162312979178,-0.00024561986488593560966781896220217560708553581067273414137258200839581162312979101
-110,-0.0000000010678754488750445375415545579104672106030339789567618791613999910748888279844826,-0.000000010194945776666348953905423436692618010794225509461284249280401555993792213931108,0.000068347919084134600882323434420244259952293372074014599304707968956506872262282462,-0.0021421656805856728181672363485074121207996388990121799125210855460964582343405356,-0.00018802870277523919685535213261425255995939695209669822196156148780364712519599026,-110,830288649226686.09567055968860385962002646542855419127615642230692258340594021031,0.0069078964208810637784629990594117245983156652603097411673353927011498694152070213,830288649226686.08876266326772279584156346636914246667784075704661284223860481761,120194137062753959.92705838649202067268408888472500974175485258166565653339922951,2772290299096947.1812149119465965189515825334095845946987193547379899094065627024,3.7382001374818841522146582671360411200199060464195785662122743021251973167121309e-76,8.0454590808282248422208723095596212497901669319448645219800617130137634683536538e-76,4.8542291677897827582677221228185782444211996791775490800020174691823153304165717e-79,2.7073945647907468218610790449769099314650337324129682664732207112931480760853988e-77,2.3275793530813208827238642232316958243050819590965066188452042043527710869390488e-82,6652.3781369591129530577835969968596964256126214232321155750696089568591291139556,-2.6393925712600570726067598257639424056237877837559379765857052182282152660039675e-76,1.0795621484387222199967951197304094655659388611664977607249607072342814057257865e-75,1.9406922034584660582604045475145245276810859800990555977895536653239210465935806e-75,-110,-0.0000000010678754488750445375415545579104672106030339789567618791613999910748888281608555,-0.0000000010678754488750445375415545579104672106030339789567618791613999910748888279844826,-0.0000000010678754488750445375415545579104672106030339789567618791613999910748888282172405,-0.000000010194945776666348953905423436692618010794225509461284249280401555993605271179608,-0.000000010194945776666348953905423436692618010794225509461284249280401555993792213931108,-0.000000010194945776666348953905423436692618010794225509461284249280401555993979091193356,0.000068347919084134600882323434420244259952293372074014599304707968956506871457736554,0.000068347919084134600882323434420244259952293372074014599304707968956506872262282462,0.000068347919084134600882323434420244259952293372074014599304707968956506871816137549,-0.0021421656805856728181672363485074121207996388990121799125210855460964582343400502,-0.0021421656805856728181672363485074121207996388990121799125210855460964582343405356,-0.0021421656805856728181672363485074121207996388990121799125210855460964582343405356,-0.00018802870277523919685535213261425255995939695209669822196156148780364712522306386,-0.00018802870277523919685535213261425255995939695209669822196156148780364712519599026,-0.00018802870277523919685535213261425255995939695209669822196156148780364712519598992
-100,-0.0000000005742441441867146219633094939542023569077757758258958322564477758373569587526779,-0.0000000057434481100243550266399377812632770253251538809049315588235049022104610954876643,0.00017004125714122909919100590064692152155365152658099552070948004261513045370020069,-0.0012122431816211010780611383393002199230378712774079533107632974296044760456900104,-0.000143940479358619121275894899689751568024699384592123522885967478613807632330156,-100,1014472724252921.302503784188128013865414794520943729693549493966497324055154527,0.0084406993461214200936055840476264686140887506526016541282712109340209444668231375,1014472724252921.294063084842006593771809210473317261079460743313895669926883316,120188231170570121.17213302643358156740688527322225852127005103753226537398359653,3028047921094983.2321572639461712791829640676630834567217467861020073562069977092,3.0030294217127603846414861070966750744982441794587283237000514198062557664370638e-76,4.90469680815420569690869423353663590289787372109666312863002441673591862867746e-75,2.8743385053139453059649077374022482371544707443101035589252255870480989066706323e-78,1.1851655731009016827856848439401523614561925278799753982623992879604311519379935e-75,1.4993461222495805266067462387135917126948843529215369749658529246901042047789826e-81,7603.242256057169107517687842541490962670450954976150160331837456065921045946122,2.1192738889070324260039371871727758305583494223160891032518923624234708685646725e-76,1.3328963821084590734644849928318460636853040436911942208258138419698428903071733e-75,2.5192137317097470978302838083251880864338190344662284668516291068104687157155868e-75,-100,-0.0000000005742441441867146219633094939542023569077757758258958322564477758373569594160799,-0.0000000005742441441867146219633094939542023569077757758258958322564477758373569587526779,-0.00000000057424414418671462196330949395420235690777577582589583225644777583735696025202402,-0.0000000057434481100243550266399377812632770253251538809049315588235049022106113382321688,-0.0000000057434481100243550266399377812632770253251538809049315588235049022104610954876643,-0.0000000057434481100243550266399377812632770253251538809049315588235049022103110352899975,0.00017004125714122909919100590064692152155365152658099552070948004261513045304449882,0.00017004125714122909919100590064692152155365152658099552070948004261513045370020069,0.00017004125714122909919100590064692152155365152658099552070948004261513044879550389,-0.0012122431816211010780611383393002199230378712774079533107632974296044760456928848,-0.0012122431816211010780611383393002199230378712774079533107632974296044760456900104,-0.0012122431816211010780611383393002199230378712774079533107632974296044760456900104,-0.00014394047935861912127589489968975156802469938459212352288596747861380763351532158,-0.000143940479358619121275894899689751568024699384592123522885967478613807632330156,-0.00014394047935861912127589489968975156802469938459212352288596747861380763233015661
-90,-0.00000000025854613065561444191405821431715339633264940388421570144924931991831315614006323,-0.0000000032278203355365854349221832577273239850507017079751130971844780144463542538714188,0.00033072798680243578602161637703048381797605622797176373070640272216755339236718847,-0.00068498785456948439737029244610897238337635928335763910774938763413880752176027496,-0.00011018933654983583780094313630652476876858587964309480596165616598207466877701708,-90,1239530714195331.5928304240883343648836920643806041759330817980843570774442098036,0.010313618084407763173384953159620295873218113055550199419538908472433247990521316,1239530714195331.5825168060039266017103071112209838800598636850288068780246708952,120183887366283925.85030380249764225470267547348072004425885312880180443727467307,3376960211759994.2872951371388664432688513902083826865554140242510715313869641814,3.6955464046035734552489439365246026231147115426665155846646596729256097649108673e-76,6.6301995010806871079553872983292968442905546524025316172877502791723704589348989e-76,2.7339738754528131998193111617455875280206637282130816167489411838638929007355631e-78,1.6131730013494548494438071683350301963889692307390363187088894109966629328200129e-76,3.0125193915536198556129135313081671868222881596741141945550018170410226508277826e-82,8690.0200355408032684761473523556745547091273505098305371079845322911120406143849,2.6094851608052913059531808988509777437552673697185273981438611691500670279457465e-76,5.8183589417117736627430017811271795783985304356450345487795242559914198388310944e-76,1.3510658334935086448075807812344336292391109415499408906093805656448163584925204e-75,-90,-0.00000000025854613065561444191405821431715339633264940388421570144924931991831315606679117,-0.00000000025854613065561444191405821431715339633264940388421570144924931991831315614006323,-0.00000000025854613065561444191405821431715339633264940388421570144924931991831315583881129,-0.0000000032278203355365854349221832577273239850507017079751130971844780144465389967426033,-0.0000000032278203355365854349221832577273239850507017079751130971844780144463542538714188,-0.000000003227820335536585434922183257727323985050701707975113097184478014446169442102143,0.00033072798680243578602161637703048381797605622797176373070640272216755339303020842,0.00033072798680243578602161637703048381797605622797176373070640272216755339236718847,0.00033072798680243578602161637703048381797605622797176373070640272216755339303020842,-0.00068498785456948439737029244610897238337635928335763910774938763413880752175754099,-0.00068498785456948439737029244610897238337635928335763910774938763413880752176027496,-0.00068498785456948439737029244610897238337635928335763910774938763413880752176027497,-0.00011018933654983583780094313630652476876858587964309480596165616598207466893833438,-0.00011018933654983583780094313630652476876858587964309480596165616598207466877701708,-0.00011018933654983583780094313630652476876858587964309480596165616598207466877701767
-80,-0.00000000002228284631954399743475770293328455490519551269367096063178332984677488406047107,-0.0000000017993945631667158356129654170002539851900142097474054185275943867083377288225627,0.00059486519984234288728455439693641434143401068645770846834925527492745511273738433,-0.00038670523317718839301381483818456596970138511394094835377115856246213712127022566,-0.000084351612031981428853829609608006000316282368747806488060375196861740919022901467,-80,1514531678463225.1719023624919243198767753482063851658597948408321446872886893399,0.012602121415437118917759337685571875653690370032959473453999255835160783108195664,1514531678463225.1593002410764872009590160105208132902061044707991852138346900841,120180692483091103.2504590370333777910751407094239460709702660950539347553033541,3836009838689053.7959133887953455396868275408564284787264816102019531792025434892,8.9939285844959156615278450718042989361616456139083390572431424361886617878207768e-76,1.1072965591863973577554653930468945470842773193849766625870193293966276771714672e-75,1.8083730140832448351446408712058186364949040055447916415503753393855795148572819e-78,3.925382660172810868850740591132068506012250651242291720443057527405656228077659e-75,1.9796096908871422416920889165479677109345026488773403625627655868297833046973583e-81,9932.1389942636680300828292288567725166891076934513894042059450847615041601887353,-6.3588612717247411933272600961138417435992027349341210362613765556480707975383048e-76,2.2536688652826721829945494642945293389279720083337077829098724227786834054530437e-75,4.1869218144228354313102980226183376860709982235192487751147764375693072945936307e-75,-80,-0.000000000022282846319543997434757702933284554905195512693670960631783329846774882651987984,-0.00000000002228284631954399743475770293328455490519551269367096063178332984677488406047107,-0.000000000022282846319543997434757702933284554905195512693670960631783329846774884631597675,-0.000000001799394563166715835612965417000253985190014209747405418527594386707888499852214,-0.0000000017993945631667158356129654170002539851900142097474054185275943867083377288225627,-0.0000000017993945631667158356129654170002539851900142097474054185275943867087878927106636,0.00059486519984234288728455439693641434143401068645770846834925527492745511253688547,0.00059486519984234288728455439693641434143401068645770846834925527492745511273738433,0.00059486519984234288728455439693641434143401068645770846834925527492745511163008777,-0.00038670523317718839301381483818456596970138511394094835377115856246213712127203403,-0.00038670523317718839301381483818456596970138511394094835377115856246213712127022566,-0.00038670523317718839301381483818456596970138511394094835377115856246213712127022566,-0.000084351612031981428853829609608006000316282368747806488060375196861740915097518877,-0.000084351612031981428853829609608006000316282368747806488060375196861740919022901467,-0.000084351612031981428853829609608006000316282368747806488060375196861740919022901538
-70,0.0000000002068688451682099908771639862226170457270746578859076629268109683134737704017519,-0.00000000097560153541959908887801436506470872671935144646550323198821232151896346623516343,0.0010374982816533510502288914008428670058170070280678820811358878205242434403335806,-0.00021817793314524827913216153197227918181313335783366340255329585871496969476468328,-0.00006457184996822541752744407481800364173201963637835829788260802316186753385991904,-70,1850557074720105.3290455378071179907034056422047080340159779508101948229963301573,0.015398423993371905296643016232457512989957524053508648310900151765872244475163203,1850557074720105.3136471138137460854067626259722505210260204267566861746854300056,120178342635367019.72391685853967690276625728730775615931701153285571228127052574,4426321306961441.1410777679230596817786943853109862465764734724751447121749873163,9.8592532760721634688288247270806446363524946640959108939686253808155884875121566e-75,5.6523723193093140073153672942028615192954222385235461664980139212253433351698085e-75,2.0064234906928709339599157074468811544709723969999403227083828614431855030138052e-78,3.5589888146500637749730766197665120179573480554352663910612268821037489379549852e-75,4.0666726841056805026003604415960150727623453877077425488943269011849887372253596e-81,11351.80381943905451088615192753233298710526039399172740309896784368569006354201,-6.962831292459909805558397962060827958028155126152461423128806216198241107414434e-75,5.1705708774801187641168130251597509685759343297636142039664859448082326516969586e-75,7.5069359246480129882933102948166220944217816138716816019267417611946782114543658e-75,-70,0.00000000020686884516820999087716398622261704572707465788590766292681096831347377379158648,0.0000000002068688451682099908771639862226170457270746578859076629268109683134737704017519,0.0000000002068688451682099908771639862226170457270746578859076629268109683134737697249138,-0.000000000975601535419599088878014365064708726719351446465503231988212321514033574852898,-0.00000000097560153541959908887801436506470872671935144646550323198821232151896346623516343,-0.00000000097560153541959908887801436506470872671935144646550323198821232152389282812897017,0.0010374982816533510502288914008428670058170070280678820811358878205242434399627725,0.0010374982816533510502288914008428670058170070280678820811358878205242434403335806,0.0010374982816533510502288914008428670058170070280678820811358878205242434456151448,-0.0002181779331452482791321615319722791818131333578336634025532958587149696947666897,-0.00021817793314524827913216153197227918181313335783366340255329585871496969476468328,-0.00021817793314524827913216153197227918181313335783366340255329585871496969476468328,-0.000064571849968225417527444074818003641732019636378358297882608023161867530300930225,-0.00006457184996822541752744407481800364173201963637835829788260802316186753385991904,-0.000064571849968225417527444074818003641732019636378358297882608023161867533859918796
-60,0.0000000004972477597528197323692109982858997386252431307191815925494846798030554451747771,-0.00000000047688410560859263778506957856583215757123365363714130614037690924657944227694649,0.0017859386886601523505533650140044987482043097999576110321751863512216087332112586,-0.00012303271971559506413487260901109183829315790298333813219994681521454005579793616,-0.000049429593658167631236150811446646241648937639961194108402547313360652585119126162,-60,2261147287535650.7403945030468484138060839580157620767075652552885309422723385544,0.018815202112653748107124892569432624987034085993150382226776307228122973605786172,2261147287535650.7215793009341946656989590654463294517205311692953805600455622472,120176614314175564.15701884661039429172489690772858988062672961784661135973385092,5174042160823519.2215967568496342259612693398348233477220132515965604176298278724,4.7937566825041381049943630714527440592010798077597136479774004649875954585052019e-75,3.6012822874743834087861087267877666211553721519699293375548843470603027819187321e-75,1.0668848450161794607850464830546116443093601953585204210117857400825800922871625e-78,2.3625365545394787834645250553312951008433835478926498437739685625228619340903571e-75,1.9064722622072687215195951481453226367785210937474552682165531952517999657828708e-81,12974.393454702196915488096190327890163231752303823680136560992525485485220555429,-3.3860888364874751712907546082566512935849867965753370117965196369957420819648929e-75,3.2022128435484290916837490518786187127089839390618211010198807278129525619918709e-75,5.9447818652070131112017492832652317092899117766106865210689564861154437676171788e-75,-60,0.0000000004972477597528197323692109982858997386252431307191815925494846798030554470171949,0.0000000004972477597528197323692109982858997386252431307191815925494846798030554451747771,0.00000000049724775975281973236921099828589973862524313071918159254948467980305544511072264,-0.00000000047688410560859263778506957856583215757123365363714130614037690924418286534918614,-0.00000000047688410560859263778506957856583215757123365363714130614037690924657944227694649,-0.00000000047688410560859263778506957856583215757123365363714130614037690924897662203169028,0.0017859386886601523505533650140044987482043097999576110321751863512216087330058246,0.0017859386886601523505533650140044987482043097999576110321751863512216087332112586,0.0017859386886601523505533650140044987482043097999576110321751863512216087366071069,-0.00012303271971559506413487260901109183829315790298333813219994681521454005579900304,-0.00012303271971559506413487260901109183829315790298333813219994681521454005579793616,-0.00012303271971559506413487260901109183829315790298333813219994681521454005579793616,-0.000049429593658167631236150811446646241648937639961194108402547313360652582756589607,-0.000049429593658167631236150811446646241648937639961194108402547313360652585119126162,-0.000049429593658167631236150811446646241648937639961194108402547313360652585119125157
