voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.146452950765638e-05,-3.366164398978458,-1.3666827282120664e-05,6.5333993233996684e-06,-61.94365657086905,-150,7707201640439087.0,0.010454841432406244,7707201640439087.0,7.3718972117066611e+17,1.3684622771291879e+21,9.08795894360992e-06,9.331133768671622e-06,8.713073157030399e-07,1.2656093417717784e-07,1.371329790580923e-12,-5.8006427209988942e-05,-37.646302610781404,1.3500854661605144e-05,2.0563112748074717e-05,-150,-2.146453087898617e-05,-2.146452950765638e-05,-2.146452961463879e-05,-3.3661733744525293,-3.366164398978458,-3.3661642864935857,-4.336070403280485e-06,-1.3666827282120664e-05,-1.3667204171952108e-05,6.118273660024598e-06,6.5333993233996684e-06,5.6620920076966286e-06,-61.943656510907516,-61.94365657086905,-61.94365663746845
-140,-2.8097873889278655e-05,-3.29920701301957,1.718123134919991e-06,1.6561980393199955e-05,-82.74743508906792,-140,6976554506190599.0,0.010392300195147183,6976554506190599.0,6.7131957075762586e+17,5.0556602851000458e+20,8.613858877737357e-06,7.45788148515117e-06,2.158611115484272e-06,7.577217786547408e-08,2.0652568908784575e-12,-0.00013123057951958117,-39.571649111385355,8.9533285668603127e-06,1.5227878313008373e-05,-140,-2.8097872677139406e-05,-2.8097873889278655e-05,-2.8097874742396297e-05,-3.2991994869134977,-3.29920701301957,-3.2992081007723755,-5.7397583502311786e-06,1.718123134919991e-06,1.7166799466394878e-06,1.651795450480914e-05,1.6561980393199955e-05,1.4403369277715683e-05,-82.74743511512645,-82.74743508906792,-82.74743503935427
-130,-3.717442293741675e-05,-3.2322381634005333,-1.0081011897186948e-05,3.832194088069786e-05,-111.1766922138114,-130,6315173140253309.0,0.010330133081817518,6315173140253309.0,6.1133511932860762e+17,4.5238320700007095e+20,4.088166846827335e-06,2.460981585545297e-06,4.526381299899129e-06,1.1584248227336502e-07,7.917977525809944e-13,-0.00017621751403140706,-41.559352844983216,7.8013927177597726e-06,1.3891224691068958e-05,-130,-3.7174423729214504e-05,-3.717442293741675e-05,-3.717442331518223e-05,-3.232241895196225,-3.2322381634005333,-3.232237807029378,-7.6217655814164836e-06,-1.0081011897186948e-05,-1.008274716696178e-05,3.953316706518939e-05,3.832194088069786e-05,3.500678576529026e-05,-111.17669215225615,-111.1766922138114,-111.17669226809863
-120,-4.960292190167898e-05,-3.164845847291656,-1.0902434126690185e-05,8.430458276755371e-05,-150.06837390738102,-120,5716491107993621.0,0.010268337854394453,5716491107993621.0,5.5671046171773389e+17,7.3819745684015442e+20,6.849815248344271e-07,7.764732433185129e-07,4.3375806814544005e-06,7.935511803225381e-09,6.829743747546052e-13,0.00019844462395468554,-43.599857136744511,5.1339752925517844e-06,8.511757097023883e-06,-120,-4.960292200518613e-05,-4.960292190167898e-05,-4.9602921322211756e-05,-3.164846532273181,-3.164845847291656,-3.1648460440374038,-1.0152405152725216e-05,-1.0902434126690185e-05,-1.0928878396043729e-05,8.421140555976703e-05,8.430458276755371e-05,8.854898624122143e-05,-150.06837390640513,-150.06837390738102,-150.0683738994455
-110,-6.65977845204755e-05,-3.096424803847182,-1.3844104252816271e-05,0.00017979741992020927,-203.21369265805936,-110,5174564476554314.0,0.010206912288243126,5174564476554314.0,5.0696668399067731e+17,5.2285454476041847e+20,4.060834037034056e-06,2.993493402547067e-07,2.408656614097393e-05,3.4864910958276596e-08,3.2506672185831156e-12,-0.00083256741943671386,-45.685254185354566,2.9400737842369871e-05,4.5321569063387729e-05,-110,-6.659778577937084e-05,-6.65977845204755e-05,-6.659778777114272e-05,-3.096428862829491,-3.096424803847182,-3.096424801995454,-1.3555754348088045e-05,-1.3844104252816271e-05,-1.3855103688342751e-05,0.00018357602270516193,0.00017979741992020927,0.000159489456564188,-203.21369267637374,-203.21369265805936,-203.21369264150883
-100,-8.973454778299033e-05,-3.0260789982592113,-1.8288749226779628e-05,0.0003761286861699092,-275.5314251327317,-100,4684012801328460.0,0.010145854172036527,4684012801328460.0,4.616676646347127e+17,1.8664498398888241e+20,6.158478856654881e-06,2.0431880838314893e-07,3.17407229430966e-05,5.128617885929998e-08,4.0782699347588144e-12,0.00090337794890871237,-47.812797913180482,3.6522345786184368e-05,5.7508886753205362e-05,-100,-8.973454579952697e-05,-8.973454778299033e-05,-8.97345437047204e-05,-3.0260728397803547,-3.0260789982592113,-3.02607895287656,-1.8128719958698995e-05,-1.8288749226779628e-05,-1.8333038767082144e-05,0.0003698169330619283,0.0003761286861699092,0.0004015576560050249,-275.5314251840179,-275.5314251327317,-275.5314251423183
-90,-0.00012094222365319974,-2.9524675797903384,-2.5068135811005804e-05,0.0007791321488983668,-373.0442712843073,-90,4239965706949509.0,0.010085161307675873,4239965706949509.0,4.2041625092525267e+17,2.263623386285481e+20,2.6918605087189462e-06,9.9701596892428e-07,1.240479067354805e-05,1.3633268736157333e-08,1.253097248903913e-12,0.00027287590138769247,-49.980296912075211,1.2436260507234759e-05,2.1810464844929756e-05,-90,-0.00012094222276982976,-0.00012094222365319974,-0.00012094222240010249,-2.9524651458305655,-2.9524675797903384,-2.9524678376910742,-2.425294693383821e-05,-2.5068135811005804e-05,-2.524996290276249e-05,0.0007757052848449408,0.0007791321488983668,0.0007881100755184889,-373.044271279919,-373.0442712843073,-373.04427129355224
-80,-0.00016229482416499916,-2.873596424250456,-3.260611935047429e-05,0.001615829610942197,-502.2285334969022,-80,3838014532434219.0,0.010024831510211496,3838014532434219.0,3.8285077694570125e+17,3.0983974231701252e+20,2.870221152839747e-05,4.3364052700260687e-07,9.672179626718513e-05,3.720756467373576e-07,1.0957193269031662e-11,0.0017291656106195319,-52.19708641431999,9.8785936269327594e-05,0.00016343849563509066,-80,-0.0001622948150275475,-0.00016229482416499916,-0.0001622948132078059,-2.8735677220389277,-2.873596424250456,-2.8735961347119883,-3.239498915789747e-05,-3.260611935047429e-05,-3.282862968490008e-05,0.0015870826431135798,0.001615829610942197,0.001683804439380765,-502.2285338689778,-502.2285334969022,-502.22853349763284
-70,-0.00021528846556251405,-2.7865096038158446,-4.201505330410382e-05,0.0034102359581089955,-667.7584329122897,-70,3474168560393816.5,0.0099648626077641668,3474168560393816.5,3.4864189273286144e+17,7.3922101057896697e+20,5.896718107578636e-06,1.0478912594116287e-06,1.377429611948422e-05,1.486982910137158e-07,1.4881341330649084e-12,0.00019414777226245405,-54.482569924910088,1.3539982777357929e-05,2.4185595533878498e-05,-70,-0.00021528846407437992,-0.00021528846556251405,-0.0002152884643767509,-2.7865042762149415,-2.7865096038158446,-2.786510172933049,-4.3062944563515446e-05,-4.201505330410382e-05,-4.219522764969952e-05,0.0034059355614337594,0.0034102359581089955,0.0034197098575532436,-667.758433060988,-667.7584329122897,-667.7584329145054
-60,-0.0002790358064980413,-2.6869291231866854,-5.7452070848982e-05,0.007500299218666583,-866.8715714785553,-60,3144815395741094.5,0.009905252441446924,3144815395741094.5,3.174896767478761e+17,4.0824321542962931e+20,3.7919704993782943e-06,8.00799621798455e-07,3.551185998151851e-06,7.020912562438753e-07,2.1194673078227255e-12,4.3961912950862825e-05,-56.888862284002741,6.1336843302823008e-06,1.2853114714569014e-05,-60,-0.00027903580637962335,-0.0002790358064980413,-0.000279035804378574,-2.686929587321771,-2.6869291231866854,-2.6869257953512715,-5.6651271227183545e-05,-5.7452070848982e-05,-5.716725615911855e-05,0.007499437958997657,0.007500299218666583,0.007502989144995809,-866.8715707829285,-866.8715714785553,-866.8715714850198
-50,-0.00034687123579140296,-2.568847752564964,-8.535793989841722e-05,0.017610474294365575,-1078.774785926399,-50,2846685100518834.5,0.0098459988652873452,2846685100518834.5,2.8912100635670317e+17,1.2441704000877392e+21,2.8567783886046527e-05,1.3872521068918406e-05,6.905090434550232e-06,8.172932439265423e-06,5.560118121125668e-12,-2.9713678763698681e-05,-59.50867298924495,3.0581120399754176e-05,5.6435582703866561e-05,-50,-0.0003468712413498843,-0.00034687123579140296,-0.0003468712357897662,-2.5688745582033903,-2.568847752564964,-2.5688459904195042,-7.30242676894765e-05,-8.535793989841722e-05,-8.68967887583949e-05,0.017615203312037586,0.017610474294365575,0.017608298221603036,-1078.774777764691,-1078.774785926399,-1078.7747859376234
-40,-0.00040269120669263046,-2.424324041040328,-8.45251292823472e-05,0.044244139875603036,-1253.2245236824692,-40,2576817728767115.0,0.0097870997461502827,2576817728767115.0,2.6328716326618579e+17,2.5540520739269765e+20,7.829421014626803e-06,8.29248655337419e-06,5.465666432336036e-06,3.614705974541721e-06,3.542760702857084e-12,2.0031036449097428e-05,-62.506097123050189,1.6740995464469548e-05,3.5317865345732395e-05,-40,-0.0004026912042250555,-0.00040269120669263046,-0.00040269120314986975,-2.4243162116193133,-2.424324041040328,-2.424318914854666,-9.055618370540383e-05,-8.45251292823472e-05,-8.226369715202964e-05,0.044240936902682826,0.044244139875603036,0.04424640256911516,-1253.2245200925151,-1253.2245236824692,-1253.2245237072211
-30,-0.0004232116373044496,-2.2439485079917083,-8.199559350105523e-05,0.11441857366665731,-1317.5764645306554,-30,2332533939103842.0,0.0097285529636610898,2332533939103842.0,2.3976165292171603e+17,1.1320105416482875e+20,2.7399034763675445e-05,2.1976916746798694e-05,2.6324871898353308e-05,1.4455665223067626e-05,5.871835678274151e-12,-9.2332121577212784e-05,-66.156526555381646,3.2182403419826561e-05,7.4071717803004077e-05,-30,-0.0004232116357736388,-0.0004232116373044496,-0.0004232116416454745,-2.243925464814936,-2.2439485079917083,-2.2439528638496995,-0.00010397251024785392,-8.199559350105523e-05,-8.231453841744951e-05,0.11443186492283708,0.11441857366665731,0.11440554005093873,-1317.5764789863206,-1317.5764645306554,-1317.5764647098827
-20,-0.0003928235510933308,-2.018968916344407,-0.000254961382971014,0.28592673454334677,-1223.1553008907067,-20,2111408393249538.2,0.0096703564101292758,2111408393249538.2,2.1833821874837315e+17,2.1139806408285146e+20,0.00011717306399816607,0.00015959729361099374,9.359362769956192e-05,4.095302301720949e-06,2.148423566871241e-11,0.00023481144438619594,-70.896390760018619,0.00018209162369666102,0.0003195728533440654,-20,-0.00039282356170447746,-0.0003928235510933308,-0.0003928235402202418,-2.0190757407347775,-2.018968916344407,-2.0189585676707793,-9.947194678887362e-05,-0.000254961382971014,-0.00025906924039986734,0.2858781547820932,0.28592673454334677,0.2859717484097928,-1223.155304972112,-1223.1553008907067,-1223.1553008768096
-10,-0.00031985416564700214,-1.7459435154558274,-0.00010929815492088935,0.6568435762773936,-996.0057943672437,-10,1911245676387266.2,0.0096125079904726251,1911245676387266.2,1.9882903382567638e+17,4.6100744245805639e+20,3.2894961912166565e-05,6.452650054117353e-05,3.472541915527927e-05,4.78434094475233e-06,3.73151992161605e-12,6.2022041485492718e-05,-77.367013725931002,7.5210061115600367e-05,0.0001387105065494067,-10,-0.0003198541652683138,-0.00031985416564700214,-0.0003198541619154822,-1.7459764104177395,-1.7459435154558274,-1.745946890412597,-4.4771654379715815e-05,-0.00010929815492088935,-0.0001006948895962978,0.6568251406914527,0.6568435762773936,0.656859866110608,-996.0057991515846,-996.0057943672437,-996.0057944065487
0,-0.00023111081604632063,-1.4327634686536144,-0.00011956734823681536,1.3594217343005148,-719.8500966783467,0,1730058500286264.0,0.0095550056221417826,1730058500286264.0,1.8106305414171658e+17,3.9136109206605306e+20,0.0001491351811750974,0.00025194684502440827,0.00018742321721276767,2.5737406303960597e-06,2.667340193119802e-11,0.00025038395584099269,-86.421035569308444,0.0002879812948144151,0.00051402573469270672,0,-0.0002311108157409379,-0.00023111081604632063,-0.0002311107893729187,-1.4328986968264985,-1.4327634686536144,-1.4327495616453234,0.00013237949678759293,-0.00011956734823681536,-0.00010016395452794313,1.3593207752359007,1.3594217343005148,1.3595081984531134,-719.8500943502704,-719.8500966783467,-719.850096924011
10,-0.00015113856425569733,-1.1010287623700405,0.0007048436245047363,2.5370194366146803,-471.3360367607529,10,1566047972781988.5,0.0094978472350452803,1566047972781988.5,1.6488451898905725e+17,2.4109235191506502e+19,7.579943914493015e-05,0.00013304497913042487,9.387774224478562e-05,7.520416147599462e-06,1.2153029071374638e-11,-9.4554331289542433e-05,-99.042463550628682,0.00015349541084077418,0.00026992720212865127,10,-0.0001511385613000851,-0.00015113856425569733,-0.00015113857345311417,-1.1009561901767313,-1.1010287623700405,-1.1010319896158762,0.0005717986453743114,0.0007048436245047363,0.0007019707574897893,2.5370712186751803,2.5370194366146803,2.5369773409329355,-471.33602924033676,-471.3360367607529,-471.3360367052214
20,-9.116616659656109e-05,-0.7792841779174032,0.001432120336724907,4.311937356295453,-285.52707189915236,20,1417585737720786.2,0.0094410307714750067,1417585737720786.2,1.501515853548385e+17,2.6735828554409591e+19,0.0001565723040507505,0.00010359158614065998,9.783152143683083e-05,1.7220385188920773e-06,3.362066392431293e-11,-8.3325152010438504e-05,-116.14993832713328,0.00019974622928258163,0.00033755992005627712,20,-9.116620021722502e-05,-9.116616659656109e-05,-9.116617650162e-05,-0.779440750221454,-0.7792841779174032,-0.7792885848029982,0.001534033352301244,0.001432120336724907,0.001430441766160584,4.311989988709122,4.311937356295453,4.311892157187685,-285.52707020332673,-285.52707189915236,-285.52707192536525
30,-5.140053972434855e-05,-0.4884255668459456,0.0034367575390756855,6.761893742356747,-163.07789922460506,30,1283197808048070.7,0.0093845541860321409,1283197808048070.7,1.3673508433229222e+17,6.274196238105292e+19,0.00021084322231246233,3.4250362924191993e-06,0.00038098823187482367,6.947963413495017e-07,6.566465680392635e-11,0.00027538094393040241,-138.30703590008841,0.0002688231784851286,0.00043346828608631306,30,-5.1400474059691746e-05,-5.140053972434855e-05,-5.140051523139852e-05,-0.48822098528165014,-0.4884255668459456,-0.4884318285039626,0.0034392981553801926,0.0034367575390756855,0.0034358731190877734,6.761686158134587,6.761893742356747,6.762067146366462,-163.07789989958655,-163.07789922460506,-163.0778992047902
40,-2.7118218647315436e-05,-0.22876907605979088,0.0071607752503268784,9.920670674778961,-89.26297747768695,40,1161549931529032.7,0.0093284154455535034,1161549931529032.7,1.2451738865068438e+17,4.3746313029755552e+19,3.8472439385123236e-05,0.00021425572484014884,0.0003356907780016627,2.3388797671941575e-06,2.1548219321208687e-11,-0.00021878766422505855,-165.48636960187574,0.00026440834873730747,0.00044282037619095975,40,-2.7118239757863946e-05,-2.7118218647315436e-05,-2.7118240195534757e-05,-0.22873060362040576,-0.22876907605979088,-0.22876400031964295,0.0069483062125659046,0.0071607752503268784,0.007162561937406053,9.920853097087956,9.920670674778961,9.920517406309955,-89.26297981656671,-89.26297747768695,-89.26297749786747
50,-1.297352302548528e-05,0.024234473528186723,0.013338759437473868,13.794275951245805,-47.43847334387101,50,1051434343807432.5,0.0092726125290383769,1051434343807432.5,1.1339138139491226e+17,5.5646881800577294e+19,2.8051840036624753e-05,0.0003175395505707265,0.0005329410035770366,5.434144441096578e-07,4.272144283164669e-11,-0.00032234091384688402,-197.04092493321741,0.00040187734059208673,0.00063755163526142558,50,-1.2973565746928112e-05,-1.297352302548528e-05,-1.297356304442375e-05,0.024261584443866724,0.024234473528186723,0.0242335326038301,0.013021219886903142,0.013338759437473868,0.013337741595705666,13.794564108755687,13.794275951245805,13.79403116775211,-47.438473887285454,-47.43847334387101,-47.43847342594976
60,-4.809351266902645e-06,0.31893448413691844,0.022990702265580865,18.369223873130867,-24.696463999564003,60,951757777282033.5,0.0092171434275757393,951757777282033.5,1.0325951687315357e+17,4.2286147609442869e+19,1.878406585759107e-05,0.00012312775848032434,0.00018551490182971975,2.3323536879615858e-08,1.4518910001736223e-11,-0.00010743082016370357,-231.93390199389606,0.00015176947907541443,0.00025101002314659415,60,-4.809365785812647e-06,-4.809351266902645e-06,-4.8093656919717825e-06,0.31895326820277603,0.31893448413691844,0.318936141760787,0.02286757450710054,0.022990702265580865,0.0229863023514838,18.369323193197204,18.369223873130867,18.369137678295374,-24.69646402288754,-24.696463999564003,-24.696464010731432
70,8.845289973319676e-08,0.7275686988403902,0.03750771875873227,23.603601167320313,-12.654591126793093,70,861530606748438.87,0.0091620061442719471,861530606748438.87,94032965398856960.0,4.6800198313304254e+20,4.103210779859978e-05,3.9408986176485417e-05,1.3015616104894434e-05,1.105090113640017e-06,8.824422664391993e-12,-8.8612864558747647e-06,-269.04696019800366,4.7734865726302665e-05,8.7163515777634949e-05,70,8.845921454555374e-08,8.845289973319676e-08,8.845039012288935e-08,0.7276044859460278,0.7275686988403902,0.7275634538382292,0.037472060822174254,0.03750771875873227,0.03751146980835074,23.603606631198318,23.603601167320313,23.603593615582213,-12.654592172301818,-12.654591126793093,-12.654591067211705
80,3.3301701279993172e-06,1.348927560689371,0.05686447375133241,29.409160965725754,-6.391046884416937,80,779857024040318.62,0.0091071986941788467,779857024040318.62,85630834489071680.0,6.428306794131252e+19,0.00011368269359945948,0.00013232194329701463,0.0004614844307582189,3.071255605391343e-06,5.869235383349023e-11,0.00025198991067523546,-307.37965217781408,0.00028294905767639822,0.00051864239695240534,80,3.3302288203531507e-06,3.3301701279993172e-06,3.33020980108095e-06,1.3490412433829704,1.348927560689371,1.348936331749428,0.056996795694629426,0.05686447375133241,0.05686712106569303,29.408915500497045,29.409160965725754,29.409376984927803,-6.391043813161332,-6.391046884416937,-6.391046874321809
90,5.8252735248772035e-06,2.3070375689921487,0.08020642345854867,35.638040586356375,-3.178529871382125,90,705926144120294.87,0.0090527191042223138,705926144120294.87,77979459651083296.0,6.522929692378674e+19,0.0003520062548023617,0.00033399785596044396,2.5697482143982597e-05,3.024445170751733e-06,6.513231248776215e-11,1.5785290962353758e-05,-346.07297710304658,0.00046267057341036556,0.00070070628769627994,90,5.825338657189691e-06,5.8252735248772035e-06,5.825281581665554e-06,2.3073849248705347,2.3070375689921487,2.3070329186157323,0.07989801037794608,0.08020642345854867,0.08023200823390653,35.63802780168005,35.638040586356375,35.6380534991622,-3.1785328154098806,-3.178529871382125,-3.17852979096471
100,8.072658096913901e-06,3.7336982173928956,0.10493822164963262,42.08739476697333,-1.553620830994987,100,639003954318520.12,0.0089985654131312289,639003954318520.12,71011758539427680.0,1.2482163217758549e+21,5.826746027670637e-05,3.664253293281239e-05,0.0001659627619048365,7.754157422823482e-07,2.0861546385560225e-11,8.8302762436423345e-05,-384.37526372378085,9.6063170109514357e-05,0.0001824333618872323,100,8.072678958460287e-06,8.072658096913901e-06,8.072665561850343e-06,3.7337511231508826,3.7336982173928956,3.733692855690606,0.10496688392882406,0.10493822164963262,0.10493024139589124,42.087307396197055,42.08739476697333,42.08747335895896,-1.5536200555792448,-1.553620830994987,-1.5536208053777472
