voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.04095830553568763,-127825.80070055903,-0.026744657325141287,-0.12416427352966837,-18.04326544125763,-150,474445897102.99683,6.0213403684743403,474445897096.97546,78794067112.869385,3.847539768538025e+17,1.6841077012941241e-06,1.5523165064479372e-07,5.052377942404984e-08,8.236472126554872e-08,5.953987303186636e-13,3.5330661174121111e-06,-27061.250264491347,2.5758153286345599e-06,4.0277708407710972e-06,-150,-0.04095830553568457,-0.04095830553568763,-0.04095830553509223,-127825.80070051028,-127825.80070055903,-127825.80069887493,-0.026744672339877873,-0.026744657325141287,-0.026744517108227228,-0.1241643240534478,-0.12416427352966837,-0.12416428793221712,-18.04326543910429,-18.04326544125763,-18.04326535889291
-140,-0.03647912487102599,-113845.16671857465,-0.020345593212777083,-0.12186611342769145,-19.397083116359454,-140,474071758606.70618,7.4254247401094116,474071758599.28076,63844396138.842407,2.9093059488372902e+17,1.597232767380774e-06,1.3770234064125475e-07,3.8227264284595996e-08,1.0990592613779882e-07,5.431211036466266e-13,-3.8850916969419047e-06,-29760.150921982498,2.4147813335880722e-06,3.7634172716697658e-06,-140,-0.03647912487102373,-0.03647912487102599,-0.03647912487156685,-113845.16671866618,-113845.16671857465,-113845.16672017188,-0.020345490693830737,-0.020345593212777083,-0.020345628396171378,-0.12186615165495573,-0.12186611342769145,-0.12186614522943273,-19.39708308596164,-19.397083116359454,-19.397083195867566
-130,-0.032179914550542615,-100425.97129270014,-0.015481986948325432,-0.11935058733347224,-21.281323150957633,-130,473699147354.49469,9.1569200870468723,473699147345.33777,51731274582.659782,1.0545112954676638e+17,2.168351784348488e-06,9.211511533546712e-07,5.63299054068267e-08,1.5507572470596642e-07,3.839914497483221e-13,-3.9319579891835289e-06,-32757.422645579129,1.6405125873817103e-06,2.9497043779947305e-06,-130,-0.03217991455054282,-0.032179914550542615,-0.03217991455092661,-100425.97129194491,-100425.97129270014,-100425.97129411326,-0.015482729074759893,-0.015481986948325432,-0.015481807923606539,-0.11935055498235125,-0.11935058733347224,-0.11935061131225666,-21.28132321080193,-21.281323150957633,-21.281323055726205
-120,-0.028129193517352546,-87781.98542796001,-0.011818398884323776,-0.11681036324364878,-23.863212228266775,-120,473328348488.20477,11.29217363521848,473328348476.9126,41916495776.50573,5.3403482048997421e+17,2.097236574627459e-06,7.949442934040291e-07,5.351009058074396e-08,1.5443885104104993e-07,5.1309650972442e-13,-4.511557788423059e-06,-36086.013927135784,1.844815744587933e-06,3.4378651793549336e-06,-120,-0.02812919351737471,-0.028129193517352546,-0.028129193517865643,-87781.98542729978,-87781.98542796001,-87781.98542939701,-0.01181919382861718,-0.011818398884323776,-0.011818524864338542,-0.11681033412335928,-0.11681036324364878,-0.11681038763344986,-23.86321212630719,-23.863212228266775,-23.86321228074604
-110,-0.024378853500883157,-76075.06747076192,-0.009084081875777835,-0.1144347522694815,-27.344820623556643,-110,472959713697.15796,13.925335614569789,472959713683.2326,33963972344.214817,1.0597797193964183e+18,5.811743903905153e-07,6.285704412523074e-07,1.5773564426835307e-08,3.6290032312535914e-08,1.4856865737655767e-13,-1.6194361334947066e-06,-39782.50501904179,1.2485631588568543e-06,2.1807591516314314e-06,-110,-0.02437885350088482,-0.024378853500883157,-0.024378853501031725,-76075.06747134309,-76075.06747076192,-76075.06747118956,-0.009083503896809786,-0.009084081875777835,-0.009084132467251038,-0.11443473649591707,-0.1144347522694815,-0.11443473973486107,-27.344820643309504,-27.344820623556643,-27.34482060701947
-100,-0.020962627796115508,-65410.38089792061,-0.0070610531744283375,-0.11240020112017608,-31.969335506164498,-100,472593676735.9624,17.172510646986169,472593676718.78992,27520360094.748528,6.2915762434658778e+17,5.68230461794883e-07,2.9407010870841077e-07,2.148604316687397e-08,2.4694315925444243e-08,2.119172892722787e-13,-2.3801981800357188e-06,-43887.503936889349,1.0415463417711381e-06,1.7364475236232487e-06,-100,-0.020962627796118738,-0.020962627796115508,-0.020962627796327425,-65410.38089815466,-65410.38089792061,-65410.38089848884,-0.00706083917748046,-0.0070610531744283375,-0.007061133247589169,-0.11240019930832723,-0.11240020112017608,-0.1124002207943704,-31.969335488043725,-31.969335506164498,-31.96933551273804
-90,-0.017896634301706155,-55838.0858236707,-0.0055839816133344666,-0.11086408126561988,-38.02780442281619,-90,472230772560.83624,21.176877174314605,472230772539.65936,22299358336.62973,1.1594474762107715e+18,9.112336556427181e-07,1.0615699590384164e-07,4.651503117403255e-08,1.181234665637021e-08,2.657839226483105e-13,4.5353526150225814e-06,-48446.082851758983,1.3089837795064772e-06,2.2711453618464746e-06,-90,-0.017896634301712525,-0.017896634301706155,-0.01789663430144674,-55838.085823676476,-55838.0858236707,-55838.08582276524,-0.005584013939472943,-0.0055839816133344666,-0.00558408777033037,-0.1108640347505887,-0.11086408126561988,-0.11086406228423584,-38.027804432902485,-38.02780442281619,-38.02780442109014
-80,-0.015181499014158424,-47359.96393630654,-0.004524979793763996,-0.10995947383892071,-45.86456713217194,-80,471871660928.22784,23.705566337082274,471871660904.52228,19905521522.600616,6.9360686106811123e+17,2.3597385734319687e-07,4.13824914212782e-07,7.126007872670925e-08,4.5786521241097944e-08,5.631259347715911e-14,1.2225988063337503e-06,-53508.256940150321,6.6693301144576879e-07,1.502005421946026e-06,-80,-0.015181499014160387,-0.015181499014158424,-0.015181499014214736,-47359.96393619964,-47359.96393630654,-47359.96393607057,-0.004525082185950158,-0.004524979793763996,-0.0045253936186782084,-0.10995950859731707,-0.10995947383892071,-0.10995943733723834,-45.86456711869687,-45.86456713217194,-45.86456716448339
-70,-0.012805416560236213,-39938.97046174733,-0.003787632950162655,-0.10978778997222581,-55.877794824089506,-70,471517155496.27289,23.686609467771365,471517155472.5863,19906485820.093067,1.6037239983615485e+17,6.929549272172153e-07,4.0352057295578447e-07,5.6120645908208644e-08,5.977778982924065e-08,3.5787171837053933e-13,4.6826807516146404e-06,-59129.506000259309,1.1631118475042216e-06,2.3985212910344516e-06,-70,-0.012805416560227703,-0.012805416560236213,-0.012805416559878342,-39938.9704616833,-39938.97046174733,-39938.97046105438,-0.0037876467964106375,-0.003787632950162655,-0.0037872432758376817,-0.10978779858242227,-0.10978778997222581,-0.10978774246177636,-55.87779486272484,-55.877794824089506,-55.87779480294705
-60,-0.010747529621477118,-33509.78719954586,-0.0032996681781585985,-0.1103968763766745,-68.50848907206819,-60,471168259712.26642,23.667667757891323,471168259688.59875,19907675928.701023,2.0287511982555043e+17,1.483349478803575e-06,7.630923462009775e-07,1.2402968696534344e-07,4.258617991581559e-08,2.707955387704075e-13,-9.7838194404176605e-06,-65371.335195030362,1.6044089210967508e-06,2.9182976111323959e-06,-60,-0.010747529621492126,-0.010747529621477118,-0.010747529621747914,-33509.787199309554,-33509.78719954586,-33509.7872007929,-0.003299983375570914,-0.0032996681781585985,-0.003299220283224713,-0.11039685486677353,-0.1103968763766745,-0.1103969788964605,-68.508489029482,-68.50848907206819,-68.50848906160968
