voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.8034139839449878,-1089161.0524809826,-1347163.4388935089,-729.7564025947929,-140960.06839706213,-150,4067748708169.7959,753.95262197430566,4067748707415.8433,5395231198.3715372,2.2863618346222899e+17,1.0653166100382805e-05,3.4261494874954224e-05,2.3115189833333716e-06,4.91063401568681e-05,4.94948526608141e-12,4.2931837887326293e-05,-4607593.2747211223,5.4573076677677087e-05,0.00011104798068117816,-150,-0.8034139839499372,-0.8034139839449878,-0.8034139839455541,-1089161.0524810501,-1089161.0524809826,-1089161.052470397,-1347163.4389277704,-1347163.4388935089,-1347163.4389025015,-729.7564026377859,-729.7564025947929,-729.7564003262669,-140960.0683592141,-140960.06839706213,-140960.06840832045
-140,-0.6365256142207179,-876403.2052563855,-1061982.6047236316,-549.543695915418,-95447.73347658591,-140,4741705733199.4707,887.60740208002812,4741705732311.8633,5342120538.9767027,6.0803600486146624e+17,3.161747008562088e-05,4.7508860006928444e-05,1.0463776220603904e-05,9.673109161667526e-05,1.2924106229661447e-11,1.612724783716345e-05,-4958408.1295465147,7.6927611207952106e-05,0.00017024651108954458,-140,-0.6365256142199147,-0.6365256142207179,-0.6365256142077937,-876403.2052571555,-876403.2052563855,-876403.205225538,-1061982.604750048,-1061982.6047236316,-1061982.604702539,-549.5437063791942,-549.543695915418,-549.5436993092299,-95447.73339627287,-95447.73347658591,-95447.73349300397
-130,-0.513844648962767,-740586.931334834,-829261.915690764,-421.5788434095177,-66978.80470872093,-130,5539744384896.1309,1044.9554484792368,5539744383851.1758,5301416814.4281464,21763092800824568.0,8.568866178393364e-06,0.0003456881968304515,2.172312088077888e-05,0.00032798877509776503,6.128197949095693e-11,-0.00065069764787950742,-5477869.6150199687,0.00045629607423729938,0.00073416739263620912,-130,-0.5138446489014851,-0.513844648962767,-0.5138446489480758,-740586.9313326405,-740586.931334834,-740586.9313412093,-829261.9153450758,-829261.915690764,-829261.9156676385,-421.5788452634806,-421.5788434095177,-421.57882354035974,-66978.80501824245,-66978.80470872093,-66978.80469025367
-120,-0.4303961831166375,-675438.1800174647,-642488.366755951,-327.3296943854782,-50110.11920320896,-120,6484260849778.7217,1230.196916730976,6484260848548.5244,5270912942.1405659,50985635976787904.0,1.733854878693819e-05,2.4101114831864834e-05,4.767363338942232e-05,4.0418453863821924e-05,1.442734820500391e-11,-1.9069008715549703e-06,-6184226.6869798806,8.0578298443745194e-05,0.00020358427046573979,-120,-0.430396183128411,-0.4303961831166375,-0.43039618313106487,-675438.1800176983,-675438.1800174647,-675438.1800348032,-642488.3667498324,-642488.366755951,-642488.3667318498,-327.32971680728224,-327.3296943854782,-327.3297420591116,-50110.119243627414,-50110.11920320896,-50110.119211444944
-110,-0.3818421110916924,-676520.4959624764,-494667.5467663843,-245.2763806631975,-40667.13888265309,-110,7601708295737.5537,1448.2765328769626,7601708294289.2773,5248796154.0307245,67774084542549000.0,4.789081867784262e-05,0.00022196723148226738,0.00014046245632926002,0.0001372238839394413,6.412936848221307e-11,-0.00022825005831114651,-7101338.767350018,0.0002824712378261904,0.0006253161692555409,-110,-0.38184211103534627,-0.3818421110916924,-0.38184211102756305,-676520.4959637894,-676520.4959624764,-676520.4960103672,-494667.54654441704,-494667.5467663843,-494667.54668262135,-245.27639483699022,-245.2763806631975,-245.2762543745339,-40667.13894388988,-40667.13888265309,-40667.13880666599
-100,-0.3648155623130035,-741675.1100930613,-378937.70917070995,-149.56118369753153,-35725.94018498426,-100,8923331295467.9863,1705.0155850299579,8923331293762.9707,5233577554.2551413,45640397853108400.0,0.0001772408140823245,0.0002500484697520733,6.455074435507413e-05,0.00010198039672104642,7.667949608602953e-11,-0.00038091038838485529,-8256624.4129906893,0.00041502964564530152,0.00095570260305066768,-100,-0.364815562236324,-0.3648155623130035,-0.3648155622836143,-741675.1100869923,-741675.1100930613,-741675.1099158205,-378937.7089475179,-378937.70917070995,-378937.7091975664,-149.56112681437844,-149.56118369753153,-149.5611913651228,-35725.94027862442,-35725.94018498426,-35725.94028696466
-90,-0.3770389273936461,-871029.9019926193,-289050.3769907939,-6.786694050355095,-33377.22565909351,-90,10486033216368.207,2007.2673133909143,10486033214360.939,5224034261.1139097,53405541152831008.0,2.1982239559292793e-05,0.00028263003332540393,0.00015157224697759375,0.0003079032903769985,7.111511379775948e-11,-0.0003113106830822027,-9671784.9225827251,0.00035149431414892198,0.00081710364757014986,-90,-0.3770389273374318,-0.3770389273936461,-0.37703892732253097,-871029.9019802071,-871029.9019926193,-871029.901970637,-289050.3767081639,-289050.3769907939,-289050.3769767509,-6.786708881576487,-6.786694050355095,-6.78655730932951,-33377.225868614856,-33377.22565909351,-33377.225560711566
-80,-0.41715942330072314,-1066385.7156049223,-219622.75482295835,230.91808532259637,-32436.30168643946,-80,12333400649789.855,2363.0998465839748,12333400647426.756,5219161885.020916,2.0457658055949821e+18,0.00032352772541344166,0.0012683241220656782,0.00017305161236436106,0.001666496304096654,3.067950338220271e-10,0.00097399768081182986,-11302789.757965503,0.0023625066737676336,0.0041977025940553858,-80,-0.4171594234601252,-0.41715942330072314,-0.41715942315333016,-1066385.7156022622,-1066385.7156049223,-1066385.7152813945,-219622.75609128247,-219622.75482295835,-219622.7549213634,230.9180202290845,230.91808532259637,230.91819328069687,-32436.300019943155,-32436.30168643946,-32436.301432544562
-70,-0.48426379470610414,-1329781.7042402872,-166196.81836288937,638.616648438303,-32190.317342110295,-70,14516913310819.281,2782.0115675035049,14516913308037.27,5218135496.0527105,1.860214361431928e+17,0.00034349318593740463,0.005411318241385743,0.00015423287186422385,0.005588463900494389,9.831891967237993e-10,0.0057181171925017168,-12499297.466484705,0.0069811208955338697,0.011288766122930838,-70,-0.48426379568929334,-0.48426379470610414,-0.4842637949447462,-1329781.7042380623,-1329781.7042402872,-1329781.7045815554,-166196.82377420762,-166196.81836288937,-166196.8183791322,638.6164942054311,638.616648438303,638.6165606603026,-32190.312352718785,-32190.317342110295,-32190.317941182686
-60,-0.5769785012842632,-1660861.1490345714,-125179.25987472749,1339.2644663759438,-32211.32712079045,-60,17097372987104.547,3275.1846575215263,17097372983829.361,5220277564.4542952,44224367949648368.0,0.00019448832608759403,0.0010760276491055265,0.000653692361083813,0.00018035694301943295,2.519970898617885e-10,-0.0012754098051048224,-12366314.134443151,0.0012324093161757851,0.0024386500132322908,-60,-0.5769785010322661,-0.5769785012842632,-0.5769785010806903,-1660861.1490728597,-1660861.1490345714,-1660861.1488783713,-125179.25881354883,-125179.25987472749,-125179.25988957648,1339.2643201715982,1339.2644663759438,1339.2649738639593,-32211.327301147394,-32211.32712079045,-32211.327147726308
