voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-444.98184482819306,-257438127.6001749,-198326678.99267,-363562699.16073585,-159840966.17672348,-150,62800409290076.242,39.521967586921825,62800409290036.719,1589000070706.4358,35984930135877152.0,0.001037299633026123,0.0058335959911346436,0.0024959444999694824,0.0029847025871276855,7.329390427912585e-10,0.014413650734145706,-966526435.60378098,0.0066384186203789636,0.013226251943706302,-150,-444.9818448274601,-444.98184482819306,-444.98184482760934,-257438127.60020113,-257438127.6001749,-257438127.59916383,-198326678.98716605,-198326678.99267,-198326678.99299964,-363562699.16309553,-363562699.16073585,-363562699.1605996,-159840966.17911273,-159840966.17672348,-159840966.17612803
-140,-391.52577506709423,-228535853.2192173,-166566199.62186074,-322534153.014406,-145536250.1028357,-140,58796445443625.852,66.77018568021802,58796445443559.078,880579331098.75195,52069814899078752.0,0.006214827299118042,0.0020020008087158203,0.010881304740905762,0.005327492952346802,8.355129921255866e-09,-0.041924971947386432,-846553769.12050748,0.015212047873747098,0.038329933820932638,-140,-391.52577507544936,-391.52577506709423,-391.52577507263254,-228535853.22543213,-228535853.2192173,-228535853.22474986,-166566199.62386274,-166566199.62186074,-166566199.62349832,-322534153.02528733,-322534153.014406,-322534153.01692134,-145536250.10026583,-145536250.1028357,-145536250.10559332
-130,-343.1747803584843,-202044268.04303885,-138949816.65206507,-284932877.7439537,-132191892.0420512,-130,55724455942112.656,112.80454815326733,55724455941999.852,493991216261.95374,1.8569110730814691e+17,0.022187769412994385,0.001911073923110962,0.010178625583648682,0.004103496670722961,5.585661710938439e-09,-0.031552526345229204,-737725784.57572138,0.024426424008952435,0.044545285349158803,-130,-343.17478036407,-343.1747803584843,-343.17478036177977,-202044268.0652266,-202044268.04303885,-202044268.04563594,-138949816.65120953,-138949816.65206507,-138949816.6531206,-284932877.73552364,-284932877.7439537,-284932877.74570227,-132191892.04013136,-132191892.0420512,-132191892.04423486
-120,-299.4638635272344,-177768528.68026313,-115010916.66625692,-250488713.70221832,-119754014.63299236,-120,53528841655939.328,190.5770660127547,53528841655748.75,280877666845.58368,1.1534326564248877e+17,0.004211157560348511,0.001016363501548767,0.0036385953426361084,0.002877160906791687,2.755371042439947e-09,0.019088893073781848,-638863468.45934737,0.0064668163116223375,0.015838244253245648,-120,-299.46386352447905,-299.4638635272344,-299.4638635256605,-177768528.67605197,-177768528.68026313,-177768528.67873257,-115010916.66727328,-115010916.66625692,-115010916.66626407,-250488713.69857973,-250488713.70221832,-250488713.70128474,-119754014.6346427,-119754014.63299236,-119754014.63176554
-110,-259.9759178911657,-155523093.22638908,-94363367.57274115,-218944196.49195403,-108164494.3728795,-110,52167855768771.687,321.96944790455143,52167855768449.719,162027347962.02454,1.4422711920194467e+17,0.008189141750335693,0.001173555850982666,0.006130844354629517,0.0005438625812530518,4.6406967157963663e-10,0.0029345689197702064,-549122738.98589253,0.010351951885345975,0.017477828514529392,-110,-259.97591789081895,-259.9759178911657,-259.9759178907016,-155523093.21819994,-155523093.22638908,-155523093.2255185,-94363367.5739147,-94363367.57274115,-94363367.5728454,-218944196.4980597,-218944196.49195403,-218944196.49192885,-108164494.3731622,-108164494.3728795,-108164494.37261833
-100,-224.3352217702842,-135135002.1625052,-76681428.79883762,-190057584.0863581,-97361330.0198474,-100,51612836869892.969,543.94963440681636,51612836869349.016,94885323208.604401,25338722473936236.0,0.009258180856704712,0.00353299081325531,0.003216087818145752,0.0013811737298965454,9.665086508903187e-10,0.0055849838051636146,-467987785.44230151,0.010472529678989581,0.019126395716739353,-100,-224.33522176931768,-224.3352217702842,-224.33522177007796,-135135002.15324703,-135135002.1625052,-135135002.162224,-76681428.80216509,-76681428.79883762,-76681428.7986321,-190057584.0895742,-190057584.0863581,-190057584.0866329,-97361330.02090278,-97361330.0198474,-97361330.01952161
-90,-192.20128876253386,-116448638.23951164,-61677452.65737489,-163606903.59807372,-87279686.66746554,-90,51847648274978.484,918.97292335334851,51847648274059.508,56419125044.278229,46679807395619112.0,0.001968950033187866,0.001469545066356659,0.0015519559383392334,0.0010253041982650757,4.440039447217714e-10,0.0080939367196694971,-395220226.89687175,0.0028856529601794657,0.0072171587962657213,-90,-192.20128876208986,-192.20128876253386,-192.20128876244488,-116448638.23754269,-116448638.23951164,-116448638.23885523,-61677452.65860587,-61677452.65737489,-61677452.65713633,-163606903.59720433,-163606903.59807372,-163606903.59875628,-87279686.66849084,-87279686.66746554,-87279686.66750647
-80,-163.26618803090076,-99332147.2251729,-49083266.384608194,-139395113.5645162,-77854084.49105331,-80,52868313082510.75,1552.554097729193,52868313080958.195,34052477243.683395,76093159677597072.0,0.0014799535274505615,0.0008400455117225647,0.0005307793617248535,0.0002225339412689209,6.33917807135731e-10,-0.0019629076361001329,-330752735.79382873,0.0021011141788499907,0.0048323031078325585,-80,-163.26618803149083,-163.26618803090076,-163.26618803153468,-99332147.22616565,-99332147.2251729,-99332147.22665286,-49083266.38445063,-49083266.384608194,-49083266.38376815,-139395113.5648988,-139395113.5645162,-139395113.56504697,-77854084.49106833,-77854084.49105331,-77854084.49127585
-70,-137.2571751560017,-83685281.46194848,-38638852.74222472,-117256398.5658988,-69022381.73128927,-70,54682837548532.594,2622.9545671269916,54682837545909.641,20847802029.765427,63320547041548456.0,0.00907646119594574,0.0018819868564605713,0.0023299306631088257,0.0028118789196014404,2.712312152652885e-09,-0.017476710115172538,-274542202.27274024,0.0097228247064283842,0.01822186705248896,-70,-137.257175158714,-137.2571751560017,-137.25717515816643,-83685281.47102495,-83685281.46194848,-83685281.46379907,-38638852.74106105,-38638852.74222472,-38638852.74294303,-117256398.56477721,-117256398.5658988,-117256398.56710714,-69022381.7295679,-69022381.73128927,-69022381.73237978
-60,-113.94449555312306,-69447518.76821321,-30088841.379754297,-97063468.62122576,-60732265.43897873,-60,57311218295786.062,4431.3371568018529,57311218291354.727,12933165829.599892,62007617313219224.0,0.00502583384513855,0.0003659352660179138,0.006454735994338989,0.0016095936298370361,1.9196022549294867e-10,-0.0057251512005842987,-226420123.68112433,0.0082802417113860289,0.014072272875637282,-60,-113.94449555331502,-113.94449555312306,-113.94449555312825,-69447518.76318738,-69447518.76821321,-69447518.76814832,-30088841.379535377,-30088841.379754297,-30088841.379388362,-97063468.6276805,-97063468.62122576,-97063468.62140492,-60732265.43776283,-60732265.43897873,-60732265.43937242
