voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.9984650688107987e-07,-0.21538882139293597,-0.030527536367682007,-0.7250715749621579,-1.6496503407264312e-05,-150,21292345740423680.0,0.00022130930545022931,21292345740423680.0,9.6210801877972353e+19,82827969011916208.0,0.001852932380187522,0.003420030228907134,8.776485176387183e-07,5.675863731213833e-05,1.18347811003157e-09,1126794.0351628866,-0.00038729701191186905,0.0028207958908250761,0.0050535561704534437,-150,-1.9954993693302976e-07,-1.9984650688107987e-07,-2.0073341504306133e-07,-0.2172417537731235,-0.21538882139293597,-0.2157630982480986,-0.028646648218286774,-0.030527536367682007,-0.03206667844719391,-0.7250706973136403,-0.7250715749621579,-0.7250715747941285,-4.530624379361685e-05,-1.6496503407264312e-05,-7.325514071940264e-05
-140,-1.753178403294451e-07,-0.16396610792317123,-0.03403767044356222,-0.6643557101322822,1.0798642335761125e-05,-140,18909310426831088.0,0.00026987564941921072,18909310426831088.0,7.0066752845338608e+19,37000407135614080.0,0.011281484040334466,0.004594044487510329,1.1349038686603308e-06,0.00012023397083309263,1.8596301380474703e-09,1091243.7333708182,0.0085091309156268835,0.011165652979063608,0.019894630011520968,-140,-1.748286310837267e-07,-1.753178403294451e-07,-1.7345821019139764e-07,-0.16702218591672136,-0.16396610792317123,-0.1557407018763869,-0.03093760329752482,-0.03403767044356222,-0.03553164778503515,-0.6643545752449427,-0.6643557101322822,-0.6643557101488113,-3.4347933788900074e-05,1.0798642335761125e-05,-0.00010943532849733151
-130,-1.5464935130993264e-07,-0.12465180240758801,-0.03604839429234237,-0.607878980248617,-7.996017089605746e-06,-130,16793263911582572.0,0.00032909988127824235,16793263911582572.0,5.1027863779095257e+19,9.5730942995331802e+17,0.004486625573814379,0.004496706014761376,7.686539645890278e-07,0.00044717004401396775,9.28830192642384e-10,1057081.7186748877,0.0018493540119379759,0.0033629859455383496,0.0062121433691061118,-130,-1.5421648066277157e-07,-1.5464935130993264e-07,-1.5514531085541396e-07,-0.12735536911395684,-0.12465180240758801,-0.12286874354014246,-0.033325183353683396,-0.03604839429234237,-0.03782188936844477,-0.6078782115946524,-0.607878980248617,-0.6078789799357764,-2.8397381223996028e-05,-7.996017089605746e-06,-0.0004551660611035735
-120,-1.3574913109926411e-07,-0.09470962195365337,-0.03405757699981956,-0.5558557326008151,2.4951401269836388e-05,-120,14914300990585082.0,0.00037918357139880073,14914300990585082.0,3.9332666590924603e+19,1.3184447576328704e+18,0.003428326897905315,0.0032038292445276673,5.745537630108544e-07,0.0004890907998620813,2.9872204096655555e-10,1023465.7144618708,-0.0016284085577353835,0.0026245118641181229,0.0052584122052790417,-120,-1.3604785314023067e-07,-1.3574913109926411e-07,-1.3581837508050113e-07,-0.0928460688855921,-0.09470962195365337,-0.09627439578349742,-0.03587321113157438,-0.03405757699981956,-0.03266938188704671,-0.5558551580470521,-0.5558557326008151,-0.5558557324693538,-2.353533149100392e-05,2.4951401269836388e-05,-0.00046413939859224485
-110,-1.2111630756164313e-07,-0.07189089992143854,-0.034811553262146515,-0.5078064002627483,-3.0075050651942895e-06,-110,13245866318463050.0,0.00038932732610339995,13245866318463050.0,3.4022441864111874e+19,73176421320207744.0,0.009506846965341126,0.006994761381508063,1.3313365658795817e-06,8.276073749907914e-05,5.397800400207711e-10,991687.45015800744,-0.0064138330053538084,0.007380530228112951,0.012317907652966149,-110,-1.216560876016639e-07,-1.2111630756164313e-07,-1.213004109652624e-07,-0.0685187247011072,-0.07189089992143854,-0.07802557166644833,-0.03816532279732804,-0.034811553262146515,-0.031170561415819975,-0.5078077315993141,-0.5078064002627483,-0.5078064003027976,-2.0048832341192983e-05,-3.0075050651942895e-06,6.271190515788616e-05
-100,-1.1122487707158787e-07,-0.05456963147934395,-0.04040869497356663,-0.4639200224410612,-7.506164210505883e-07,-100,11764379176441252.0,0.00039974244214131723,11764379176441252.0,2.9429897694681866e+19,22977766247395164.0,0.0038665928506844416,0.0018476299145447905,3.756794743625669e-07,4.5223520617598454e-05,5.557479219218207e-10,960526.51541046787,0.0028602946549654007,0.0036251415358839146,0.006470958820330254,-100,-1.1104180912683543e-07,-1.1122487707158787e-07,-1.1066912914966605e-07,-0.05571165287028634,-0.05456963147934395,-0.0518450600196019,-0.03925245327196192,-0.04040869497356663,-0.04110008318650671,-0.46392039812053554,-0.4639200224410612,-0.4639200227102265,-1.4604090264280406e-05,-7.506164210505883e-07,3.0619430353318045e-05
-90,-9.880655835199962e-08,-0.04135325024250364,-0.03701710190945625,-0.4230978182209328,2.853242275621889e-05,-90,10448900271738292.0,0.00041043617885343426,10448900271738292.0,2.5458039057199116e+19,34064031892614952.0,0.005703327292055062,0.006672011177888182,1.947877790731134e-07,0.00047162351190470185,1.605915963883502e-09,927124.46061281126,-0.0025844598421826959,0.0043636490908594422,0.0081087103868397719,-90,-9.932812117853872e-08,-9.880655835199962e-08,-9.772220521465522e-08,-0.038097233504913675,-0.04135325024250364,-0.043800560796968736,-0.04023069268804602,-0.03701710190945625,-0.03355868151015784,-0.42309801300871186,-0.4230978182209328,-0.4230978182749823,-1.3722375559339627e-05,2.853242275621889e-05,0.0004579011363453622
-80,-8.9792509807693e-08,-0.03131363212522911,-0.03743397863952618,-0.38558189783681796,2.8466351330013687e-06,-80,9280835860327796.0,0.00042141598977937621,9280835860327796.0,2.2022979871235047e+19,9.2948390023526157e+17,0.0011984837448635738,0.0012915468445832134,8.584288306856536e-07,5.899335194109339e-05,2.1510326892488286e-10,901024.02531115653,-0.00050201872363686562,0.00087319448547811928,0.0014906711537388414,-80,-8.990871779823246e-08,-8.9792509807693e-08,-8.969361452930758e-08,-0.030586458027300978,-0.03131363212522911,-0.03178494177216455,-0.03814655098352582,-0.03743397863952618,-0.036855004138942604,-0.38558275626564864,-0.38558189783681796,-0.38558189815375954,-1.0875343000011857e-05,2.8466351330013687e-06,-5.614671680809202e-05
-70,-8.078424107113956e-08,-0.023687710300144316,-0.03528691545530501,-0.3510381081139594,1.0357817364775452e-06,-70,8243675012305202.0,0.00043268952785263312,8243675012305202.0,1.9052171318351991e+19,81487484556851328.0,0.003561445179718816,0.004855391393897568,1.944965527411746e-06,1.082611793510198e-05,1.1868994525992177e-09,872825.04722821922,0.001546650193631649,0.0029029110678197006,0.0055306998647810818,-70,-8.044451994052363e-08,-8.078424107113956e-08,-8.163141939312285e-08,-0.025804395019690674,-0.023687710300144316,-0.022242949839971857,-0.033158299949951564,-0.03528691545530501,-0.03801369134384913,-0.3510400530794868,-0.3510381081139594,-0.35103810811415315,-8.939485922264527e-06,1.0357817364775452e-06,1.8866320128374525e-06
-60,-7.079346515463281e-08,-0.017894166688939027,-0.02899298601799298,-0.31914014512280675,2.2093513175958475e-07,-60,7322756307404566.0,0.0004442646507346575,7322756307404566.0,1.6482869603276567e+19,45778933061145472.0,0.0030349673301183766,0.0036303389337090097,9.73668647930026e-07,0.00012463639318689663,7.125930901224068e-10,845481.7951593817,0.0017047430155798793,0.0023266964557706309,0.0043482992506922655,-60,-7.056019565156626e-08,-7.079346515463281e-08,-7.127278874168867e-08,-0.019352228324351017,-0.017894166688939027,-0.01631726099423264,-0.027527815612865214,-0.02899298601799298,-0.031158154546574224,-0.31913917188649066,-0.31914014512280675,-0.3191401455551386,-7.861374709496956e-06,2.2093513175958475e-07,0.00011677501847739968
