voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.04095830552302559,-127825.80066099667,-0.02674467235586083,-0.1241643238267628,-18.043265446698342,-150,474445897102.99683,6.0213403684743403,474445897096.97546,78794067112.869385,3.847539768538025e+17,8.6767046013847e-05,4.085975504795891e-06,1.9724000210885606e-11,3.2218849810305983e-10,2.6491024651686956e-11,16161855.232896028,-0.0001233051298186183,0.00011992199114717115,0.00017353484276385681,-150,-0.04095830552302579,-0.04095830552302559,-0.04095830554951661,-127825.80066099722,-127825.80066099667,-127825.80074776371,-0.026744672248821377,-0.02674467235586083,-0.026740586380356035,-0.1241643238266199,-0.1241643238267628,-0.1241643238463439,-18.04326544702053,-18.043265446698342,-18.04326544670161
-140,-0.03647912487088993,-113845.1667182825,-0.02034549069657006,-0.12186615175345784,-19.39708301802,-140,474071758606.70618,7.4254247401094116,474071758599.28076,63844396138.842407,2.9093059488372902e+17,2.331027644686401e-06,3.83580015486662e-07,9.784825727443547e-12,2.8398972062859684e-09,6.239592176271458e-13,18366919.860710252,-3.2635871320962906e-06,3.0603376441350835e-06,4.6653477165826408e-06,-140,-0.036479124870889966,-0.03647912487088993,-0.03647912487151389,-113845.16671828418,-113845.1667182825,-113845.16672061353,-0.02034549055006596,-0.02034549069657006,-0.020345107116554573,-0.1218661517534847,-0.12186615175345784,-0.12186615176324267,-19.397083015181124,-19.39708301802,-19.39708301802102
-130,-0.032179914547907765,-100425.97128331977,-0.015482728774692239,-0.11935055521048495,-21.281324012903724,-130,473699147354.49469,9.1569200870468723,473699147345.33777,51731274582.659782,1.0545112954676638e+17,2.793775638565421e-05,2.9532881883564954e-05,1.768936386259412e-11,6.982645572861657e-10,5.111952527947494e-13,20532928.35084556,-3.8388126995414495e-05,4.0684517259282538e-05,5.9066815406884693e-05,-130,-0.03217991454790795,-0.032179914547907765,-0.03217991454739676,-100425.97128331958,-100425.97128331977,-100425.97131125734,-0.015482729202206169,-0.015482728774692239,-0.015453196320322604,-0.11935055521032689,-0.11935055521048495,-0.11935055519279558,-21.28132401360199,-21.281324012903724,-21.281324012904093
-120,-0.028129193524647614,-87781.98544949824,-0.01181919334142587,-0.11681033434629116,-23.863213129013502,-120,473328348488.20477,11.29217363521848,473328348476.9126,41916495776.50573,5.3403482048997421e+17,6.844350718893111e-05,4.9911583727935485e-05,3.4690694761252416e-11,4.794173946720548e-09,5.937403346756298e-12,22452775.332136247,9.1682886704802513e-05,8.6712013051739911e-05,0.00013688972049416708,-120,-0.02812919352464863,-0.028129193524647614,-0.028129193518711227,-87781.9854495021,-87781.98544949824,-87781.98538105859,-0.011819195063563326,-0.01181919334142587,-0.011869104925153806,-0.11681033434602539,-0.11681033434629116,-0.11681033438071609,-23.863213124219328,-23.863213129013502,-23.863213129013076
-110,-0.024378853507733042,-76075.0674930679,-0.009083504485431756,-0.11443473653797916,-27.344819940448815,-110,472959713697.15796,13.925335614569789,472959713683.2326,33963972344.214817,1.0597797193964183e+18,8.267309749498963e-05,0.0001094815513057873,1.9205526058385658e-11,3.439936335780658e-09,6.15663527103738e-11,23901928.37481758,0.00010766275227069855,0.0002361009550355251,0.00038430975575316431,-110,-0.024378853507731942,-0.024378853507733042,-0.02437885344616669,-76075.06749306298,-76075.0674930679,-76075.0674103948,-0.009083504245682938,-0.009083504485431756,-0.00897402293412597,-0.11443473653809333,-0.11443473653797916,-0.1144347365188878,-27.34481994388625,-27.344819940448815,-27.344819940446314
-100,-0.02096262780069663,-65410.38091255787,-0.007060839488014653,-0.11240019939167627,-31.969335257040257,-100,472593676735.9624,17.172510646986169,472593676718.78992,27520360094.748528,6.2915762434658778e+17,6.270137964747846e-05,7.275223506031381e-05,3.3808511545885267e-12,3.2241587177850306e-09,3.2212496559047565e-12,24711799.855643835,7.9349265433847904e-05,9.6567237922939893e-05,0.00014551128837235109,-100,-0.020962627800697072,-0.02096262780069663,-0.02096262780391788,-65410.38091256226,-65410.38091255787,-65410.38084986088,-0.007060838083911669,-0.007060839488014653,-0.007133590318971983,-0.11240019939188395,-0.11240019939167627,-0.1124001993885031,-31.969335253816098,-31.969335257040257,-31.969335257036647
-90,-0.01789663430375395,-55838.08583004328,-0.005584013738884894,-0.11086403474918906,-38.02780444265045,-90,472230772560.83624,21.176877174314605,472230772539.65936,22299358336.62973,1.1594474762107715e+18,3.304064739495516e-05,2.1171797529748355e-05,2.6299407096530558e-11,9.62245394475758e-10,1.736948432307095e-11,24814203.794862852,4.067795816808939e-05,6.6923815911727744e-05,0.00010842675961394448,-90,-0.01789663430375413,-0.01789663430375395,-0.017896634286384647,-55838.08583004443,-55838.08583004328,-55838.08579700378,-0.005584012680775574,-0.005584013738884894,-0.0055628419413551455,-0.11086403474920781,-0.11086403474918906,-0.1108640347229084,-38.027804443612695,-38.02780444265045,-38.02780444265679
-80,-0.015181499018824839,-47359.96395068821,-0.004525081778702634,-0.10995950831725158,-45.864567259079195,-80,471871660928.22784,23.705566337082274,471871660904.52228,19905521522.600616,6.9360686106811123e+17,8.541325223632157e-05,5.601961389722909e-05,1.8890666808601964e-11,3.9726728573441505e-09,9.418662030857838e-12,24227182.19909516,0.00010248913895338774,0.00010628870703031995,0.00017083476257867281,-80,-0.01518149901882453,-0.015181499018824839,-0.015181499009406177,-47359.9639506897,-47359.96395068821,-47359.96386527645,-0.004525077331105853,-0.004525081778702634,-0.0045810969450030825,-0.10995950831714207,-0.10995950831725158,-0.10995950833603274,-45.86456726305187,-45.864567259079195,-45.86456725909122
-70,-0.012805416563431517,-39938.970471701075,-0.003787647053276383,-0.10978779826188993,-55.87779482581391,-70,471517155496.27289,23.686609467771365,471517155472.5863,19906485820.093067,1.6037239983615485e+17,7.008061947999522e-05,1.5265098460837123e-06,3.558515981882948e-11,7.801247647876153e-09,2.2941669397535946e-11,23009480.442259658,8.2184444181621075e-05,0.00010019904753461532,0.00014321384750776704,-70,-0.012805416563433224,-0.012805416563431517,-0.012805416540491554,-39938.97047170208,-39938.970471701075,-39938.97040162146,-0.003787655272686319,-0.003787647053276383,-0.003786128762840235,-0.1097877982623432,-0.10978779826188993,-0.10978779829747509,-55.87779481802136,-55.87779482581391,-55.877794825822605
-60,-0.010747529624659592,-33509.787208986905,-0.00329998157734938,-0.11039685528125434,-68.50848944990867,-60,471168259712.26642,23.667667757891323,471168259688.59875,19907675928.701023,2.0287511982555043e+17,7.642949640285224e-05,4.102379219839136e-05,3.3137104171743204e-12,7.981725502759218e-09,1.1346104611398289e-11,21232006.541925561,8.7858643382787704e-05,9.3688924638461136e-05,0.00015287551823464651,-60,-0.010747529624658749,-0.010747529624659592,-0.010747529613313487,-33509.78720899053,-33509.787208986905,-33509.78713256103,-0.0032999713325465585,-0.00329998157734938,-0.00334099512474495,-0.11039685527995013,-0.11039685528125434,-0.11039685527794063,-68.50848945789039,-68.50848944990867,-68.508489449938
