voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.0000023454821272094213950094398708535702253331320528361663631281191071488601821947426,-4.9598685455799528489486339036846769101609458051151487558064724815252277631639056,-1.7196190706253224759448430308577987374168997499529801031150376862973948427826819,-0.0026366569642157314989621755042030078186364453748738064626082343603976213167117275,-4.5195996780231940043918715772413213908700073257516939176635517621322677174910721,-150,40234355634019246.127360308867976063114106528517893482797242116001942376267749528,16.967672009107310965778637348567826614045853786580647120084558537881593564097345,40234355634019229.15968829976066509733546917995006686875138832942129525618319099,2371236054800190.7393677139626875726055667696048800053609828036126966121284991092,80468711268038492.254720617735952126228213057035786965594484232003884752535499055,2.0030176092137994126262290697413036114648926626500164345147749747705474152842543e-77,1.0753041902095133688835545532295419387864160610015877701079318285610307176789155e-79,1.4830455213081331990278485638196254438708257169941142344079765839258511173371483e-77,2.6397663649849230153768829424380127595305743301450742905394718614870793304588278e-78,1.2064588100315692776888169156574271020175889643518647251218143110399029874004089e-84,147268.23629234698329237641933397807550329768684422098598213135074586593289159095,2.0049105463039624382404408973188152230077638651153217485401303684160738525112269e-77,2.6867383854239756882807823495235589230984812801728586594224983685145271870936225e-77,4.7963855689657635389389587150340186426701659609452028588826146078200883025123677e-77,-150,-0.0000023454821272094213950094398708535702253331320528361663631281191071488601821947438,-0.0000023454821272094213950094398708535702253331320528361663631281191071488601821947426,-0.0000023454821272094213950094398708535702253331320528361663631281191071488601821947426,-4.9598685455799528489486339036846769101609458051151487558064724815252277631639257,-4.9598685455799528489486339036846769101609458051151487558064724815252277631639056,-4.9598685455799528489486339036846769101609458051151487558064724815252277631639058,-1.7196190706253224759448430308577987374168997499529801031150376862973948427826818,-1.7196190706253224759448430308577987374168997499529801031150376862973948427826819,-1.7196190706253224759448430308577987374168997499529801031150376862973948427826819,-0.002636656964215731498962175504203007818636445374873806462608234360397621316696897,-0.0026366569642157314989621755042030078186364453748738064626082343603976213167117275,-0.0026366569642157314989621755042030078186364453748738064626082343603976213167117273,-4.5195996780231940043918715772413213908700073257516939176635517621322677174910748,-4.5195996780231940043918715772413213908700073257516939176635517621322677174910721,-4.5195996780231940043918715772413213908700073257516939176635517621322677174910721
-140,-0.0000018665425304248605229229380534474144986362396508041710441667359394434099761879131,-4.8955086212864129068645292956868187576800843891522025302456191175176844862104428,-0.92115991941314007948950387025339950790966348299011597890634878435633065325130951,-0.002465824715645559116234908244573714065844174684022760680192521473788697700642485,-3.989872452592857081278997751093683422079073541773960674420026596778904148287042,-140,37575317754420191.532124433989707901573071976581610714215104365402839584732769361,16.585185996988312417629606087993432987157699745990265520800449021954743168681788,37575317754420174.946938437001395483943465888588177727057404619412574063932320339,2265595198102900.7728299780824807618165976054250375656786161492369880154724307045,75150635508840383.064248867979415803146143953163221428430208730805679169465538723,2.7865137603546918986598150932316914241178969925876439156365543227965846989891269e-77,2.8432307852892721136068104216275241263793765848247864862559726878716665152745442e-78,8.4076169981220641414209823862982565809097883110294641314966269670851925812292936e-78,7.3542372851976130013055652581659652597784690603402708669342474863154414573805043e-78,3.1609220822827115075447003190224590072860830866018855798191534949245458269890713e-84,170828.65714216064259597246172490145706862510304494958346438378263766345992105371,8.3205844751447238374364636222145774944847058104455054497476167589488989332044e-78,1.5844611509284194020607977564767131419057196596441450075177304949884048376447069e-77,3.6920658526920544229986929906199511123012246459184227220289415293725058569779683e-77,-140,-0.0000018665425304248605229229380534474144986362396508041710441667359394434099761879105,-0.0000018665425304248605229229380534474144986362396508041710441667359394434099761879131,-0.00000186654253042486052292293805344741449863623965080417104416673593944340997618791,-4.8955086212864129068645292956868187576800843891522025302456191175176844862104509,-4.8955086212864129068645292956868187576800843891522025302456191175176844862104428,-4.8955086212864129068645292956868187576800843891522025302456191175176844862104231,-0.92115991941314007948950387025339950790966348299011597890634878435633065325130667,-0.92115991941314007948950387025339950790966348299011597890634878435633065325130951,-0.92115991941314007948950387025339950790966348299011597890634878435633065325130951,-0.0024658247156455591162349082445737140658441746840227606801925214737886977006340774,-0.002465824715645559116234908244573714065844174684022760680192521473788697700642485,-0.002465824715645559116234908244573714065844174684022760680192521473788697700642485,-3.9898724525928570812789977510936834220790735417739606744200265967789041482870347,-3.989872452592857081278997751093683422079073541773960674420026596778904148287042,-3.989872452592857081278997751093683422079073541773960674420026596778904148287042
-130,-0.0000015860360747842210675752805572433626141643044527383882387182698521551692946622381,-4.8151323467598545441815075935963770764074168904256558700372008146554032831269639,-0.4932238792752640213066940143350428158598434990704465019554446785627829215874461,-0.0023058602064603477232552924226294167426220048456653164847077042749841553675327623,-3.6032401850719450708718026329233925436218031166599513190516276924352966052966532,-130,35092701624305369.608002158584781872227892616217232690084130284056432599395786904,16.211322001454037810908270734023915932234726323064962804648487324884929405379236,35092701624305353.396680157130744061319621882193316757849403960991469794747299579,2164703262396355.4122903344951159988031000258127146438901592927313634579048160807,70185403248610739.216004317169563744455785232434465380168260568112865198791573809,2.8328994313049062008469488190572795077518208226700653488568964801070605338693938e-77,3.3197381323232917633473659687449289855278668393078430275194875766065546372263773e-78,8.2079535343417782357442087093936367091954064838325355812757205841662986843747355e-78,4.7735072286947809159850343304150646066910705139364602186752110977689677349511071e-78,4.5403066550854723817022476592574506605928598025108509155417611905468349092502055e-84,198480.66062680243060722601204595863167985733420848519592039243707321300704264829,1.0067786166891176009180592871582434473140591599212971623767195722958960038910921e-78,1.0229804053159452155226702529201902549547482966308238022559360280562176533022655e-77,1.9953478543331503967373718564086402188273109486399981310068328245822951482522623e-77,-130,-0.0000015860360747842210675752805572433626141643044527383882387182698521551692946622393,-0.0000015860360747842210675752805572433626141643044527383882387182698521551692946622381,-0.0000015860360747842210675752805572433626141643044527383882387182698521551692946622426,-4.8151323467598545441815075935963770764074168904256558700372008146554032831269648,-4.8151323467598545441815075935963770764074168904256558700372008146554032831269639,-4.8151323467598545441815075935963770764074168904256558700372008146554032831269922,-0.49322387927526402130669401433504281585984349907044650195544467856278292158744942,-0.4932238792752640213066940143350428158598434990704465019554446785627829215874461,-0.4932238792752640213066940143350428158598434990704465019554446785627829215874461,-0.0023058602064603477232552924226294167426220048456653164847077042749841553675245544,-0.0023058602064603477232552924226294167426220048456653164847077042749841553675327623,-0.0023058602064603477232552924226294167426220048456653164847077042749841553675327619,-3.603240185071945070871802632923392543621803116659951319051627692435296605296658,-3.6032401850719450708718026329233925436218031166599513190516276924352966052966532,-3.6032401850719450708718026329233925436218031166599513190516276924352966052966532
-120,-0.0000014101615658875812047152430387263041025490540731678853439366542079626463409676719,-4.7193166273090385408774608642746404419914584995618128271812354448739830431131743,-0.26403030825047593092036068850542783217730749572607525343887407791958207484954329,-0.0021561519794102483871757530978001115806712533645077207627206073824063681779600259,-3.2889429494406556838600841390168510926131577442545558110593066933479093070371759,-120,32775240280674566.770186966286229106912529526347138612768813308835802626939963005,15.845885664625685077969376805814513710264737661279736611008699020455112193511746,32775240280674550.924301301660544028943152720532624902504075647556066015931263985,2068375411406755.8842907847200601675677643105106499143677696122593735770430509966,65550480561349133.54037393257245821382505905269427722553762661767160525387992601,3.1963944163874946416224876523450697631376602911341314891835777492127893490220311e-77,7.1317969085954489612718103456841678587157888751722953576276066864856596128410424e-79,1.5732793232192576438666302376073670073447081903605916811797710869936498033038949e-77,5.8361607813724176569993705947830825226682346212792057797230496106998686794808589e-78,5.1173961192172396861967317505802532910579398571258262090583623693275885048900677e-84,231034.23219903221916190487986527754060644540414198752214186514874716768840755906,2.9933996817581730602736776880097817121289931026690718083553042796097569014784043e-77,3.4405274304948479755610796236167747260284760184282199573895146186449618251185781e-77,6.2860780650474554175249560697368966225931679169201642213356553013534550080874487e-77,-120,-0.0000014101615658875812047152430387263041025490540731678853439366542079626463409676754,-0.0000014101615658875812047152430387263041025490540731678853439366542079626463409676719,-0.000001410161565887581204715243038726304102549054073167885343936654207962646340967677,-4.7193166273090385408774608642746404419914584995618128271812354448739830431132041,-4.7193166273090385408774608642746404419914584995618128271812354448739830431131743,-4.7193166273090385408774608642746404419914584995618128271812354448739830431132063,-0.26403030825047593092036068850542783217730749572607525343887407791958207484954401,-0.26403030825047593092036068850542783217730749572607525343887407791958207484954329,-0.26403030825047593092036068850542783217730749572607525343887407791958207484954329,-0.0021561519794102483871757530978001115806712533645077207627206073824063681779442931,-0.0021561519794102483871757530978001115806712533645077207627206073824063681779600259,-0.0021561519794102483871757530978001115806712533645077207627206073824063681779600259,-3.2889429494406556838600841390168510926131577442545558110593066933479093070371817,-3.2889429494406556838600841390168510926131577442545558110593066933479093070371759,-3.2889429494406556838600841390168510926131577442545558110593066933479093070371759
-110,-0.0000012884995521951528457261228746995485631038982999911433219270525046383393693888556,-4.6081666413091408635749573074549225451981209249679456636818578090698982150219575,-0.14132126807709311803643074796375922806557093471470030479293884465190510158668113,-0.0020160878131417097188271118886931599755880282385535290795297610484425778543823829,-3.0089218324089406138276449773200663345597894950551344545534450993029435856727055,-110,30612663877429463.107186596920107433169216602125617780840497408453940722743747211,15.48868700984834258162878811082225492714911577371579394207801482492217312159849,30612663877429447.618499587071764851540428491303362853691381634738146780665732386,1976453127238265.9429822941914461761717059756210607269298228647931392630289447463,61225327754858926.214373193840214866338433204251235561680994816907881445487494422,1.4843414704068576699882792264188186762855625626374858630509490339352267161685422e-78,5.1920324870410326879916727202504843612971559808164899684132982898657610633026066e-80,3.9009056202663753770515226914533602247861026674365619201053565072489128713481309e-78,7.0000194343050674209674531700432926211194143578926890132516346486718078092039204e-78,1.9544632722511422298558834033650319052684941222500208546973391838846428395886624e-84,269408.25824338483263466637937626418588249898335746611038649160074437685172994946,1.2205502489327380068522222972323058505691544034554945051112371021928490542932457e-81,8.6598988437363500589771291118392902728490175068419027570346716000787660337888783e-78,1.6104312541760388804721637944583459418256023019903368834616988881196590516222523e-77,-110,-0.0000012884995521951528457261228746995485631038982999911433219270525046383393693888573,-0.0000012884995521951528457261228746995485631038982999911433219270525046383393693888556,-0.0000012884995521951528457261228746995485631038982999911433219270525046383393693888553,-4.6081666413091408635749573074549225451981209249679456636818578090698982150219575,-4.6081666413091408635749573074549225451981209249679456636818578090698982150219575,-4.608166641309140863574957307454922545198120924967945663681857809069898215021956,-0.14132126807709311803643074796375922806557093471470030479293884465190510158668108,-0.14132126807709311803643074796375922806557093471470030479293884465190510158668113,-0.14132126807709311803643074796375922806557093471470030479293884465190510158668113,-0.0020160878131417097188271118886931599755880282385535290795297610484425778543862838,-0.0020160878131417097188271118886931599755880282385535290795297610484425778543823829,-0.0020160878131417097188271118886931599755880282385535290795297610484425778543823829,-3.0089218324089406138276449773200663345597894950551344545534450993029435856727125,-3.0089218324089406138276449773200663345597894950551344545534450993029435856727055,-3.0089218324089406138276449773200663345597894950551344545534450993029435856727055
-100,-0.0000011939778773828682741345434352853108067340832045118698783570223610616659622625669,-4.4808904987430723802934356312709655143383968356891439645431611321114816424087232,-0.075632992107063455629344927137707298029810175842020158389172874727488622371872897,-0.0018850712406051746524643651283890855745488630697955420619776177625530066983961046,-2.7433708805544849650280079639014422650683282730795912718841704000476027225333849,-100,28595794071393573.773394639897974886058585873005606431660744841304346600461119702,15.139540342929247940513902768652338004963838102249703347697770485154361376626994,28595794071393558.633854296968726945544683104353268426696906739054643252763349217,1888815209951134.2039618321175852565238161705361035896374397942691294968310428,57191588142787147.546789279795949772117171746011212863321489682608693200922239404,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,1.1095663335250125693626874188961695005614734354942854196456845583926321866245672e-78,4.1717363326463961484542913632951825240346415300310748741461589390144137713306895e-77,3.0622976585496023862087737904129151213595895823504040731465886035334137536408958e-77,8.8795368418323498837896924992386634708494547776297243768965533292536859872670094e-84,314665.25246380726058202467584329909897667651836051733578877314058235597203694534,-2.0125428170729727110472932263590412625622970879994693707194425871870310218324476e-77,2.9277598038420390269408301500490238929166753514643441552297622905143687876951329e-77,6.1394978851604083144903703840671651879199823011396048130963583153720170938084318e-77,-100,-0.0000011939778773828682741345434352853108067340832045118698783570223610616659622625757,-0.0000011939778773828682741345434352853108067340832045118698783570223610616659622625669,-0.0000011939778773828682741345434352853108067340832045118698783570223610616659622625692,-4.480890498743072380293435631270965514338396835689143964543161132111481642408703,-4.4808904987430723802934356312709655143383968356891439645431611321114816424087232,-4.4808904987430723802934356312709655143383968356891439645431611321114816424087375,-0.075632992107063455629344927137707298029810175842020158389172874727488622371874006,-0.075632992107063455629344927137707298029810175842020158389172874727488622371872897,-0.075632992107063455629344927137707298029810175842020158389172874727488622371872897,-0.0018850712406051746524643651283890855745488630697955420619776177625530066984378218,-0.0018850712406051746524643651283890855745488630697955420619776177625530066983961046,-0.0018850712406051746524643651283890855745488630697955420619776177625530066983961044,-2.7433708805544849650280079639014422650683282730795912718841704000476027225334155,-2.7433708805544849650280079639014422650683282730795912718841704000476027225333849,-2.7433708805544849650280079639014422650683282730795912718841704000476027225333848
-90,-0.0000011120248111388599283502521005574649340003131745459974866036857209890711531973913,-4.3353457123575568635199648612890372321447512828912971892905328251067813002049001,-0.040470474399523517075200585912745672576824447765782714707744138689889645220794869,-0.0017625300761203074207632096181726493917294849395040360341568639114422537318368991,-2.4829585562083264568592052516839390267106765621011220809121685886626335382507048,-90,26716734057752746.59022331038280107535928737347111858076338577332704458031562401,14.798264155602335365908014142436999941744495168494871706926231411960787907916603,26716734057752731.791959154780465709451273231034118639018890604832172873389392598,1805396482778577.1093474465949207588378120051526540172253641188623786859075146281,53433468115505493.18044662076560215071857474694223716152677154665408916063124802,4.8983268523426303109613214471821016317423564567037033480681318119862481633561891e-77,1.848179076922601102768609388363275207289152604846478979873007830339271546010636e-79,1.8400018728382757707504105744985850210611800773789129074346525904803038733080662e-77,8.8723137890228083456117599215488479968887034994013359541454453619310142352801497e-78,6.4083070459510188133237658503337002902167600489823214649387036821402847014085052e-84,368045.68220264576194778007009148327161402610667553386460259758285844411782314569,-3.4892848903004758484283985886209517328670022030169082712011095215476477839563697e-77,4.4676497587703960708956192521542872268897817052584294421034520359840264300952328e-77,8.8256063125393490326064189486607634316425026864035110462675134590123638859899519e-77,-90,-0.0000011120248111388599283502521005574649340003131745459974866036857209890711531973872,-0.0000011120248111388599283502521005574649340003131745459974866036857209890711531973913,-0.0000011120248111388599283502521005574649340003131745459974866036857209890711531973936,-4.3353457123575568635199648612890372321447512828912971892905328251067813002048654,-4.3353457123575568635199648612890372321447512828912971892905328251067813002049001,-4.3353457123575568635199648612890372321447512828912971892905328251067813002049144,-0.040470474399523517075200585912745672576824447765782714707744138689889645220794685,-0.040470474399523517075200585912745672576824447765782714707744138689889645220794869,-0.04047047439952351707520058591274567257682444776578271470774413868988964522079487,-0.001762530076120307420763209618172649391729484939504036034156863911442253731855299,-0.0017625300761203074207632096181726493917294849395040360341568639114422537318368991,-0.001762530076120307420763209618172649391729484939504036034156863911442253731836899,-2.482958556208326456859205251683939026710676562101122080912168588662633538250696,-2.4829585562083264568592052516839390267106765621011220809121685886626335382507048,-2.4829585562083264568592052516839390267106765621011220809121685886626335382507048
-80,-0.000001034688200264245500604773294834535187174212985533375488877861373290937059571041,-4.1674767653860215584060290241856750772421366261579187699854825807666496458138092,-0.021648871898412413047380289842208182769705947710650991223984764339922073567728194,-0.0016479202593802229951356030015409560609007749818596936101941174478116846944166932,-2.2246565405085841525158857634970661550148922068304236022574083442283960581264285,-80,24969212690628906.957009023443174669196911620986564997630542380847947046866513622,14.464681031168893639860109530862454496301292009156345903013369658053374417250225,24969212690628892.492327992274281029336802090124110501329250371691601143853143963,1726219377864230.7265050177882888388617700292546003226291692465686533381616656636,49938425381257813.914018046886349338393823241973129995261084761695894093733027243,1.9153065223261214593996489336347370533207457839487104516981279864016476547833859e-77,7.223711696912990085634099475693678336939260100974820782829847182860821245877935e-79,2.2134147600796440522031060897180466490166166829497354202549304550819977098319424e-77,4.8409772955314562646208652043431927283404142667836186669957087811296598584133136e-78,3.0764699655805016581064831349264391101448518590972550490606264931517526178710427e-84,431004.60281745110626350898595599420798716801082068074023345205802430842839811985,-1.6489904946332845832646424728177287494009585329473427532377449954822319316103665e-77,2.3431586741716778268373117245269277013641443541945060325244565665287611354346648e-77,4.4742499393368234830045227172247639957108792685207960964963533843736301223646738e-77,-80,-0.0000010346882002642455006047732948345351871742129855333754888778613732909370595710408,-0.000001034688200264245500604773294834535187174212985533375488877861373290937059571041,-0.0000010346882002642455006047732948345351871742129855333754888778613732909370595710379,-4.1674767653860215584060290241856750772421366261579187699854825807666496458137927,-4.1674767653860215584060290241856750772421366261579187699854825807666496458138092,-4.16747676538602155840602902418567507724213662615791876998548258076664964581379,-0.021648871898412413047380289842208182769705947710650991223984764339922073567727471,-0.021648871898412413047380289842208182769705947710650991223984764339922073567728194,-0.021648871898412413047380289842208182769705947710650991223984764339922073567728193,-0.0016479202593802229951356030015409560609007749818596936101941174478116846944388262,-0.0016479202593802229951356030015409560609007749818596936101941174478116846944166932,-0.0016479202593802229951356030015409560609007749818596936101941174478116846944166921,-2.2246565405085841525158857634970661550148922068304236022574083442283960581264237,-2.2246565405085841525158857634970661550148922068304236022574083442283960581264285,-2.2246565405085841525158857634970661550148922068304236022574083442283960581264284
-70,-0.00000095736567767419043797982187597015588849327419232489133603991230060399028138889067,-3.9705509363296012296264351564048852226861521957892582179803425664233649707384432,-0.011575466106653385235299686457071751039570690568656630363292737154008484907680484,-0.0015407269675202678902500036391850836139491720452712040718948466549800475019954585,-1.9692473420919725668644989208803270666464220923036145433395312745259096224358941,-70,23349178421175243.214244123538603471479922397533473351654904754190029267932294901,14.138617552265272740629033575027879855825495558539477238366057132219866583126342,23349178421175229.075626571273330730850888822505593495829409195650552029566237769,1651447062264886.3715465291818715215268944213635277834590264545766240487834042355,46698356842350486.428488247077206942959844795066946703309809508380058535864589803,2.1754879675650507725765717412200811224310276308655652180340471778613166558845196e-77,3.7227136487032785135980902118547254620975801131488792286212100682413134527486964e-80,1.2825769795208544936282779547950746000017535392306805891768982468384382196197447e-77,8.8385787556044706712938444845847839360640316229777567299851965202506681735490464e-78,5.9096374044713035118790548585286304213828232770502173785550204335771247999496695e-84,505252.67564139888423880634906079830738744073995650513466007912904962283708051162,-6.7920186645305297539030542625140071599709138611022690407358904606476140003607525e-78,2.2835292199041041435108134606027192044695375759553180515808727846701538351363589e-77,4.2474587754705307445506685371461523161667132679056753022869815135982811033004389e-77,-70,-0.00000095736567767419043797982187597015588849327419232489133603991230060399028138889309,-0.00000095736567767419043797982187597015588849327419232489133603991230060399028138889067,-0.00000095736567767419043797982187597015588849327419232489133603991230060399028138888718,-3.9705509363296012296264351564048852226861521957892582179803425664233649707384366,-3.9705509363296012296264351564048852226861521957892582179803425664233649707384432,-3.9705509363296012296264351564048852226861521957892582179803425664233649707384215,-0.011575466106653385235299686457071751039570690568656630363292737154008484907680521,-0.011575466106653385235299686457071751039570690568656630363292737154008484907680484,-0.011575466106653385235299686457071751039570690568656630363292737154008484907680484,-0.0015407269675202678902500036391850836139491720452712040718948466549800475020082839,-0.0015407269675202678902500036391850836139491720452712040718948466549800475019954585,-0.0015407269675202678902500036391850836139491720452712040718948466549800475019954582,-1.969247342091972566864498920880327066646422092303614543339531274525909622435903,-1.9692473420919725668644989208803270666464220923036145433395312745259096224358941,-1.9692473420919725668644989208803270666464220923036145433395312745259096224358941
-60,-0.00000087685004039513174459269481873759525612811465856199604222509952000755356518512252,-3.7340736893869821470973600975344755319599519001885444870605261230679744624523985,-0.0061857929024217055295485767093976848957041613450095732034706492514303746637675286,-0.0014404640776411332486705392196318805594466338910863907729166681317551545563603541,-1.7193993816554011707575110065645785390625886035073460073681579926027161356615423,-60,21855799777126339.499466620532971402143531084748578825239731555281894864275696251,13.819904210709695039420571130893267308351725750189351504886362505009627934813594,21855799777126325.679562409823276362722959953855311516888005805092543359389333746,1581472595171046.8652875092177221797148266556567022276610071032108638746132457185,43711599554252678.998933241065942804287062169497157650479463110563789728551392502,2.4850068991782989344434458753653688804973920970519045997043303002784917722673917e-77,7.1559286585748750808400457534734031366006249586491232694414565659103212243820903e-79,2.0531239347896812061153936301978770318853266294937542531146074675861737221828381e-78,2.6650676400486762711153195201610608051490782374627587086596584927473388767571552e-78,4.2266273644772643695031552611865196140682866717793660870100894696764601325260991e-84,592803.29521567298736251057426942415088744498729939023632486409872276357115881988,-2.5247266503457737968925294976422567647468595553489635864887079431406195940411565e-77,3.5255576947965627384806161464614328022462128580437601916735733411875095012585033e-77,7.0738462439495141815374665597637085160491068597147484009810632015723771842836949e-77,-60,-0.00000087685004039513174459269481873759525612811465856199604222509952000755356518511829,-0.00000087685004039513174459269481873759525612811465856199604222509952000755356518512252,-0.00000087685004039513174459269481873759525612811465856199604222509952000755356518512035,-3.7340736893869821470973600975344755319599519001885444870605261230679744624523736,-3.7340736893869821470973600975344755319599519001885444870605261230679744624523985,-3.734073689386982147097360097534475531959951900188544487060526123067974462452385,-0.0061857929024217055295485767093976848957041613450095732034706492514303746637668131,-0.0061857929024217055295485767093976848957041613450095732034706492514303746637675286,-0.0061857929024217055295485767093976848957041613450095732034706492514303746637675285,-0.001440464077641133248670539219631880559446633891086390772916668131755154556358301,-0.0014404640776411332486705392196318805594466338910863907729166681317551545563603541,-0.0014404640776411332486705392196318805594466338910863907729166681317551545563603534,-1.719399381655401170757511006564578539062588603507346007368157992602716135661545,-1.7193993816554011707575110065645785390625886035073460073681579926027161356615423,-1.7193993816554011707575110065645785390625886035073460073681579926027161356615423
