voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-179.62131595436214215959929214524590330343430113345927685604495574197646167549257,-721336.73352691009484971971117072074968924372940710007428257210683501670774770131,-3457394.1551253108673200058839972828898823066196894292165453846267276294783404864,-371845013.45897141676976926908761627987969917804562938688831164136865468707395317,-75240.375757619748398543246471755783433063666837467756603349142051732419572929207,-150,194866124762077.28459351177684194701690278308755005600607540952845672874552834244,4707.914652601915595342257168546202442951436509627163312498304507726866211359045,194866124757369.36994090986124660475973423688510710456956578236514423044102061558,41391176166.369315513542012389771764632497142925921451576764871936207841027278968,390006783934847.04198329227803435890425671833930040071886360910525614297830704243,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-73,1.7686873200833422592791248615015218321645568746365504276528544706905276012876651e-74,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1319592187.9627444392838189408884031509520483045752708837245835419347307450035667,2.5828870363241330520057717525268019732827091632337242927660028304516240835994608e-73,2.0546029960104747753991356269418357717500394787385916924076981300904788797319224e-73,3.7533754998381114215082040866128662696944197570713951603395108467445211989163094e-73,-150,-179.62131595436214215959929214524590330343430113345927685604495574197646167549257,-179.62131595436214215959929214524590330343430113345927685604495574197646167549257,-179.62131595436214215959929214524590330343430113345927685604495574197646167549257,-721336.73352691009484971971117072074968924372940710007428257210683501670774770149,-721336.73352691009484971971117072074968924372940710007428257210683501670774770131,-721336.73352691009484971971117072074968924372940710007428257210683501670774770114,-3457394.1551253108673200058839972828898823066196894292165453846267276294783404864,-3457394.1551253108673200058839972828898823066196894292165453846267276294783404864,-3457394.1551253108673200058839972828898823066196894292165453846267276294783404864,-371845013.45897141676976926908761627987969917804562938688831164136865468707395317,-371845013.45897141676976926908761627987969917804562938688831164136865468707395317,-371845013.45897141676976926908761627987969917804562938688831164136865468707395317,-75240.375757619748398543246471755783433063666837467756603349142051732419572929207,-75240.375757619748398543246471755783433063666837467756603349142051732419572929207,-75240.375757619748398543246471755783433063666837467756603349142051732419572929207
-140,-157.53180749608885545507940638918437425169097392709949440953859333330823806522268,-629305.30039553586175952705029765496566649672774312835203993468279175584666760973,-3068139.4435703255583679686007514920871568506455024681151962761960009311411530806,-326106389.98240919186441395749333798279073993716258838320133697306919392179126317,-69390.788470265095786916410365347179178178719473555101650707262647391381111334292,-140,185736446983298.07417855140957395190806892170999298750888993342477717107032375376,6174.6059151543569364429219408557948206538648995202127159023025295161175947081469,185736446977123.46826339705263750898612806591517233364399041321206126876779423764,30080696571.653983849377664399001122393489405796274106342104978123551793409979817,371826957585288.32555855197693560513770317841191410701989791333066472250109489454,8.9539795579219201876005696113514542753330691778475365399925757578707959815188044e-74,1.3265154900625066944593436461261413741234176559774128207396408530178957009657488e-74,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1294731859.802644805290298890097053077615557917251510722996203818013903287001476,6.6976948280119654941027252637235306262120051602899711001493855316730610251147151e-74,2.116770194859952992062464509869246299744984039995096286248655905598181291973556e-73,4.5040364976918831169566128993546024350208879499916395903140361106631794570631586e-73,-140,-157.53180749608885545507940638918437425169097392709949440953859333330823806522268,-157.53180749608885545507940638918437425169097392709949440953859333330823806522268,-157.53180749608885545507940638918437425169097392709949440953859333330823806522268,-629305.30039553586175952705029765496566649672774312835203993468279175584666760977,-629305.30039553586175952705029765496566649672774312835203993468279175584666760973,-629305.30039553586175952705029765496566649672774312835203993468279175584666760968,-3068139.4435703255583679686007514920871568506455024681151962761960009311411530806,-3068139.4435703255583679686007514920871568506455024681151962761960009311411530806,-3068139.4435703255583679686007514920871568506455024681151962761960009311411530805,-326106389.98240919186441395749333798279073993716258838320133697306919392179126317,-326106389.98240919186441395749333798279073993716258838320133697306919392179126317,-326106389.98240919186441395749333798279073993716258838320133697306919392179126317,-69390.788470265095786916410365347179178178719473555101650707262647391381111334292,-69390.788470265095786916410365347179178178719473555101650707262647391381111334292,-69390.788470265095786916410365347179178178719473555101650707262647391381111334292
-130,-137.04683594241579210056463031670275747444691439379383266011178282922008875243078,-543675.27944237395618980854234162672332816577196031766576338358039690696414593972,-2699779.454973324874816851098599762409562959006078957937834523825611650208344537,-283693096.25832822871526848712860072082476254228015598744367630904139216094591138,-63288.84317423978947348362050688764946728976316203515131994800207944980633062347,-130,177035499962143.10861319195078328525602648367973709029923795475507840280113786322,8098.2262892952520969388229117595474237474684906049089607898424939916881345440827,177035499954044.88232389669868634643311472413231334283074734984611761295864387153,21861021616.074106735772043021824694558088649587679771745944850020186783905357241,354527631374475.62916853939227501982851015318248710448314225137823938199498888326,9.1529568814312961917694711582703754814515818262441484631035218858234803366636667e-73,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1276196958.3455132767373252473930668527364812196746476179218945140946750425677879,-7.1030235158347514739797108616158943144395149093059919964796448561425878425108708e-73,4.6548980538644105006082958685807461712636550959198941897025088070664181031380069e-73,5.7665446874266727620323942220330069079371611523727953881804898248220908299005588e-73,-130,-137.04683594241579210056463031670275747444691439379383266011178282922008875243078,-137.04683594241579210056463031670275747444691439379383266011178282922008875243078,-137.04683594241579210056463031670275747444691439379383266011178282922008875243078,-543675.27944237395618980854234162672332816577196031766576338358039690696414593926,-543675.27944237395618980854234162672332816577196031766576338358039690696414593972,-543675.27944237395618980854234162672332816577196031766576338358039690696414594017,-2699779.454973324874816851098599762409562959006078957937834523825611650208344537,-2699779.454973324874816851098599762409562959006078957937834523825611650208344537,-2699779.454973324874816851098599762409562959006078957937834523825611650208344537,-283693096.25832822871526848712860072082476254228015598744367630904139216094591138,-283693096.25832822871526848712860072082476254228015598744367630904139216094591138,-283693096.25832822871526848712860072082476254228015598744367630904139216094591138,-63288.843174239789473483620506887649467289763162035151319948002079449806330623471,-63288.84317423978947348362050688764946728976316203515131994800207944980633062347,-63288.843174239789473483620506887649467289763162035151319948002079449806330623471
-120,-118.01479358819768122109173096836289709309248426450012174212139773354138219713171,-463904.20047819559658135631843929231699284699170630526185897629690044905664072049,-2348711.146526431661996975818717909210105387738167735100915819063334360522283778,-244291432.87078630019268040186760858146818102856346693626926211590274076163969256,-56898.040414667155294394341194561177758503490449584137872872887459019032115399266,-120,168743439070917.01583813756574559620511462819747172712782360828511538496217582158,10621.126260329652730006482471287022194530091182347392235930061117125662335968705,168743439060295.88957780791301558972264334117527719703664126089287945490105869591,15887527832.258313527964749021156284961630102838660790158595210705450016651941124,338075790050016.74138105321803628739435710835492194861531476168801956685699280309,2.5037979874929813857920111320630918436579508256573666991460721100712781355728509e-73,1.3265154900625066944593436461261413741234176559774128207396408530178957009657488e-74,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1264319140.1860470870500080289609827324041176299462350227585729258375753756148077,1.9833541671970620645190029989765556183189696943776150690338986676846371344238978e-73,2.6944649271660857181028865530286115481253189289071485415458053492127124222628556e-73,4.8390094245678197414113945795249055403959759504636907170479678187633911186284517e-73,-120,-118.01479358819768122109173096836289709309248426450012174212139773354138219713171,-118.01479358819768122109173096836289709309248426450012174212139773354138219713171,-118.01479358819768122109173096836289709309248426450012174212139773354138219713171,-463904.20047819559658135631843929231699284699170630526185897629690044905664072061,-463904.20047819559658135631843929231699284699170630526185897629690044905664072049,-463904.20047819559658135631843929231699284699170630526185897629690044905664072036,-2348711.146526431661996975818717909210105387738167735100915819063334360522283778,-2348711.146526431661996975818717909210105387738167735100915819063334360522283778,-2348711.146526431661996975818717909210105387738167735100915819063334360522283778,-244291432.87078630019268040186760858146818102856346693626926211590274076163969256,-244291432.87078630019268040186760858146818102856346693626926211590274076163969256,-244291432.87078630019268040186760858146818102856346693626926211590274076163969256,-56898.040414667155294394341194561177758503490449584137872872887459019032115399266,-56898.040414667155294394341194561177758503490449584137872872887459019032115399266,-56898.040414667155294394341194561177758503490449584137872872887459019032115399266
-110,-100.30084253966149545613177157072891444938018877672291572128468871343089306540876,-389570.59202550256490678636485311822571748824801163136253791390991097954917359048,-2011604.2684696035221260245965725329956116244875652478349401101366915679831133786,-207622379.78008863041015217064878132333137139550287327646866223921262755762820592,-50188.433299701792579336498218026320036614070944079727778570060566403138122108843,-110,160841421671068.57961839053926882071063695799993351095942114158844757593800456371,13930.003806757207213983657265855506537229088093199667647985670772005342784940027,160841421657138.57581163333205483705337110249339628187132794192079959026723255836,11546401846.139277418438607721262574002300078105544930616006328974876931073058728,322442355713559.53847144200014988700977415920772042978961775842249491987999394679,4.974433087734400104222538672973030152962816209915298077773653198817108878621558e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-74,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,1259386096.9670151560425608937346409449510259522483928394829442454883972489026458,-4.3031478279463047266258382629700091408774015161825664318022128084862470550461603e-74,2.1565484331073949894668457285626660556962857000265869201481891748226491209512948e-73,3.93485833101405390647277831715570388669264083390147251052727689890793069734059e-73,-110,-100.30084253966149545613177157072891444938018877672291572128468871343089306540876,-100.30084253966149545613177157072891444938018877672291572128468871343089306540876,-100.30084253966149545613177157072891444938018877672291572128468871343089306540876,-389570.59202550256490678636485311822571748824801163136253791390991097954917359045,-389570.59202550256490678636485311822571748824801163136253791390991097954917359048,-389570.5920255025649067863648531182257174882480116313625379139099109795491735905,-2011604.2684696035221260245965725329956116244875652478349401101366915679831133787,-2011604.2684696035221260245965725329956116244875652478349401101366915679831133786,-2011604.2684696035221260245965725329956116244875652478349401101366915679831133786,-207622379.78008863041015217064878132333137139550287327646866223921262755762820592,-207622379.78008863041015217064878132333137139550287327646866223921262755762820592,-207622379.78008863041015217064878132333137139550287327646866223921262755762820592,-50188.433299701792579336498218026320036614070944079727778570060566403138122108843,-50188.433299701792579336498218026320036614070944079727778570060566403138122108843,-50188.433299701792579336498218026320036614070944079727778570060566403138122108843
-100,-83.800923695901788010278100501984296320521503226614585753915976495150976935378654,-320443.81747402166450827099949037618831215768020698116485077045755792880139639231,-1686174.7186215529619706007425255308816886643507020311325303738584406530680485926,-173470412.3118207713834964909484014636410917558310488076891940710820121514473455,-43152.623218085654982718894353031915095188101982158336042069630487074928402826569,-100,153311580995789.51404562797735345884132524236059065911063808755942285571737204985,18269.720300853264442944457476456583716628987695479922087328758293779979909137843,153311580977519.79374477471291051438384878577687403012294260763733552695907826987,8391566946.3549088022828315559186341423726963149779907532705645007721682745060755,307602695660924.82706500013147676653251368013390810109871680885849041588350487024,3.3052344294057458470278645849309689238575156594770536116762717921029234549063241e-73,2.4319450651145956065087966845645925192262657026252568380226748971994754517705395e-74,8.4896991364000428445397993352073047943898729982554420527337014593145324861807923e-73,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.0482040102005209181498524356876872989606251708295068992298610016415274077323877e-79,1261238300.5464935648908482217676041919160020828786964782218307109694768992497007,-2.6968628840077394139874621616718278107100363376808238443054875945963778553068773e-73,2.9593727119566144121390416583298784682351178845135720199753734614255005419328534e-73,5.7829406759368703264373334123590841801212611151544060367942115864938334396120111e-73,-100,-83.800923695901788010278100501984296320521503226614585753915976495150976935378654,-83.800923695901788010278100501984296320521503226614585753915976495150976935378654,-83.800923695901788010278100501984296320521503226614585753915976495150976935378654,-320443.81747402166450827099949037618831215768020698116485077045755792880139639214,-320443.81747402166450827099949037618831215768020698116485077045755792880139639231,-320443.81747402166450827099949037618831215768020698116485077045755792880139639247,-1686174.7186215529619706007425255308816886643507020311325303738584406530680485926,-1686174.7186215529619706007425255308816886643507020311325303738584406530680485926,-1686174.7186215529619706007425255308816886643507020311325303738584406530680485926,-173470412.3118207713834964909484014636410917558310488076891940710820121514473455,-173470412.3118207713834964909484014636410917558310488076891940710820121514473455,-173470412.3118207713834964909484014636410917558310488076891940710820121514473455,-43152.623218085654982718894353031915095188101982158336042069630487074928402826569,-43152.623218085654982718894353031915095188101982158336042069630487074928402826569,-43152.623218085654982718894353031915095188101982158336042069630487074928402826569
-90,-68.465993786641597786882827549388421957217012262714869604878722315901754721728413,-256584.15161944686315237509929011402381074495912362457905128843192150293030042724,-1372312.9439336766669774706197712287930452706388123423955227583430137196871888133,-141733446.34559655954610874325438367797488642800021814363525962007205463243119774,-35833.932967601787242657778611218914081378643466976370573676995751493564648312669,-90,146137007294315.67239390465879073766625666941607117345707100252386947322653379256,23961.420578327298317846324666384653546138689317436861792163709279343583427617654,146137007270354.25181557736047289134159028476252503476775356566207730951725444897,6098845718.1246647892112382270007638660030963283220617316117348455718010484034591,293537306992394.51796664189875261013371300018947332209942538158341931015648784401,1.3154611943119858053388491157417568626723891755109343805668105125760799034577009e-73,3.9795464701875200833780309383784241223702529679322384622189225590536871028972464e-74,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,1267952781.739842852763611142248853179935926728186996133696745824172370135373647,-1.034923541014001922162981604327174911613368835810632803033059535190229799317828e-73,7.7271942351965460169314580475122929726332787909400004493273747571105205127079952e-74,1.4548424110409000020561902581771966641034656936374562786154297027070710169617057e-73,-90,-68.465993786641597786882827549388421957217012262714869604878722315901754721728413,-68.465993786641597786882827549388421957217012262714869604878722315901754721728413,-68.465993786641597786882827549388421957217012262714869604878722315901754721728413,-256584.15161944686315237509929011402381074495912362457905128843192150293030042718,-256584.15161944686315237509929011402381074495912362457905128843192150293030042724,-256584.15161944686315237509929011402381074495912362457905128843192150293030042731,-1372312.9439336766669774706197712287930452706388123423955227583430137196871888133,-1372312.9439336766669774706197712287930452706388123423955227583430137196871888133,-1372312.9439336766669774706197712287930452706388123423955227583430137196871888133,-141733446.34559655954610874325438367797488642800021814363525962007205463243119774,-141733446.34559655954610874325438367797488642800021814363525962007205463243119774,-141733446.34559655954610874325438367797488642800021814363525962007205463243119774,-35833.932967601787242657778611218914081378643466976370573676995751493564648312669,-35833.932967601787242657778611218914081378643466976370573676995751493564648312669,-35833.932967601787242657778611218914081378643466976370573676995751493564648312669
-80,-54.333036998731547031845316891117371258342025631947337030035127515218935581229858,-198442.71604410983442013611274154339807803687066836704996781963685259599706409636,-1073384.3981180937289290679242172893968663957659858081197201264931781596054879079,-112486818.82985482169555787110718125781864769497125453578953183596395658303326152,-28365.288352070451682476709949933921078288533336725169894312276263007173085823554,-80,139301737646642.58729671792716140672715118421745522822581629500040214669696798175,31426.298086494076028646355548770519992988328686398014183890528274501725946283484,139301737615216.28921022385113276037160241369746223989712989698621825616869348002,4432648645.5148085957589972650352094633894209209934588744846801109854549638815686,280232727811446.79617095525783387932216281606515306588856961441671486463054247414,4.8666537041668214352977170017252811663152885253671332860885573795094048529180909e-73,1.3265154900625066944593436461261413741234176559774128207396408530178957009657488e-74,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.0241020051002604590749262178438436494803125854147534496149305008207637038661938e-79,1271840021.9521912951283148644580023585710485118535449066257590606807055299729859,-3.7691819098677295695117942904965747078779150949962604823218264222667687411083748e-73,3.0834034088286172783834231649989105079198667837022424136618603496404450504911677e-73,5.4796094209714178065700971952160938388015520258931651850603534806409122045606546e-73,-80,-54.333036998731547031845316891117371258342025631947337030035127515218935581229858,-54.333036998731547031845316891117371258342025631947337030035127515218935581229858,-54.333036998731547031845316891117371258342025631947337030035127515218935581229858,-198442.71604410983442013611274154339807803687066836704996781963685259599706409612,-198442.71604410983442013611274154339807803687066836704996781963685259599706409636,-198442.71604410983442013611274154339807803687066836704996781963685259599706409661,-1073384.3981180937289290679242172893968663957659858081197201264931781596054879079,-1073384.3981180937289290679242172893968663957659858081197201264931781596054879079,-1073384.3981180937289290679242172893968663957659858081197201264931781596054879079,-112486818.82985482169555787110718125781864769497125453578953183596395658303326152,-112486818.82985482169555787110718125781864769497125453578953183596395658303326152,-112486818.82985482169555787110718125781864769497125453578953183596395658303326152,-28365.288352070451682476709949933921078288533336725169894312276263007173085823554,-28365.288352070451682476709949933921078288533336725169894312276263007173085823554,-28365.288352070451682476709949933921078288533336725169894312276263007173085823554
-70,-41.547043080462474005749578561098747666025107500828307471578651898265507918227601,-146880.64670768769755611858066558748013617726456796036505416972335842436107855673,-797023.09884327330320268488287489378357504658978099254577372309818454116995445192,-86028723.258842163959240439926136675053572585558150603826852484829705954257704642,-21003.389641215574448252832193608828992558315075210738674184520486264597430192715,-70,132790756298021.79740932889117611032880807636666537995820483013032055065340385073,41216.763763766988417161813046891178754034555526055206922072048566693380588536653,132790756256805.03364556190275894851576118518791134540267877492339847860483715735,3221765713.0751267718008197994807300452784848535409005459105269725838521270122565,267682739327106.57403132973089519703220858227529281443421474256204488197864283465,2.7939732509441547252049925546531852692474484379024257536828685466689428201591084e-73,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-75,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,0.0,0.0,1249503464.2077229364990405204675774984912447950047342797936893369535060468810747,2.0954901535979230342807488097581446325840047993793988303459674353540784449111493e-73,1.6423477393310437682168825908840045253003798545427413709454164859390971081750909e-73,2.87193216420660373824904864986918763974336819380904648026649888235875376437559e-73,-70,-41.547043080462474005749578561098747666025107500828307471578651898265507918227601,-41.547043080462474005749578561098747666025107500828307471578651898265507918227601,-41.547043080462474005749578561098747666025107500828307471578651898265507918227601,-146880.64670768769755611858066558748013617726456796036505416972335842436107855688,-146880.64670768769755611858066558748013617726456796036505416972335842436107855673,-146880.6467076876975561185806655874801361772645679603650541697233584243610785566,-797023.09884327330320268488287489378357504658978099254577372309818454116995445192,-797023.09884327330320268488287489378357504658978099254577372309818454116995445192,-797023.09884327330320268488287489378357504658978099254577372309818454116995445192,-86028723.258842163959240439926136675053572585558150603826852484829705954257704642,-86028723.258842163959240439926136675053572585558150603826852484829705954257704642,-86028723.258842163959240439926136675053572585558150603826852484829705954257704642,-21003.389641215574448252832193608828992558315075210738674184520486264597430192715,-21003.389641215574448252832193608828992558315075210738674184520486264597430192715,-21003.389641215574448252832193608828992558315075210738674184520486264597430192715
-60,-30.343483174327435000573531830104621049487522529439091936227617656407273550889049,-102989.6047698308634563669276747854337065327059819660182382316223973096118379273,-554199.62636518125951060926406525577797775029535003719648089158357570498488589286,-62844238.944670126244152671563808785329957469800905667183076865266836179508403377,-14122.055698435981399414806223754520215854587626090521875344715858982329246620579,-60,126590007929384.32466307047860797859744531599674514926944057541084039394244848629,54057.325189321920327279714434914650454808833699385708101526249667097592759208583,126590007875326.9994737485582806988830104013462903404357411897027388676927813887,2341773431.9268532351401846928374053458111056911103509994045004359584393547900898,255889941868467.55228915098952729910171937857879650524708544374464798197362650582,3.1601467976801591773213738736359222110627668533545240844078735738040911126131953e-73,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,1.0120510025501302295374631089219218247401562927073767248074652504103818519330969e-79,1151399742.8272942469117589945930452051004227649713794392096646651826714029498554,2.1765467231400388998316238745991936832574766942146868328394283751213690230926978e-73,1.8153046309374776784953587226966980382473104670173664291265421231999992506049332e-73,3.1139150789868524470073397490613377985801448501428751973779672737991515108774797e-73,-60,-30.343483174327435000573531830104621049487522529439091936227617656407273550889049,-30.343483174327435000573531830104621049487522529439091936227617656407273550889049,-30.343483174327435000573531830104621049487522529439091936227617656407273550889049,-102989.60476983086345636692767478543370653270598196601823823162239730961183792746,-102989.6047698308634563669276747854337065327059819660182382316223973096118379273,-102989.60476983086345636692767478543370653270598196601823823162239730961183792715,-554199.62636518125951060926406525577797775029535003719648089158357570498488589286,-554199.62636518125951060926406525577797775029535003719648089158357570498488589286,-554199.62636518125951060926406525577797775029535003719648089158357570498488589287,-62844238.944670126244152671563808785329957469800905667183076865266836179508403377,-62844238.944670126244152671563808785329957469800905667183076865266836179508403377,-62844238.944670126244152671563808785329957469800905667183076865266836179508403377,-14122.055698435981399414806223754520215854587626090521875344715858982329246620578,-14122.055698435981399414806223754520215854587626090521875344715858982329246620579,-14122.055698435981399414806223754520215854587626090521875344715858982329246620579
