voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1537.6234435015758,-432669586.5367787,-410719.23313531245,-1438713.208087591,-2765617310.193467,-150,506425743312158.37,195107.70810618141,506425743117050.69,2595621404.340169,7.5352635069375611e+18,0.0017678141593933105,5.634501576423645e-08,3.1990930438041687e-06,0.0009832382202148438,3.7630343285854906e-10,212342377.69017243,0.0,0.0012179280845110929,0.0022925254888832569,-150,-1537.6234435013566,-1537.6234435015758,-1537.623443501733,-432669586.5358538,-432669586.5367787,-432669586.5376216,-410719.2331352825,-410719.23313531245,-410719.2331353389,-1438713.2080907573,-1438713.208087591,-1438713.2080875582,-2765617310.1939344,-2765617310.193467,-2765617310.192951
-140,-1331.6768104434975,-373643750.51098704,-347923.90741716605,-1272420.8845109171,-2396255103.8005652,-140,399480361874295.62,217098.62759654157,399480361657197.0,1840086997.7708669,2.9789100792350664e+18,0.00012111663818359375,9.505311027169228e-08,9.178183972835541e-07,0.00016736984252929688,1.3847056834492832e-10,197869028.60619551,-0.25,0.00027782813107823381,0.00067459465651609207,-140,-1331.6768104434339,-1331.6768104434975,-1331.6768104435723,-373643750.51087123,-373643750.51098704,-373643750.51099235,-347923.9074171838,-347923.90741716605,-347923.90741708875,-1272420.884511835,-1272420.8845109171,-1272420.884510965,-2396255103.800548,-2396255103.8005652,-2396255103.8007154
-130,-1130.8769337941396,-316156429.91364306,-274717.25228363235,-1096451.788424417,-2036073326.5102282,-130,315175720002113.56,241568.18078479898,315175719760545.37,1304707097.5083754,3.5769366026824745e+19,0.00020420551300048828,9.592622518539429e-08,3.1173694878816605e-06,0.00019860267639160156,7.003109203651547e-11,184835383.73905432,0.125,0.0003816986858178201,0.0007867053076324737,-130,-1130.8769337942067,-1130.8769337941396,-1130.8769337941367,-316156429.913603,-316156429.91364306,-316156429.91343886,-274717.2522837283,-274717.25228363235,-274717.2522836998,-1096451.788427504,-1096451.788424417,-1096451.7884243866,-2036073326.5104058,-2036073326.5102282,-2036073326.5104268
-120,-937.2927953199073,-260899080.28046107,-188574.45882926794,-911033.358437433,-1688686210.1971908,-120,248727350633788.34,268795.73866365128,248727350364992.59,925339634.73663974,2.0164582983391728e+19,0.0005143284797668457,1.2601958587765694e-07,1.4855759218335152e-06,0.00048470497131347656,4.774847184307873e-11,173181441.33189765,-0.03125,0.00037409308475444222,0.00075746544774801805,-120,-937.2927953198733,-937.2927953199073,-937.2927953198596,-260899080.28074554,-260899080.28046107,-260899080.2802312,-188574.45882914192,-188574.45882926794,-188574.45882926323,-911033.3584360396,-911033.358437433,-911033.3584375252,-1688686210.1968367,-1688686210.1971908,-1688686210.1973214
-110,-754.8048904103558,-209064537.6153102,-87097.66558265605,-720393.8415371084,-1360973171.8676298,-110,196363174096108.53,299092.16060248786,196363173797016.37,656530661.65477812,1.7955114535170585e+20,0.0002741217613220215,4.3655745685100555e-08,4.7497451305389404e-07,0.0005114078521728516,1.141415850725025e-10,162812986.17929229,-0.03125,0.00049653156043519958,0.0011171458712624371,-110,-754.80489041047,-754.8048904103558,-754.8048904104455,-209064537.61503607,-209064537.6153102,-209064537.61524194,-87097.66558266553,-87097.66558265605,-87097.6655826997,-720393.8415375834,-720393.8415371084,-720393.8415371905,-1360973171.8681412,-1360973171.8676298,-1360973171.8678849
-100,-588.4933152399454,-162130405.34557152,31401.110446870676,-534421.9804590428,-1062020899.0558016,-100,155109482220145.72,323237.90897310455,155109481896907.81,479861668.18401182,1.3674438796508981e+19,0.0005983412265777588,8.16071406006813e-08,1.0331859812140465e-06,0.0005060434341430664,4.3996806198265404e-11,153585698.13132158,0.0,0.00039418687590255576,0.00080310550202966624,-100,-588.4933152399116,-588.4933152399454,-588.4933152399556,-162130405.34524557,-162130405.34557152,-162130405.3458439,31401.11044691445,31401.110446870676,31401.110446952283,-534421.980460076,-534421.9804590428,-534421.9804591008,-1062020899.0560565,-1062020899.0558016,-1062020899.0555505
-90,-443.3195821991476,-121459212.21472564,167568.85636943765,-367478.0527827928,-800781084.8344344,-90,122622196125276.48,347091.56193348835,122622195778184.92,353284866.5124681,2.9226151666050575e+18,0.00021895766258239746,7.334165275096893e-08,1.0817311704158783e-06,0.0003165006637573242,1.20508047984913e-10,145320411.63934293,0.0,0.00052082584857661429,0.0010865680412734946,-90,-443.3195821990271,-443.3195821991476,-443.319582199131,-121459212.2147921,-121459212.21472564,-121459212.2149446,167568.85636937735,167568.85636943765,167568.8563694507,-367478.05278171925,-367478.0527827928,-367478.052782801,-800781084.8341179,-800781084.8344344,-800781084.8341811
-80,-322.6004373738484,-87879990.04501706,321557.9279835542,-232886.6141006042,-583317126.2320398,-80,97053825128595.656,372705.51819914364,97053824755890.141,260403509.98167393,1.1897699362316081e+18,0.0003241896629333496,3.527384251356125e-08,1.466134563088417e-06,0.00013494491577148438,9.094947017729282e-11,137874096.90617916,0.015625,0.00033916083955779061,0.00074558016348191813,-80,-322.6004373738489,-322.6004373738484,-322.60043737393937,-87879990.04493591,-87879990.04501706,-87879990.0452601,321557.92798358493,321557.9279835542,321557.92798358947,-232886.61410207034,-232886.6141006042,-232886.61410063913,-583317126.232121,-583317126.2320398,-583317126.231986
-70,-227.04676664757946,-61463241.42268519,494726.72800868016,-136426.00950533114,-411034284.5364512,-70,76948578967231.953,400209.68104868772,76948578567022.266,192270658.63474384,1.2614830068676687e+18,0.00038980692625045776,8.183997124433517e-08,1.2196542229503393e-06,0.0003987550735473633,3.3941205401788466e-10,131266468.45748959,0.0,0.00085031301101525891,0.001560585186894059,-70,-227.04676664791887,-227.04676664757946,-227.0467666475842,-61463241.42299345,-61463241.42268519,-61463241.422603644,494726.7280087577,494726.72800868016,494726.728008762,-136426.00950411148,-136426.00950533114,-136426.00950525416,-411034284.53685,-411034284.5364512,-411034284.53654265
-60,-154.80452428432585,-41581037.5111603,691949.1176844782,-74616.93119479988,-280706659.67615575,-60,61159682105199.398,429743.54009835637,61159681675455.859,142316699.14386997,2.563364242093973e+18,0.00013150274753570557,1.8870923668146133e-07,2.606684574857354e-07,0.0003732442855834961,1.284377049159957e-10,125825475.59732533,0.0,0.00054158436735665758,0.0010986694562404864,-60,-154.80452428424098,-154.80452428432585,-154.80452428436942,-41581037.5112918,-41581037.5111603,-41581037.51118568,691949.1176843544,691949.1176844782,691949.1176845431,-74616.93119456898,-74616.93119479988,-74616.93119482965,-280706659.67584777,-280706659.67615575,-280706659.676221
