voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.869052404847621e-07,-0.00013799293888310126,-0.2926940322747281,-0.45621150039087294,-9.242332283962403e-09,-150,59649712.513214611,9.6045347052819838e-05,59649712.513118565,621057805959.20422,30600028287012040.0,1.695948144265591e-08,3.876027943050531e-09,1.665013904528223e-09,1.1295874597294035e-09,6.869032479302266e-15,0.59144560706025817,2.8435678784882761e-09,1.9531342417594278e-08,4.6849941901979958e-08,-150,-2.869052421958858e-07,-2.869052404847621e-07,-2.869052473537946e-07,-0.00013799527053041388,-0.00013799293888310126,-0.00013800989836454391,-0.2926940336019812,-0.2926940322747281,-0.29269402972595326,-0.45621149949993,-0.45621150039087294,-0.4562115011649439,-9.737784281753587e-09,-9.242332283962403e-09,-8.608196822024183e-09
-140,-4.5072965047871667e-07,-0.00027718745809505497,-0.2700737764879969,-1.0012452351012715,-8.072778830362595e-09,-140,46808809.253188141,9.547080033429762e-05,46808809.253092669,490294509832.15656,42343567336624672.0,5.716720079739987e-09,1.543097538636573e-09,4.003115172679372e-09,2.017237651449556e-09,4.024522994761526e-16,1.3419969500820443,1.6494359536014559e-09,5.1192072907098693e-09,2.0011466647669995e-08,-140,-4.5072965007626437e-07,-4.5072965047871667e-07,-4.507296502096521e-07,-0.00027718382116272513,-0.00027718745809505497,-0.00027718953788280487,-0.2700737761787151,-0.2700737764879969,-0.27007377494489937,-1.0012452367386429,-1.0012452351012715,-1.0012452327355277,-1.0090016481812151e-08,-8.072778830362595e-09,-8.553399766242364e-09
-130,-8.013434222101723e-07,-0.0005010188538086546,-0.24011705488712856,-2.1401447334754424,-7.001136444084846e-09,-130,37514862.053239599,9.4899690574898278e-05,37514862.053144701,395310688854.47534,1.2798039694394323e+17,6.614302383578519e-09,4.668303077437486e-09,1.0967844410458838e-09,3.251215613083499e-09,5.388369918409486e-15,2.9755335739602504,4.5726980153282818e-10,7.1753364143744538e-09,2.294433876484966e-08,-130,-8.013434212222472e-07,-8.013434222101723e-07,-8.013434266106171e-07,-0.0005010229070631965,-0.0005010188538086546,-0.0005010254681110382,-0.24011705047124643,-0.24011705488712856,-0.2401170551395495,-2.140144732877227,-2.1401447334754424,-2.1401447339740116,-5.706966138866679e-09,-7.001136444084846e-09,-8.958181751950178e-09
-120,-1.4925419227047373e-06,-0.0007213782067758991,-0.2033495742562422,-4.35226410778564,-5.8603660361686105e-09,-120,34391387.042492747,9.4331997214608824e-05,34391387.042398416,364578171330.89056,39042716614396344.0,2.8790915167350647e-09,2.113518249302615e-09,9.371881048991781e-10,2.9210085629579816e-09,1.387935058360214e-15,6.258555491932972,1.3438001209047751e-09,6.0925949643130381e-09,1.7954227802975752e-08,-120,-1.492541922605375e-06,-1.4925419227047373e-06,-1.4925419213168022e-06,-0.0007213792683565772,-0.0007213782067758991,-0.0007213763892650604,-0.2033495749754053,-0.2033495742562422,-0.20334957286188704,-4.352264107762812,-4.35226410778564,-4.352264106848452,-3.888094052121628e-09,-5.8603660361686105e-09,-6.80910261507961e-09
-110,-2.726322946838398e-06,-0.0004912704327553518,-0.16252939118525384,-8.264591805963141,-4.648756708460121e-09,-110,38287999.516588047,9.3767699816406944e-05,38287999.516494282,408328236605.50781,71079661367569264.0,1.4999359853121175e-09,2.3320261277604004e-09,4.012004950482151e-09,3.803661376318435e-09,4.886198494695893e-15,11.967156316664282,1.2012323323280422e-09,6.3519287384459023e-09,2.4470610946060465e-08,-110,-2.7263229481370515e-06,-2.726322946838398e-06,-2.726322943250853e-06,-0.000491270289334328,-0.0004912704327553518,-0.0004912689328193665,-0.1625293928787528,-0.16252939118525384,-0.16252939054672666,-8.264591805996357,-8.264591805963141,-8.264591801984352,-5.778685964637209e-09,-4.648756708460121e-09,-1.9750245883187745e-09
-100,-4.662217303644477e-06,0.001420491822685917,-0.12215060421782604,-14.370144850086586,-3.4532457609286368e-09,-100,43207257.20212613,9.3206778065525381e-05,43207257.202032924,463563467152.0451,33009164631124788.0,1.3789794046231707e-09,5.54670975816407e-10,2.0078054774330667e-09,5.772368533969555e-10,3.2598910008029003e-16,20.306916276771876,2.0576374701694481e-10,7.5080064495269335e-09,2.0519267093594774e-08,-100,-4.662217303970466e-06,-4.662217303644477e-06,-4.66221730380129e-06,0.0014204912740641944,0.001420491822685917,0.0014204904437065125,-0.12215060448110648,-0.12215060421782604,-0.12215060392643551,-14.370144849445918,-14.370144850086586,-14.37014484807878,-3.746750996697773e-09,-3.4532457609286368e-09,-4.030482614325592e-09
-90,-7.1591360723326055e-06,0.007663905897340818,-0.08661955748804726,-22.2259362829,-2.365693743323373e-09,-90,49412361.706686102,9.2649211768720534e-05,49412361.706593454,533327383615.88843,2.2599255886990589e+17,7.116596079798088e-10,1.853704495458075e-09,3.866311715228221e-09,2.8471834213200653e-09,2.559291415404029e-15,31.271864551471371,1.5081434698638887e-09,7.7752895979899344e-09,2.3852823871944572e-08,-90,-7.159136072945182e-06,-7.1591360723326055e-06,-7.159136070385891e-06,0.007663905840237918,0.007663905897340818,0.007663906551897526,-0.08661955563434276,-0.08661955748804726,-0.08661955644552499,-22.225936285528455,-22.2259362829,-22.225936281662143,-3.684600667977489e-09,-2.365693743323373e-09,-8.374172466574237e-10
-80,-9.348360529358034e-06,0.02382019557317082,-0.05848021472106737,-29.12516517939629,-1.4086205198934028e-09,-80,57234289.848310277,9.2094980853545482e-05,57234289.84821818,621470239939.86597,76310384598584592.0,3.4991901737280173e-09,5.168150352119483e-10,2.984151592499984e-09,6.818530521316728e-10,9.171367821008553e-16,45.620117138208315,9.6356663621580745e-10,6.1775185520160488e-09,1.956503720367236e-08,-80,-9.348360528440897e-06,-9.348360529358034e-06,-9.348360529208144e-06,0.023820197859194123,0.02382019557317082,0.023820199072360992,-0.058480214720276535,-0.05848021472106737,-0.05848021523709157,-29.12516517995032,-29.12516517939629,-29.125165182380442,-1.4177697175987714e-09,-1.4086205198934028e-09,-2.0904735720250756e-09
-70,-9.764783801873108e-06,0.06199315697229663,-0.03802013104499315,-30.5128128523572,-4.963057959227769e-10,-70,67089248.124813169,9.1544065367627425e-05,67089248.124721624,732862888002.54468,37798959493044224.0,8.23704549013371e-10,3.5780319679323824e-09,2.362448014991969e-09,3.290838773359339e-09,2.2785677560250087e-15,65.023648788307455,2.2152021185523697e-09,5.0303733115552021e-09,1.2620119262708458e-08,-70,-9.764783802335912e-06,-9.764783801873108e-06,-9.764783804151676e-06,0.06199315738346989,0.06199315697229663,0.06199315655976534,-0.038020134623025115,-0.03802013104499315,-0.03802013271163496,-30.51281285143019,-30.5128128523572,-30.51281285379264,1.0895773779745488e-09,-4.963057959227769e-10,-2.2012613953847904e-09
-60,-7.988080427024685e-06,0.14710005690842426,-0.024062303705226353,-25.116143481569182,5.838978005777433e-10,-60,79500622.683426976,9.0996445477949377e-05,79500622.683335975,873667342343.51917,6.1266101743694643e+17,3.868297349107763e-10,2.929809519991444e-11,4.229775640851585e-09,6.794471836037148e-10,1.2808120720703836e-15,91.968634683316154,5.7296047419297624e-11,3.8990219061554623e-09,1.2201565634113563e-08,-60,-7.988080427634783e-06,-7.988080427024685e-06,-7.98808042635397e-06,0.1471000568413648,0.14710005690842426,0.14710005652159452,-0.02406230373452445,-0.024062303705226353,-0.024062303715301603,-25.116143484129395,-25.116143481569182,-25.11614347989962,1.1176177032445889e-09,5.838978005777433e-10,1.2633449841814581e-09
