voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.345482127426132e-06,-4.959868546447885,-1.7196190705849554,-0.0026366569641847596,-4.519599678629144,-150,40234355634019248.0,16.967672009107311,40234355634019232.0,2371236054800191.0,3.4847216299661624e+25,3.4892337907876936e-09,2.206703308971214e-08,3.3963669966718957e-09,3.3475133776050825e-09,8.966070751516633e-15,90.334303956785575,1.7633392146896501e-09,1.8727254169523316e-08,3.2900212379505553e-08,-150,-2.345482129811419e-06,-2.345482127426132e-06,-2.3454821208453484e-06,-4.959868544679509,-4.959868546447885,-4.959868548168743,-1.7196190772197042,-1.7196190705849554,-1.719619055152671,-0.0026366552797298937,-0.0026366569641847596,-0.0026366586760968903,-4.519599677067163,-4.519599678629144,-4.519599680414676
-140,-1.866542530769132e-06,-4.895508622573251,-0.9211599193734217,-0.002465824715595152,-3.9898724535742343,-140,37575317754420192.0,16.585185996988312,37575317754420176.0,2265595198102901.0,2.0084522931708901e+25,5.669207325809111e-09,1.7142004704595593e-08,5.878496639119546e-09,5.57674351142623e-09,5.495110998719223e-15,86.074038348533918,2.6457140723321581e-09,9.8187623217793731e-09,2.6024577961633061e-08,-140,-1.8665425342283056e-06,-1.866542530769132e-06,-1.8665425287331946e-06,-4.895508619904504,-4.895508622573251,-4.8955086255737115,-0.9211599295748556,-0.9211599193734217,-0.9211599124328509,-0.0024658214151713764,-0.002465824715595152,-0.0024658272936680155,-3.989872450531948,-3.9898724535742343,-3.9898724561086913
-130,-1.586036074827974e-06,-4.815132346750041,-0.4932238792742274,-0.002305860206458828,-3.6032401853579845,-130,35092701624305372.0,16.21132200145404,35092701624305356.0,2164703262396355.2,2.9903797552969174e+28,3.097966327914037e-11,6.4016308920500364e-09,1.165230099908765e-10,2.6634872085651295e-10,3.0273010474427898e-15,82.80252182118592,1.4596308452332863e-11,8.2027836204564375e-09,1.2671944406307495e-08,-130,-1.586036075025858e-06,-1.586036074827974e-06,-1.586036071998557e-06,-4.8151323467481575,-4.815132346750041,-4.815132346779137,-0.4932238797905484,-0.4932238792742274,-0.4932238733889175,-0.002305860160959128,-0.002305860206458828,-0.002305860277482138,-3.603240185091636,-3.6032401853579845,-3.603240185252016
-120,-1.41016156592698e-06,-4.719316627496465,-0.2640303082478365,-0.002156151979400904,-3.288942949507092,-120,32775240280674568.0,15.845885664625685,32775240280674552.0,2068375411406756.0,1.237594576372168e+26,7.918998790046317e-10,2.3192514575498535e-09,6.789730258062454e-10,6.563389831626409e-10,7.738531122597914e-16,80.140264219979073,3.7449144901880209e-10,1.2449029188284028e-09,3.3428374223366592e-09,-120,-1.4101615664110081e-06,-1.41016156592698e-06,-1.410161565637155e-06,-4.719316627114765,-4.719316627496465,-4.7193166279066645,-0.2640303095776062,-0.2640303082478365,-0.26403030725835475,-0.002156151678718743,-0.002156151979400904,-0.0021561523576917687,-3.288942949221564,-3.288942949507092,-3.288942949877903
-110,-1.2884995521268365e-06,-4.608166641061191,-0.1413212680800021,-0.0020160878131565843,-3.0089218322217057,-110,30612663877429464.0,15.488687009848341,30612663877429448.0,1976453127238266.2,8.8895057162289699e+25,8.847109711496159e-10,4.564995631506363e-09,8.626251974015731e-10,9.554739222039643e-10,1.7609465572326162e-15,77.858385874429032,4.8693103248134459e-10,3.2644932592177438e-09,6.4992938496581554e-09,-110,-1.2884995513621536e-06,-1.2884995521268365e-06,-1.2884995531231001e-06,-4.608166641503658,-4.608166641061191,-4.608166640618947,-0.14132126606705242,-0.1413212680800021,-0.14132127063204805,-0.002016088164964458,-0.0020160878131565843,-0.0020160873023392606,-3.0089218326929767,-3.0089218322217057,-3.008921831737503
-100,-1.1939778772308023e-06,-4.480890498079762,-0.07563299211371045,-0.0018850712406575138,-2.743370880248577,-100,28595794071393580.0,15.139540342929248,28595794071393564.0,1888815209951134.5,2.8576280324476543e+25,2.9088624842188437e-09,1.8068576468355246e-08,2.904204162313545e-09,2.846870295059034e-09,7.296435828305688e-15,75.819420624441292,1.4147739840824004e-09,1.525617424236527e-08,2.6984695291231029e-08,-100,-1.1939778752069111e-06,-1.1939778772308023e-06,-1.193977882503347e-06,-4.48089049955918,-4.480890498079762,-4.480890496650318,-0.0756329864603913,-0.07563299211371045,-0.07563300452896776,-0.0018850726773962379,-0.0018850712406575138,-0.0018850697731920755,-2.743370881658848,-2.743370880248577,-2.7433708788119775
-90,-1.112024811068289e-06,-4.335345711951277,-0.040470474403122236,-0.0017625300761620717,-2.4829585561632506,-90,26716734057752748.0,14.798264155602336,26716734057752732.0,1805396482778577.2,4.0423821626048246e+25,1.9623627167675295e-09,1.8653170966165256e-08,1.974523889877733e-09,1.8006165447559397e-09,9.432779976223122e-15,73.940893029377847,9.338336441233613e-10,2.8615138451140355e-08,4.455212589911493e-08,-90,-1.1120248098199823e-06,-1.112024811068289e-06,-1.112024801635509e-06,-4.335345712859308,-4.335345711951277,-4.335345710896945,-0.04047047086714883,-0.040470474403122236,-0.04047045574995127,-0.0017625311265874188,-0.0017625300761620717,-0.001762529152063529,-2.482958557020538,-2.4829585561632506,-2.4829585552199216
-80,-1.0346882002674892e-06,-4.1674767653707026,-0.021648871898356913,-0.0016479202593811186,-2.2246565405443164,-80,24969212690628912.0,14.464681031168894,24969212690628896.0,1726219377864231.0,6.2385259925848687e+26,1.2590817277668975e-10,7.734053116686956e-09,2.986524287422465e-11,3.5295322220463277e-11,3.7377393440404935e-15,72.173263667160697,5.6553172672034142e-11,1.0871480711161705e-08,1.5790778768052658e-08,-80,-1.0346882002959904e-06,-1.0346882002674892e-06,-1.034688196558251e-06,-4.167476765433491,-4.1674767653707026,-4.167476765307583,-0.021648871952265836,-0.021648871898356913,-0.02164886421821272,-0.0016479202295158757,-0.0016479202593811186,-0.0016479202444330907,-2.224656540527576,-2.2246565405443164,-2.224656540509021
-70,-9.573656776641471e-07,-3.9705509361561857,-0.011575466107754166,-0.0015407269675524727,-1.9692473421993615,-70,23349178421175248.0,14.138617552265272,23349178421175232.0,1651447062264886.7,8.1387900330918589e+25,6.803020369261503e-10,1.2503588733836501e-08,6.661254447343223e-10,4.931495212190384e-10,6.182095800040402e-15,70.486689098120834,4.2765915321186812e-10,1.8198560128052173e-08,2.7958378916151298e-08,-70,-9.5736567721396e-07,-9.573656776641471e-07,-9.573656714820513e-07,-3.970550936543077,-3.9705509361561857,-3.970550935862775,-0.011575464917541467,-0.011575466107754166,-0.011575453604165432,-0.0015407272258016746,-0.0015407269675524727,-0.00154072655967623,-1.969247342314702,-1.9692473421993615,-1.9692473418215526
-60,-8.768500404239583e-07,-3.7340736894250415,-0.006185792902052315,-0.001440464077633444,-1.7193993817983984,-60,21855799777126344.0,13.819904210709696,21855799777126332.0,1581472595171047.0,4.0095410393928233e+26,1.2964163076389923e-10,5.966770961866874e-09,7.17130510790448e-11,4.17191614587864e-10,2.777064009659583e-15,68.863109710218922,7.6882075536028998e-11,7.0352647550179156e-09,1.1097051333602136e-08,-60,-8.768500407087002e-07,-8.768500404239583e-07,-8.768500379316362e-07,-3.7340736892954,-3.7340736894250415,-3.7340736893838766,-0.0061857936386786605,-0.006185792902052315,-0.006185787671907699,-0.0014404640896827914,-0.001440464077633444,-0.001440464149346495,-1.7193993814835267,-1.7193993817983984,-1.7193993819007183
-50,-7.900383675805396e-07,-3.44222585606073,-0.0033034717703995346,-0.0013466725498041399,-1.4780923842963674,-50,20493128854916296.0,13.508375319381308,20493128854916284.0,1517068364654743.2,1.2729769841522991e+25,4.564697064779466e-09,2.863473141240247e-08,4.629394321012392e-09,4.554475019347137e-09,1.1559331682116467e-14,67.2915386896521,2.2819823455640768e-09,2.3899183122185307e-08,4.2562548060583923e-08,-50,-7.900383709376766e-07,-7.900383675805396e-07,-7.900383593783449e-07,-3.4422258538079973,-3.44222585606073,-3.4422258583726943,-0.003303481041939449,-0.0033034717703995346,-0.0033034524072080365,-0.001346670189377619,-0.0013466725498041399,-0.00134667481877194,-1.4780923820508178,-1.4780923842963674,-1.4780923866052929
