voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.021385678513953312,-49337.34288389902,26660.42936135456,-7164.452849446563,-2488.7857714079387,-150,3489993248125.5884,158.25166764964342,3489993247967.3369,22053437413.703312,2.7427773523267325e+20,2.30394653044641e-06,2.232263796031475e-08,3.181776264682412e-08,2.8954946174053475e-07,1.1987667802859647e-12,130405.84207574421,1.7946784473618988e-08,3.503840538861749e-06,5.3016286969409521e-06,-150,-0.02138567851515208,-0.021385678513953312,-0.021385678514098835,-49337.34288620297,-49337.34288389902,-49337.34288422253,26660.429361349554,26660.42936135456,26660.429361371876,-7164.452849463014,-7164.452849446563,-7164.452849431196,-2488.785771682754,-2488.7857714079387,-2488.7857713932044
-140,-0.009844189566369364,-38256.885623530085,63618.18491131719,-5658.464473265922,-2319.2183204638536,-140,4944962366701.1406,203.11790008373106,4944962366498.0225,24345281064.163643,3.1507508230921661e+18,1.4687204384244978e-05,3.786059096455574e-06,3.8035213947296143e-06,3.8406096791732125e-06,4.6122914515445146e-12,116596.54870405264,2.2157309621234945e-06,9.0456132019665385e-06,1.7697502455504832e-05,-140,-0.009844189568535066,-0.009844189566369364,-0.009844189563922775,-38256.88563059084,-38256.885623530085,-38256.88561590364,63618.18491320824,63618.18491131719,63618.18490942218,-5658.46447135077,-5658.464473265922,-5658.464475154291,-2319.218318535186,-2319.2183204638536,-2319.2183223757957
-130,0.002733511255073465,-30098.650131249353,115753.07835012022,-4123.0401877048425,-2135.48566000949,-130,7011352094429.1182,260.70424373513703,7011352094168.4141,26893893225.429482,7.8398529617851003e+18,8.241404430009425e-06,2.1042651496827602e-06,2.1569667296716943e-06,2.29529223361169e-06,3.918133179015015e-12,101916.76839990978,1.2633667003222375e-06,1.1389477516657843e-05,2.3159600369027089e-05,-130,0.0027335112589915982,0.002733511255073465,0.002733511255311509,-30098.65012392262,-30098.650131249353,-30098.650132164024,115753.07834906399,115753.07835012022,115753.07835116825,-4123.04018876161,-4123.0401877048425,-4123.040186604643,-2135.4856577141977,-2135.48566000949,-2135.4856589686387
-120,0.01737304965556493,-23975.0506692116,186703.5664253356,-2463.6281363600865,-1934.3917188072664,-120,9945657930683.8984,334.61700162069383,9945657930349.2812,29722512252.852684,2.3391922454993582e+18,2.959864286822267e-05,9.666953701525927e-06,9.678406058810651e-06,8.646249625599012e-06,8.355722364017382e-12,86697.468274780142,6.0086244805791954e-06,1.7271512784917858e-05,4.247497212972462e-05,-120,0.017373049658239898,0.01737304965556493,0.017373049649884176,-23975.05065787863,-23975.0506692116,-23975.050687477273,186703.56642048666,186703.5664253356,186703.56643015362,-2463.628141226385,-2463.6281363600865,-2463.628131547979,-1934.3917226002743,-1934.3917188072664,-1934.3917139540247
-110,0.03465533453630926,-19317.776254108412,278273.9586164281,-570.9326577861793,-1712.1315684790075,-110,14112017007509.891,429.48490661079563,14112017007080.406,32858004531.224121,2.1725438027690017e+18,4.142060424783267e-05,1.4408375136554241e-05,1.442496431991458e-05,1.3370841543292045e-05,1.100362162498314e-11,71531.033780975893,9.1820226231238768e-06,2.4351065437678318e-05,6.4318433732779567e-05,-110,0.03465533453851264,0.03465533453630926,0.03465533452750902,-19317.776240561623,-19317.776254108412,-19317.776281982227,278273.9586092315,278273.9586164281,278273.9586236399,-570.9326650600015,-570.9326577861793,-570.9326506350371,-1712.1315746869927,-1712.1315684790075,-1712.1315613161512
-100,0.054717424699121255,-15743.824835359055,390060.87172454316,1655.1387622961774,-1463.7889044845306,-100,20027377677858.605,551.24899246923496,20027377677307.355,36330910262.79985,3.1939221675121475e+18,2.2450476535595953e-05,1.3473618309944868e-05,1.3461180060403422e-05,1.2091393728042021e-05,8.591752309605738e-12,57604.216615709563,8.8651963033463188e-06,2.82215169056028e-05,7.4578203356878703e-05,-100,0.05471742470771301,0.054717424699121255,0.0547174246995052,-15743.82482103561,-15743.824835359055,-15743.824843486087,390060.8717178145,390060.87172454316,390060.8717312881,1655.1387555031724,1655.1387622961774,1655.1387689643525,-1463.7888923931368,-1463.7889044845306,-1463.7888978021954
-90,0.07758856857423937,-12970.589714505055,521304.4444985818,4300.180803267751,-1184.8532532016047,-90,28425623914878.406,707.53464678497357,28425623914170.871,40175592875.972931,6.506254047369772e+18,6.946853318368085e-06,9.063805919140577e-06,9.241059160558507e-06,6.716081770719029e-06,1.875430366560238e-12,46366.585187502911,6.1775031696015938e-06,1.970031907623033e-05,5.5142104436356476e-05,-90,0.0775885685761148,0.07758856857423937,0.07758856857466359,-12970.589709184365,-12970.589714505055,-12970.589707558202,521304.4445031317,521304.4444985818,521304.44449406787,4300.1808078947615,4300.180803267751,4300.180798653702,-1184.8532599176865,-1184.8532532016047,-1184.8532577339042
-80,0.10412328372893627,-10764.313163057377,676506.0752817504,7500.67816489609,-877.8691231308267,-80,40348608624643.219,908.12914534093386,40348608623735.086,44430474268.607872,1.0805512755391375e+19,2.0285668142605573e-05,7.875380106270313e-06,7.600028766319156e-06,3.836996256723069e-06,6.6113503560671916e-12,38335.604341557584,5.2801500888775271e-06,1.6445676667590022e-05,4.1809586825536371e-05,-80,0.1041232837330865,0.10412328372893627,0.10412328372647515,-10764.313153089723,-10764.313163057377,-10764.31317337539,676506.0752779573,676506.0752817504,676506.0752858326,7500.678161131051,7500.67816489609,7500.6781687310795,-877.8691213498963,-877.8691231308267,-877.8691192938304
-70,0.13785329872766397,-8907.360590610966,876705.5662031174,11647.902886754368,-561.9523117535916,-70,57275387797234.414,1165.5945731634099,57275387796068.82,49138344597.632851,4.1880555615255101e+19,8.502151104039513e-05,2.671382389962673e-06,2.6216839614789933e-06,4.523316488302953e-05,2.7679636360744553e-11,33117.375493038046,1.9339147986319089e-06,5.8675559253639339e-05,0.00011721273576270619,-70,0.13785329872092184,0.13785329872766397,0.13785329874860147,-8907.360633934382,-8907.360590610966,-8907.360548912871,876705.5662017949,876705.5662031174,876705.5662044663,11647.902885495027,11647.902886754368,11647.90288811671,-561.9522665204267,-561.9523117535916,-561.9523103083914
-60,0.18801088024856072,-7180.205446525324,1177881.8784798943,17797.650447446853,-268.9561423197872,-60,81305685911696.922,1496.0545159884009,81305685910200.875,54346740070.485031,3.0049556203985464e+18,0.0003475581597740529,5.10411337018013e-05,5.0001315685221925e-05,3.611873000863852e-05,1.3927703435001604e-10,29937.498252177964,3.8262781613600767e-05,0.00033308514862215305,0.0005807257845376057,-60,0.18801088036318447,0.18801088024856072,0.18801088022390744,-7180.205184791936,-7180.205446525324,-7180.205532350095,1177881.8784544882,1177881.8784798943,1177881.8785055294,17797.65042280749,17797.650447446853,17797.650472808804,-268.9561521451192,-268.9561423197872,-268.95611602638917
