voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1537.6234435016430280264738175155365236677385877571768617293778834052856073955147,-432669586.53592314704461971396204055267518316309580301616825963158090098222468959,-410719.23313539327000760569527728607155974141122434091645461111982723532941875909,-1438713.2080908692468493784082850172770160532419634887905381974204817471933835833,-2765617310.1944605744915667501083417960214352299044437404637061501324632688994042,-150,506397119449801.82625261276903632357852289065282913386456024575920644439477083155,195107.70810618141829292881049533400931183465098401648165267763717128734181154755,506397119254694.11814643135074339476802755664351729921357622927755376675759954421,2595474696.3365006668634250349669942750857934073367291158563642024004410805882758,1012851486624316.6861961561165385800904478826687308140219303267609353119830999776,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,9.0556790788267123675091192908877917806825311981391381895826148899355013185928451e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,212342377.69016752946704117947430059263836483034549284712864689020514659914931863,7.7602717608597405107048958209026878768342649783595973765317667143896119818051625e-73,3.4291935117103875544625511059572144037602119877582926679420942339942027905565717e-72,6.8677388674682551609464555834961534506178189079113901726093997200360183547822779e-72,-150,-1537.6234435016430280264738175155365236677385877571768617293778834052856073955148,-1537.6234435016430280264738175155365236677385877571768617293778834052856073955147,-1537.6234435016430280264738175155365236677385877571768617293778834052856073955148,-432669586.53592314704461971396204055267518316309580301616825963158090098222468959,-432669586.53592314704461971396204055267518316309580301616825963158090098222468959,-432669586.53592314704461971396204055267518316309580301616825963158090098222468959,-410719.23313539327000760569527728607155974141122434091645461111982723532941875909,-410719.23313539327000760569527728607155974141122434091645461111982723532941875909,-410719.23313539327000760569527728607155974141122434091645461111982723532941875913,-1438713.2080908692468493784082850172770160532419634887905381974204817471933835833,-1438713.2080908692468493784082850172770160532419634887905381974204817471933835833,-1438713.2080908692468493784082850172770160532419634887905381974204817471933835833,-2765617310.1944605744915667501083417960214352299044437404637061501324632688994042,-2765617310.1944605744915667501083417960214352299044437404637061501324632688994042,-2765617310.1944605744915667501083417960214352299044437404637061501324632688994042
-140,-1331.6768104434628172631681202444471911411540515673452109515363778230675379929314,-373643750.5109093038814353501914491966387233037604382630207837726120121104230529,-347923.90741718421267418118587281034387223293470589092474270458892794474759246329,-1272420.8845117855312393748278122396786276095612582516120977125656105938214054752,-2396255103.800570101552196727798621374710995443109135176833265427409703042553036,-140,399447344275436.35454390007053823259815892904544437368516545539554847328947980099,217098.62759654155147346753230055151179502052892976006511813498889835350223841683,399447344058337.72694735851906476506585837753364935315623569533043033830058144749,1839934912.0611376666732717643083894126030114103161604856109474614718029526370925,798960723748591.37207477837132092702753835893808366791452750188053537548892812567,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,1.4038955603161529183028053588168329542806170192427619019494532361106062835220841e-73,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,0.0,0.0,197869028.60619297772262903619399062180940923803881090041147791044237393435208645,-7.9543142642572772670556468667064419015781671710578342449600657247414045133562014e-73,3.6230948926024500512359491082231212487467781029622627286610828361806550215613719e-72,6.5821233980822858000605903885574673173622319329278333357375652779141301622352531e-72,-140,-1331.6768104434628172631681202444471911411540515673452109515363778230675379929314,-1331.6768104434628172631681202444471911411540515673452109515363778230675379929314,-1331.6768104434628172631681202444471911411540515673452109515363778230675379929314,-373643750.5109093038814353501914491966387233037604382630207837726120121104230529,-373643750.5109093038814353501914491966387233037604382630207837726120121104230529,-373643750.5109093038814353501914491966387233037604382630207837726120121104230529,-347923.90741718421267418118587281034387223293470589092474270458892794474759246329,-347923.90741718421267418118587281034387223293470589092474270458892794474759246329,-347923.90741718421267418118587281034387223293470589092474270458892794474759246343,-1272420.8845117855312393748278122396786276095612582516120977125656105938214054752,-1272420.8845117855312393748278122396786276095612582516120977125656105938214054752,-1272420.8845117855312393748278122396786276095612582516120977125656105938214054752,-2396255103.800570101552196727798621374710995443109135176833265427409703042553036,-2396255103.800570101552196727798621374710995443109135176833265427409703042553036,-2396255103.800570101552196727798621374710995443109135176833265427409703042553036
-130,-1130.876933794223561709290975811472287797029793694484797333464892549654544259576,-316156429.91358501092557662378617958337241391320647411355913865023707862101856149,-274717.25228372411878850815104789131374341211977736816471737722346644695735266185,-1096451.7884271081293835957314825852846622129484319531790972511433997721782118148,-2036073326.5104592224315984493089542800669273969242526200111549207792468175164751,-130,315137634232245.87760089863673478749115657692865352199372404315809723470741055636,241568.18078479898081219553022120032072288175330717441415635284713154806802841398,315137633990677.69681609965592259196093537660793064024041686874394088186027900829,1304549436.9682166295623815677090564576396278099534838207603016492364877195353835,630351440004227.20458382817369171806447359353012349584727764822526850712337765332,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-72,2.5480151704950649422739892536006298894620647475232804598373934718385413256050425e-73,0.0,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,184835383.73903738930587185890632033447984322283570230020711414292065976353049126,1.6532292484615634117684173238455325492851370737689315562446665350065142336487127e-72,2.0938752112450744690549006299691795782002754591461881249787360143629964605594691e-72,4.5428420262408259006361120154492118271998076470743002767745304832955927144496725e-72,-130,-1130.876933794223561709290975811472287797029793694484797333464892549654544259576,-1130.876933794223561709290975811472287797029793694484797333464892549654544259576,-1130.876933794223561709290975811472287797029793694484797333464892549654544259576,-316156429.91358501092557662378617958337241391320647411355913865023707862101856149,-316156429.91358501092557662378617958337241391320647411355913865023707862101856149,-316156429.91358501092557662378617958337241391320647411355913865023707862101856149,-274717.25228372411878850815104789131374341211977736816471737722346644695735266185,-274717.25228372411878850815104789131374341211977736816471737722346644695735266185,-274717.2522837241187885081510478913137434121197773681647173772234664469573526621,-1096451.7884271081293835957314825852846622129484319531790972511433997721782118148,-1096451.7884271081293835957314825852846622129484319531790972511433997721782118148,-1096451.7884271081293835957314825852846622129484319531790972511433997721782118148,-2036073326.5104592224315984493089542800669273969242526200111549207792468175164751,-2036073326.5104592224315984493089542800669273969242526200111549207792468175164751,-2036073326.5104592224315984493089542800669273969242526200111549207792468175164751
-120,-937.29279531984662112748016036981790861915934593666226160717530659008348759890092,-260899080.28072828828657293142128059040963993921127681564243900695244163456314154,-188574.45882908410333448109620615952053352409918000666529475390677481335785253179,-911033.35843625113444851753276832038827377969953193545581205192983578709343084845,-1688686210.1967981843634821682830773768254241039763183098311068559529702115309287,-120,248683418733331.34022639007812263999639499178229960554436437658119549891167663044,268795.73866365128842019983796363598307239447384175036252496487687554756363193352,248683418464535.60156273878970244015843135579922721107052262621867053403480108288,925176195.01592308129667836280077672747838226538783502965394948662282359348910434,497454701267576.67910734963414011846656113234123326604674828986967446205325668224,5.0938194818400257067238796011243828766339237989532652316402208755887194917084754e-72,1.5586557008234453659897287841982161145950157457734600643690780022960274486347548e-73,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,173181441.33191374663562412861275368172817871083813607392399787126623554179177928,3.6388759239331042515604258923648286022955199837024653055684501819247486518855552e-72,3.4523094298693619785326109193901728194286006207430435328767052005240373762361974e-72,6.5709402912120500159632352832911657421806339740571613682646122481379359151505129e-72,-120,-937.29279531984662112748016036981790861915934593666226160717530659008348759890092,-937.29279531984662112748016036981790861915934593666226160717530659008348759890092,-937.29279531984662112748016036981790861915934593666226160717530659008348759890092,-260899080.28072828828657293142128059040963993921127681564243900695244163456314154,-260899080.28072828828657293142128059040963993921127681564243900695244163456314154,-260899080.28072828828657293142128059040963993921127681564243900695244163456314154,-188574.45882908410333448109620615952053352409918000666529475390677481335785253179,-188574.45882908410333448109620615952053352409918000666529475390677481335785253179,-188574.45882908410333448109620615952053352409918000666529475390677481335785253195,-911033.35843625113444851753276832038827377969953193545581205192983578709343084845,-911033.35843625113444851753276832038827377969953193545581205192983578709343084845,-911033.35843625113444851753276832038827377969953193545581205192983578709343084845,-1688686210.1967981843634821682830773768254241039763183098311068559529702115309287,-1688686210.1967981843634821682830773768254241039763183098311068559529702115309287,-1688686210.1967981843634821682830773768254241039763183098311068559529702115309287
-110,-754.80489041050379190633768980300498461821188546504915559671918850657418849970672,-209064537.61517260103038112955142844414386740105062698807576105923263292896228434,-87097.665582738169285304924696172845488771096230805743285702458307179326984297664,-720393.84153743315605441774915767243729393408748469579903127847264254217257007443,-1360973171.8680750898916494168174056873174026083213676728984116096541096974391915,-110,196312498689402.37747326174344329183110387799000577790249087998558962575549152657,299092.1606024878662487749540012518625586029508845481080143364228211281152478012,196312498390310.21687077387719451687710262612744717495160633187757528933267039845,656361230.91274843169483437348575189346537057839816590505555756898473288500919408,392726348192217.05057347556843991072201094400074150365771929708722163359421213023,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-72,1.0391038005489635773264858561321440763966771638489733762460520015306849657565032e-73,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,162812986.17929158824214326695114868622665459947470296084980218843607286592162467,-3.9406636479318667423981390365502287219695118239583019837635383456894940042304878e-72,3.2410960930881675744546387046048841956161548344085468074276073551390467059004269e-72,5.3791050381656026992820537932366743858179054545401280632809969825683321729857832e-72,-110,-754.80489041050379190633768980300498461821188546504915559671918850657418849970672,-754.80489041050379190633768980300498461821188546504915559671918850657418849970672,-754.80489041050379190633768980300498461821188546504915559671918850657418849970672,-209064537.61517260103038112955142844414386740105062698807576105923263292896228434,-209064537.61517260103038112955142844414386740105062698807576105923263292896228434,-209064537.61517260103038112955142844414386740105062698807576105923263292896228434,-87097.665582738169285304924696172845488771096230805743285702458307179326984297664,-87097.665582738169285304924696172845488771096230805743285702458307179326984297664,-87097.66558273816928530492469617284548877109623080574328570245830717932698429756,-720393.84153743315605441774915767243729393408748469579903127847264254217257007443,-720393.84153743315605441774915767243729393408748469579903127847264254217257007443,-720393.84153743315605441774915767243729393408748469579903127847264254217257007443,-1360973171.8680750898916494168174056873174026083213676728984116096541096974391915,-1360973171.8680750898916494168174056873174026083213676728984116096541096974391915,-1360973171.8680750898916494168174056873174026083213676728984116096541096974391915
-100,-588.4933152399223066837471443723889195486238955723205489442691491171469947608879,-162130405.34522342260676288371431894538148514164485635220584341664336858138127521,31401.110446571917253965327067179747949920552989604531927423615980682922596647762,-534421.98045975103107991094030707713425784462737087474471366153509979864655407644,-1062020899.0561010480830413235310440420060671475903150664114316935484181652269788,-100,155051028185193.42923239232560808506524753253395338491174960223446681799554818264,323237.90897310455610406370418726833390918430441644420774233841336036970472161382,155051027861955.52025928776950402136106026420004420060733315802672447958218781293,479680829.1384370329547001344068168723003841105651317098230409533469440256971627,310218964440291.41693533547108580000810539003228434688863383731774545211747332485,4.2448495682000214222698996676036523971949364991277210263668507296572662430903961e-72,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-74,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,153585698.13132299910949077419613337037369670800286772078374253734923250893056258,-2.5398237461140588158913527323656028564034450412367663764889825007965133557969302e-72,2.4276765019359995380393234814288452289023563604859284122259542829167509897803324e-72,4.5505343966410659791199152577853211000233588643719129703011342420496565023668333e-72,-100,-588.4933152399223066837471443723889195486238955723205489442691491171469947608879,-588.4933152399223066837471443723889195486238955723205489442691491171469947608879,-588.4933152399223066837471443723889195486238955723205489442691491171469947608879,-162130405.34522342260676288371431894538148514164485635220584341664336858138127521,-162130405.34522342260676288371431894538148514164485635220584341664336858138127521,-162130405.34522342260676288371431894538148514164485635220584341664336858138127521,31401.110446571917253965327067179747949920552989604531927423615980682922596647762,31401.110446571917253965327067179747949920552989604531927423615980682922596647762,31401.110446571917253965327067179747949920552989604531927423615980682922596647718,-534421.98045975103107991094030707713425784462737087474471366153509979864655407645,-534421.98045975103107991094030707713425784462737087474471366153509979864655407644,-534421.98045975103107991094030707713425784462737087474471366153509979864655407644,-1062020899.0561010480830413235310440420060671475903150664114316935484181652269788,-1062020899.0561010480830413235310440420060671475903150664114316935484181652269788,-1062020899.0561010480830413235310440420060671475903150664114316935484181652269788
-90,-443.31958219904043630927136356728679577026445489431158087547993072767678206251698,-121459212.21461221555411110106778010644680865034618943948077868995476593660345885,167568.85636920048624092940119677699275571722739968519192176892778023777944299231,-367478.0527822481251319723993573174256093691351665832318053553159956463964623004,-800781084.83432525411174403673832602035209569922695438260939105020238742468862969,-90,122554769449808.14313236110398547676215869950488448579901328092586162262915176809,347091.56193348830642021047683105101269520001143211336053198099517826097109535565,122554769102716.58119887279756526628532764849218928578758116756532964163397350712,353090604.5860394532739761200414864418074799914952024784529610241931856666282008,245244392250552.99442044826315336434827031204232316108354029006955868436014489402,8.2067091651867080830551393573670613012435438983135939843092447440040480699747659e-72,2.7525196418797013910031380657117433513060916361531316030347547700121335795039288e-73,0.0,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,3.7783237428538195236065289399751748123632501594408731059478702681987589138835618e-78,145320411.63933133051937547337127029036952973829188738508065884530238861200549985,-4.4409155006953991364969005563961219215446389476370036227624240585247903835469559e-72,3.7788341135063169685109127857806290656828739908415276889652740366273868998165249e-72,5.9911086055384678605356393901530397693672456898104947557994417503730410352247708e-72,-90,-443.31958219904043630927136356728679577026445489431158087547993072767678206251697,-443.31958219904043630927136356728679577026445489431158087547993072767678206251698,-443.31958219904043630927136356728679577026445489431158087547993072767678206251698,-121459212.21461221555411110106778010644680865034618943948077868995476593660345885,-121459212.21461221555411110106778010644680865034618943948077868995476593660345885,-121459212.21461221555411110106778010644680865034618943948077868995476593660345886,167568.85636920048624092940119677699275571722739968519192176892778023777944299231,167568.85636920048624092940119677699275571722739968519192176892778023777944299231,167568.85636920048624092940119677699275571722739968519192176892778023777944299258,-367478.0527822481251319723993573174256093691351665832318053553159956463964623004,-367478.0527822481251319723993573174256093691351665832318053553159956463964623004,-367478.0527822481251319723993573174256093691351665832318053553159956463964623004,-800781084.83432525411174403673832602035209569922695438260939105020238742468862969,-800781084.83432525411174403673832602035209569922695438260939105020238742468862969,-800781084.83432525411174403673832602035209569922695438260939105020238742468862969
-80,-322.6004373738311302753035123340824601464702667713855738970300607966230862440907,-87879990.044844894637991978620151094782534653189005916044683431306784734568190432,321557.92798311090823475743555501378913473912134093404915125636667162253547245103,-232886.61410120872723061907942094340306177878807942102285928407385775657314809363,-583317126.23217548801730885328304116213467056825498615982104116249142762200554922,-80,96976048520557.802918233978263745542623262299356074593653429318499575268404134023,372705.51819914361940481956958761860150609947067631658006944180857254659987499877,96976048147852.284719090358858925973035643697849975122977112738430133459831587423,260194828.85343721406867636512818969885509241735470755043251089862831923333820127,194107650257191.32416176738168168196799423180968128649106627978302003068536783045,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,6.1351341415390934618744643633334038553208066588955342959208389452077676169665882e-74,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.3958796545600171378159197340829219177559491993021768210934805837258129944723169e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,137874096.90617695949532990553427983173972656934733493819898123864533751413110244,-8.3590974300694720257996267857312150762160004095617142627148770197765875248964897e-73,8.341651427682538513634034716164976619486529720444703945462742145513256507451581e-73,1.8229867690466819961036053821407205223221033997423957740919771490922776665263293e-72,-80,-322.6004373738311302753035123340824601464702667713855738970300607966230862440907,-322.6004373738311302753035123340824601464702667713855738970300607966230862440907,-322.6004373738311302753035123340824601464702667713855738970300607966230862440907,-87879990.044844894637991978620151094782534653189005916044683431306784734568190431,-87879990.044844894637991978620151094782534653189005916044683431306784734568190432,-87879990.044844894637991978620151094782534653189005916044683431306784734568190433,321557.92798311090823475743555501378913473912134093404915125636667162253547245103,321557.92798311090823475743555501378913473912134093404915125636667162253547245103,321557.92798311090823475743555501378913473912134093404915125636667162253547245109,-232886.61410120872723061907942094340306177878807942102285928407385775657314809363,-232886.61410120872723061907942094340306177878807942102285928407385775657314809363,-232886.61410120872723061907942094340306177878807942102285928407385775657314809363,-583317126.23217548801730885328304116213467056825498615982104116249142762200554922,-583317126.23217548801730885328304116213467056825498615982104116249142762200554922,-583317126.23217548801730885328304116213467056825498615982104116249142762200554922
-70,-227.04676664768382634744547991403463767010027068169161209997914417180191619417231,-61463241.422693041547393317352312927057577601415263774059614876663754030275821493,494726.72800879741995573208689624474766047951191871298417566276595677933202928371,-136426.00950502062417904203533367693163458310019503630135277305494796141859468462,-411034284.53666073717503682004393932545877492713213549964996730784886231418805872,-70,76858863721509.759809297797763708927141028063021647357313188148214734674130429992,400209.68104868770848601569460757736618791486328233916502403764350053447444573132,76858863321300.078760610089277693232533450696833732494030848983190697030629895518,192046488.0312564362586443336051397252599817612305552367217187484278279555397705,153897157934463.93020697441152175536445496305921097099680675506134698313788703553,2.4054147553133454726196098116420696917437973495057085816078820801391175377512245e-72,1.6360357710770915898331904968889076947522151090388091455788903853887380311910902e-73,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,3.9618595969866866607852396897634089040486073991858729579423940143467818268843697e-72,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,131266468.4574919538649329141356751905142064045497853308182117490725184814739741,-1.2138592944401750729424176771478931159357984293540293125758485823959276481542296e-72,1.1239812683505624715233771226565971735562509594074137982512193547323201565941712e-72,1.9614928439015034676410271451323811048909227271774402041232200576099338111011649e-72,-70,-227.04676664768382634744547991403463767010027068169161209997914417180191619417231,-227.04676664768382634744547991403463767010027068169161209997914417180191619417231,-227.04676664768382634744547991403463767010027068169161209997914417180191619417231,-61463241.422693041547393317352312927057577601415263774059614876663754030275821494,-61463241.422693041547393317352312927057577601415263774059614876663754030275821493,-61463241.422693041547393317352312927057577601415263774059614876663754030275821492,494726.72800879741995573208689624474766047951191871298417566276595677933202928371,494726.72800879741995573208689624474766047951191871298417566276595677933202928371,494726.72800879741995573208689624474766047951191871298417566276595677933202928388,-136426.00950502062417904203533367693163458310019503630135277305494796141859468462,-136426.00950502062417904203533367693163458310019503630135277305494796141859468462,-136426.00950502062417904203533367693163458310019503630135277305494796141859468462,-411034284.53666073717503682004393932545877492713213549964996730784886231418805872,-411034284.53666073717503682004393932545877492713213549964996730784886231418805872,-411034284.53666073717503682004393932545877492713213549964996730784886231418805873
-60,-154.80452428433296560052237591132624218208768584094300810374508784178486512457132,-41581037.51112173748123996837061052401012579692829319744669404800515462654284182,691949.1176841486303897822210271266352845059568950660805749356333004475707402158,-74616.931194749166761170833338794310872339457467492797832195365472772725284775743,-280706659.67620903212112883124969612160011631447394111658132697792869952812495102,-60,61056195651906.433657826273571350488386228918858347881971054576900031553822054336,429743.54009835629179996184436855402370039036154903602553641553170879460485502232,61056195222162.893559469981771388644017674895157957520422018551363616022113259731,142075889.35003508377851388185210400067985300598636937926249923832745342842125537,122319364210398.81060778787964328499857723558778797074219031113561331307598997903,2.0516772912966770207637848393417653253108859745783984960773111860010120174936915e-72,1.3375697858130275835798381765105258855744461364438912609124711934597114984737967e-73,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,125825475.5973128351223143348833340563452261668783309004284672782251187528166999,9.4517229595018765337616239194239057518061248711382976036100441823600766960441715e-73,9.4154340540693686092267090612895594901170828281243759783819501798437516012353772e-73,1.8178639672037538571633485612654187064125830525580169279664372855684199303072666e-72,-60,-154.80452428433296560052237591132624218208768584094300810374508784178486512457132,-154.80452428433296560052237591132624218208768584094300810374508784178486512457132,-154.80452428433296560052237591132624218208768584094300810374508784178486512457132,-41581037.511121737481239968370610524010125796928293197446694048005154626542841819,-41581037.51112173748123996837061052401012579692829319744669404800515462654284182,-41581037.511121737481239968370610524010125796928293197446694048005154626542841821,691949.1176841486303897822210271266352845059568950660805749356333004475707402158,691949.1176841486303897822210271266352845059568950660805749356333004475707402158,691949.11768414863038978222102712663528450595689506608057493563330044757074021593,-74616.931194749166761170833338794310872339457467492797832195365472772725284775744,-74616.931194749166761170833338794310872339457467492797832195365472772725284775743,-74616.931194749166761170833338794310872339457467492797832195365472772725284775742,-280706659.67620903212112883124969612160011631447394111658132697792869952812495102,-280706659.67620903212112883124969612160011631447394111658132697792869952812495102,-280706659.67620903212112883124969612160011631447394111658132697792869952812495102
