voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1537.6234435018368,-432669586.53611755,-410719.2330291718,-1438713.2081921247,-2765617310.1946373,-150,506425743312158.37,195107.70810618141,506425743117050.69,2595621404.340169,7.5352635069375611e+18,0.002324044704437256,0.00010217493399977684,0.00021369010210037231,0.000286102294921875,1.0443272913107648e-09,86942868.330649227,9.5006395409243886e-05,0.0030107467950119793,0.0052798465092109836,-150,-1537.6234435018052,-1537.6234435018368,-1537.6234435028496,-432669586.5359446,-432669586.53611755,-432669586.5382686,-410719.23313134676,-410719.2330291718,-410719.23310828954,-1438713.2080728102,-1438713.2081921247,-1438713.2082865003,-2765617310.1947904,-2765617310.1946373,-2765617310.1945043
-140,-1331.6768104424457,-373643750.5107245,-347923.9073746756,-1272420.8845624637,-2396255103.798619,-140,399480361874295.62,217098.62759654157,399480361657197.0,1840086997.7708669,2.9789100792350664e+18,0.0016483068466186523,0.00011356244795024395,0.00019296095706522465,0.0002999305725097656,5.939000402577221e-10,81781655.27341111,0.00018429330610421097,0.0023898879269888254,0.004604255377444133,-140,-1331.6768104424023,-1331.6768104424457,-1331.6768104418518,-373643750.5105742,-373643750.5107245,-373643750.5090762,-347923.90739105374,-347923.9073746756,-347923.90748823807,-1272420.884481941,-1272420.8845624637,-1272420.8846749018,-2396255103.798727,-2396255103.798619,-2396255103.7989187
-130,-1130.8769337935166,-316156429.9134961,-274717.25229543704,-1096451.78847281,-2036073326.509043,-130,315175720002113.56,241568.18078479898,315175719760545.37,1304707097.5083754,3.5769366026824745e+19,0.0035414695739746094,6.147898966446519e-05,0.00015123235061764717,0.000400543212890625,1.5377281670225784e-09,76609386.196547985,1.2450026455972024e-05,0.0044767838331582844,0.0076823095009217468,-130,-1130.876933793584,-1130.8769337935166,-1130.8769337920462,-316156429.9134166,-316156429.9134961,-316156429.9099546,-274717.25227802194,-274717.25229543704,-274717.25233950093,-1096451.7884212285,-1096451.78847281,-1096451.7885724609,-2036073326.5093026,-2036073326.509043,-2036073326.5094435
-120,-937.2927953202958,-260899080.2807717,-188574.45881280606,-911033.3584229015,-1688686210.1977036,-120,248727350633788.34,268795.73866365128,248727350364992.59,925339634.73663974,2.0164582983391728e+19,0.0014705955982208252,5.845865234732628e-05,3.445672336965799e-05,0.00010395050048828125,6.826894605183043e-10,71418901.545174301,2.5638016182764273e-05,0.0020395486357167899,0.0034418884694673579,-120,-937.2927953203629,-937.2927953202958,-937.2927953196802,-260899080.280875,-260899080.2807717,-260899080.2794044,-188574.45883904723,-188574.45881280606,-188574.45878058858,-911033.358447055,-911033.3584229015,-911033.3584125983,-1688686210.1977153,-1688686210.1977036,-1688686210.1978076
-110,-754.804890410489,-209064537.615209,-87097.66558868659,-720393.8415121747,-1360973171.868023,-110,196363174096108.53,299092.16060248786,196363173797016.37,656530661.65477812,1.7955114535170585e+20,0.0018274784088134766,5.834328476339579e-06,5.7200901210308075e-05,0.0002231597900390625,7.672724677831866e-10,66106567.676553927,1.5436930630145466e-06,0.0024711313639918337,0.0040996980339400579,-110,-754.8048904105027,-754.804890410489,-754.8048904112562,-209064537.6151348,-209064537.615209,-209064537.61696228,-87097.66558335855,-87097.66558868659,-87097.66558919288,-720393.8415415195,-720393.8415121747,-720393.8414843186,-1360973171.8681076,-1360973171.868023,-1360973171.8678844
-100,-588.4933152408663,-162130405.3455717,31401.110539784306,-534421.9804230016,-1062020899.0577726,-100,155109482220145.72,323237.90897310455,155109481896907.81,479861668.18401182,1.3674438796508981e+19,0.00013518333435058594,0.0001301971497014165,5.2302959375083447e-05,0.00012969970703125,1.1186784831807017e-10,60532283.277201056,3.3491487847391995e-05,0.00035503909277270399,0.00097814813597096872,-100,-588.4933152408023,-588.4933152408663,-588.4933152407544,-162130405.34548995,-162130405.3455717,-162130405.3454365,31401.110409587156,31401.110539784306,31401.11051393114,-534421.9804753045,-534421.9804230016,-534421.9804578403,-1062020899.0576429,-1062020899.0577726,-1062020899.0576432
-90,-443.3195821993166,-121459212.21449882,167568.85638215253,-367478.0528070676,-800781084.8350009,-90,122622196125276.48,347091.56193348835,122622195778184.92,353284866.5124681,2.9226151666050575e+18,0.0024840831756591797,8.431822061538696e-05,2.834451152011752e-05,0.0007177591323852539,8.601546142017469e-10,54612045.518423051,5.9095610621265915e-05,0.0025536927395904529,0.0058283211888010555,-90,-443.3195821994589,-443.3195821993166,-443.31958219859877,-121459212.2153424,-121459212.21449882,-121459212.21285832,167568.85634470172,167568.85638215253,167568.85642901994,-367478.05277872307,-367478.0528070676,-367478.0527856542,-800781084.83446,-800781084.8350009,-800781084.8351778
-80,-322.6004373730494,-87879990.04458101,321557.9279704909,-232886.614138232,-583317126.2307838,-80,97053825128595.656,372705.51819914364,97053824755890.141,260403509.98167393,1.1897699362316081e+18,0.0010634511709213257,0.00015730061568319798,0.0002714543661568314,0.0004652738571166992,3.666400516522117e-10,48407033.0306741,0.00011298050355895431,0.0012319081142033274,0.0031451465610530249,-80,-322.6004373730821,-322.6004373730494,-322.6004373727155,-87879990.04521751,-87879990.04458101,-87879990.04415406,321557.92803732515,321557.9279704909,321557.92788002454,-232886.61401690613,-232886.614138232,-232886.6142883605,-583317126.2303185,-583317126.2307838,-583317126.2303859
-70,-227.04676664719477,-61463241.42255378,494726.7280017955,-136426.00951112268,-411034284.535776,-70,76948578967231.953,400209.68104868772,76948578567022.266,192270658.63474384,1.2614830068676687e+18,0.00015750527381896973,0.0001237166579812765,5.510618211701512e-05,0.00029718875885009766,7.418066161335446e-11,42145005.492517166,8.5531717963639731e-05,0.00032080187898408762,0.0008834679150595548,-70,-227.0467666472385,-227.04676664719477,-227.04676664716433,-61463241.42239627,-61463241.42255378,-61463241.42243875,494726.7280562639,494726.7280017955,494726.7279325472,-136426.00946531782,-136426.00951112268,-136426.009520424,-411034284.5360732,-411034284.535776,-411034284.53579843
-60,-154.80452428428103,-41581037.51110065,691949.1176849253,-74616.93119198094,-280706659.67612416,-60,61159682105199.398,429743.54009835637,61159681675455.859,142316699.14386997,2.563364242093973e+18,4.595518112182617e-05,2.1405983716249466e-05,1.7781057977117598e-05,0.00010293722152709961,3.12070369545836e-11,36157060.62207742,2.0980265219259077e-05,0.00012530457250661153,0.00036034957179253979,-60,-154.80452428430647,-154.80452428428103,-154.80452428427526,-41581037.511054695,-41581037.51110065,-41581037.51107952,691949.117693732,691949.1176849253,691949.117672326,-74616.93120065797,-74616.93119198094,-74616.931209762,-280706659.6762202,-280706659.67612416,-280706659.67611724
-50,-102.29085201404143,-27169523.080306623,923534.1837226171,-38601.88374784871,-185952478.8895664,-50,48784197886730.227,461456.87873502565,48784197425273.352,105717782.38621236,2.4482250836364206e+19,0.00028218328952789307,5.101785063743591e-06,2.3565851734019816e-05,0.000212937593460083,2.681588284758618e-11,30772346.328751855,2.7686322743331724e-06,0.00037486987442187161,0.00077841116461740967,-50,-102.29085201403403,-102.29085201404143,-102.29085201406085,-27169523.080078363,-27169523.080306623,-27169523.080360547,923534.1837222094,923534.1837226171,923534.1837175153,-38601.883747566724,-38601.88374784871,-38601.88372428286,-185952478.88977933,-185952478.8895664,-185952478.8895669
-40,-65.2634139492561,-17036548.512210805,1206426.1501036505,-19111.617156939585,-119148553.56095946,-40,39111663097974.422,495510.53375493572,39111662602463.891,78932051.760009304,4.1998767854820076e+18,2.3584812879562378e-05,3.8553960621356964e-05,4.554397310130298e-05,0.00013402104377746582,4.197886482870672e-11,26226747.231189474,2.0226426579693419e-05,0.00012458096219434542,0.00035527872526586179,-40,-65.26341394921413,-65.2634139492561,-65.26341394924945,-17036548.51223439,-17036548.512210805,-17036548.512217127,1206426.1500838674,1206426.1501036505,1206426.1501224213,-19111.617171419202,-19111.617156939585,-19111.61712587523,-119148553.56083226,-119148553.56095946,-119148553.56096628
-30,-39.66321870574905,-10100366.024594843,1565769.5654889531,-9112.630329321388,-72944027.03279772,-30,31583616412707.121,489216.22750499577,31583615923490.895,64559625.451885886,3.5939134208204672e+18,0.00018494948744773865,1.0951654985547066e-05,3.5409424526733346e-05,0.00011220574378967285,2.6545876607997343e-11,22624565.469114676,1.1999454481808905e-05,0.00017809548969043731,0.00043650370186298915,-30,-39.66321870575296,-39.66321870574905,-39.663218705726415,-10100366.024715304,-10100366.024594843,-10100366.024530355,1565769.565498267,1565769.5654889531,1565769.5654873154,-9112.630333812675,-9112.630329321388,-9112.630364730812,-72944027.03268552,-72944027.03279772,-72944027.03279096
-20,-22.06481787641826,-5517887.781345345,2038732.9672669198,-4149.853902138157,-41069905.153702885,-20,25761721623621.309,476279.36092534795,25761721147341.949,54089519.171205916,2.6027183990113085e+18,0.00012540072202682495,3.279629163444042e-05,2.2187627109815367e-05,0.00014296174049377441,7.844391802791506e-12,19955748.748986289,1.2167640903430255e-05,0.00016893128724835207,0.00039059498142535176,-20,-22.06481787641909,-22.06481787641826,-22.064817876411247,-5517887.781470746,-5517887.781345345,-5517887.781348356,2038732.9672534487,2038732.9672669198,2038732.967286245,-4149.853924325784,-4149.853902138157,-4149.8539180555945,-41069905.15355992,-41069905.153702885,-41069905.15368111
