"{'distance': [0.052, 0.344, 0.381, 0.713, 0.792], 'solute_5': [9.16, -11.96, 3.15, -9.91, 11.35], 'solute_4': [6.03, -3.32, 5.37, -10.26, 10.99], 'solute_3': [7.2, -7.19, 3.27, -6.29, 10.21], 'solute_2': [10.55, -6.66, 2.43, -3.89, 10.54], 'solute_1': [11.26, -8.91, 8.23, -5.7, 11.86]}","{'solute_5e': '112.0 uM', 'solute_5i': '119.0 mM', 'solute_4i': '65.0 uM', 'solute_3i': '148.0 mM', 'solute_1e': '19.0 uM', 'solute_2i': '8.0 mM', 'solute_3e': '115.0 uM', 'solute_1i': '142.0 uM', 'solute_2e': '122.0 uM', 'solute_4e': '68.0 uM'}"
voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.040684889270205217202033219704381346438584451330383908283285146818010954218551884,-96669.469490059923085810023615031158756645130420726811519566778521256848942562021,-20814.710886889933827569383387149782526101679343619591577090030510213678364907605,9109.5878838295351556073558894228009438067273873162986558203599368255399533521035,-3637.782331457091216688478348125784760970555943252870029393415738897949833859796,-1825.9189851460133334800660786058750799634902123765335131580695035962077735079254
-140,-0.032272989843038775882676138625169681520420183117162293601013246185694185674261019,-86895.54931732468414144942252874843008898456596549883195341637801311766513600473,-13519.431400547900654023772457524453581384628667380343365656939634496573192428025,18562.96605340988444288406881346201188303561898297537667923555454125566271987149,-2543.7872835069048895790539542704711552636327331930299891838563434499084493502342,-1562.0772459521992105718708808904622840977788274299323807812191422071237798001776
-130,-0.024768865633535133936448934142314371395485740357708702613767685151183712482915104,-75664.244847186890868890636592511922052157914687347237120738345084911112099802943,-8423.7225391365872062297217223625878363486503575256273875145484286669775776226315,26128.241857372556646803548120939859938602367813190858117128530336890123099118173,-1609.5682445131477066660391709824669245292697010333184682187950960765575161251069,-1265.5806646925363039258381657810148892543668809565735811206378501704386100984957
-120,-0.017986464781505378056769499800262376772372602983168471379120629960380274915381656,-62521.240693063849330602128439933942346256447027609985117176002889729804587814965,-5045.6655649763150839831201957688891367288722306438976118191421507723001998734238,30672.29259327779670013678189164851348388771612119799629135927283799064626868954,-869.86054457927135434829728763128416470105587967730482985359156475071963640767813,-949.00751286394581068077053150369811856387646684545395054695604898716187786587102
-110,-0.011517551242485080184510936127890362940060103040718856304703476258417332820332413,-46912.218658548081909722135062464263281747218137241057026699705811722752817121384,-2954.120821075960903019844574737363401040476882105674716406064137930818703637378,32412.669059227323160232917943160202090498107320166431596625627434515458283150209,-338.19102832460758474586856889623891863763941693378718796883439003584603606632497,-641.25249134763879441620740996328929833953882734817228358284416469138056015325749
-100,-0.004714777338208075639282972029938485423897495476033124987833936738550532679495619,-28173.440571010926810596483469832730599241847990406947678156047897533271986056294,-1740.8013836799559280431998355838404999409908418914401857283051837963632404764649,32889.15898953576643704984176341387929618399196898390222343697171148792633456248,11.954488577930363137821295285980846755377629447547025611845671173919408165956034,-381.19916808177993053361735267405109387878102232356091005585117544934916693182071
-90,0.003156297139858303667415917457269324083223015495170802519178814830832305981606856,-5489.031096197028911956070785845528316464354169321402723287992827533524389900283,-1070.9238750428312102966569977094818948731397001324166308038119127620517405970227,34048.144704574426570931883617268155880887034980885500002184154111780295476477542,238.70196582250354934090802405026282364740261759943584143388007464960817608422384,-196.89175771589140739239634172826363982604143915742635557469932215124863401328978
-80,0.012796075356409588478308046291256055554880618613293367556095968551750107556274076,22199.900535345809220347315796941229099923343781526246526501567261847597470036359,-711.01260075963868198517690237556403798721354055879615294599534370409175435655868,37378.300288536776916554830585378956790136060551854612495232744085901180180874187,407.20449564003461555913131787162141773561672633998764332066563151616114790809967,-88.32080404260607755808100722425465808041910174452624456563323834264539844568939
-70,0.024863010416683708511638018871320643419690036161662322528527090520690399471329067,56302.594172777951466720427703594727591039720995927972159266132196709107032584442,-516.83068183185156715473108011894590846953210368503554095247052424210646160097414,43642.236047207864780988996175471786066632802188807604416713261305820595263541706,570.39943940802721858247244534927360558770198890265268754441077456925573859855699,-33.758225785967238508343936219566461705451287926283728206735520586258976320584244
-60,0.040034613767621893029012926995559150576638942802356925450928660003693848737223287,98640.183959462659492456336983812876516608380310797662197397626579406750807837439,-404.50774574740537313652396180359308150901934238777584568134798107359004727324898,53090.556716357421234862097502371494334694829062622486118372909171611466150826047,764.02911089130108897256424012506961723581896520634236500647615734371139436861721,-8.7372032115584653339641628243570071527080647732436631292113267796831836911960627
-50,0.059069603144472569702516568984658453903708874667342934868773906884871506574610149,151427.86586997114837410010396873065321833714258813011177158373619311804730560982,-323.24546826005061987251444142875624579016344200585997752737544291014702454346444,65820.093497466583701011405222137782293924549995398035946956399049816925187539761,1011.531105625330813303486624133571937436066280114272259055014191761817619386271,3.2472857811247817140017536769788170084102943023004205885278814420524473880646221
-40,0.082841682230747920245811870654033541519398782790888991732324063621152087259294752,217201.51020031854128176087584011496285352886631584467946637657086495841711517585,-236.46779275136509862751642355582826946749683502801858805565187861078697148354995,82067.361305415844220268905467269804630678159901680820581072826934705308214146055,1331.7175025528205290245549104772168185106862706269564443581931316966154339398001,10.712730104837034062881140347374572408030412421225632738654565607222499829985252
-30,0.11233841591067113250728045221377521741989010097125060244145436854551086965380466,298718.35624399149580093188999440962990634414331747307473758072302897530088255968,-116.28081332447821282467535158586810547642453459969732931530718194598384725767149,102370.65116697825743414593770377957540359549506937452487076477076323523167101201,1744.8906638543375797154750509598071051204009457516752066819714761720140336823623,17.569686893337831149606908409688885972551232429491494172698261583743697314119378
-20,0.14860423525483669701715769009112870865521867322811652638960662462449258729406381,398777.54569607763460791024513242089931637938331315628190884178640587071289130724,45.770107103591422223028345076649205924499502119353409884174811847295170229085764,127597.31483690621692122866032561387069303893717704629971447140000616264740840332,2275.7275459842210221731793529819234415606986027945562154599512963755136760040768,25.752529963783401569023353992432170567844638171318648498413815723501431928618529
-10,0.19264545702102681836369244487974882210293310158601350899853362795345586286502019,519920.37316078211217543324270266391216560362528416740107226618393875507096757423,235.7647127797442745172588454347240471272607043642042135495550088923667208932639,158954.62194138251310188794442486547159311106195158647112109437206948966120191928,2955.0931096935237058138057312316508338051649440497586143678718725221375259921292,36.593596029691503340155697077242690505203943642211391730478231976612531200903273
0,0.24540339302203581772877565990098813519691796775699883364556315590645543479043428,664243.97903025457756956058134486088257648982429292489323092297093806756351471566,442.77133959282349698603507381776172137441651684203931929053388621835509846921258,198113.21540404535576499132896681975916311738588265749200949188806195419322710703,3823.9373577386868842444124022989663504422641884500128987629923324121575547462588,51.480532135296071189336911010210331881963919022929101011162465744517996576154212
10,0.30779093755255448468095933862544875302092883571822711516004695405659807307560565,833441.43150664711769493460323060515810661720859779593639647946146110901073955875,673.63473915651582674898270898726068485632240318574839942899510201508586734146487,247307.25185789390111998897868181101152672476327432185549030265051356378178397151,4936.2986405414916590034552360707134820152769955813418390126481328099419434745555,72.213646494357926528327479971771758507703609415595254893627820146171799396850073
20,0.38071736309951095416054140471965178643796333718401151607612338350529546455261066,1028892.5859208369905447692102535410993352876472147265164649973816760729735783421,944.17160441363793365956760010668687087234040037263029184095468433274542847625405,309333.30671520977779858638186249298460080643845979125965036362400047399598182122,6359.3748473894485259745089264475566302837758572535154771983762373595936505830394,101.25502829341809631130143960071271288833140368751551023227489657452479473580525
30,0.46512901046994138671925500070949654215545653942884777341876423537926868239402235,1251807.0566026767616406415470239261445152539637833797284364821071674779008184995,1271.0173965343278763786917078610081585586203005836500380735511873488928503050569,387543.15696503140859700187735122176539128798665896582147247343632209188421369846,8172.7873874849956550335575952823400592780653181203152863136683501786011253277143,141.96095005071730540120739648665076234213836868350087780718423617384399599124764
40,0.56210331413214175701293091887642255621911903716516686528632349513359259752941228,1503505.171152685433453371801476119239947890276638542204086778504352313882799325,1670.4188554887526464809693404320777353750791036550885685200624619486996623291209,485872.40164101430964245969961102708496966424961947733107225956203969111662321902,10468.105321565502215478016896281209714530837261832075263225730507975602829715885,198.82889347126128897014944006260033713982618667467342720346749101761819057662312
50,0.67299724084474917593262958442768710687531063539076296466197316063787188213236947,1785847.5733736509229652862085121304902808426870683755598877508650402473770193845,2159.8601183393701055212428144165854204733524846490187686055752056223970778890025,608902.60741296317571360482305349193293031788285186894268211066726672058823466679,13348.690007489113538937003994022824234576282621930777342325968922392125049310813,277.75192322439500366979231267946033434825795684184892578632391846535644844523067
60,0.79964013353916668362093340941796196026050480119528051316176189576082888678000067,2101784.0478944276973331566642100113469258156493727456270358237294446895668952839,2760.274045342942192301115176795594441147801855943496462708309511007609163299215,761959.93867854065311538843563063740574084347091690961283202615043210601196385989,16930.089252608323213254772371957547192640713399028070822595368305258809400601853,386.24972855869447583696608458361067521890734277502924907951971727104276187973256
70,0.9445630918426507888791099036870129012024712150713608970418939649268594155658402,2455992.9385060591746240096797928017434340070420675020980355717405306462059989514,3498.5068809442529391092907948118666268230520429085626861771042478123429178877314,951259.07615724020385267251753469221352545551622723117209234159567695454929010878,21341.405816859104355366911786445355422902215860916239903769047477418971516016378,533.62898276204693197453620770533383392932606957254547255881475184633994807018855
80,1.1112632269157319019464712536714927554784594733864202284843641715523923762426645,2855601.3989692535677470331854964527094479119589141851929686968859130501736364534,4410.301475829873926717059472454806546154170870078269544635890435884786624387603,1184100.4204590447485907557443617462111440239788839514387664947392497717228305195,26728.091679144301872112385628782023089422596712193373444564808856474945685989499,731.02419526027338527994030846712843022862670007781587822082138048155576873021698
90,1.3045096158197869853646241266954001021137466825871166598448268981381354746059621,3311004.3145141711560423167625092605507151518092768780325107809021364819644088437,5544.2159515147935352818695410636409942981478976558964443135059361349773216220905,1469125.8445738387002436837654683911913111131922171807159363768325762182552544552,33256.608063974592289325191453265831066811850009900802602899834004738917761902096,991.30571339236427585854526412373850175318845384870387360106515366829323298260316
100,1.5307072420581153038774897609630259156661078865182006317500535886074145860364183,3836829.8499263410236124740625109445483887301376136773157001724363485161510526084,6966.9955233132880551816222762261482631451452815924978388882288025787453096573687,1816636.5270438656160066215279629117908788096574104743015956578931234193738882925,41121.459076501105953036980882269303853492144390227803673572172735298784605384625,1328.9348212503183244492539214277495967043879951645288478628981381436372099306294
"{'distance': [0.052, 0.344, 0.381, 0.713, 0.792], 'solute_5': [9.16, -11.96, 3.15, -9.91, 11.35], 'solute_4': [6.03, -3.32, 5.37, -10.26, 10.99], 'solute_3': [7.2, -7.19, 3.27, -6.29, 10.21], 'solute_2': [10.55, -6.66, 2.43, -3.89, 10.54], 'solute_1': [11.26, -8.91, 8.23, -5.7, 11.86]}","{'solute_5e': '112.0 uM', 'solute_5i': '119.0 mM', 'solute_4i': '65.0 uM', 'solute_3i': '148.0 mM', 'solute_1e': '19.0 uM', 'solute_2i': '8.0 mM', 'solute_3e': '115.0 uM', 'solute_1i': '142.0 uM', 'solute_2e': '122.0 uM', 'solute_4e': '68.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,3489993248125.5884784859181958343245290891053755338064825591872743995951046835235,123.38504182021345601963093496326267881118163371668928713025883866996727566395032,3489993248002.2034366657047398146935941258426967226248488424979872693362660135562,28285383678.930221179318638570529611005236090593387016852610080018064603550392463,6979986496251.1769569718363916686490581782107510676129651183745487991902093670469,4.6980756939713778762101754133634173666871041982533370734528946877717139409203603e-75,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,2.5563058923079556091143601513889182730503361078731392899670162271699031737360784e-75,6.693030630198194584674422693670309667614900282438118073393370189380658647450881e-77,2.7014382229528215762393221006379423707256776042319300597074267751839619745610009e-81,1961546.8453349066673975375326132143461487414217574272222449648914225317403754149,4.732656734656613728442421688883934107759793624191147705356339008185698749547945e-75,3.4404940251521036384970162053533205629033180972342575585660798965025479881155427e-75,7.550754785881646813927000587660784554571403149198084823638529089032991871122001e-75
-140,4944962366701.1407775659450661670141684229330414091923331778302462165364851005962,155.85247505705564526708494473575638818934632200978229112518034838099825389003416,4944962366545.288302508889420899929223687176653219846011168047955091356136719598,31728481468.714897174547080931139296254651301218696106074341259696081122878315446,9889924733402.2815551318901323340283368458660828183846663556604924330729702011925,5.6653265721419556742534468219970621186520962390702005885755494764305962228745522e-75,1.3645146317049222508110435943224631322363280575809324588337451482866375048996635e-75,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-75,0.0,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,1844101.8430194693827021655002714523777585175187181178979114358547068044071848352,4.2582663466764286324079968224495779567316728572831907879653498069199409992444468e-75,4.0062141063689490932007976183802971503120881897138756875250644503809235746376726e-75,9.2935056154586895330291616759874957902086863534272408735051875249182759724004462e-75
-130,7011352094429.1175370825352017563457975235571024968051475937817351081467932769784,196.86336060738655256455602884487467081714980879197520086326444175626763295293993,7011352094232.2541764751486491917897686786824316796553388018065342448823515207108,35615322591.247297261970378085314562688902859942507550954198752956347174782254628,14022704188858.235074165070403512691595047114204993610295187563470216293586553957,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,9.1543386684001113029095329745684235453829603863024582681251256783787073113521727e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,1.9172294192309667068357701135416887047877520809048544674752621703774273803020588e-75,3.6703716359151389657891995416901698177243001548854195886350739748216515163440315e-77,8.8949795146007539705441093557590785377552799163734282453781125524349967455057347e-82,1736344.2831861637746503056564024149541327020598960158848250576341868921945203608,-6.6827926426133864430230782954145874784818571390722413695831334886794068708900419e-76,2.609701922775577048763471718074315655840193569973340328001188900906675515075419e-75,7.2615421130535543528820572556825236579875571305877989800378981770730525981160893e-75
-120,9945657930683.8988160129547018490993601253444414369632308653284123940961686301953,248.66581512706889604626483740685847744582002422818384047394062853849754100292028,9945657930435.2330008858858058028345227184859639911432066371445719201555400916978,39996080384.437406626981781572017859553163860988405584589715891959505753879933176,19891315861367.797632025909403698198720250688882873926461730656824788192337260391,3.1090206798340000651390866706081438456017601311970612986085332492606930491384737e-75,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-76,0.0,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,9.9315938383586113191943046422204595067834004191017235927772589906938805736367911e-77,9.5538668860526616720658952339634547257371525027714599672579727415042557636913446e-82,1646509.7289263898579109478780521991634461958991412948895016458112341880704373976,-5.1733272477460506156104892539405866373929172726317162183043808663045852127606271e-75,3.6081911232707432900954351933778429215923092712827547631308224406498125888773568e-75,8.1914241744861488880929059575878153364199560381393825118592491913977866637187917e-75
-110,14112017007509.891143208507239553792870642570779363589836445275339592082508167884,314.09952274526747855322384014140157048475812636894860699691278636693415598743106,14112017007195.79162046323976100056903050116920887883171007632673259516972180095,44928489174.925103198999021165153521021377414200392792849605854479349012551930922,28224034015019.782286417014479107585741285141558727179672890550679184165016335769,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,1.2479263562111472483683278441746577380262620526610426601359251514393615155569707e-75,4.4217183002083556481978121537538045804113921865913760691321361767263190032191627e-75,7.7725516995850001628477166765203596140044003279926532465213331231517326228461844e-76,2.8067547804056945032505643554101298606127001184417914501327036278047923360277888e-77,1.8778290086379369493370897528824721357483368712343904073576015388473882018289884e-81,1586778.0036529507591867090087937309933245199526272453628580462905854254780976499,4.6933157693455165451086952263791548331525101462401826379717424320886940950628181e-75,3.9778326332543722269492487108292802199880380242077639939122960384724135444149892e-75,9.4570183772634273439505607157946110104479484431295879245024128199706756564137893e-75
-100,20027377677858.605132723376332616937955246342060620818026184586414784432165333218,396.75139961795729643250335659055500219951226097821158476469820726117397193675886,20027377677461.853733105419036184434598655787058421305765206374830019733958072044,50478404605.865313393026805938740062343939689359945742656536814292321177222688169,40054755355717.210265446752665233875910492684121241636052369172829568864330666435,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-75,1.8092773122922861490184407152566837101488020763494009501624658770003199827625285e-75,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,6.5634881018717779152936274157283036740481602769715738526180146373281297704034446e-76,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-78,1.6060379679140250224593530781231669582058144293452023220821592108563188568274243e-81,1574275.852629407644541328431564821526633985147820894819249358647762628375128949,2.1358466319734929508194140345780754278290479167492759479382386205006200529444773e-75,1.5004832955415139221980714916874732749341050582899428057324127837701121957854906e-75,2.9807332870578723938059680330794086842940059567273604288796678804847824053172075e-75
-90,28425623914878.406747347911062150531266048040159426588588980075312669355885592725,501.15221991746804962134235507738028306942936877766031421869633427948004581116704,28425623914377.254527430443012529188910970659876357159220202414998450659551313245,56720538760.777440909676350236129946942555718392516116777360456981753618074215256,56851247829756.81349469582212430106253209608031885317717796015062533871177118545,4.974433087734400104222538672973030152962816209915298077773653198817108878621558e-75,5.2464723972198751099222087566512427394529702213950409414018998581274195204211744e-76,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-75,4.4908076486491112052009029686562077769803201895068663202123258044876677376444621e-76,3.7783237428538195236065289399751748123632501594408731059478702681987589138835618e-78,2.0260786672146161821794915754784567780442582031739475447805700813879714809207507e-81,1629588.6685973590399047188148758863573651261596231187394033428914493887481346022,9.2819191534183484589144889635930414613088411733774001210019397179026529991743389e-75,5.9494188466310506679020834089724011701807875748327289217304172165526628070016001e-75,1.1139351966094144486567355670137662038643857817604107870666745529996321412079459e-74
-80,40348608624643.218947517742536423258904229713736167763916652799526131548094001786,633.02498181493205866133131707676013209500722315088731596023691703828531489427491,40348608624010.1939657028104777619275871529536040727566935019122101713111769635,63739362242.799023530531415518709004564143650281860165813450693364793896655341469,80697217249286.437895035485072846517808459427472335527833305599052263096188003571,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-75,1.0449763951664277996717485753988483481050360440967900475878681198903996081826537e-75,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,8.5498068695435001791324883441723955754048403607919185711734664354669058851308028e-76,1.8351858179575694828945997708450849088621500774427097943175369874108257581720157e-77,1.6801627972023646388805539894211592793537750953149808907936434821266104963733054e-81,1770497.6331580897859851819323980775744529961147982397011497000963356578031144341,3.1512731544211426218889973681309176161858248494317115438252213053542636038805312e-75,3.5359847306186013379128497840118300158169245747240957871416212203536778278761508e-75,8.0942171432469198153651884345133871340864040880961403725358070053881379770062412e-75
-70,57275387797234.422517036997883225682479618556402850469714274274214284798127164314,799.59862827263821937865744921211655391314251794565172168012275454908695328265937,57275387796434.823888764359663847025030406439848937327196328622492604675372615227,71630172654.204829114350096093993322663053991768748216149482674679847420354827788,114550775594468.84503407399576645136495923711280570093942854854842856959625432863,9.948866175468800208445077345946060305925632419830596155547306397634217757243116e-75,2.871526044568902837940961994381132857396070121175063560520381403831056774551507e-76,6.0798626627864890162719917114114812980656642565631420950566872429986886294263486e-75,1.5545103399170000325695433353040719228008800655985306493042666246303465245692369e-76,3.2385632081604167345198819485501498391685001366636055193838888013132219261859101e-78,2.2402170629364861851740719858948790391383667937533078543915246428354806618310739e-81,2001964.6202161576139061467181266252911946262647750036408934895537130739711213744,1.6067596491308348171206604453162817547616774479311426333777715536444452366228519e-74,8.5414220540528210502887762995396892027484289046425841322081314839278543818036773e-75,1.0596125349574964390784318529098199668080384647078223142681583194145930366200505e-74
-60,81305685911696.923820754188044243918013735340835868760576817038939080255088407763,1010.0043200544717816634866873844993530606359443336747378118533800648019461146557,81305685910686.919500699716262580431326350841482808124632483364201268401708342961,80500334797.88673295952449212818635103548061181334275314461562891248268713191324,162611371823393.84764150837608848783602747068167173752115363407787816051017681553,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-75,4.458422016567507037855704149170706278588635188140230265018486916474535518382603e-76,1.9345017563411555960865428172672895039299840816337270302453095773177645639083837e-75,3.0226589942830556188852231519801398498906001275526984847582962145590071311068495e-76,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-81,2308762.3048847372469829352823569023013054925690721186295644116460205708466617724,1.0493045804704950471502476708054037905184986996592185470745806453774347608156809e-74,4.9710567301453287349480513662650019972548384485530957451316249046950778201876419e-75,6.858879781701304763224607256449617056896068340743348856682754496878866656132438e-75
-50,115420349938834.37948698518245649891694501959928011591250605849746171628916397701,1275.7759836737370903599662240857457541448593490545483890388506027486973693452213,115420349937558.60350331144536613895072093385352597105315700394907267743856122832,90470702863.10673664498243188035943034738386428155628380760354110920223578434748,230840699877668.75897397036491299783389003919856023182501211699492343257832795403,3.316288725156266736148359115315353435308544139943532051849102132544739252414372e-75,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-77,9.119793994179733524407987567117221947098496384844713142585030864498032944139523e-75,2.3749463526509722719812467622701098820569001002199773808815184542963627458696674e-76,3.6771186425988065006527826290829826298892345301701354334671237431577207286902521e-78,8.5655358288748001197832164166568904437643436231744123844381824579003672364129297e-82,2658288.9059225123322221847714397825806817746583051556199015345439260234128115461,5.4792671098493968811511346407761060495193598661196349472664222635170661593913769e-75,5.1031491759678248583610167958016143893788732658686430901796205722736191335812202e-75,9.925349759465150009322214089681161371629721303484666160163428302438298830620921e-75
