voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-9.792845765500887e-09,6.385521894665421e-09,-1.0096806509671849e-07,-0.00015144766728119943,-0.01991024248767483,-0.0005474841977440798,-150,1224748903815974.2,0.003098955645211586,1224748903815974.2,3.952134344705513e+17,7.5371273721198621e+20,0.00048205119850059383,0.00016870333704943619,0.0025048227141724055,0.00013870482680945068,0.0021222325098671996,8.259937592716598e-11,0.0042785566613594709,-2552.8092311671862,0.0026095190844470251,0.0046278411351860105,-150,-9.728494242785005e-09,-9.792845765500887e-09,-9.811093618712171e-09,-8.155487258384163e-05,6.385521894665421e-09,-0.00048204481297869917,0.000156741422244977,-1.0096806509671849e-07,-1.1961914804459184e-05,-0.002172641605056924,-0.00015144766728119943,0.0003321811091154814,-0.01991898436848971,-0.01991024248767483,-0.01978027954168026,0.0015747483121231198,-0.0005474841977440798,-0.0005421425248709477
-140,-5.719929963112216e-09,1.017470616246112e-09,-5.719186103500409e-08,-0.000101967111797463,-0.011554197641691577,-0.0004191177168642381,-140,1221045218681727.7,0.0037865873045126669,1221045218681727.7,3.2246588299351942e+17,1.6595275242941265e+20,5.168131140856592e-05,0.0008929664332333433,0.007175625871988856,0.00011128517656306368,0.007765527308597475,2.502643336654093e-10,-0.015287551974324742,-3031.3854231755436,0.010590413534034985,0.016694954351306135,-140,-5.469665629446806e-09,-5.719929963112216e-09,-5.564189258405741e-09,2.4811528842013882e-05,1.017470616246112e-09,-2.6869782566552036e-05,0.0008929092413723083,-5.719186103500409e-08,0.000136390909370121,0.0070736587601913925,-0.000101967111797463,0.00037891813553869724,-0.011563146293344873,-0.011554197641691577,-0.01166548281825464,-0.008176886360161006,-0.0004191177168642381,-0.00041135905156353125
-130,-3.3061516665658187e-09,8.828447106046081e-10,-3.153451972966667e-08,-5.42543704107617e-05,-0.006629117072192302,-0.0003208494700236455,-130,1244422831096499.0,0.0046267985270623431,1244422831096499.0,2.6895980532063725e+17,1.8701024931852072e+20,0.0003818793372146988,0.0010878106177303337,0.0021995413420660965,0.0006309694521134208,0.004389288194932783,4.802729018360119e-10,0.0037874022964388132,-3641.3800916388163,0.0050112700964533609,0.0096657997757493997,-130,-3.1219449098706408e-09,-3.3061516665658187e-09,-3.6022178117066526e-09,-3.411003271808001e-05,8.828447106046081e-10,-0.00038187845436998824,-0.0010547548056365486,-3.153451972966667e-08,3.3055812093785164e-05,-0.002253795712476858,-5.42543704107617e-05,-0.0013805064372718334,-0.006602785307572578,-0.006629117072192302,-0.005998147620078881,0.004047372960485518,-0.0003208494700236455,-0.00034191523444726535
-120,-1.8937462792167786e-09,7.623238245361789e-10,-1.8399816456305076e-08,-9.781355161824802e-07,-0.003775963880477459,-0.00024561849894184966,-120,1298064413718534.5,0.005653445408353365,1298064413718534.5,2.2960589869684646e+17,9.9689992453919801e+19,0.00023057667805500193,0.0015329178810468136,0.023977210025690133,0.00015249795283947196,0.023719208915660192,6.679898427686688e-10,-0.050492195590777555,-4404.7236909527865,0.033768162899095289,0.051200973620755014,-120,-1.2257564364481098e-09,-1.8937462792167786e-09,-1.6291823727266116e-09,-0.00020665152284922905,7.623238245361789e-10,2.3925155205772874e-05,0.0014302391609248843,-1.8399816456305076e-08,-0.00010267872012192925,0.02397623189017395,-9.781355161824802e-07,0.0008427249267697334,-0.0037816617754484194,-0.003775963880477459,-0.0036291638226089475,-0.02396482741460204,-0.00024561849894184966,-0.00036568771167000413
-110,-1.067802987378303e-09,-2.7444601833361942e-08,-1.041219046286999e-08,6.835642847767995e-05,-0.002141987250982144,-0.00018803720432632875,-110,1386145149548473.5,0.0069078964208810637,1386145149548473.5,2.0066096320704218e+17,7.959933253279065e+20,0.0007700965991598467,0.0003280516553492152,0.22458337017269514,0.00020446149108833966,0.21871608845563717,1.2685465555515603e-09,0.47081582899211227,-5350.2861578966376,0.31240919958998165,0.44768358788941681,-110,-1.9192565167038458e-09,-1.067802987378303e-09,-6.507099611522855e-10,0.0007112354766809652,-2.7444601833361942e-08,-5.8861122478881533e-05,0.00022294228665487026,-1.041219046286999e-08,-0.00010510936869434495,-0.22265725026772998,6.835642847767995e-05,0.0019261199049651623,-0.002172581793512929,-0.002141987250982144,-0.0023464487420704837,0.21852466743439436,-0.00018803720432632875,-0.00019142102124281024
-100,-5.742398185335736e-10,6.3557371580699605e-09,-5.7256924831998e-09,0.00017004116279795354,-0.0012122405262853938,-0.00014394042746800357,-100,1514023960547491.5,0.0084406993461214191,1514023960547491.5,1.7937186226674448e+17,8.2209296634796216e+21,0.00020821690647922252,0.00011796693522413776,0.002378454401878116,3.2345721073802694e-05,0.0011928162751272398,2.4325444291103996e-10,-0.0042497316145723909,-6514.821406193294,0.0024007991203158809,0.0043645178162276419,-100,-4.4501583731431594e-10,-5.742398185335736e-10,-6.882702802253559e-10,-0.00020319176857853981,6.3557371580699605e-09,5.025137900682708e-06,-0.00011797266091662095,-5.7256924831998e-09,-9.791263550606999e-06,0.002201539667112229,0.00017004116279795354,-0.00017691473476588726,-0.0012124659562063045,-0.0012122405262853938,-0.0012445862473591965,-0.0012900324072688818,-0.00014394042746800357,-9.721613214164204e-05
-90,-2.5854815857049684e-10,1.233806520179935e-09,-3.2270337387250176e-09,0.0003307292644522749,-0.0006849939257271363,-0.00011018968867522717,-90,1688480105879997.2,0.010313618084407762,1688480105879997.2,1.6371365432201328e+17,6.5909680456038285e+20,4.27380024154066e-05,0.00011824398589953394,0.020683474069755903,1.807706283879799e-05,0.02090393173854277,1.316801343804605e-10,0.043557318344809741,-7944.2926266150753,0.02915560971105615,0.042004408167031847,-90,-1.3626891043442793e-10,-2.5854815857049684e-10,-2.6794904481488843e-10,-1.5989843463082302e-05,1.233806520179935e-09,-4.273676860888642e-05,0.00011824075886579521,-3.2270337387250176e-09,8.513968530188265e-08,-0.020234173558947077,0.0003307292644522749,0.0004493005108088255,-0.0006848000620187367,-0.0006849939257271363,-0.0006669168628883383,0.020682688569650054,-0.00011018968867522717,-0.00022124316889271523
-80,-2.2274562013205196e-11,1.7895862870835002e-08,-1.7911355946271893e-09,0.0005948638798689992,-0.0003867051346881148,-8.435143983786981e-05,-80,1918004919344526.7,0.012602121415437118,1918004919344526.7,1.521969878019937e+17,1.4981620758345228e+21,0.0010993753150649738,3.057599994957882e-05,0.015826471287709865,4.995906211048708e-05,0.014028331340413038,3.9705350320539665e-10,-0.031800820828892441,-9695.612350921625,0.020587374521764928,0.030893668915215129,-80,-2.4654596971843845e-10,-2.2274562013205196e-11,-4.1932806521860187e-10,-0.001099357419202103,1.7895862870835002e-08,-0.0002299584865053661,-2.304584290868661e-05,-1.7911355946271893e-09,-3.0577791085173445e-05,0.015614141265814396,0.0005948638798689992,-0.00021233002189546824,-0.00039156525327202485,-0.0003867051346881148,-0.00034160619116153777,-0.014112682780250907,-8.435143983786981e-05,-0.00019322052347392482
-70,2.0692780286942996e-10,2.6840095031897073e-09,-1.0235335493861453e-09,0.00103749805946219,-0.00021805775476979806,-6.45718366561615e-05,-70,2213160653480720.7,0.015398423993371905,2213160653480720.7,1.4372643943518851e+17,2.8911395425591068e+21,0.00043158048289455473,0.0005832639792966443,0.001973076231934101,9.649748910345101e-05,0.00040538252819910525,4.0908110122513104e-10,-0.0038376433523456431,-11838.853461613255,0.0023181852304216791,0.0046570079325125744,-70,6.142370501905384e-10,2.0692780286942996e-10,2.0515594896540733e-10,5.392382691497453e-05,2.6840095031897073e-09,-0.0003776566559795802,-4.161916979228408e-05,-1.0235335493861453e-09,0.0005416448095043602,0.002838857096776337,0.00103749805946219,0.000865780864842236,-0.00031455524387324907,-0.00021805775476979806,-0.00027229791328499023,-0.00046838680282235146,-6.45718366561615e-05,-6.30042746232462e-05
-60,4.971677417266934e-10,1.4238899892850147e-09,-5.812887488752447e-10,0.0017859374744524942,-0.00012319974890071382,-4.942955905230579e-05,-60,2587021080411760.0,0.018815202112653747,2587021080411760.0,1.3749632158731456e+17,5.0409546846462491e+22,0.0013022471761504229,0.0007748736203783135,0.007225516417747713,0.00024480472402516463,0.005124917174786014,5.897176111927081e-10,-0.013354489793321345,-14460.011482641856,0.0082922429179581973,0.014847073600878493,-60,1.0868853529194015e-09,4.971677417266934e-10,9.968054872388367e-10,0.0002598040396984829,1.4238899892850147e-09,0.001302248600040412,-5.099479375303417e-05,-5.812887488752447e-10,0.0007238788266252794,0.008071001784628606,0.0017859374744524942,0.0008454853668808937,0.00012160497512445079,-0.00012319974890071382,-8.977466899787893e-05,-0.00517434673383832,-4.942955905230579e-05,-0.0006388862660579031
