voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.00002146469192497320057355805304411899585525679482626610854922042641261500368030089,-0.0000072314773445118523609919651289901364469539291839747465801601110887307075058058892,-3.3661639052121129795211334889186408079836782159437377015319884156693469511091058,-0.0000043365760332307217238260531601013896396056595450160535505352428119378756880104318,0.0000065333301151022656275524570004773966922297690949035223044062415609948348908225577,-61.944169946461026444346604536416376752521953352523818783981562265281455977216222,-150,7707201640439085.2062091540881269716553379076634611419001201252500350125556230141,0.010454841432406244417919633865542878534024748977772851763227899512351777993198509,7707201640439085.1957543126557207272374182737979182633660953762722621607923951146,737189721170665957.64661997273823573932810032993901123588759420913454589044244468,15414403280878170.412418308176253943310675815326922283800240250500070025111246028,5.373932220994866927930747061413359519964077483882914795059124216335825657369836e-75,3.201589611533918643467446629637535628504659760103362689704256070831562642528621e-75,3.9860321313572754066283775550210070815783337002710789518870302682640532390374099e-80,1.2540214213399809305474908605614208841714767770090954467060114327282342257408855e-75,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,8.7865590828725836114558076756053310888539659214436740020804988396828774637046846e-82,24614.735753918526891678999644644379576562211600199320180555037656874381627356983,-2.7286867708465980678227542051153868629957438219290658166904631577034243193555079e-75,3.1193012456741857732517859895952053128650720598923714740690815181203057489434884e-75,5.1910980271575196432397036178955878497221424525716812074795185617207762043094034e-75,-150,-0.000021464691924973200573558053044118995855256794826266108549220426412615003680301751,-0.00002146469192497320057355805304411899585525679482626610854922042641261500368030089,-0.000021464691924973200573558053044118995855256794826266108549220426412615003680300873,-0.0000072314773445118523609919651289901364469539291839747465801601110887307048188871079,-0.0000072314773445118523609919651289901364469539291839747465801601110887307075058058892,-0.0000072314773445118523609919651289901364469539291839747465801601110887307101928193289,-3.3661639052121129795211334889186408079836782159437377015319884156693469511117929,-3.3661639052121129795211334889186408079836782159437377015319884156693469511091058,-3.3661639052121129795211334889186408079836782159437377015319884156693469511085913,-0.0000043365760332307217238260531601013896396056595450160535505352428119378756880104333,-0.0000043365760332307217238260531601013896396056595450160535505352428119378756880104318,-0.000004336576033230721723826053160101389639605659545016053550535242811937875687970573,0.0000065333301151022656275524570004773966922297690949035223044062415609948348908390244,0.0000065333301151022656275524570004773966922297690949035223044062415609948348908225577,0.000006533330115102265627552457000477396692229769094903522304406241560994836144843979,-61.944169946461026444346604536416376752521953352523818783981562265281455977216222,-61.944169946461026444346604536416376752521953352523818783981562265281455977216222,-61.944169946461026444346604536416376752521953352523818783981562265281455977216222
-140,-0.000028098112839976880407343069909821843851775609485203097117111891770490952013443109,-0.000011611844523274924521238256701915901466562251519687872974093633061691904632782331,-3.299206505093048913907881582311803983477095654420012091376612644964425475628167,-0.0000057393686164154439802441249461028722560849642569921109523752161028072830886678641,0.00001656197144011347457723304053134871981177082209094072002608307923574402295784715,-82.748168376235299032691217376676536443171799230801182354428859899703811741006008,-140,6976554506190598.2113899389644845683645565619327890499183972803159906462608172388,0.010392300195147183282324124542775594229286722840787366888314764141499651174477382,6976554506190598.2009976387693373850822324373900134556891105574752032793725024747,671319570757625828.32870227914110575196008646388304711313264644414584059149234444,13953109012381196.422779877928969136729113123865578099836794560631981292521634478,5.7165271439226369404984830854614414732165813631439253944932857742878528045612679e-76,8.0211788958781488225707534469455117422822320572344321285823670863358830978044152e-76,2.2727399752314438753824886530958948540031556119949958557415417651562870066300892e-80,1.2269477776365413782964950948841573228266320186336811689303035309355097499733518e-75,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,4.9049789380643480553716540522968356259627096934689412264552482629638295855751024e-82,21961.790867777445876138576534773788695830600963645233861571124616517121894606065,2.9086401690430529409037785907971481916768321797042891027581295313624190237664067e-76,1.5799240136456906493298866644716759748554846046901748109110698090966913633420573e-75,2.8348023724913984537991544414881007045256726560060705151796272269500820006197241e-75,-140,-0.000028098112839976880407343069909821843851775609485203097117111891770490952013443017,-0.000028098112839976880407343069909821843851775609485203097117111891770490952013443109,-0.000028098112839976880407343069909821843851775609485203097117111891770490952013443508,-0.000011611844523274924521238256701915901466562251519687872974093633061691904918603372,-0.000011611844523274924521238256701915901466562251519687872974093633061691904632782331,-0.000011611844523274924521238256701915901466562251519687872974093633061691904346950658,-3.2992065050930489139078815823118039834770956544200120913766126449644254756278812,-3.299206505093048913907881582311803983477095654420012091376612644964425475628167,-3.2992065050930489139078815823118039834770956544200120913766126449644254756286834,-0.0000057393686164154439802441249461028722560849642569921109523752161028072830886678636,-0.0000057393686164154439802441249461028722560849642569921109523752161028072830886678641,-0.0000057393686164154439802441249461028722560849642569921109523752161028072830886451367,0.000016561971440113474577233040531348719811770822090940720026083079235744022957994362,0.00001656197144011347457723304053134871981177082209094072002608307923574402295784715,0.000016561971440113474577233040531348719811770822090940720026083079235744021731046584,-82.748168376235299032691217376676536443171799230801182354428859899703811741006008,-82.748168376235299032691217376676536443171799230801182354428859899703811741006008,-82.748168376235299032691217376676536443171799230801182354428859899703811741006008
-130,-0.000037174741163157267596739878425005947407172381768271924296481573027643892461968796,-0.000018693140121218696386301160594186116596968268433674493969137284738219728839798051,-3.2322377020708995555128342892222765628232585025235420685853657176577466560694644,-0.0000076219855877143207690635179669620156554649877592910375017663407781129809324100625,0.000038322107793330003319435928199085919251870184099699715755522874309042067376675116,-111.17767923226727163592310659596610247864788414151429424161143059073273278165555,-130,6315173140253308.0443789946572073624710587293075914267662513226007329072521880142,0.010330133081817517213910225395967655893032115907498124878181322609875337852752736,6315173140253308.0340488615753898452571485039116237708732192066932347823740066916,611335119328607520.85600321556268897419502048643856395362854009037219738927358028,12630346280506616.088757989314414724942117458615182853532502645201465814504376028,4.0682946972477014460597554022561113424838145553252888614058636050883271094930818e-75,2.0898853202660189239948613199237685680884227444407329367274157420974385242418451e-75,4.6830709476058747462287576609435795343316078299591549080145092173532234294259205e-80,9.4186265429600250072467059338122274834340490299236807814877287430944210402990813e-76,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,6.5174513529652081139786808206368421953792845972906868270713904834790279250019955e-82,18815.912204988888266058016300372592561381269110852021528366488806509113074060112,2.0751569213581414347009247611643511787733060603897804408704548852280900623468207e-75,2.8769380271297480045314338712812975968701940610512444762516397925663344207676294e-75,4.2821064069066790841250102008546202256017435228494040238282472947285250371086738e-75,-130,-0.000037174741163157267596739878425005947407172381768271924296481573027643892461968144,-0.000037174741163157267596739878425005947407172381768271924296481573027643892461968796,-0.000037174741163157267596739878425005947407172381768271924296481573027643892461968346,-0.000018693140121218696386301160594186116596968268433674493969137284738219730873939181,-0.000018693140121218696386301160594186116596968268433674493969137284738219728839798051,-0.000018693140121218696386301160594186116596968268433674493969137284738219726805644484,-3.2322377020708995555128342892222765628232585025235420685853657176577466560674304,-3.2322377020708995555128342892222765628232585025235420685853657176577466560694644,-3.2322377020708995555128342892222765628232585025235420685853657176577466560695203,-0.0000076219855877143207690635179669620156554649877592910375017663407781129809324100606,-0.0000076219855877143207690635179669620156554649877592910375017663407781129809324100625,-0.0000076219855877143207690635179669620156554649877592910375017663407781129809323632317,0.000038322107793330003319435928199085919251870184099699715755522874309042067377261945,0.000038322107793330003319435928199085919251870184099699715755522874309042067376675116,0.00003832210779333000331943592819908591925187018409969971575552287430904206831853777,-111.17767923226727163592310659596610247864788414151429424161143059073273278165555,-111.17767923226727163592310659596610247864788414151429424161143059073273278165555,-111.17767923226727163592310659596610247864788414151429424161143059073273278165555
-120,-0.000049603361637516704084428654475087052324265411322841322601938719938812295400272984,-0.000030159837385990611528809747187639091421158648892154127032767149827206644322381838,-3.1648452226422788506877982543233301475953070510584247028608525513912478288396868,-0.0000101525230118842273475812251010187543682010859961150459851177206633984300663893,0.00008430454002072788587064712858262744061358624261337364950634726314878277432863906,-150.06973297324536944174842911949787237252143521615388310052152172528445299340784,-120,5716491107993620.1169504029709339570928643741460853257134392532483780635057556072,0.010268337854394452288399030983402345941914608634416488476427837928502003143305234,5716491107993620.1066820651165395048044653431626829797715246446139615750293277693,556710461717733854.50881189118675601016444532661935670970323555682781372413918621,11432982215987240.233900805941867914185728748292170651426878506496756127011511214,1.6372623679161288010365144761721232115125425394547085913914834783659369398587549e-75,8.1756431801423624488539087539447200607831984114088955012061064701797676279557041e-76,4.6169489617574112060162259018527814796270305041195770419796663143461631463631288e-80,1.1587662442161722597245609965647441157695054397677301259565199745426606406233085e-75,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,3.0235466391137834857918670328929333079363469565276865831186162387074688734904114e-82,15416.930578047676278809548647772406725476283573240188746668047242001585736616543,-8.3759014224255298642023479244898392585413437454489549055435359540627800299115082e-76,1.3086949272297795437393752183583033387941906096273119190585928345099048752171595e-75,2.4312014337605102447874832645593661990405502555430474914880054029956875986759279e-75,-120,-0.000049603361637516704084428654475087052324265411322841322601938719938812295400273246,-0.000049603361637516704084428654475087052324265411322841322601938719938812295400272984,-0.000049603361637516704084428654475087052324265411322841322601938719938812295400273286,-0.00003015983738599061152880974718763909142115864889215412703276714982720664350382842,-0.000030159837385990611528809747187639091421158648892154127032767149827206644322381838,-0.000030159837385990611528809747187639091421158648892154127032767149827206645141090787,-3.1648452226422788506877982543233301475953070510584247028608525513912478288405043,-3.1648452226422788506877982543233301475953070510584247028608525513912478288396868,-3.1648452226422788506877982543233301475953070510584247028608525513912478288404288,-0.000010152523011884227347581225101018754368201085996115045985117720663398430066389303,-0.0000101525230118842273475812251010187543682010859961150459851177206633984300663893,-0.000010152523011884227347581225101018754368201085996115045985117720663398430066343133,0.000084304540020727885870647128582627440613586242613373649506347263148782774327523266,0.00008430454002072788587064712858262744061358624261337364950634726314878277432863906,0.00008430454002072788587064712858262744061358624261337364950634726314878277548628951,-150.06973297324536944174842911949787237252143521615388310052152172528445299340784,-150.06973297324536944174842911949787237252143521615388310052152172528445299340784,-150.06973297324536944174842911949787237252143521615388310052152172528445299340784
-110,-0.000066598387940156247774572032494729849670437661688551406252401949782478779637419234,-0.000048749093744401549362667774605221497683478751780169703497924868263601450407713257,-3.0964243682648720141939221321539977764382202490117173151656790988953649264723448,-0.000013555883500057703457146945233029782202650445789727184201112047403559006022486293,0.00017979777234534785218562610320005072321154866847493864216787433734081052016017938,-203.21555255761982528567372131198604198897127499057534442230254587483302880196794,-110,5174564476554313.5058003805640894374090776187587001756582702957166635629659772207,0.010206912288243127382878913510463143162620279038468471991280078716785339714002125,5174564476554313.495593468275846310026198705248237032495650016678195090974697142,506966683990677203.1932764302947117682996215805816440778534158629261483970439546,10349128953108627.011600761128178874818155237517400351316540591433327125931954441,2.748433939189055877682390742707932061773973563151930938054415317172429218793296e-75,2.3250859732586691893393677464372232001580350668659272875726706662928112666310969e-75,2.3266564585905800355264981892143698502020413938000187767252722971414187991499485e-79,1.6998621106845271422938841021773035099033688887484504719540689878464913649135523e-75,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,9.4882355267869443033596235937516906913873956631107185262113460429836850411767624e-82,12103.621567481616112917731025625599710998961428052823737439688559643603926870089,-1.4115678599452335794311927948791117916292703911551722939116876215080146903377589e-75,1.7569555117255425699809749674334218024502607911461844014302307446498174484072233e-75,3.0713560311219257682007661715452197521772393548844969117728992482846889782320151e-75,-110,-0.000066598387940156247774572032494729849670437661688551406252401949782478779637419675,-0.000066598387940156247774572032494729849670437661688551406252401949782478779637419234,-0.000066598387940156247774572032494729849670437661688551406252401949782478779637418726,-0.000048749093744401549362667774605221497683478751780169703497924868263601449033459782,-0.000048749093744401549362667774605221497683478751780169703497924868263601450407713257,-0.000048749093744401549362667774605221497683478751780169703497924868263601451781893721,-3.0964243682648720141939221321539977764382202490117173151656790988953649264737215,-3.0964243682648720141939221321539977764382202490117173151656790988953649264723448,-3.0964243682648720141939221321539977764382202490117173151656790988953649264713965,-0.000013555883500057703457146945233029782202650445789727184201112047403559006022486296,-0.000013555883500057703457146945233029782202650445789727184201112047403559006022486293,-0.000013555883500057703457146945233029782202650445789727184201112047403559006022718958,0.00017979777234534785218562610320005072321154866847493864216787433734081052016210481,0.00017979777234534785218562610320005072321154866847493864216787433734081052016017938,0.00017979777234534785218562610320005072321154866847493864216787433734081052186004149,-203.21555255761982528567372131198604198897127499057534442230254587483302880196794,-203.21555255761982528567372131198604198897127499057534442230254587483302880196794,-203.21555255761982528567372131198604198897127499057534442230254587483302880196794
-100,-0.000089735369946365842846481738907157114450016698018609160082233042793221823916599947,-0.000078898615044862147322322402663940118428712033195547139021326187549199599611535854,-3.0260778093510914005438847261808736174849704913855138581980773706297619800826881,-0.000018128873434634369533258995596180147338592409176684566052351066805942983233830198,0.00037612777874351666191240620689834116636970281740845994927881835245415851897770869,-275.53395367919066430099536722731162619419291301579090890432256665518596988059038,-100,4684012801328459.312473515994351614026912534301422650539265775316320513516197867,0.010145854172036527010143238890355651614201101649783027835491169643997901736591691,4684012801328459.3023276618223150870167692954110669989250646736665374856807066974,461667664634712628.01869871344780919214273025153765424181556357048601507340010214,9368025602656918.624947031988703228053825068602845301078531550632641027032395734,4.9781711493408121406111590862846853016127425927730063661536959478786293241265615e-75,3.1621196224344635645154855683895806773397936646877749974367649260655577503032302e-75,3.6657945306577357838357687481965622613271929559293773867095963647988655496737949e-80,1.0856777129856522037363135500959916374900026630018383815372083473777371316612297e-76,1.6192816040802083672599409742750749195842500683318027596919444006566109630929551e-78,7.9800011530728118303449106069244858235851404458089740378457285789423343198612646e-82,9166.7410789102481193146900370784170560273135136519852897646508997938976834460869,2.5692422325410085054687096163038718212869449207653174422731721684338870932043927e-75,3.8190218467206935611251014897320598922369487259344197628104605529255652106442536e-75,6.2359398254845454242679810469425822524058488472176844520649065876077846538037666e-75,-100,-0.000089735369946365842846481738907157114450016698018609160082233042793221823916599149,-0.000089735369946365842846481738907157114450016698018609160082233042793221823916599947,-0.000089735369946365842846481738907157114450016698018609160082233042793221823916599853,-0.000078898615044862147322322402663940118428712033195547139021326187549199602100618528,-0.000078898615044862147322322402663940118428712033195547139021326187549199599611535854,-0.000078898615044862147322322402663940118428712033195547139021326187549199597122447378,-3.026077809351091400543884726180873617484970491385513858198077370629761980080198,-3.0260778093510914005438847261808736174849704913855138581980773706297619800826881,-3.0260778093510914005438847261808736174849704913855138581980773706297619800833601,-0.000018128873434634369533258995596180147338592409176684566052351066805942983233830199,-0.000018128873434634369533258995596180147338592409176684566052351066805942983233830198,-0.000018128873434634369533258995596180147338592409176684566052351066805942983233793541,0.00037612777874351666191240620689834116636970281740845994927881835245415851897757837,0.00037612777874351666191240620689834116636970281740845994927881835245415851897770869,0.00037612777874351666191240620689834116636970281740845994927881835245415851908614614,-275.53395367919066430099536722731162619419291301579090890432256665518596988059038,-275.53395367919066430099536722731162619419291301579090890432256665518596988059038,-275.53395367919066430099536722731162619419291301579090890432256665518596988059038
-90,-0.00012094333436275218259360133997316486182767802267662859539397200684115362095201041,-0.00012777144760491185105482101446586501858523625737561445267155577968119718450022383,-2.9524664661046029698783631939850540646127558362431891296791216288934987152357902,-0.000024253219793380452596028548800461124279919051741685943383891743039708189681992544,0.00077913123054863937432454647861727865047231404979765640143559881703555192030774184,-373.04767651762772230512629309624295703831881061022039115109320970243688390548077,-90,4239965706949508.0617646101701150373287038520435298080061576269990520919038077042,0.010085161307675873589336921350518005172372722472304439700883948697601414485184373,4239965706949508.0516794488624391637393669306930118028337849045267476522029237555,420416250925252535.59994327586081323674135081486997265026576938089629907448874694,8479931413899016.1235292203402300746574077040870596160123152539981041838076154084,2.3959816972037853981089815183904412996745537053052658321990225797080270780246754e-75,1.45553175186759729612077944325150796834129278017174920561809652314021117945018e-75,2.0630999013980702461587469195100651651064896691221869521536947257613004720050546e-79,5.9212784875660609015127609816730366561364848494804491096823774693645918364861487e-76,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,4.1038902882033860549862796203003040302230306211393030489743635604333340019412309e-82,6754.4195364950967958001975077105370639516569904073032809085473395386852777447434,-1.2447065113873663812274218238835064800352894744613926977657318000006819980856202e-75,1.4338933833694911726621535663367687217620015222023730860328609636872991268348218e-75,2.3286307698160336068835782406375279710989520105423476400657380398241334218829871e-75,-90,-0.00012094333436275218259360133997316486182767802267662859539397200684115362095201079,-0.00012094333436275218259360133997316486182767802267662859539397200684115362095201041,-0.00012094333436275218259360133997316486182767802267662859539397200684115362095201038,-0.00012777144760491185105482101446586501858523625737561445267155577968119718330219208,-0.00012777144760491185105482101446586501858523625737561445267155577968119718450022383,-0.00012777144760491185105482101446586501858523625737561445267155577968119718569817378,-2.9524664661046029698783631939850540646127558362431891296791216288934987152369854,-2.9524664661046029698783631939850540646127558362431891296791216288934987152357902,-2.9524664661046029698783631939850540646127558362431891296791216288934987152355299,-0.000024253219793380452596028548800461124279919051741685943383891743039708189681992545,-0.000024253219793380452596028548800461124279919051741685943383891743039708189681992544,-0.000024253219793380452596028548800461124279919051741685943383891743039708189682198854,0.0007791312305486393743245464786172786504723140497976564014355988170355519203038622,0.00077913123054863937432454647861727865047231404979765640143559881703555192030774184,0.00077913123054863937432454647861727865047231404979765640143559881703555192089599005,-373.04767651762772230512629309624295703831881061022039115109320970243688390548077,-373.04767651762772230512629309624295703831881061022039115109320970243688390548077,-373.04767651762772230512629309624295703831881061022039115109320970243688390548077
-80,-0.0001622962958428741775383379986333367004052979514967270963473647567954707206255131,-0.00020683996658989242817293586452486077104068565980994485311047823809565207065112403,-2.8735937364570625154849267214823969397647073987036295271280744932374861533893274,-0.000032395279711088393224058046414500408202515675968472598951589127996477998212198815,0.0016158257218118174283955056256995832350251929355565488398910393249770014831305696,-502.23302756929865336868607191945933907925912767994007018352423828634392971592831,-80,3838014532434218.1697434640881825325066330820444654218898450813714627639784929096,0.010024831510211495228891498299803295847186090661553668287008169692257992816400433,3838014532434218.1597186325779710372777415837446621260426589907099090956914847399,382850776945701210.79691293986243763399875706305954947766340933389163184815440573,7676029064868436.3394869281763650650132661640889308437796901627429255279569858191,4.9034868361361193157012687867861200813681350569132470712748230477016049774925603e-76,4.2347587450039282571279248020989615553210606474519000088360370961338411291053885e-76,5.7891749052072713826403818671340676401005710541376123894810575182484125664637135e-80,1.3457115674533762895880954776446179263341765704593399887674264501550546187422898e-75,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,4.5813262546265457371436674343898031820614578272988143161959028771221916108218194e-82,4879.1755338189868571285490813059019177988060054738623217196474968793971599655717,-2.5686044390100047766774380230810584065418702983960430901675734869328044153988296e-76,6.9658412076793678314909797537863307482876000962483275998204510421610557609337645e-76,1.1936388174620487699832573672244941317246365435266522967866814367745450821509576e-75,-80,-0.00016229629584287417753833799863333670040529795149672709634736475679547072062551318,-0.0001622962958428741775383379986333367004052979514967270963473647567954707206255131,-0.00016229629584287417753833799863333670040529795149672709634736475679547072062551356,-0.00020683996658989242817293586452486077104068565980994485311047823809565207040609157,-0.00020683996658989242817293586452486077104068565980994485311047823809565207065112403,-0.00020683996658989242817293586452486077104068565980994485311047823809565207089644025,-2.8735937364570625154849267214823969397647073987036295271280744932374861533895778,-2.8735937364570625154849267214823969397647073987036295271280744932374861533893274,-2.8735937364570625154849267214823969397647073987036295271280744932374861533897509,-0.000032395279711088393224058046414500408202515675968472598951589127996477998212198816,-0.000032395279711088393224058046414500408202515675968472598951589127996477998212198815,-0.000032395279711088393224058046414500408202515675968472598951589127996477998212140924,0.0016158257218118174283955056256995832350251929355565488398910393249770014831342008,0.0016158257218118174283955056256995832350251929355565488398910393249770014831305696,0.0016158257218118174283955056256995832350251929355565488398910393249770014817884892,-502.23302756929865336868607191945933907925912767994007018352423828634392971592831,-502.23302756929865336868607191945933907925912767994007018352423828634392971592831,-502.23302756929865336868607191945933907925912767994007018352423828634392971592831
-70,-0.00021529039611393811489948872544643727175399057788369834452383722698045832058122096,-0.00033423848511285118102742489185773428896977408213511998510202741779691414524735005,-2.7865080506442510731601716589445554676796874783374271296978894586247064145810377,-0.000043063162319643957221074801666322538496227227819419216548031834326248230051954456,0.0034102328545293483138033793184338336379607747228334486577671202244616278199237585,-667.76429251454204728307856852439850916505032826111123476255870938171970143701147,-70,3474168560393816.1124911653420351431188988373331313233649007040222701718113307783,0.0099648626077641675852372360182455585345509520150520107375906670545173762546610051,3474168560393816.1025263027342709755336616013148857648303497520072181610737401112,348641892732861367.30865969343650856525951163925394425466281841003936619644605926,6948337120787632.2249823306840702862377976746662626467298014080445403436226615566,7.4370512689103384925610184928170603939807752001688671974973648216251998567824993e-76,4.5758199328633221444820498698056492102584933180942859650961528855221398132068422e-76,4.9699411148434345803185676287260483407465474437841221665343407284798768418993399e-80,2.2813748743988367571919437918930892754557719535330274046685762844583100946889244e-77,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-78,1.2457089366512629981896264259801487304032278586587787241791106699590678312571689e-82,3475.1067617752123577770453267978798440006018831311080511849939477707909446645169,3.9474911607435347185363658202057821225802899039503753931744146217481919257406827e-76,1.9396032194777243619227906304270258916686752872540114139717076807947950317459504e-75,2.9881028453072570186407037724933112953661271284000472498739049188058868198315306e-75,-70,-0.00021529039611393811489948872544643727175399057788369834452383722698045832058122083,-0.00021529039611393811489948872544643727175399057788369834452383722698045832058122096,-0.00021529039611393811489948872544643727175399057788369834452383722698045832058122094,-0.0003342384851128511810274248918577342889697740821351199851020274177969141456192375,-0.00033423848511285118102742489185773428896977408213511998510202741779691414524735005,-0.00033423848511285118102742489185773428896977408213511998510202741779691414487553237,-2.7865080506442510731601716589445554676796874783374271296978894586247064145806538,-2.7865080506442510731601716589445554676796874783374271296978894586247064145810377,-2.7865080506442510731601716589445554676796874783374271296978894586247064145811114,-0.000043063162319643957221074801666322538496227227819419216548031834326248230051954457,-0.000043063162319643957221074801666322538496227227819419216548031834326248230051954456,-0.000043063162319643957221074801666322538496227227819419216548031834326248230051904757,0.0034102328545293483138033793184338336379607747228334486577671202244616278199117801,0.0034102328545293483138033793184338336379607747228334486577671202244616278199237585,0.0034102328545293483138033793184338336379607747228334486577671202244616278199009448,-667.76429251454204728307856852439850916505032826111123476255870938171970143701147,-667.76429251454204728307856852439850916505032826111123476255870938171970143701147,-667.76429251454204728307856852439850916505032826111123476255870938171970143701146
-60,-0.00027903820109028346142349788897506438650638777460340422475387019357342862181355926,-0.00053801262483875054848903578531515050136225043379773566981079745422375977147076662,-2.6869273636659025629357884955495664027397940455204909827445559145729615423390056,-0.000056651845266018730751419995419496370515070649890378128365413633561625520623034464,0.0075002942295523159788851751249389572680559487871006234346544000547223531757080904,-866.87877966781365344502616935789001370493656018646966024232103677721651481883811,-60,3144815395741093.934080293283075396136238730655355542962463669747429633793398723,0.0099052524414469259053388418483158781664138319716754185240441450480047788337748003,3144815395741093.924175040841628470230899888807039664796049837775754215269354578,317489676747875988.11728382091093531087132917888779582504604731259752366510984961,6289630791482187.8681605865661507922724774613107110859249273394948592675867974461,5.983187489394060182893035666888436369265020736727908692936282599116335961116139e-75,2.991040834211718633630756908685570808882676411374698856914102987694102784749373e-75,1.0889799638353325547118202144164128484537663734540328543040593172900131699958266e-79,2.6538826810024101256304439059409554620605872598255442612140938791112889435624699e-75,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,9.5693095588210657588203120904838697926429776415151638357395319646855665219300699e-82,2449.7448085167677791640838689481634608980242121334773384191002769981880456393394,3.2327891297999721808752350866083331549613757681603443589976991019243032133255177e-75,3.8160678383227652893697711097765505720708827149761461798971922183057914368300442e-75,6.2334854473521643343508829389465356426908051017590840819631152767244011262085398e-75,-60,-0.00027903820109028346142349788897506438650638777460340422475387019357342862181355831,-0.00027903820109028346142349788897506438650638777460340422475387019357342862181355926,-0.00027903820109028346142349788897506438650638777460340422475387019357342862181355834,-0.00053801262483875054848903578531515050136225043379773566981079745422375977446227104,-0.00053801262483875054848903578531515050136225043379773566981079745422375977147076662,-0.00053801262483875054848903578531515050136225043379773566981079745422375976847908355,-2.6869273636659025629357884955495664027397940455204909827445559145729615423360145,-2.6869273636659025629357884955495664027397940455204909827445559145729615423390056,-2.6869273636659025629357884955495664027397940455204909827445559145729615423389587,-0.00005665184526601873075141999541949637051507064989037812836541363356162552062303446,-0.000056651845266018730751419995419496370515070649890378128365413633561625520623034464,-0.000056651845266018730751419995419496370515070649890378128365413633561625520623143358,0.0075002942295523159788851751249389572680559487871006234346544000547223531757133387,0.0075002942295523159788851751249389572680559487871006234346544000547223531757080904,0.0075002942295523159788851751249389572680559487871006234346544000547223531783619731,-866.87877966781365344502616935789001370493656018646966024232103677721651481883812,-866.87877966781365344502616935789001370493656018646966024232103677721651481883811,-866.87877966781365344502616935789001370493656018646966024232103677721651481883811
