voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.03946889390617674,-1.644433224594621,-122844.09478802703,-0.05831406063035262,-0.1197790596859011,-680.9062874990159,-150,474445897102.99683,6.0213403684743403,474445897096.97546,78794067112.869385,6.153831883389687e+17,1.0416729834261673e-07,2.6859925128519535e-07,7.684967785748231e-08,1.3688519429067014e-08,1.1144277323182905e-07,6.980527267330672e-14,3.6688869190392269e-07,-27061.184133734256,5.5819166023041883e-07,1.7328432425730128e-06,-150,-0.03946889390616557,-0.03946889390617674,-0.03946889390610694,-1.6444331204273226,-1.644433224594621,-1.644433170557022,-122844.09478811617,-122844.09478802703,-122844.09478784757,-0.05831398378067476,-0.05831406063035262,-0.05831402522562712,-0.11977906396594906,-0.1197790596859011,-0.11977905027742963,-680.9062876086682,-680.9062874990159,-680.9062876104587
-140,-0.034968996516754614,-1.7660182882366993,-108683.94706753106,-0.06463447053567575,-0.12349145309578013,-911.6950801683415,-140,474071758606.70618,7.4254247401094116,474071758599.28076,63844396138.842407,6.8560884052757338e+17,6.37362241207029e-07,1.1895463103428483e-06,9.886360285149554e-07,1.1435046054497633e-07,4.46058265879401e-07,2.4625440575576363e-13,8.8797921098095275e-07,-29760.060755704933,1.5062940160511612e-06,3.884803386951117e-06,-140,-0.034968996516746585,-0.034968996516754614,-0.03496899651650836,-1.7660183500149245,-1.7660182882366993,-1.7660177126526833,-108683.94706839889,-108683.94706753106,-108683.94706720934,-0.06463348189964724,-0.06463447053567575,-0.06463438231662622,-0.12349133874531959,-0.12349145309578013,-0.12349144092877395,-911.6950803506188,-911.6950801683415,-911.6950806143998
-130,-0.030683395013456394,-2.040097773415678,-95182.86978580846,-0.07544177545390293,-0.13158540427761659,-1161.7018428847805,-130,473699147354.49469,9.1569200870468723,473699147345.33777,51731274582.659782,60963205825787048.0,4.1757308766321444e-07,2.1456507965922356e-06,2.914771528306215e-07,1.8421652292488488e-07,2.208061459896271e-06,3.3036073876502314e-13,-6.776538204157097e-06,-32757.299741953426,3.0233861731500005e-06,7.9684474775668946e-06,-130,-0.03068339501335755,-0.030683395013456394,-0.03068339501368791,-2.0400973629254295,-2.040097773415678,-2.0400973558425903,-95182.86978599014,-95182.86978580846,-95182.86978795411,-0.0754414839767501,-0.07544177545390293,-0.07544157009533592,-0.13158525625821405,-0.13158540427761659,-0.13158544047473697,-1161.7018434563652,-1161.7018428847805,-1161.7018412483037
-120,-0.026675275562110003,-2.452637035293198,-82554.96290850721,-0.0897001674151342,-0.1459815151621277,-1397.1753754420643,-120,473328348488.20477,11.29217363521848,473328348476.9126,41916495776.50573,1.1586302699090483e+18,1.5080918913668029e-06,6.4193300204351544e-06,3.7968657954357e-06,7.434127298200366e-07,1.93488585864543e-06,4.333720882154779e-13,-6.4840795696144388e-06,-36085.845982426144,6.2616687400049257e-06,1.5238014371888559e-05,-120,-0.02667527556203363,-0.026675275562110003,-0.026675275562467002,-2.4526373029698973,-2.452637035293198,-2.452635794878006,-82554.96290400827,-82554.96290850721,-82554.9629104276,-0.08970396428092964,-0.0897001674151342,-0.08970100138094494,-0.1459807971196454,-0.1459815151621277,-0.14598154053237522,-1397.175376552157,-1397.1753754420643,-1397.1753746172712
-110,-0.022988101626753812,-2.931297789884977,-70955.11955284243,-0.10538883135927148,-0.16865151376960544,-1579.7837057250144,-110,472959713697.15796,13.925335614569789,472959713683.2326,33963972344.214817,66455472878945344.0,2.084740891916681e-06,5.582536687143147e-06,5.08244916352929e-06,8.600918137702251e-07,1.6847882307047257e-06,8.80046036044746e-13,8.1915657839398319e-06,-39782.274296712611,5.4945215562457085e-06,1.3229958663098874e-05,-110,-0.022988101626592258,-0.022988101626753812,-0.022988101625873766,-2.93129794157435,-2.931297789884977,-2.931295856833458,-70955.11955639353,-70955.11955284243,-70955.119550811,-0.1053841568341769,-0.10538883135927148,-0.10538923928334043,-0.16865230875641846,-0.16865151376960544,-0.1686514486646047,-1579.783705865033,-1579.7837057250144,-1579.7837074098027
-100,-0.019646938699866345,-3.2379780761812,-60475.51252724073,-0.11947735332365943,-0.20123268884530005,-1682.1255926469748,-100,472593676735.9624,17.172510646986169,472593676718.78992,27520360094.748528,5.389495008454448e+17,6.004774249390721e-06,6.3808547565713525e-06,4.598375175746128e-06,7.32990974805503e-07,3.3099640859290957e-06,2.0822094048966733e-12,-5.9211424908934441e-06,-43887.184337361636,8.2735861671380945e-06,2.214486907100434e-05,-100,-0.01964693869972417,-0.019646938699866345,-0.01964693870180638,-3.2379776690367095,-3.2379780761812,-3.237983673810959,-60475.51252198123,-60475.51252724073,-60475.51252836209,-0.11948190330529052,-0.11947735332365943,-0.11947730493011477,-0.20123203224275144,-0.20123268884530005,-0.20123276523372624,-1682.125594649464,-1682.1255926469748,-1682.1255913394998
-90,-0.01666124624915023,-2.7149903518253815,-51149.40376770015,-0.12874980546740006,-0.24439052304727943,-1698.046168981993,-90,472230772560.83624,21.176877174314605,472230772539.65936,22299358336.62973,1.4716941805111329e+18,2.0074552047333327e-06,5.159694410394877e-06,5.26417747798158e-06,3.938404420367192e-07,1.133300884248456e-06,1.1788833798043186e-12,-6.9640127144173839e-06,-48445.635105501176,6.0035927584930721e-06,1.2313704752055231e-05,-90,-0.01666124624961276,-0.01666124624915023,-0.016661246250329113,-2.71499084563996,-2.7149903518253815,-2.7149923592805862,-51149.40376405952,-51149.40376770015,-51149.403769219214,-0.12875506964487804,-0.12874980546740006,-0.12874986855058523,-0.2443902180601567,-0.24439052304727943,-0.24439061190059874,-1698.0461679394357,-1698.046168981993,-1698.0461690727366
-80,-0.01402728670671165,0.26150974322486675,-42960.18537882202,-0.1310210210687173,-0.29689830182595256,-1640.6838752540643,-80,471871660928.22784,23.705566337082274,471871660904.52228,19905521522.600616,63190325641030344.0,3.907192461127806e-06,3.951463440898806e-06,2.5635049176742086e-06,5.459124152729089e-07,3.3802953112171963e-06,1.2282987127409939e-12,-3.7228382971157564e-06,-53507.62046275293,7.6209489065066023e-06,1.8510062379291044e-05,-80,-0.014027286706414828,-0.01402728670671165,-0.01402728670548335,0.2615107724217012,0.26150974322486675,0.2615136504173279,-42960.18537555351,-42960.18537882202,-42960.185379504976,-0.13102358177635764,-0.1310210210687173,-0.13102101827143997,-0.296897766692338,-0.29689830182595256,-0.2968983126047533,-1640.6838774103671,-1640.6838752540643,-1640.6838740300718
-70,-0.011729904157256105,9.334447664603623,-35852.96485869516,-0.12605085353608153,-0.35424739569918406,-1532.5083422949538,-70,471517155496.27289,23.686609467771365,471517155472.5863,19906485820.093067,61969141765727472.0,1.8973355082607668e-06,2.5707995519042015e-06,2.2979943858358887e-06,5.57574076243128e-07,5.504116415977478e-07,2.738503868116027e-13,4.1137266674234762e-06,-59128.584487393491,6.1932475493582287e-06,1.6255911677331321e-05,-70,-0.011729904157121263,-0.011729904157256105,-0.011729904156982255,9.334448223233679,9.334447664603623,9.33444632589817,-35852.96486057693,-35852.96485869516,-35852.96485800613,-0.1260485555416957,-0.12605085353608153,-0.12604913972154463,-0.3542479532732603,-0.35424739569918406,-0.35424741577298846,-1532.5083428453654,-1532.5083422949538,-1532.5083426937288
-60,-0.00974421516278167,31.97725063425549,-29746.391466313104,-0.11529241450017111,-0.40650667836027465,-1395.8476031129248,-60,471168259712.26642,23.667667757891323,471168259688.59875,19907675928.701023,1.6750830469462013e+17,7.731868265636876e-07,6.002483132760972e-07,8.367512709384073e-07,1.2456044817810152e-07,1.1258680387982167e-07,2.2476291661188696e-13,5.0782273292665277e-06,-65369.969719571694,1.4852820864879708e-06,4.418939564524604e-06,-60,-0.009744215162730779,-0.00974421516278167,-0.009744215162556908,31.97725039887891,31.97725063425549,31.977251172065735,-29746.391466323723,-29746.391466313104,-29746.391465723475,-0.1152919890530466,-0.11529241450017111,-0.11529282580431754,-0.40650677033014393,-0.40650667836027465,-0.40650664576969575,-1395.8476030621678,-1395.8476031129248,-1395.8476031747546
