voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-177.57163659932445,-23486018.009761114,22311.087712915498,-350665434.5481399,-9402143.766561389,-44504.96257631225,-150,1.6459493294681004e+19,5138.5607903974915,1.6459493294680998e+19,3203132932754073.0,7.2811186795453788e+18,28422.706754811108,16369.241905062809,70744.78740054369,17070.889310354367,27.73357494110678,0.019580229801732685,70914.727697702052,-2245754.654826452,80007.377927077381,141495.85435954144,-150,-177.55205636952272,-177.57163659932445,-177.56993075742002,-23514440.716515925,-23486018.009761114,-23486019.30530815,6080.491558001027,22311.087712915498,22449.733463063836,-350594689.7607394,-350665434.5481399,-350661994.38601273,-9419039.178577527,-9402143.766561389,-9401968.289267173,-44524.60449172819,-44504.96257631225,-44496.870916787084
-140,-140.5820224796141,-19313600.961986624,35412.891509253706,-276950249.81574064,-8026369.405892462,-35903.35937715563,-140,1.0430520640105388e+19,5443.2321975574632,1.0430520640105382e+19,1916236578109944.7,1.0414812918370556e+20,494.30430880934,216.75946777529316,1096.3692175745964,312.7610990200192,19.822849291587772,0.00029086054664162475,-1199.365903415578,-2125913.4333986789,1262.7316129572089,2234.1877028020849,-140,-140.58231334016074,-140.5820224796141,-140.58206641732946,-19313106.657677814,-19313600.961986624,-19313600.07778804,35627.07493899978,35412.891509253706,35410.31547122449,-276951346.1849582,-276950249.81574064,-276950340.1662556,-8026059.508817248,-8026369.405892462,-8026372.269916268,-35922.95456483071,-35903.35937715563,-35903.13171553912
-130,-109.97079254340424,-15689310.755055511,50325.75714595214,-216104064.05029887,-6762472.42701149,-28209.420718961574,-130,6.6238383988347955e+18,5765.967936371213,6.6238383988347894e+18,1148781691457597.5,7.8687542194147021e+18,960.929299172014,458.79665881569963,2140.820465505123,594.2556272493675,7.1505757329759945,0.0005568184239734819,2187.0180234124819,-2098405.2504844074,2462.1790064208767,4296.7948347023676,-130,-109.97023572498027,-109.97079254340424,-109.9707618296247,-15690269.286929395,-15689310.755055511,-15689308.357630223,49871.744520468754,50325.75714595214,50330.54117928445,-216101923.22983336,-216104064.05029887,-216104004.7827332,-6763061.708733631,-6762472.42701149,-6762467.453106382,-28202.587151145948,-28209.420718961574,-28209.737726878924
-120,-83.37557283639715,-12390028.011700608,57046.3967932191,-163381404.72602978,-5537717.128405482,-20915.414837933284,-120,4.2235529945412321e+18,6107.8390626399378,4.223552994541226e+18,691497099256528.62,4.0270395117075735e+19,3089.4254675451666,1065.8486347550497,6587.990339577198,1825.554882882163,6.871263816850842,0.0017199600519433034,-6507.5511613363833,-2056311.93528306,7583.0038034552736,13193.199710229366,-120,-83.3772927964491,-83.37557283639715,-83.37576955842559,-12386938.586233063,-12390028.011700608,-12390026.43649213,58097.1931662241,57046.3967932191,57031.34453146905,-163387992.71636936,-163381404.72602978,-163381804.744773,-5535905.392079423,-5537717.128405482,-5537730.946962305,-20922.286101750135,-20915.414837933284,-20916.515375174917
-110,-61.011930554934956,-9489865.689505544,58526.79835457656,-119167599.17297092,-4395639.026982129,-14432.105060642738,-110,2.7140707658946616e+18,6469.9801363426386,2.714070765894655e+18,419486723096630.12,3.0179646943822121e+18,1112.1235959008336,284.44915705139283,2152.8535465449095,600.5996051505208,1.2053425298108777,0.0005377757929281302,-2139.6614531672203,-2029957.1135181999,2513.0898693610961,4306.8812887908962,-110,-61.012468330727884,-61.011930554934956,-61.011987253442435,-9488753.565909643,-9489865.689505544,-9489865.1017448,58806.10415146465,58526.79835457656,58521.65499441326,-119169752.02651747,-119167599.17297092,-119167714.18970829,-4395042.530925734,-4395639.026982129,-4395643.1305308845,-14431.300552114253,-14432.105060642738,-14432.505894644064
-100,-42.6416825685516,-7015357.117891602,55152.713957242406,-82939337.52418399,-3366043.8078224957,-9087.95449155204,-100,1.7697436932600973e+18,6853.5929868746844,1.7697436932600904e+18,258221300367461.75,2.3085864940725084e+18,425.6333121173084,71.57326371570525,706.499692633748,202.07584182918072,1.020293912721172,0.00016005038651911718,-744.45611898838081,-2016658.0922113305,850.75149749272396,1423.2989448342448,-100,-42.64184261893812,-42.6416825685516,-42.64168984948546,-7014933.114076737,-7015357.117891602,-7015358.747388855,55222.43690122267,55152.713957242406,55150.86363750696,-82940044.02387662,-82939337.52418399,-82939350.49941814,-3365842.978599492,-3366043.8078224957,-3366045.054441321,-9087.017892524344,-9087.95449155204,-9088.038186437065
-90,-28.18783087748622,-5000897.336380433,49084.60528990181,-54502198.75681777,-2484278.864152491,-5207.640803752827,-90,1.185108707106942e+18,7259.9507015318468,1.1851087071069348e+18,163239222389882.69,1.5139475650854773e+19,982.2453723112121,120.460624494066,1582.2849739044905,404.8140266733244,3.3299981219288384,0.00036161778719545623,-1572.6332651510904,-2017671.4514196771,1909.5464423245419,3168.1734611396723,-90,-28.188192495273416,-28.18783087748622,-28.187862371490027,-4999915.091008122,-5000897.336380433,-5000895.99680005,49200.88916570734,49084.60528990181,49080.428541213274,-54503781.04179168,-54502198.75681777,-54502262.89378994,-2483876.288098841,-2484278.864152491,-2484281.1021255143,-5204.533458931867,-5207.640803752827,-5207.863457053796
-80,-17.430135793062412,-3442365.899770111,42252.43200464443,-33394787.94942938,-1769992.0052817166,-2755.2766583025737,-80,8.3079774287149056e+17,7690.4018504763417,8.3079774287148288e+17,108030472142366.81,6.2693512983434396e+19,96.52369210869074,8.155759416717046,135.28114519640803,33.28520472696982,0.4131109525155807,2.7563003758501736e-05,141.87866100124904,-2040695.9952704592,169.27941729642501,276.59441783772547,-80,-17.430108230058654,-17.430135793062412,-17.430135422902033,-3442461.9518498853,-3442365.899770111,-3442365.4281577766,42244.666365600926,42252.43200464443,42252.82212501764,-33394652.668284185,-33394787.94942938,-33394787.68750503,-1770025.1245790052,-1769992.0052817166,-1769991.8393742782,-2755.676974976898,-2755.2766583025737,-2755.263864024382
-70,-9.960609164914073,-2295111.371875666,35774.919264879216,-18799069.455514222,-1221649.2706264406,-1390.8550463577494,-70,6.2568376248412723e+17,8146.3749622061414,6.2568376248411904e+17,76805175969298.141,8.0443970435612221e+18,70.98372132703662,4.813959187667933,96.7980323806405,20.375430493382737,0.750035678808672,1.950229839131623e-05,98.473482115768661,-2080444.5114978296,120.9625806744469,193.66588988797997,-70,-9.96058966890256,-9.960609164914073,-9.960609171200952,-2295181.742400434,-2295111.371875666,-2295110.758679107,35770.40495733281,35774.919264879216,35775.218916520476,-18798973.217766292,-18799069.455514222,-18799070.015798673,-1221669.5537447943,-1221649.2706264406,-1221649.178314301,-1391.5934557730661,-1390.8550463577494,-1390.8434200942575
-60,-5.2495265074626785,-1487910.567355968,30399.20146534855,-9666844.733586699,-821238.1913710386,-692.81066531751,-60,5.1929822677452755e+17,8629.3832643802052,5.1929822677451891e+17,60177907373526.016,4.7015671744994222e+18,54.39027311978862,2.225802630706312,72.21210975199938,13.334727745736018,0.23305820538735134,1.490108332813378e-05,-69.602920005328826,-2137189.4357135943,91.458060035109838,148.53120567195845,-60,-5.249541408546007,-5.2495265074626785,-5.249528181732603,-1487856.1770828483,-1487910.567355968,-1487908.9242615849,30401.226678431554,30399.20146534855,30399.000875800848,-9666916.94569645,-9666844.733586699,-9666849.22236549,-821224.9101861147,-821238.1913710386,-821238.2449138605,-693.0437235228974,-692.81066531751,-692.819086892343
