voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.0684401305784617e-07,5.463989362082304e-09,-2.8962260874637892e-08,-0.6389019658303389,-0.013357187399530785,3.4478501897531524e-09,-150,9549419818775.627,6.8509300867020845e-10,9549419818775.627,1.3938866253082065e+22,1.7195616404317757e+19,2.682334653167104e-07,4.904796456673514e-05,3.490642939141253e-05,2.9362278991876267e-08,3.0075630400066044e-05,7.867082089592349e-12,6.5370272006242446e-05,-0.056735295893586279,5.4667257619964949e-05,9.8838524709993653e-05,-150,-2.0683614597575658e-07,-2.0684401305784617e-07,-2.0683661889683637e-07,-1.2177073679695526e-09,5.463989362082304e-09,2.670157579487409e-07,-4.907692682760978e-05,-2.8962260874637892e-08,-2.981072833341763e-08,-0.6388743195566349,-0.6389019658303389,-0.6389092259860263,-0.013357158037251793,-0.013357187399530785,-0.013357184792478763,2.1427096092910938e-05,3.4478501897531524e-09,3.0079078250255797e-05
-140,-1.2185267992744684e-07,-1.7089753268690293e-10,-2.0789761679699444e-08,-0.3751401038507936,-0.01034824432933679,4.597948077505611e-09,-140,8408333456063.2754,7.3242035757918644e-10,8408333456063.2754,1.1480201729857297e+22,3.3540482331005886e+19,5.616167545358602e-09,2.1972508927474974e-05,3.260934136051219e-07,1.871938668310258e-09,2.268598063647408e-05,3.642484737344519e-12,2.2070373167300216e-05,-0.053237900146698026,3.147069582229704e-05,4.5070518530741674e-05,-140,-1.2184915958116348e-07,-1.2185267992744684e-07,-1.2185280206590083e-07,1.2875173744663741e-09,-1.7089753268690293e-10,5.445270012671699e-09,-2.1993298689154672e-05,-2.0789761679699444e-08,-2.0819910557174707e-08,-0.3751404135982739,-0.3751401038507936,-0.3751400875048603,-0.010348246061766986,-0.01034824432933679,-0.010348244189828317,2.2287355642904617e-05,4.597948077505611e-09,-3.98624993569463e-07
-130,-7.182657883740088e-08,2.4165382312876065e-09,-1.492229098394578e-08,-0.22014808884874615,-0.00805949771015319,6.177266176216987e-09,-130,7415753176990.8701,7.8301715738958261e-10,7415753176990.8701,9.4707416140323897e+21,2.1448339696759259e+19,2.7847985100592294e-08,3.197967737042974e-05,4.587591320159845e-07,2.7704717566953696e-08,3.2892609725107056e-05,5.281952651106013e-12,-3.2659113732591718e-05,-0.049887050265870633,4.5793779589457232e-05,6.5730970358120119e-05,-130,-7.183169821015044e-08,-7.182657883740088e-08,-7.182641625749934e-08,2.638850559650422e-09,2.4165382312876065e-09,3.02645233318799e-08,3.1964755079445795e-05,-1.492229098394578e-08,-1.4911838443720518e-08,-0.2201476581976749,-0.22014808884874615,-0.22014811695680692,-0.008059525411226787,-0.00805949771015319,-0.00805949770650922,-3.237875152411702e-05,6.177266176216987e-09,5.138582009900361e-07
-120,-4.247709473744368e-08,3.344985961615296e-10,-1.070625325316326e-08,-0.12943118554501,-0.006288038952864944,7.988123916429185e-09,-120,6554148253178.8232,8.3710926713308182e-10,6554148253178.8232,7.8295014886471914e+21,3.4674277437900857e+19,3.074546687454178e-08,4.910183703646212e-06,7.737764917692402e-08,4.37761072452289e-08,4.800197579749394e-06,7.750436666781418e-13,6.0898318013924424e-06,-0.046677579033790446,7.0369957277012713e-06,1.0717932786864682e-05,-120,-4.2476319693777e-08,-4.247709473744368e-08,-4.2477082828809725e-08,4.671615352229331e-09,3.344985961615296e-10,-2.6073851522312452e-08,-4.920472426055145e-06,-1.070625325316326e-08,-1.0288722408932306e-08,-0.12943113791698124,-0.12943118554501,-0.12943121529463042,-0.0062879955366952345,-0.006288038952864944,-0.00628803931280248,4.808185703665823e-06,7.988123916429185e-09,1.0128531890973846e-07
-110,-2.5136114402337567e-08,6.655405707104549e-09,-7.680974474122465e-09,-0.0760115590997721,-0.004881492611530958,1.044849186980546e-08,-110,5808301213347.1387,8.9493814855379086e-10,5808301213347.1387,6.4901705472420442e+21,9.1458588802660639e+18,1.0651285907221191e-08,7.147636557837123e-07,1.4614533938583918e-07,9.171955755657435e-10,8.43306428166931e-07,1.1465832650359472e-13,1.8952762953272639e-05,-0.043610240127409106,1.1030586911810303e-06,1.7993011916801775e-06,-110,-2.5135999744011063e-08,-2.5136114402337567e-08,-2.5136105134882415e-08,7.38682165275017e-09,6.655405707104549e-09,-3.2644642544710223e-09,-7.224446302578347e-07,-7.680974474122465e-09,-7.772451509760698e-09,-0.07601168831752148,-0.0760115590997721,-0.07601154217218209,-0.004881491768173873,-0.004881492611530958,-0.004881492685369449,8.537549200367365e-07,1.044849186980546e-08,3.2448071118906796e-08
-100,-1.4911952315185485e-08,1.1838247749718522e-08,-5.509465716512587e-09,-0.04465772789300013,-0.0037679374705088865,1.3652150783950563e-08,-100,5165039075779.6904,9.5676194396920866e-10,5165039075779.6904,5.3984579009822285e+21,8.0337126300412242e+20,2.2286124005719923e-09,3.056706177862891e-05,1.215447582580964e-07,1.0249602755505599e-08,3.0509466977338748e-05,4.918256901422912e-12,2.8931439636878529e-05,-0.040689809676701855,4.3164727795984227e-05,6.1291572415732523e-05,-100,-1.490705711772821e-08,-1.4911952315185485e-08,-1.4911975374629633e-08,1.0693505197607746e-08,1.1838247749718522e-08,1.2922117598179739e-08,-3.057082569744851e-05,-5.509465716512587e-09,-3.763918819598171e-09,-0.04465763029293157,-0.04465772789300013,-0.04465775183768983,-0.003767927220906131,-0.0037679374705088865,-0.003767937446160103,3.047312420066178e-05,1.3652150783950563e-08,-3.63427766769675e-08
-90,-8.857165169648676e-09,2.0536103511168458e-08,-3.95174828989555e-09,-0.026202329644533104,-0.002883585624981883,1.7849202053612892e-08,-90,4613000690100.7021,1.0228566285916005e-09,4613000690100.7021,4.509919143264946e+21,1.1642672257506642e+19,3.0782168193388863e-09,8.415166961372824e-06,2.57731130659522e-07,1.5974688089264583e-08,8.203149719668286e-06,1.3478476291485123e-12,1.1168801788675823e-05,-0.037922090309763609,1.1752397320343823e-05,1.6874044167747616e-05,-90,-8.855817322019528e-09,-8.857165169648676e-09,-8.857129735128975e-09,1.8384925294155754e-08,2.0536103511168458e-08,1.745788669182957e-08,-8.41911870966272e-06,-3.95174828989555e-09,-4.074909246681213e-09,-0.02620212428155355,-0.026202329644533104,-0.02620238201268421,-0.0028835696502937935,-0.002883585624981883,-0.002883585506970978,8.2209989217219e-06,1.7849202053612892e-08,1.8389277578467755e-07
-80,-5.273066711501114e-09,3.262979436426444e-08,-2.834146276937482e-09,-0.015363408065663834,-0.0021888154756429545,2.3318912916480547e-08,-80,4142436079206.5649,1.0935172424536211e-09,4142436079206.5649,3.7881762796092869e+21,6.7156059792435159e+18,6.190057709877461e-09,2.0037582535186784e-05,2.761697714959155e-07,1.7558026998466814e-09,1.9896118249491786e-05,3.2102787902769318e-12,-1.7829381175782366e-05,-0.03531262718822166,2.8239860909889139e-05,4.019894953027326e-05,-80,-5.276276990291391e-09,-5.273066711501114e-09,-5.2730863498557055e-09,3.286766005930053e-08,3.262979436426444e-08,2.667760234942307e-08,2.003473292893493e-05,-2.834146276937482e-09,-2.8496062518540766e-09,-0.015363551443442702,-0.015363408065663834,-0.015363275273671206,-0.0021888137198402546,-0.0021888154756429545,-0.002188815421359721,-1.9872799336575305e-05,2.3318912916480547e-08,-1.6483354087215574e-07
-70,-3.149269295344504e-09,5.294928083414573e-08,-2.032295860534786e-09,-0.009004609606503382,-0.0016493057501475057,3.047558373124624e-08,-70,3745034237375.5645,1.1690592074373846e-09,3745034237375.5645,3.2034598534874892e+21,1.0305210585858621e+19,1.273408993686351e-09,2.882826887093465e-07,4.3420016027084785e-08,1.5364905224871106e-10,3.5065884816545676e-07,5.263982074953602e-14,1.2753062420356138e-06,-0.032864174945618531,4.5470585995732525e-07,7.0341773365316126e-07,-70,-3.149223239168376e-09,-3.149269295344504e-09,-3.1492758789891257e-09,5.329290925658727e-08,5.294928083414573e-08,5.201950026290092e-08,-2.90253188664491e-07,-2.032295860534786e-09,-1.9704999551445052e-09,-0.009004652893054299,-0.009004609606503382,-0.009004609473038272,-0.0016493058938067406,-0.0016493057501475057,-0.0016493057401576884,3.613466503087622e-07,3.047558373124624e-08,1.0687802143305447e-08
-60,-1.883406081172249e-09,8.511635191703163e-08,-1.457228444787565e-09,-0.005262146991845277,-0.0012325466926062594,3.9816914303663526e-08,-60,3413776343164.6602,1.249819735286059e-09,3413776343164.6602,2.7314149767232744e+21,1.7237292659749599e+19,4.090945976793411e-09,4.9736695435983656e-08,1.76365233528486e-08,1.4585589875638905e-09,3.6847019789083746e-08,9.361734513708822e-15,-5.3288278485493143e-06,-0.030576458172444865,6.3985984198157054e-08,1.2202476526734189e-07,-60,-1.8834154429067628e-09,-1.883406081172249e-09,-1.883408746441095e-09,8.487153970511009e-08,8.511635191703163e-08,8.102540594023822e-08,4.814594824209539e-08,-1.457228444787565e-09,-1.5907471938882611e-09,-0.0052621631912188604,-0.005262146991845277,-0.005262145554695508,-0.001232548151165247,-0.0012325466926062594,-0.0012325468513752205,2.9698945145797814e-09,3.9816914303663526e-08,3.429828743239938e-08
